StateCode,Sex,YearOfBirth,Name,Number
OR,M,1967,Randall,53
OR,M,1967,Jay,51
OR,M,1967,Curtis,50
OR,M,1967,Steve,50
OR,M,1967,Chad,49
OR,M,1967,Travis,48
OR,M,1967,Erik,47
OR,M,1967,Dean,46
OR,M,1967,Bruce,45
OR,M,1967,Dale,44
OR,M,1967,Roger,44
OR,M,1967,Wayne,44
OR,M,1967,Martin,43
OR,M,1967,Greg,42
OR,M,1967,Ryan,42
OR,M,1967,Benjamin,41
OR,M,1967,Alan,40
OR,M,1967,Brett,40
OR,M,1967,Danny,40
OR,M,1967,Jack,40
OR,M,1967,Samuel,40
OR,M,1967,Jonathan,39
OR,M,1967,Tracy,39
OR,M,1967,Rick,38
OR,M,1967,Shane,38
OR,M,1967,George,37
OR,M,1967,Allen,36
OR,M,1967,Lance,35
OR,M,1967,Adam,34
OR,M,1967,Carl,34
OR,M,1967,Duane,34
OR,M,1967,Gerald,34
OR,M,1967,Kyle,34
OR,M,1967,Micheal,34
OR,M,1967,Derek,33
OR,M,1967,Joel,33
OR,M,1967,Wesley,32
OR,M,1967,Brad,31
OR,M,1967,Frank,31
OR,M,1967,Kirk,31
OR,M,1967,Lawrence,31
OR,M,1967,Darrin,30
OR,M,1967,Jim,29
OR,M,1967,Joe,29
OR,M,1967,Philip,29
OR,M,1967,Phillip,29
OR,M,1967,Billy,28
OR,M,1967,Dave,28
OR,M,1967,Kurt,27
OR,M,1967,Marc,27
OR,M,1967,Tom,27
OR,M,1967,Gordon,26
OR,M,1967,Nicholas,26
OR,M,1967,Trevor,26
OR,M,1967,Darrell,25
OR,M,1967,Mitchell,25
OR,M,1967,Nathan,25
OR,M,1967,Norman,25
OR,M,1967,Dan,24
OR,M,1967,Kent,23
OR,M,1967,Barry,22
OR,M,1967,Bret,22
OR,M,1967,Harold,22
OR,M,1967,Lee,22
OR,M,1967,Roy,22
OR,M,1967,Walter,21
OR,M,1967,Daren,20
OR,M,1967,Glenn,20
OR,M,1967,Jesse,20
OR,M,1967,Johnny,20
OR,M,1967,Ricky,20
OR,M,1967,Ted,20
OR,M,1967,Victor,20
OR,M,1967,Bill,19
OR,M,1967,Byron,19
OR,M,1967,Jimmy,19
OR,M,1967,Lonnie,19
OR,M,1967,Loren,19
OR,M,1967,Shannon,19
OR,M,1967,Shaun,19
OR,M,1967,Wade,19
OR,M,1967,Arthur,18
OR,M,1967,Don,18
OR,M,1967,Karl,18
OR,M,1967,Randal,18
OR,M,1967,Ron,18
OR,M,1967,Lloyd,17
OR,M,1967,Tommy,17
OR,M,1967,Bobby,16
OR,M,1967,Darryl,16
OR,M,1967,Doug,16
OR,M,1967,Kerry,16
OR,M,1967,Marvin,16
OR,M,1967,Mathew,16
OR,M,1967,Ray,16
OR,M,1967,Theodore,16
OR,M,1967,Vernon,16
OR,M,1967,Albert,15
OR,M,1967,Casey,15
OR,M,1967,Dwayne,15
OR,M,1967,Eugene,15
OR,M,1967,Guy,15
OR,M,1967,Jose,15
OR,M,1967,Melvin,15
OR,M,1967,Monte,15
OR,M,1967,Vincent,15
OR,M,1967,Andy,14
OR,M,1967,Christian,14
OR,M,1967,Clayton,14
OR,M,1967,Damon,14
OR,M,1967,Frederick,14
OR,M,1967,Matt,14
OR,M,1967,Stacey,14
OR,M,1967,Stacy,14
OR,M,1967,Stanley,14
OR,M,1967,Toby,14
OR,M,1967,Clinton,13
OR,M,1967,Earl,13
OR,M,1967,Gene,13
OR,M,1967,Henry,13
OR,M,1967,Neal,13
OR,M,1967,Ty,13
OR,M,1967,Warren,13
OR,M,1967,Bob,12
OR,M,1967,Corey,12
OR,M,1967,Cory,12
OR,M,1967,Dana,12
OR,M,1967,Daryl,12
OR,M,1967,Devin,12
