StateCode,Sex,YearOfBirth,Name,Number
OR,M,2010,Calvin,33
OR,M,2010,Jaden,33
OR,M,2010,Abraham,32
OR,M,2010,Preston,32
OR,M,2010,Ryker,32
OR,M,2010,Rylan,32
OR,M,2010,Bryan,31
OR,M,2010,Joel,31
OR,M,2010,Jude,31
OR,M,2010,Kellen,31
OR,M,2010,Kyler,31
OR,M,2010,Leo,31
OR,M,2010,Andres,30
OR,M,2010,Brady,30
OR,M,2010,Finn,30
OR,M,2010,Jaxson,30
OR,M,2010,Marcus,30
OR,M,2010,Tyson,30
OR,M,2010,Zane,30
OR,M,2010,Alan,29
OR,M,2010,Griffin,29
OR,M,2010,Roman,29
OR,M,2010,Simon,29
OR,M,2010,Trenton,29
OR,M,2010,Victor,29
OR,M,2010,Damien,28
OR,M,2010,Desmond,28
OR,M,2010,Elliott,28
OR,M,2010,Jorge,28
OR,M,2010,Judah,28
OR,M,2010,Lukas,28
OR,M,2010,Mark,28
OR,M,2010,Oscar,28
OR,M,2010,Weston,28
OR,M,2010,Xander,28
OR,M,2010,Alexis,27
OR,M,2010,Colin,27
OR,M,2010,Easton,27
OR,M,2010,Kaiden,27
OR,M,2010,Maddox,27
OR,M,2010,Omar,27
OR,M,2010,Cristian,26
OR,M,2010,Santiago,26
OR,M,2010,Steven,26
OR,M,2010,Bradley,25
OR,M,2010,Corbin,25
OR,M,2010,Elliot,25
OR,M,2010,Jake,25
OR,M,2010,Nicolas,25
OR,M,2010,Paxton,25
OR,M,2010,Trevor,25
OR,M,2010,Braden,24
OR,M,2010,Collin,24
OR,M,2010,Spencer,24
OR,M,2010,Theodore,24
OR,M,2010,Colby,23
OR,M,2010,Fernando,23
OR,M,2010,Josue,23
OR,M,2010,Malachi,23
OR,M,2010,Braxton,22
OR,M,2010,Devin,22
OR,M,2010,George,22
OR,M,2010,Kellan,22
OR,M,2010,Peter,22
OR,M,2010,Taylor,22
OR,M,2010,Avery,21
OR,M,2010,Cash,21
OR,M,2010,Declan,21
OR,M,2010,Donovan,21
OR,M,2010,Edwin,21
OR,M,2010,Israel,21
OR,M,2010,Javier,21
OR,M,2010,Keegan,21
OR,M,2010,Richard,21
OR,M,2010,River,21
OR,M,2010,Troy,21
OR,M,2010,Unknown,21
OR,M,2010,Charlie,20
OR,M,2010,Erik,20
OR,M,2010,Francisco,20
OR,M,2010,Hector,20
OR,M,2010,Holden,20
OR,M,2010,Luca,20
OR,M,2010,Manuel,20
OR,M,2010,Patrick,20
OR,M,2010,Peyton,20
OR,M,2010,Skyler,20
OR,M,2010,Zander,20
OR,M,2010,Cesar,19
OR,M,2010,Chance,19
OR,M,2010,Paul,19
OR,M,2010,Quentin,19
OR,M,2010,Ronan,19
OR,M,2010,Seth,19
OR,M,2010,Titus,19
OR,M,2010,Axel,18
OR,M,2010,Beckett,18
OR,M,2010,Bryce,18
OR,M,2010,Casey,18
OR,M,2010,Derek,18
OR,M,2010,Dexter,18
OR,M,2010,Drake,18
OR,M,2010,Edgar,18
OR,M,2010,Erick,18
