StateCode,Sex,YearOfBirth,Name,Number
PA,F,1934,Gladys,241
PA,F,1934,Peggy,232
PA,F,1934,Janice,224
PA,F,1934,Thelma,222
PA,F,1934,Sandra,213
PA,F,1934,Bernice,210
PA,F,1934,Edna,209
PA,F,1934,Agnes,208
PA,F,1934,Elsie,207
PA,F,1934,Sara,194
PA,F,1934,Roberta,183
PA,F,1934,Rosemary,181
PA,F,1934,Lucille,175
PA,F,1934,Ellen,173
PA,F,1934,Gertrude,169
PA,F,1934,Rosemarie,169
PA,F,1934,Carole,168
PA,F,1934,Regina,168
PA,F,1934,Beatrice,161
PA,F,1934,Jeanne,161
PA,F,1934,Emma,157
PA,F,1934,Clara,154
PA,F,1934,Claire,153
PA,F,1934,Vivian,153
PA,F,1934,Leona,151
PA,F,1934,Katherine,146
PA,F,1934,Bernadette,145
PA,F,1934,Judith,141
PA,F,1934,Laura,141
PA,F,1934,Julia,135
PA,F,1934,Maryann,129
PA,F,1934,Genevieve,125
PA,F,1934,Suzanne,125
PA,F,1934,Jeanette,122
PA,F,1934,Susan,122
PA,F,1934,Ida,120
PA,F,1934,Wilma,120
PA,F,1934,Caroline,119
PA,F,1934,Miriam,119
PA,F,1934,Violet,117
PA,F,1934,Christine,114
PA,F,1934,Alma,113
PA,F,1934,Hazel,113
PA,F,1934,Connie,111
PA,F,1934,Gail,111
PA,F,1934,Bertha,110
PA,F,1934,Kay,109
PA,F,1934,Naomi,108
PA,F,1934,Faye,107
PA,F,1934,Patsy,106
PA,F,1934,Harriet,105
PA,F,1934,Pearl,99
PA,F,1934,Maxine,97
PA,F,1934,Alberta,95
PA,F,1934,Patty,94
PA,F,1934,Stella,94
PA,F,1934,Wanda,93
PA,F,1934,Blanche,92
PA,F,1934,Madeline,90
PA,F,1934,Marcia,88
PA,F,1934,Teresa,88
PA,F,1934,Diane,87
PA,F,1934,Yvonne,87
PA,F,1934,Eva,86
PA,F,1934,Ella,84
PA,F,1934,Mabel,84
PA,F,1934,Emily,83
PA,F,1934,Viola,83
PA,F,1934,Anita,82
PA,F,1934,Vera,81
PA,F,1934,Marcella,79
PA,F,1934,Marguerite,79
PA,F,1934,Ruby,78
PA,F,1934,Antoinette,77
PA,F,1934,Verna,77
PA,F,1934,Mae,74
PA,F,1934,Lucy,72
PA,F,1934,Bernadine,71
PA,F,1934,Fay,71
PA,F,1934,Jennie,69
PA,F,1934,Bonnie,68
PA,F,1934,Juanita,65
PA,F,1934,Cynthia,63
PA,F,1934,Velma,63
PA,F,1934,Darlene,62
PA,F,1934,Veronica,62
PA,F,1934,Gwendolyn,61
PA,F,1934,Jo,61
PA,F,1934,Winifred,61
PA,F,1934,Jessie,60
PA,F,1934,Rebecca,60
PA,F,1934,Erma,59
PA,F,1934,Marianne,59
PA,F,1934,Myrtle,59
PA,F,1934,Cecelia,58
PA,F,1934,Henrietta,58
PA,F,1934,Bette,57
PA,F,1934,Sue,57
PA,F,1934,Annette,56
PA,F,1934,Diana,56
PA,F,1934,Carmella,55
PA,F,1934,Amelia,54
PA,F,1934,Helene,54
PA,F,1934,Jeannette,54
PA,F,1934,Maureen,54
PA,F,1934,Nellie,54
PA,F,1934,Rachel,54
PA,F,1934,Angeline,53
PA,F,1934,Laverne,53
PA,F,1934,Angela,52
PA,F,1934,Cora,52
PA,F,1934,Hilda,51
PA,F,1934,Margie,51
PA,F,1934,Natalie,51
PA,F,1934,Olga,51
PA,F,1934,Rosalie,51
PA,F,1934,Mona,49
PA,F,1934,Deloris,47
PA,F,1934,Joanna,47
PA,F,1934,Pat,47
PA,F,1934,Rhoda,47
PA,F,1934,Bessie,46
PA,F,1934,Flora,46
PA,F,1934,Victoria,46
PA,F,1934,Leah,45
PA,F,1934,Dora,44
PA,F,1934,Judy,44
PA,F,1934,Jacquelyn,43
PA,F,1934,Joy,43
PA,F,1934,Charlene,42
PA,F,1934,Maria,42
PA,F,1934,Dawn,41
PA,F,1934,Dorothea,41
PA,F,1934,Eleanore,41
PA,F,1934,Lena,40
PA,F,1934,Ada,39
PA,F,1934,Annabelle,38
PA,F,1934,Elva,38
PA,F,1934,Fern,38
PA,F,1934,Linda,38
PA,F,1934,Sondra,38
PA,F,1934,Eunice,37
PA,F,1934,Gayle,37
PA,F,1934,Lydia,37
PA,F,1934,Nora,37
PA,F,1934,Philomena,37
PA,F,1934,Olive,36
PA,F,1934,Sophie,36
PA,F,1934,Freda,35
PA,F,1934,Priscilla,35
PA,F,1934,Elinor,34
PA,F,1934,Irma,34
PA,F,1934,Johanna,34
PA,F,1934,Paula,34
PA,F,1934,Georgia,33
PA,F,1934,Isabel,33
PA,F,1934,Carrie,32
PA,F,1934,Estelle,32
PA,F,1934,Margery,32
PA,F,1934,Dolly,31
PA,F,1934,Isabelle,31
PA,F,1934,Cecilia,30
PA,F,1934,Daisy,30
PA,F,1934,Faith,30
PA,F,1934,Myra,30
PA,F,1934,Myrna,30
PA,F,1934,Annie,29
PA,F,1934,Betsy,29
PA,F,1934,Roseann,29
PA,F,1934,Twila,29
PA,F,1934,Adele,28
PA,F,1934,Clare,28
PA,F,1934,Colleen,28
PA,F,1934,Ernestine,28
PA,F,1934,Marlyn,28
PA,F,1934,Rosella,28
PA,F,1934,Sonia,28
PA,F,1934,Glenda,27
PA,F,1934,Goldie,27
PA,F,1934,Minnie,27
PA,F,1934,Monica,27
PA,F,1934,Nina,27
PA,F,1934,Romaine,27
PA,F,1934,Deborah,26
PA,F,1934,Dona,26
PA,F,1934,Geneva,26
PA,F,1934,Inez,26
PA,F,1934,Louella,26
PA,F,1934,Madelyn,26
PA,F,1934,Arline,25
PA,F,1934,Catharine,25
PA,F,1934,Lola,25
PA,F,1934,Sheila,25
PA,F,1934,Adeline,24
PA,F,1934,Adrienne,24
PA,F,1934,Della,24
PA,F,1934,Iris,24
PA,F,1934,Lenora,24
PA,F,1934,Lillie,24
PA,F,1934,Gretchen,23
PA,F,1934,Larue,23
PA,F,1934,Marylou,23
PA,F,1934,Amy,22
PA,F,1934,Angelina,22
PA,F,1934,Beryl,22
PA,F,1934,Beulah,22
PA,F,1934,Carmela,22
PA,F,1934,Julie,22
PA,F,1934,Lila,22
PA,F,1934,Matilda,22
PA,F,1934,Muriel,22
PA,F,1934,Rosetta,22
PA,F,1934,Christina,21
PA,F,1934,Iva,21
PA,F,1934,Wilda,21
PA,F,1934,Yolanda,21
PA,F,1934,Alyce,20
PA,F,1934,Estella,20
PA,F,1934,Hannah,20
PA,F,1934,Lula,20
PA,F,1934,Sallie,20
PA,F,1934,Stephanie,20
PA,F,1934,Cornelia,19
PA,F,1934,Edythe,19
PA,F,1934,Greta,19
PA,F,1934,Janis,19
PA,F,1934,Mable,19
PA,F,1934,Maryanne,19
PA,F,1934,Maryjane,19
PA,F,1934,May,19
PA,F,1934,Robert,19
PA,F,1934,Selma,19
PA,F,1934,Beth,18
PA,F,1934,Bettie,18
PA,F,1934,Cleo,18
PA,F,1934,Eloise,18
PA,F,1934,Harriett,18
PA,F,1934,Ina,18
PA,F,1934,Justine,18
PA,F,1934,Lenore,18
PA,F,1934,Noreen,18
PA,F,1934,Rosa,18
PA,F,1934,Sonya,18
PA,F,1934,Aileen,17
PA,F,1934,Alfreda,17
PA,F,1934,Althea,17
PA,F,1934,Bernardine,17
PA,F,1934,Beverley,17
PA,F,1934,Corrine,17
PA,F,1934,Georgine,17
PA,F,1934,Glenna,17
PA,F,1934,Gwen,17
PA,F,1934,Mamie,17
PA,F,1934,Renee,17
PA,F,1934,Romayne,17
PA,F,1934,Rosie,17
PA,F,1934,Sadie,17
PA,F,1934,Sherry,17
PA,F,1934,Therese,17
PA,F,1934,Valerie,17
PA,F,1934,Alta,16
PA,F,1934,Annamae,16
PA,F,1934,Elvira,16
PA,F,1934,Fannie,16
PA,F,1934,Karen,16
PA,F,1934,Mercedes,16
PA,F,1934,Nadine,16
PA,F,1934,Rosalyn,16
PA,F,1934,Shirlee,16
PA,F,1934,Willa,16
PA,F,1934,Adelaide,15
PA,F,1934,Claudette,15
PA,F,1934,Concetta,15
PA,F,1934,Edwina,15
PA,F,1934,Gale,15
PA,F,1934,Germaine,15
PA,F,1934,Joseph,15
PA,F,1934,Katharine,15
PA,F,1934,Katie,15
PA,F,1934,Millie,15
PA,F,1934,Roslyn,15
PA,F,1934,Sharon,15
PA,F,1934,Amanda,14
PA,F,1934,Billie,14
PA,F,1934,Etta,14
PA,F,1934,Gilda,14
PA,F,1934,Isabella,14
PA,F,1934,James,14
PA,F,1934,John,14
PA,F,1934,Lee,14
PA,F,1934,Maryellen,14
PA,F,1934,Nettie,14
PA,F,1934,Rae,14
PA,F,1934,Theda,14
PA,F,1934,Valeria,14
PA,F,1934,Celia,13
PA,F,1934,Dale,13
PA,F,1934,Dorcas,13
PA,F,1934,Lauretta,13
PA,F,1934,Luella,13
PA,F,1934,Marilynn,13
