StateCode,Sex,YearOfBirth,Name,Number
PA,F,1947,Melba,6
PA,F,1947,Mina,6
PA,F,1947,Nila,6
PA,F,1947,Norene,6
PA,F,1947,Palma,6
PA,F,1947,Pam,6
PA,F,1947,Patriciaann,6
PA,F,1947,Phoebe,6
PA,F,1947,Phylis,6
PA,F,1947,Prudence,6
PA,F,1947,Randee,6
PA,F,1947,Rene,6
PA,F,1947,Roni,6
PA,F,1947,Rosie,6
PA,F,1947,Sandie,6
PA,F,1947,Santa,6
PA,F,1947,Sherron,6
PA,F,1947,Stacey,6
PA,F,1947,Trudi,6
PA,F,1947,Vonnie,6
PA,F,1947,Winona,6
PA,F,1947,Alexa,5
PA,F,1947,Anthony,5
PA,F,1947,Antionette,5
PA,F,1947,Barbaraann,5
PA,F,1947,Bettyann,5
PA,F,1947,Bonna,5
PA,F,1947,Candyce,5
PA,F,1947,Carmelita,5
PA,F,1947,Carolanne,5
PA,F,1947,Cassie,5
PA,F,1947,Cecile,5
PA,F,1947,Cherryl,5
PA,F,1947,Chris,5
PA,F,1947,Corliss,5
PA,F,1947,Debby,5
PA,F,1947,Desiree,5
PA,F,1947,Donald,5
PA,F,1947,Dorinda,5
PA,F,1947,Eleanora,5
PA,F,1947,Elmira,5
PA,F,1947,Emilie,5
PA,F,1947,Evalyn,5
PA,F,1947,Fonda,5
PA,F,1947,Georgann,5
PA,F,1947,Georganna,5
PA,F,1947,Georgeanna,5
PA,F,1947,Georgeanne,5
PA,F,1947,Georgianne,5
PA,F,1947,Geri,5
PA,F,1947,Goldie,5
PA,F,1947,Harriette,5
PA,F,1947,Idella,5
PA,F,1947,Jacquelynn,5
PA,F,1947,Jewel,5
PA,F,1947,Joetta,5
PA,F,1947,Jorja,5
PA,F,1947,Julianna,5
PA,F,1947,Karon,5
PA,F,1947,Katheryn,5
PA,F,1947,Kathrine,5
PA,F,1947,Kathryne,5
PA,F,1947,Lavern,5
PA,F,1947,Leeann,5
PA,F,1947,Leigh,5
PA,F,1947,Lisbeth,5
PA,F,1947,Lizabeth,5
PA,F,1947,Lorena,5
PA,F,1947,Marjory,5
PA,F,1947,Marna,5
PA,F,1947,Marquita,5
PA,F,1947,Marylee,5
PA,F,1947,Marysue,5
PA,F,1947,Maude,5
PA,F,1947,Maura,5
PA,F,1947,Michael,5
PA,F,1947,Michal,5
PA,F,1947,Mitzi,5
PA,F,1947,Neva,5
PA,F,1947,Patrica,5
PA,F,1947,Randa,5
PA,F,1947,Robbie,5
PA,F,1947,Rory,5
PA,F,1947,Rowena,5
PA,F,1947,Rozanne,5
PA,F,1947,Shannon,5
PA,F,1947,Shari,5
PA,F,1947,Shelly,5
PA,F,1947,Sheron,5
PA,F,1947,Sydney,5
PA,F,1947,Trina,5
PA,F,1947,Willie,5
PA,F,1948,Linda,6216
PA,F,1948,Mary,4439
PA,F,1948,Barbara,3592
PA,F,1948,Patricia,3354
PA,F,1948,Carol,2834
PA,F,1948,Susan,2597
PA,F,1948,Kathleen,2186
PA,F,1948,Sandra,2167
PA,F,1948,Nancy,2156
PA,F,1948,Donna,1817
PA,F,1948,Karen,1766
PA,F,1948,Margaret,1642
PA,F,1948,Judith,1447
PA,F,1948,Sharon,1434
PA,F,1948,Diane,1304
