StateCode,Sex,YearOfBirth,Name,Number
PA,F,1958,Tena,11
PA,F,1958,Valorie,11
PA,F,1958,Ana,10
PA,F,1958,Angeline,10
PA,F,1958,Annetta,10
PA,F,1958,Christa,10
PA,F,1958,Christie,10
PA,F,1958,Danita,10
PA,F,1958,Deana,10
PA,F,1958,Deirdre,10
PA,F,1958,Etta,10
PA,F,1958,Fannie,10
PA,F,1958,Gaye,10
PA,F,1958,Georgina,10
PA,F,1958,Greta,10
PA,F,1958,Kristy,10
PA,F,1958,Kyle,10
PA,F,1958,Lauretta,10
PA,F,1958,Leisa,10
PA,F,1958,Lesley,10
PA,F,1958,Letitia,10
PA,F,1958,Lorene,10
PA,F,1958,Mamie,10
PA,F,1958,Margarita,10
PA,F,1958,Martina,10
PA,F,1958,Nellie,10
PA,F,1958,Rachael,10
PA,F,1958,Rebekah,10
PA,F,1958,Selina,10
PA,F,1958,Shannon,10
PA,F,1958,Stacie,10
PA,F,1958,Velma,10
PA,F,1958,Vickey,10
PA,F,1958,Zelda,10
PA,F,1958,Antonette,9
PA,F,1958,Arleen,9
PA,F,1958,Cathryn,9
PA,F,1958,Chrystal,9
PA,F,1958,Dori,9
PA,F,1958,Eunice,9
PA,F,1958,Flora,9
PA,F,1958,Freda,9
PA,F,1958,Glenna,9
PA,F,1958,Joseph,9
PA,F,1958,Juli,9
PA,F,1958,Kellie,9
PA,F,1958,Kendra,9
PA,F,1958,Kristie,9
PA,F,1958,Louella,9
PA,F,1958,Lucia,9
PA,F,1958,Madeleine,9
PA,F,1958,Marty,9
PA,F,1958,Moira,9
PA,F,1958,Monique,9
PA,F,1958,Nanci,9
PA,F,1958,Nita,9
PA,F,1958,Pattie,9
PA,F,1958,Phoebe,9
PA,F,1958,Rosina,9
PA,F,1958,Sharyn,9
PA,F,1958,Shirl,9
PA,F,1958,Sophia,9
PA,F,1958,Tama,9
PA,F,1958,Tammi,9
PA,F,1958,Vikki,9
PA,F,1958,Aimee,8
PA,F,1958,Aleta,8
PA,F,1958,Alta,8
PA,F,1958,Althea,8
PA,F,1958,Alyson,8
PA,F,1958,Candis,8
PA,F,1958,Carleen,8
PA,F,1958,Cathie,8
PA,F,1958,Celestine,8
PA,F,1958,Chandra,8
PA,F,1958,Charleen,8
PA,F,1958,Clarissa,8
PA,F,1958,Danielle,8
PA,F,1958,Darci,8
PA,F,1958,Davida,8
PA,F,1958,Dinah,8
PA,F,1958,Ellyn,8
PA,F,1958,Erika,8
PA,F,1958,Fern,8
PA,F,1958,Georgiann,8
PA,F,1958,Georgianna,8
PA,F,1958,Hilda,8
PA,F,1958,Karan,8
PA,F,1958,Kaye,8
PA,F,1958,Laure,8
PA,F,1958,Lola,8
PA,F,1958,Lorinda,8
PA,F,1958,Lugene,8
PA,F,1958,Maggie,8
PA,F,1958,Mara,8
PA,F,1958,Marietta,8
PA,F,1958,Marina,8
PA,F,1958,Mercedes,8
PA,F,1958,Merry,8
PA,F,1958,Millie,8
PA,F,1958,Mimi,8
PA,F,1958,Mitzi,8
PA,F,1958,Myrna,8
PA,F,1958,Nan,8
PA,F,1958,Nancie,8
PA,F,1958,Pamala,8
PA,F,1958,Renay,8
PA,F,1958,Rosanna,8
PA,F,1958,Serena,8
PA,F,1958,Sharen,8
PA,F,1958,Shawna,8
PA,F,1958,Sherie,8
PA,F,1958,Starr,8
PA,F,1958,Suzann,8
PA,F,1958,Thomasina,8
PA,F,1958,Tonia,8
PA,F,1958,Wendi,8
PA,F,1958,William,8
PA,F,1958,Abbe,7
PA,F,1958,Adelaide,7
PA,F,1958,Adeline,7
PA,F,1958,Adrianne,7
PA,F,1958,Aida,7
PA,F,1958,Anastasia,7
PA,F,1958,Annabelle,7
PA,F,1958,Barbra,7
PA,F,1958,Bernardine,7
PA,F,1958,Bethanne,7
PA,F,1958,Bettina,7
PA,F,1958,Bev,7
PA,F,1958,Brigitte,7
PA,F,1958,Carolynn,7
PA,F,1958,Cathrine,7
PA,F,1958,Celine,7
PA,F,1958,Charles,7
PA,F,1958,Cherrie,7
PA,F,1958,Christi,7
PA,F,1958,Cinda,7
PA,F,1958,Collette,7
PA,F,1958,Cornelia,7
PA,F,1958,Cyndy,7
PA,F,1958,Darcel,7
PA,F,1958,Dayna,7
PA,F,1958,Doretha,7
PA,F,1958,Dotty,7
PA,F,1958,Elvira,7
PA,F,1958,Francene,7
PA,F,1958,Jacquelin,7
PA,F,1958,Jaye,7
PA,F,1958,Jenifer,7
PA,F,1958,Jewel,7
PA,F,1958,Kandi,7
PA,F,1958,Kevin,7
PA,F,1958,Leila,7
PA,F,1958,Lila,7
PA,F,1958,Lillie,7
PA,F,1958,Lina,7
PA,F,1958,Linette,7
PA,F,1958,Lolita,7
PA,F,1958,Lore,7
PA,F,1958,Mable,7
PA,F,1958,Madonna,7
PA,F,1958,Mandy,7
PA,F,1958,Margot,7
PA,F,1958,Marylee,7
PA,F,1958,Maryrose,7
PA,F,1958,Mattie,7
PA,F,1958,May,7
PA,F,1958,Merle,7
PA,F,1958,Nedra,7
PA,F,1958,Nikki,7
PA,F,1958,Pennie,7
PA,F,1958,Phylis,7
PA,F,1958,Raylene,7
PA,F,1958,Reba,7
PA,F,1958,Rhea,7
PA,F,1958,Ronna,7
PA,F,1958,Rosann,7
PA,F,1958,Sandi,7
PA,F,1958,Sharron,7
PA,F,1958,Shelva,7
PA,F,1958,Suzanna,7
PA,F,1958,Sydney,7
PA,F,1958,Tambria,7
PA,F,1958,Taryn,7
PA,F,1958,Theodora,7
PA,F,1958,Timothy,7
PA,F,1958,Alana,6
PA,F,1958,Allyson,6
PA,F,1958,Amber,6
PA,F,1958,Angelina,6
PA,F,1958,Annamaria,6
PA,F,1958,Avis,6
PA,F,1958,Beulah,6
PA,F,1958,Carmelita,6
PA,F,1958,Cecile,6
PA,F,1958,Celia,6
PA,F,1958,Charisse,6
PA,F,1958,Cheryll,6
PA,F,1958,Christal,6
PA,F,1958,Cindie,6
PA,F,1958,Danna,6
PA,F,1958,Debbra,6
PA,F,1958,Debrah,6
PA,F,1958,Dedra,6
PA,F,1958,Dian,6
PA,F,1958,Dorinda,6
PA,F,1958,Dorine,6
PA,F,1958,Earline,6
PA,F,1958,Elva,6
PA,F,1958,Elyse,6
PA,F,1958,Erma,6
PA,F,1958,Frank,6
PA,F,1958,Gena,6
