StateCode,Sex,YearOfBirth,Name,Number
PA,F,1968,Shelia,15
PA,F,1968,Abigail,14
PA,F,1968,Adriane,14
PA,F,1968,Angelia,14
PA,F,1968,Carey,14
PA,F,1968,Clarissa,14
PA,F,1968,Dawna,14
PA,F,1968,Dayna,14
PA,F,1968,Gerri,14
PA,F,1968,Janeen,14
PA,F,1968,Janell,14
PA,F,1968,Lucille,14
PA,F,1968,Maryanne,14
PA,F,1968,Nichelle,14
PA,F,1968,Penelope,14
PA,F,1968,Polly,14
PA,F,1968,Roxann,14
PA,F,1968,Ruby,14
PA,F,1968,Sadie,14
PA,F,1968,Sharyn,14
PA,F,1968,Shelli,14
PA,F,1968,Tamatha,14
PA,F,1968,Thelma,14
PA,F,1968,Ana,13
PA,F,1968,Angelina,13
PA,F,1968,Antionette,13
PA,F,1968,Beatrice,13
PA,F,1968,Bethanne,13
PA,F,1968,Caryn,13
PA,F,1968,Cecilia,13
PA,F,1968,Cristina,13
PA,F,1968,Daneen,13
PA,F,1968,Danelle,13
PA,F,1968,Elisabeth,13
PA,F,1968,Janis,13
PA,F,1968,Juli,13
PA,F,1968,Juliann,13
PA,F,1968,Luz,13
PA,F,1968,Martina,13
PA,F,1968,Shanon,13
PA,F,1968,Tabitha,13
PA,F,1968,Tawnya,13
PA,F,1968,Therese,13
PA,F,1968,Vera,13
PA,F,1968,Adrianne,12
PA,F,1968,Alisha,12
PA,F,1968,Allyson,12
PA,F,1968,Ashley,12
PA,F,1968,Benita,12
PA,F,1968,Brigitte,12
PA,F,1968,Candi,12
PA,F,1968,Caren,12
PA,F,1968,Corrine,12
PA,F,1968,Dyan,12
PA,F,1968,Georgina,12
PA,F,1968,Jolene,12
PA,F,1968,Kathi,12
PA,F,1968,Kathie,12
PA,F,1968,Krystal,12
PA,F,1968,Lavonne,12
PA,F,1968,Liza,12
PA,F,1968,Loriann,12
PA,F,1968,Marta,12
PA,F,1968,Milissa,12
PA,F,1968,Nikki,12
PA,F,1968,Noel,12
PA,F,1968,Robert,12
PA,F,1968,Rosalie,12
PA,F,1968,Roslyn,12
PA,F,1968,Selina,12
PA,F,1968,Shauna,12
PA,F,1968,Simone,12
PA,F,1968,Tamela,12
PA,F,1968,Tania,12
PA,F,1968,Tasha,12
PA,F,1968,Tawanda,12
PA,F,1968,Trudi,12
PA,F,1968,Ursula,12
PA,F,1968,Verna,12
PA,F,1968,Adriene,11
PA,F,1968,Agnes,11
PA,F,1968,Althea,11
PA,F,1968,Chandra,11
PA,F,1968,Christal,11
PA,F,1968,Cora,11
PA,F,1968,Dale,11
PA,F,1968,Danita,11
PA,F,1968,Della,11
PA,F,1968,Dori,11
PA,F,1968,Dorothea,11
PA,F,1968,Elyse,11
PA,F,1968,Ericka,11
PA,F,1968,Ernestine,11
PA,F,1968,Ethel,11
PA,F,1968,Eugenia,11
PA,F,1968,Jana,11
PA,F,1968,Joey,11
PA,F,1968,Justina,11
PA,F,1968,Kenya,11
PA,F,1968,Lenore,11
PA,F,1968,Loreen,11
PA,F,1968,Lorna,11
PA,F,1968,Lou,11
PA,F,1968,Lucia,11
PA,F,1968,Malissa,11
PA,F,1968,Marianna,11
PA,F,1968,Marlena,11
PA,F,1968,Meghan,11
PA,F,1968,Michell,11
PA,F,1968,Nichole,11
PA,F,1968,Ruthann,11
PA,F,1968,Saundra,11
PA,F,1968,Sophia,11
PA,F,1968,Towanda,11
PA,F,1968,Wilma,11
PA,F,1968,Adrian,10
PA,F,1968,Angeline,10
PA,F,1968,Annamarie,10
PA,F,1968,Barbie,10
PA,F,1968,Bertha,10
PA,F,1968,Blanche,10
PA,F,1968,Catharine,10
PA,F,1968,Clara,10
PA,F,1968,Claudette,10
PA,F,1968,Daniele,10
PA,F,1968,Daria,10
PA,F,1968,Dee,10
PA,F,1968,Georgeann,10
PA,F,1968,Hillary,10
PA,F,1968,Holli,10
PA,F,1968,Iris,10
PA,F,1968,Jeri,10
PA,F,1968,Joseph,10
PA,F,1968,Kellyann,10
PA,F,1968,Larissa,10
PA,F,1968,Lashawn,10
PA,F,1968,Leanna,10
PA,F,1968,Lorena,10
PA,F,1968,Luanne,10
PA,F,1968,Margo,10
PA,F,1968,Mari,10
PA,F,1968,Marina,10
PA,F,1968,Meg,10
PA,F,1968,Melonie,10
PA,F,1968,Mercedes,10
PA,F,1968,Mollie,10
PA,F,1968,Nicolette,10
PA,F,1968,Pearl,10
PA,F,1968,Rosetta,10
PA,F,1968,Shellie,10
PA,F,1968,Stella,10
PA,F,1968,Trena,10
PA,F,1968,Tyra,10
PA,F,1968,Alana,9
PA,F,1968,Alberta,9
PA,F,1968,Aretha,9
PA,F,1968,Brigid,9
PA,F,1968,Dara,9
PA,F,1968,Davina,9
PA,F,1968,Dominique,9
