StateCode,Sex,YearOfBirth,Name,Number
PA,F,1977,Florence,7
PA,F,1977,Geraldine,7
PA,F,1977,Harmony,7
PA,F,1977,Helene,7
PA,F,1977,Jacquelin,7
PA,F,1977,Janie,7
PA,F,1977,Jayne,7
PA,F,1977,Jeneen,7
PA,F,1977,Joleen,7
PA,F,1977,Josette,7
PA,F,1977,Karie,7
PA,F,1977,Karima,7
PA,F,1977,Karri,7
PA,F,1977,Ladonna,7
PA,F,1977,Lashawn,7
PA,F,1977,Leanna,7
PA,F,1977,Leticia,7
PA,F,1977,Lia,7
PA,F,1977,Liane,7
PA,F,1977,Lizzie,7
PA,F,1977,Luciana,7
PA,F,1977,Lynnette,7
PA,F,1977,Maegan,7
PA,F,1977,Manda,7
PA,F,1977,Maribeth,7
PA,F,1977,Marlana,7
PA,F,1977,Marta,7
PA,F,1977,Martina,7
PA,F,1977,Mercedes,7
PA,F,1977,Merissa,7
PA,F,1977,Mindi,7
PA,F,1977,Moira,7
PA,F,1977,Monika,7
PA,F,1977,Natalee,7
PA,F,1977,Nikisha,7
PA,F,1977,Norma,7
PA,F,1977,Octavia,7
PA,F,1977,Quiana,7
PA,F,1977,Rasheda,7
PA,F,1977,Roslyn,7
PA,F,1977,Sakinah,7
PA,F,1977,Shayla,7
PA,F,1977,Sherita,7
PA,F,1977,Shonda,7
PA,F,1977,Simone,7
PA,F,1977,Takia,7
PA,F,1977,Takisha,7
PA,F,1977,Tamica,7
PA,F,1977,Tiffanie,7
PA,F,1977,Tosha,7
PA,F,1977,Towanda,7
PA,F,1977,Toya,7
PA,F,1977,Twanda,7
PA,F,1977,Tyesha,7
PA,F,1977,Verna,7
PA,F,1977,William,7
PA,F,1977,Zoe,7
PA,F,1977,Aaliyah,6
PA,F,1977,Aaron,6
PA,F,1977,Abbey,6
PA,F,1977,Aida,6
PA,F,1977,Aliya,6
PA,F,1977,Alma,6
PA,F,1977,Alysia,6
PA,F,1977,Angelia,6
PA,F,1977,Annalisa,6
PA,F,1977,Arianne,6
PA,F,1977,Ariel,6
PA,F,1977,Bambi,6
PA,F,1977,Beatrice,6
PA,F,1977,Bobbijo,6
PA,F,1977,Bonita,6
PA,F,1977,Brenna,6
PA,F,1977,Britt,6
PA,F,1977,Carie,6
PA,F,1977,Carina,6
PA,F,1977,Catharine,6
PA,F,1977,Charissa,6
PA,F,1977,Cherise,6
PA,F,1977,Crista,6
PA,F,1977,Cristal,6
PA,F,1977,Cristin,6
PA,F,1977,Cristine,6
PA,F,1977,Damaris,6
PA,F,1977,Danell,6
PA,F,1977,Dione,6
PA,F,1977,Dori,6
PA,F,1977,Dorothea,6
PA,F,1977,Dusty,6
PA,F,1977,Elaina,6
PA,F,1977,Fanta,6
PA,F,1977,Fatimah,6
PA,F,1977,Gia,6
PA,F,1977,Gladys,6
PA,F,1977,Halima,6
PA,F,1977,Hallie,6
PA,F,1977,Holley,6
PA,F,1977,Holli,6
PA,F,1977,Ilana,6
PA,F,1977,India,6
PA,F,1977,Jacelyn,6
PA,F,1977,Jameela,6
PA,F,1977,Jamilah,6
PA,F,1977,Janae,6
PA,F,1977,Janean,6
PA,F,1977,Janis,6
PA,F,1977,Jasmin,6
PA,F,1977,Jeanna,6
PA,F,1977,Jenine,6
PA,F,1977,Jewel,6
PA,F,1977,Johnna,6
PA,F,1977,Joslyn,6
PA,F,1977,Justina,6
PA,F,1977,Kai,6
PA,F,1977,Karina,6
PA,F,1977,Katina,6
PA,F,1977,Keshia,6
PA,F,1977,Kyla,6
PA,F,1977,Kyle,6
PA,F,1977,Kyra,6
PA,F,1977,Lakeya,6
PA,F,1977,Latrice,6
PA,F,1977,Lauri,6
PA,F,1977,Leighann,6
PA,F,1977,Lenora,6
PA,F,1977,Lesa,6
PA,F,1977,Lisette,6
PA,F,1977,Loren,6
PA,F,1977,Loriann,6
PA,F,1977,Lorrie,6
PA,F,1977,Luann,6
PA,F,1977,Lucille,6
PA,F,1977,Mariah,6
PA,F,1977,Marianna,6
PA,F,1977,Matthew,6
PA,F,1977,Mellissa,6
PA,F,1977,Michaelene,6
PA,F,1977,Naima,6
PA,F,1977,Nichol,6
PA,F,1977,Nicol,6
PA,F,1977,Niki,6
PA,F,1977,Nikole,6
PA,F,1977,Niya,6
PA,F,1977,Paulette,6
PA,F,1977,Raeann,6
PA,F,1977,Rashidah,6
PA,F,1977,Rene,6
PA,F,1977,Renea,6
PA,F,1977,Ruthann,6
PA,F,1977,Sage,6
PA,F,1977,Shalonda,6
PA,F,1977,Shamika,6
PA,F,1977,Sofia,6
PA,F,1977,Somer,6
PA,F,1977,Stephenie,6
PA,F,1977,Talitha,6
PA,F,1977,Tana,6
PA,F,1977,Tanesha,6
PA,F,1977,Tawana,6
PA,F,1977,Tory,6
PA,F,1977,Trinity,6
PA,F,1977,Twila,6
PA,F,1977,Tyra,6
PA,F,1977,Yasmin,6
PA,F,1977,Zakia,6
PA,F,1977,Zakiyyah,6
PA,F,1977,Aiesha,5
PA,F,1977,Aileen,5
PA,F,1977,Akilah,5
PA,F,1977,Alaina,5
PA,F,1977,Alesha,5
PA,F,1977,Alesia,5
PA,F,1977,Aleta,5
PA,F,1977,Alina,5
PA,F,1977,Alycia,5
PA,F,1977,Amiee,5
PA,F,1977,Ammie,5
PA,F,1977,Anissa,5
PA,F,1977,Annamarie,5
PA,F,1977,Becki,5
PA,F,1977,Billy,5
PA,F,1977,Brett,5
PA,F,1977,Candi,5
PA,F,1977,Candis,5
PA,F,1977,Caprice,5
PA,F,1977,Carri,5
PA,F,1977,Cary,5
PA,F,1977,Casandra,5
PA,F,1977,Chanelle,5
PA,F,1977,Chantal,5
PA,F,1977,Charisse,5
PA,F,1977,Cherry,5
PA,F,1977,Chrystie,5
PA,F,1977,Cinnamon,5
PA,F,1977,Clarice,5
PA,F,1977,Colby,5
PA,F,1977,Corinna,5
PA,F,1977,Corissa,5
PA,F,1977,Corrine,5
PA,F,1977,Cristi,5
PA,F,1977,Cristie,5
PA,F,1977,Danae,5
PA,F,1977,Dani,5
PA,F,1977,Danna,5
PA,F,1977,Della,5
PA,F,1977,Dixie,5
PA,F,1977,Dyan,5
PA,F,1977,Elana,5
PA,F,1977,Eleanor,5
PA,F,1977,Eleni,5
PA,F,1977,Eliza,5
PA,F,1977,Emilie,5
PA,F,1977,Erma,5
PA,F,1977,Eugenia,5
PA,F,1977,Francis,5
PA,F,1977,Geri,5
PA,F,1977,Gerri,5
PA,F,1977,Haneefah,5
PA,F,1977,Hazel,5
PA,F,1977,Ileana,5
PA,F,1977,Janee,5
PA,F,1977,Jeanie,5
PA,F,1977,Jennine,5
PA,F,1977,Joellen,5
PA,F,1977,Joi,5
PA,F,1977,Jolie,5
PA,F,1977,Jordan,5
PA,F,1977,Joshua,5
PA,F,1977,Juli,5
PA,F,1977,Juliane,5
PA,F,1977,Juliette,5
PA,F,1977,Kameelah,5
PA,F,1977,Karena,5
PA,F,1977,Keira,5
PA,F,1977,Kelle,5
PA,F,1977,Kellee,5
PA,F,1977,Kenneth,5
PA,F,1977,Keturah,5
PA,F,1977,Kiersten,5
PA,F,1977,Kirstin,5
PA,F,1977,Kizzie,5
PA,F,1977,Kristan,5
PA,F,1977,Laila,5
PA,F,1977,Lataya,5
PA,F,1977,Latesha,5
PA,F,1977,Latifah,5
PA,F,1977,Lyn,5
PA,F,1977,Mae,5
PA,F,1977,Margie,5
PA,F,1977,Maribel,5
PA,F,1977,Marina,5
PA,F,1977,Marni,5
PA,F,1977,Martine,5
PA,F,1977,Marykate,5
PA,F,1977,Mattie,5
PA,F,1977,Mellisa,5
PA,F,1977,Meridith,5
PA,F,1977,Mikia,5
PA,F,1977,Naeemah,5
PA,F,1977,Nakeisha,5
PA,F,1977,Nakesha,5
PA,F,1977,Nicola,5
PA,F,1977,Nicolle,5
PA,F,1977,Nydia,5
PA,F,1977,Patience,5
PA,F,1977,Phaedra,5
PA,F,1977,Polly,5
PA,F,1977,Rachele,5
PA,F,1977,Raushanah,5
PA,F,1977,Raymond,5
PA,F,1977,Renita,5
PA,F,1977,Reyna,5
PA,F,1977,Ricki,5
PA,F,1977,Rikki,5
PA,F,1977,Rosalie,5
PA,F,1977,Sallie,5
PA,F,1977,Scarlett,5
PA,F,1977,Serina,5
PA,F,1977,Serrita,5
PA,F,1977,Shakira,5
PA,F,1977,Sharee,5
PA,F,1977,Shaun,5
PA,F,1977,Shawnta,5
PA,F,1977,Shellie,5
PA,F,1977,Sherron,5
PA,F,1977,Shiloh,5
PA,F,1977,Starla,5
PA,F,1977,Stephaine,5
PA,F,1977,Stephani,5
PA,F,1977,Sunny,5
PA,F,1977,Sunshine,5
PA,F,1977,Taisha,5
PA,F,1977,Tamar,5
PA,F,1977,Tamela,5
PA,F,1977,Tamera,5
PA,F,1977,Tarrah,5
PA,F,1977,Tatum,5
PA,F,1977,Tawanna,5
PA,F,1977,Teah,5
PA,F,1977,Teisha,5
PA,F,1977,Tenille,5
PA,F,1977,Tennile,5
PA,F,1977,Thomas,5
PA,F,1977,Tomeka,5
PA,F,1977,Tomika,5
PA,F,1977,Trista,5
PA,F,1977,Tynisa,5
PA,F,1977,Valorie,5
PA,F,1977,Venus,5
PA,F,1978,Jennifer,3072
PA,F,1978,Melissa,1499
PA,F,1978,Amy,1377
PA,F,1978,Heather,1337
PA,F,1978,Jessica,1332
PA,F,1978,Nicole,1250
PA,F,1978,Kelly,1207
PA,F,1978,Michelle,992
PA,F,1978,Lisa,962
PA,F,1978,Christina,855
PA,F,1978,Amanda,800
PA,F,1978,Angela,796
PA,F,1978,Kimberly,779
PA,F,1978,Stephanie,759
PA,F,1978,Rebecca,755
PA,F,1978,Elizabeth,725
PA,F,1978,Erin,693
PA,F,1978,Danielle,665
PA,F,1978,Sarah,647
PA,F,1978,Jamie,640
PA,F,1978,Christine,623
PA,F,1978,Shannon,614
PA,F,1978,Megan,556
PA,F,1978,Laura,502
PA,F,1978,Rachel,497
PA,F,1978,Julie,485
PA,F,1978,Tara,478
PA,F,1978,Mary,468
PA,F,1978,Andrea,434
PA,F,1978,Crystal,401
PA,F,1978,Jill,387
PA,F,1978,Karen,386
PA,F,1978,Lori,380
PA,F,1978,Carrie,375
PA,F,1978,Kristy,375
PA,F,1978,Erica,366
PA,F,1978,Susan,352
PA,F,1978,Kristen,334
PA,F,1978,Michele,334
PA,F,1978,April,332
PA,F,1978,Sara,331
PA,F,1978,Tiffany,322
PA,F,1978,Dawn,321
PA,F,1978,Dana,315
PA,F,1978,Holly,308
PA,F,1978,Stacy,308
PA,F,1978,Beth,305
