StateCode,Sex,YearOfBirth,Name,Number
PA,F,1986,Tanesha,17
PA,F,1986,Yolanda,17
PA,F,1986,Ada,16
PA,F,1986,Aja,16
PA,F,1986,Alysha,16
PA,F,1986,Ashlie,16
PA,F,1986,Chelsie,16
PA,F,1986,Christi,16
PA,F,1986,Danelle,16
PA,F,1986,Dayna,16
PA,F,1986,Deena,16
PA,F,1986,Deidre,16
PA,F,1986,Elisha,16
PA,F,1986,Fallon,16
PA,F,1986,Fannie,16
PA,F,1986,Ivy,16
PA,F,1986,Jenelle,16
PA,F,1986,Kali,16
PA,F,1986,Karla,16
PA,F,1986,Kia,16
PA,F,1986,Leeann,16
PA,F,1986,Lillian,16
PA,F,1986,Shanae,16
PA,F,1986,Shari,16
PA,F,1986,Shawn,16
PA,F,1986,Annemarie,15
PA,F,1986,Arielle,15
PA,F,1986,Becky,15
PA,F,1986,Cody,15
PA,F,1986,Gabriella,15
PA,F,1986,Irene,15
PA,F,1986,Jamila,15
PA,F,1986,Jayme,15
PA,F,1986,Jeanine,15
PA,F,1986,Judy,15
PA,F,1986,Karissa,15
PA,F,1986,Lakeisha,15
PA,F,1986,Latonya,15
PA,F,1986,Loretta,15
PA,F,1986,Mandi,15
PA,F,1986,Paris,15
PA,F,1986,Phylicia,15
PA,F,1986,Roberta,15
PA,F,1986,Rosemary,15
PA,F,1986,Serena,15
PA,F,1986,Shakira,15
PA,F,1986,Shardae,15
PA,F,1986,Shelley,15
PA,F,1986,Sheree,15
PA,F,1986,Susanna,15
PA,F,1986,Terra,15
PA,F,1986,Tiffani,15
PA,F,1986,Aileen,14
PA,F,1986,Betsy,14
PA,F,1986,Brittani,14
PA,F,1986,Chantel,14
PA,F,1986,Christian,14
PA,F,1986,Connie,14
PA,F,1986,Dena,14
PA,F,1986,Fawn,14
PA,F,1986,Gail,14
PA,F,1986,Iris,14
PA,F,1986,Jeannette,14
PA,F,1986,Joan,14
PA,F,1986,Joann,14
PA,F,1986,Josephine,14
PA,F,1986,Kacie,14
PA,F,1986,Kiersten,14
PA,F,1986,Kyra,14
PA,F,1986,Luz,14
PA,F,1986,Marcia,14
PA,F,1986,Martina,14
PA,F,1986,Maya,14
PA,F,1986,Michaela,14
PA,F,1986,Nikole,14
PA,F,1986,Noel,14
PA,F,1986,Rosa,14
PA,F,1986,Ruby,14
PA,F,1986,Sharee,14
PA,F,1986,William,14
PA,F,1986,Alysia,13
PA,F,1986,Ashli,13
PA,F,1986,Billie,13
PA,F,1986,Brandon,13
PA,F,1986,Cathleen,13
PA,F,1986,Chloe,13
PA,F,1986,Chrystal,13
PA,F,1986,Clara,13
PA,F,1986,Claudia,13
PA,F,1986,Constance,13
PA,F,1986,Cori,13
PA,F,1986,Deirdre,13
PA,F,1986,Domonique,13
PA,F,1986,James,13
PA,F,1986,Janell,13
PA,F,1986,Jenifer,13
PA,F,1986,Jodie,13
PA,F,1986,Judith,13
PA,F,1986,Kaleigh,13
PA,F,1986,Krystina,13
PA,F,1986,Kyrie,13
PA,F,1986,Lily,13
