StateCode,Sex,YearOfBirth,Name,Number
PA,F,1994,Erika,151
PA,F,1994,Madeline,151
PA,F,1994,Autumn,142
PA,F,1994,Baby,136
PA,F,1994,Crystal,136
PA,F,1994,Caroline,133
PA,F,1994,Brittney,132
PA,F,1994,Sabrina,132
PA,F,1994,Kara,131
PA,F,1994,Lisa,131
PA,F,1994,Dana,130
PA,F,1994,Grace,129
PA,F,1994,Kathleen,129
PA,F,1994,Mackenzie,129
PA,F,1994,Melanie,129
PA,F,1994,Dominique,124
PA,F,1994,Tara,124
PA,F,1994,Colleen,119
PA,F,1994,Destiny,118
PA,F,1994,Desiree,116
PA,F,1994,Kristin,116
PA,F,1994,Jillian,115
PA,F,1994,Holly,114
PA,F,1994,Natasha,114
PA,F,1994,Kristina,112
PA,F,1994,Marisa,111
PA,F,1994,Brandi,110
PA,F,1994,Bridget,110
PA,F,1994,Kirsten,110
PA,F,1994,Vanessa,109
PA,F,1994,Michaela,108
PA,F,1994,Gabriella,105
PA,F,1994,Deanna,103
PA,F,1994,Gina,103
PA,F,1994,Katrina,102
PA,F,1994,Alison,101
PA,F,1994,Rebekah,101
PA,F,1994,Lydia,100
PA,F,1994,Cassidy,98
PA,F,1994,Caitlyn,97
PA,F,1994,Veronica,97
PA,F,1994,Kendra,95
PA,F,1994,Savannah,95
PA,F,1994,Tori,94
PA,F,1994,Monica,92
PA,F,1994,Krista,89
PA,F,1994,Hayley,88
PA,F,1994,April,84
PA,F,1994,Felicia,84
PA,F,1994,Patricia,83
PA,F,1994,Kylie,81
PA,F,1994,Jade,79
PA,F,1994,Devon,76
PA,F,1994,Kaylee,76
PA,F,1994,Jaclyn,75
PA,F,1994,Valerie,75
PA,F,1994,Chelsey,73
PA,F,1994,Anne,72
PA,F,1994,Cara,72
PA,F,1994,Jocelyn,72
PA,F,1994,Abby,70
PA,F,1994,Chloe,70
PA,F,1994,Justine,69
PA,F,1994,Angelica,68
PA,F,1994,Claire,68
PA,F,1994,Aubrey,67
PA,F,1994,Carolyn,67
PA,F,1994,Maura,67
PA,F,1994,Ciara,66
PA,F,1994,Cierra,66
PA,F,1994,Barbara,65
PA,F,1994,Allyson,63
PA,F,1994,Nichole,63
PA,F,1994,Angel,62
PA,F,1994,Diamond,62
PA,F,1994,Hope,62
PA,F,1994,Jacquelyn,62
PA,F,1994,Ariana,61
PA,F,1994,Kassandra,61
PA,F,1994,Khadijah,61
PA,F,1994,Audrey,60
PA,F,1994,Bianca,60
PA,F,1994,Faith,60
PA,F,1994,Kasey,60
PA,F,1994,Lacey,60
PA,F,1994,Mallory,60
PA,F,1994,Marie,60
PA,F,1994,Nina,60
PA,F,1994,Summer,60
PA,F,1994,Angelina,59
PA,F,1994,Bria,59
PA,F,1994,Katelynn,58
PA,F,1994,Maggie,58
PA,F,1994,Marina,58
PA,F,1994,Naomi,58
PA,F,1994,Whitney,58
PA,F,1994,Zoe,57
PA,F,1994,Cynthia,56
PA,F,1994,Theresa,56
PA,F,1994,Brandy,55
PA,F,1994,Ellen,55
PA,F,1994,Imani,55
PA,F,1994,Asia,54
PA,F,1994,Kiara,54
PA,F,1994,Kiersten,54
PA,F,1994,Mckenzie,54
PA,F,1994,Ashlee,53
PA,F,1994,Ashleigh,53
PA,F,1994,Carissa,53
PA,F,1994,Isabella,53
PA,F,1994,Mikayla,53
PA,F,1994,Brenna,52
PA,F,1994,Carrie,52
PA,F,1994,Diana,52
PA,F,1994,Janelle,52
PA,F,1994,Nancy,52
PA,F,1994,Alisha,51
PA,F,1994,Shawna,51
PA,F,1994,Jordyn,50
PA,F,1994,Krystal,50
PA,F,1994,Mercedes,50
PA,F,1994,Meredith,50
PA,F,1994,Mia,50
PA,F,1994,Renee,50
PA,F,1994,Ruth,50
PA,F,1994,Hailey,49
PA,F,1994,Linda,49
PA,F,1994,Sophia,49
PA,F,1994,Susan,49
PA,F,1994,Tessa,49
PA,F,1994,Tiara,49
PA,F,1994,Ariel,48
PA,F,1994,Katlyn,48
PA,F,1994,Kendall,48
PA,F,1994,Melinda,48
PA,F,1994,Alaina,47
PA,F,1994,Nicolette,47
PA,F,1994,Nikki,47
PA,F,1994,Tiana,47
PA,F,1994,Aaliyah,46
PA,F,1994,Alissa,46
PA,F,1994,Kelli,46
PA,F,1994,Regina,46
PA,F,1994,Brianne,45
PA,F,1994,Kate,45
PA,F,1994,Kelsie,45
PA,F,1994,Kiana,45
PA,F,1994,Monique,45
PA,F,1994,Sadie,45
PA,F,1994,Tyler,45
PA,F,1994,Amelia,44
PA,F,1994,Anastasia,44
PA,F,1994,Bailey,44
PA,F,1994,Heidi,44
PA,F,1994,Karissa,43
PA,F,1994,Martha,43
PA,F,1994,Siani,43
PA,F,1994,Stacey,43
PA,F,1994,Jazmine,42
PA,F,1994,Karen,42
PA,F,1994,Michele,42
PA,F,1994,Rose,42
PA,F,1994,Teresa,42
PA,F,1994,Toni,42
PA,F,1994,Gianna,41
PA,F,1994,Logan,41
PA,F,1994,Maya,41
PA,F,1994,Shayla,41
PA,F,1994,Tamara,41
PA,F,1994,Carley,40
PA,F,1994,Charlotte,40
PA,F,1994,Darian,40
PA,F,1994,Raven,40
PA,F,1994,Aliyah,39
PA,F,1994,Bryanna,39
PA,F,1994,Esther,39
PA,F,1994,Francesca,39
PA,F,1994,Harley,39
PA,F,1994,Jasmin,39
PA,F,1994,Larissa,39
PA,F,1994,Meagan,39
PA,F,1994,Tabitha,39
PA,F,1994,Adrienne,38
