StateCode,Sex,YearOfBirth,Name,Number
PA,F,2014,Gwendolyn,25
PA,F,2014,Jaelynn,25
PA,F,2014,Joanna,25
PA,F,2014,Kara,25
PA,F,2014,Addisyn,24
PA,F,2014,Adelina,24
PA,F,2014,Aleena,24
PA,F,2014,Anabelle,24
PA,F,2014,Annabel,24
PA,F,2014,Caitlyn,24
PA,F,2014,Carolyn,24
PA,F,2014,Charley,24
PA,F,2014,Dahlia,24
PA,F,2014,Giovanna,24
PA,F,2014,Gracelyn,24
PA,F,2014,Hayley,24
PA,F,2014,Heidi,24
PA,F,2014,Holly,24
PA,F,2014,Jamie,24
PA,F,2014,Jayda,24
PA,F,2014,Jolene,24
PA,F,2014,Kassidy,24
PA,F,2014,Lilyanna,24
PA,F,2014,Lorelei,24
PA,F,2014,Miracle,24
PA,F,2014,Priscilla,24
PA,F,2014,Siena,24
PA,F,2014,Susan,24
PA,F,2014,Alayah,23
PA,F,2014,Alicia,23
PA,F,2014,Blake,23
PA,F,2014,Bryn,23
PA,F,2014,Colette,23
PA,F,2014,Johanna,23
PA,F,2014,Katrina,23
PA,F,2014,Kiara,23
PA,F,2014,Vienna,23
PA,F,2014,Blair,22
PA,F,2014,Dorothy,22
PA,F,2014,Emersyn,22
PA,F,2014,Giana,22
PA,F,2014,Janelle,22
PA,F,2014,Janiyah,22
PA,F,2014,Jemma,22
PA,F,2014,Kelly,22
PA,F,2014,Leona,22
PA,F,2014,Lilian,22
PA,F,2014,Madisyn,22
PA,F,2014,Selah,22
PA,F,2014,Shea,22
PA,F,2014,Addilyn,21
PA,F,2014,Alani,21
PA,F,2014,Briana,21
PA,F,2014,Greta,21
PA,F,2014,Jacqueline,21
PA,F,2014,Journee,21
PA,F,2014,Kathleen,21
PA,F,2014,Kyra,21
PA,F,2014,Lainey,21
PA,F,2014,Laney,21
PA,F,2014,Laylah,21
PA,F,2014,Lillianna,21
PA,F,2014,Mckinley,21
PA,F,2014,Natasha,21
PA,F,2014,Viviana,21
PA,F,2014,Alison,20
PA,F,2014,Ally,20
PA,F,2014,Amara,20
PA,F,2014,Amya,20
PA,F,2014,Anaya,20
PA,F,2014,Anne,20
PA,F,2014,Camilla,20
PA,F,2014,Courtney,20
PA,F,2014,Danika,20
PA,F,2014,Erica,20
PA,F,2014,Gracelynn,20
PA,F,2014,Hanna,20
PA,F,2014,Joy,20
PA,F,2014,Justice,20
PA,F,2014,Mae,20
PA,F,2014,Matilda,20
PA,F,2014,Phoenix,20
PA,F,2014,Samiyah,20
PA,F,2014,Saniyah,20
PA,F,2014,Sasha,20
PA,F,2014,Sawyer,20
PA,F,2014,Tatum,20
PA,F,2014,Abby,19
PA,F,2014,Audrina,19
PA,F,2014,Carmen,19
PA,F,2014,Charli,19
PA,F,2014,Corinne,19
PA,F,2014,Daniella,19
PA,F,2014,Ember,19
PA,F,2014,Emmalyn,19
PA,F,2014,Evelynn,19
PA,F,2014,Farrah,19
PA,F,2014,Frances,19
PA,F,2014,Harlow,19
PA,F,2014,Honesty,19
PA,F,2014,Jazmine,19
PA,F,2014,Kailey,19
PA,F,2014,Kristina,19
PA,F,2014,Madilynn,19
PA,F,2014,Meredith,19
PA,F,2014,Mollie,19
PA,F,2014,Regan,19
PA,F,2014,Skyla,19
PA,F,2014,Tegan,19
PA,F,2014,Tenley,19
PA,F,2014,Tiana,19
PA,F,2014,Amani,18
PA,F,2014,Angelica,18
PA,F,2014,Anika,18
PA,F,2014,Antonia,18
PA,F,2014,April,18
PA,F,2014,Beatrice,18
PA,F,2014,Bristol,18
PA,F,2014,Cataleya,18
PA,F,2014,Ciara,18
PA,F,2014,Cordelia,18
PA,F,2014,Cynthia,18
PA,F,2014,Elianna,18
PA,F,2014,Elyse,18
PA,F,2014,Fannie,18
PA,F,2014,Juniper,18
PA,F,2014,Kaelyn,18
PA,F,2014,Kaia,18
PA,F,2014,Kailyn,18
PA,F,2014,Kennedi,18
PA,F,2014,Kori,18
PA,F,2014,Lea,18
PA,F,2014,Leighton,18
PA,F,2014,Liberty,18
PA,F,2014,Madyson,18
PA,F,2014,Maisie,18
PA,F,2014,Marian,18
PA,F,2014,Marlee,18
PA,F,2014,Miah,18
PA,F,2014,Mikaela,18
PA,F,2014,Milania,18
PA,F,2014,Monica,18
PA,F,2014,Myah,18
PA,F,2014,Paityn,18
PA,F,2014,Rosa,18
PA,F,2014,Rylan,18
PA,F,2014,Skylynn,18
PA,F,2014,Thea,18
PA,F,2014,Whitney,18
PA,F,2014,Amari,17
PA,F,2014,Aminah,17
PA,F,2014,Aryanna,17
PA,F,2014,Aspen,17
