StateCode,Sex,YearOfBirth,Name,Number
PA,M,1923,Chalmers,7
PA,M,1923,Charley,7
PA,M,1923,Christ,7
PA,M,1923,Claire,7
PA,M,1923,Clare,7
PA,M,1923,Cleveland,7
PA,M,1923,Cyrus,7
PA,M,1923,Dalton,7
PA,M,1923,Dewayne,7
PA,M,1923,Dino,7
PA,M,1923,Dorothy,7
PA,M,1923,Dudley,7
PA,M,1923,Edison,7
PA,M,1923,Elbert,7
PA,M,1923,Elden,7
PA,M,1923,Emile,7
PA,M,1923,Ephraim,7
PA,M,1923,Ford,7
PA,M,1923,Geno,7
PA,M,1923,Gomer,7
PA,M,1923,Graydon,7
PA,M,1923,Gregory,7
PA,M,1923,Gust,7
PA,M,1923,Harley,7
PA,M,1923,Hiram,7
PA,M,1923,Howell,7
PA,M,1923,Jeremiah,7
PA,M,1923,Jimmy,7
PA,M,1923,Leander,7
PA,M,1923,Loyal,7
PA,M,1923,Luigi,7
PA,M,1923,Lyman,7
PA,M,1923,Marco,7
PA,M,1923,Nello,7
PA,M,1923,Otis,7
PA,M,1923,Ramon,7
PA,M,1923,Randolph,7
PA,M,1923,Rodger,7
PA,M,1923,Santo,7
PA,M,1923,Stanford,7
PA,M,1923,Thurman,7
PA,M,1923,Weldon,7
PA,M,1923,Wellington,7
PA,M,1923,Wilber,7
PA,M,1923,Abner,6
PA,M,1923,Alphonso,6
PA,M,1923,Amerigo,6
PA,M,1923,Armond,6
PA,M,1923,Audley,6
PA,M,1923,Bennett,6
PA,M,1923,Berton,6
PA,M,1923,Bobby,6
PA,M,1923,Camillo,6
PA,M,1923,Carlos,6
PA,M,1923,Carmine,6
PA,M,1923,Chris,6
PA,M,1923,Clem,6
PA,M,1923,Cleo,6
PA,M,1923,Dave,6
PA,M,1923,Dewitt,6
PA,M,1923,Eldon,6
PA,M,1923,Elton,6
PA,M,1923,Emidio,6
PA,M,1923,Ernie,6
PA,M,1923,Gaylord,6
PA,M,1923,Gennaro,6
PA,M,1923,Gideon,6
PA,M,1923,Harland,6
