StateCode,Sex,YearOfBirth,Name,Number
RI,M,1953,Clifford,12
RI,M,1953,Dana,12
RI,M,1953,Earl,12
RI,M,1953,Edwin,12
RI,M,1953,Fred,12
RI,M,1953,Rene,12
RI,M,1953,Herbert,11
RI,M,1953,Jon,11
RI,M,1953,Neil,11
RI,M,1953,Andre,10
RI,M,1953,Bradford,10
RI,M,1953,Harry,10
RI,M,1953,Jack,10
RI,M,1953,Jerry,10
RI,M,1953,Lloyd,10
RI,M,1953,Angelo,9
RI,M,1953,Glen,9
RI,M,1953,Jerome,9
RI,M,1953,Joel,9
RI,M,1953,Kim,9
RI,M,1953,Randy,9
RI,M,1953,Antonio,8
RI,M,1953,Arnold,8
RI,M,1953,Chester,8
RI,M,1953,Curtis,8
RI,M,1953,Manuel,8
RI,M,1953,Micheal,8
RI,M,1953,Rodney,8
RI,M,1953,Steve,8
RI,M,1953,Theodore,8
RI,M,1953,Alexander,7
RI,M,1953,Benjamin,7
RI,M,1953,Bradley,7
RI,M,1953,Dale,7
RI,M,1953,Edmond,7
RI,M,1953,Guy,7
RI,M,1953,Jeffery,7
RI,M,1953,Lewis,7
RI,M,1953,Samuel,7
RI,M,1953,Wallace,7
RI,M,1953,Antone,6
RI,M,1953,Domenic,6
RI,M,1953,Duane,6
RI,M,1953,Gilbert,6
RI,M,1953,Harvey,6
RI,M,1953,Jean,6
RI,M,1953,Lee,6
RI,M,1953,Lester,6
RI,M,1953,Milton,6
RI,M,1953,Pasquale,6
RI,M,1953,Ricky,6
RI,M,1953,Stephan,6
RI,M,1953,Stuart,6
RI,M,1953,Terrence,6
RI,M,1953,Todd,6
RI,M,1953,Adrian,5
RI,M,1953,August,5
RI,M,1953,Calvin,5
RI,M,1953,Dwight,5
RI,M,1953,Edmund,5
RI,M,1953,Everett,5
RI,M,1953,Garry,5
RI,M,1953,Geoffrey,5
RI,M,1953,Laurence,5
RI,M,1953,Leslie,5
RI,M,1953,Lionel,5
RI,M,1953,Marshall,5
RI,M,1953,Melvin,5
RI,M,1953,Randall,5
RI,M,1953,Salvatore,5
RI,M,1953,Terry,5
RI,M,1954,Robert,638
RI,M,1954,Michael,534
RI,M,1954,David,519
RI,M,1954,John,500
RI,M,1954,William,369
RI,M,1954,Richard,367
RI,M,1954,James,362
RI,M,1954,Joseph,318
RI,M,1954,Paul,277
RI,M,1954,Thomas,247
RI,M,1954,Stephen,238
RI,M,1954,Steven,229
RI,M,1954,Kenneth,164
RI,M,1954,Edward,159
RI,M,1954,Raymond,156
RI,M,1954,Donald,155
RI,M,1954,Mark,152
RI,M,1954,Gary,151
RI,M,1954,Peter,149
RI,M,1954,Dennis,142
RI,M,1954,Ronald,131
RI,M,1954,Charles,130
RI,M,1954,Kevin,123
RI,M,1954,Daniel,119
RI,M,1954,Jeffrey,111
RI,M,1954,George,109
RI,M,1954,Anthony,100
RI,M,1954,Bruce,91
RI,M,1954,Brian,73
RI,M,1954,Wayne,71
RI,M,1954,Roger,67
RI,M,1954,Frank,66
RI,M,1954,Alan,64
RI,M,1954,Russell,58
RI,M,1954,Arthur,54
RI,M,1954,Douglas,53
RI,M,1954,Albert,49
RI,M,1954,Timothy,49
RI,M,1954,Louis,48
RI,M,1954,Keith,44
RI,M,1954,Norman,44
RI,M,1954,Lawrence,42
RI,M,1954,Ralph,42
RI,M,1954,Patrick,41
RI,M,1954,Walter,41
RI,M,1954,Alfred,39
RI,M,1954,Frederick,39
RI,M,1954,Gregory,39
RI,M,1954,Philip,39
RI,M,1954,Carl,37
RI,M,1954,Francis,37
RI,M,1954,Ernest,36
RI,M,1954,Gerald,36
RI,M,1954,Glenn,36
RI,M,1954,Barry,35
RI,M,1954,Marc,32
RI,M,1954,Christopher,31
RI,M,1954,Nicholas,30
RI,M,1954,Scott,30
RI,M,1954,Roland,29
RI,M,1954,Larry,28
RI,M,1954,Henry,27
RI,M,1954,Eugene,26
RI,M,1954,Andrew,25
RI,M,1954,Vincent,25
RI,M,1954,Craig,23
RI,M,1954,Harry,21
RI,M,1954,Leo,21
RI,M,1954,Martin,21
RI,M,1954,Harold,19
RI,M,1954,Jon,19
RI,M,1954,Leonard,19
RI,M,1954,Allan,18
RI,M,1954,Jonathan,18
RI,M,1954,Normand,18
RI,M,1954,Roy,18
RI,M,1954,Bernard,17
RI,M,1954,Denis,17
RI,M,1954,Matthew,17
RI,M,1954,Stanley,17
RI,M,1954,Allen,16
RI,M,1954,Rodney,16
RI,M,1954,Jay,15
RI,M,1954,Jack,14
RI,M,1954,Theodore,14
RI,M,1954,Bradford,13
RI,M,1954,Dana,13
RI,M,1954,Earl,13
RI,M,1954,Gerard,13
RI,M,1954,Gordon,13
RI,M,1954,Randy,13
RI,M,1954,Rene,13
RI,M,1954,Terrence,13
RI,M,1954,Angelo,12
RI,M,1954,Eric,12
RI,M,1954,Howard,12
RI,M,1954,Warren,12
RI,M,1954,Manuel,11
RI,M,1954,Antonio,10
RI,M,1954,Guy,10
RI,M,1954,Bradley,9
RI,M,1954,Dean,9
RI,M,1954,Fred,9
RI,M,1954,Glen,9
RI,M,1954,Jean,9
RI,M,1954,Jeffery,9
RI,M,1954,Lee,9
RI,M,1954,Terence,9
RI,M,1954,Garry,8
RI,M,1954,Jerome,8
RI,M,1954,Joel,8
RI,M,1954,Karl,8
RI,M,1954,Maurice,8
RI,M,1954,Samuel,8
RI,M,1954,Terry,8
RI,M,1954,Victor,8
RI,M,1954,Andre,7
RI,M,1954,Dale,7
RI,M,1954,Domenic,7
RI,M,1954,Dwight,7
RI,M,1954,Marcel,7
RI,M,1954,Neil,7
RI,M,1954,Phillip,7
RI,M,1954,Randall,7
RI,M,1954,Salvatore,7
RI,M,1954,Stuart,7
