StateCode,Sex,YearOfBirth,Name,Number
RI,M,2009,Gianni,9
RI,M,2009,Harrison,9
RI,M,2009,Jameson,9
RI,M,2009,Jared,9
RI,M,2009,Jonah,9
RI,M,2009,Miguel,9
RI,M,2009,Peter,9
RI,M,2009,Rocco,9
RI,M,2009,Ty,9
RI,M,2009,Vincent,9
RI,M,2009,Wesley,9
RI,M,2009,Andre,8
RI,M,2009,Angelo,8
RI,M,2009,Ashton,8
RI,M,2009,Camden,8
RI,M,2009,Cayden,8
RI,M,2009,Eric,8
RI,M,2009,Jacoby,8
RI,M,2009,Juan,8
RI,M,2009,Kayden,8
RI,M,2009,Leo,8
RI,M,2009,Mark,8
RI,M,2009,Myles,8
RI,M,2009,Parker,8
RI,M,2009,Paul,8
RI,M,2009,Victor,8
RI,M,2009,Chace,7
RI,M,2009,Damian,7
RI,M,2009,Elias,7
RI,M,2009,Hayden,7
RI,M,2009,Jace,7
RI,M,2009,Jaxson,7
RI,M,2009,Josue,7
RI,M,2009,Julius,7
RI,M,2009,Kenneth,7
RI,M,2009,Maddox,7
RI,M,2009,Maximus,7
RI,M,2009,Sergio,7
RI,M,2009,Tristan,7
RI,M,2009,Aaden,6
RI,M,2009,Alejandro,6
RI,M,2009,Amari,6
RI,M,2009,Anderson,6
RI,M,2009,Andy,6
RI,M,2009,Braden,6
RI,M,2009,Corey,6
RI,M,2009,Dennis,6
RI,M,2009,Derrick,6
RI,M,2009,George,6
RI,M,2009,Grant,6
RI,M,2009,Griffin,6
RI,M,2009,Ivan,6
RI,M,2009,Jaylen,6
RI,M,2009,Lawrence,6
RI,M,2009,Leonardo,6
RI,M,2009,Levi,6
RI,M,2009,Lukas,6
RI,M,2009,Quinn,6
RI,M,2009,Ryder,6
RI,M,2009,Seth,6
RI,M,2009,Silas,6
RI,M,2009,Stephen,6
RI,M,2009,Theodore,6
RI,M,2009,Zackary,6
RI,M,2009,Andres,5
RI,M,2009,Arthur,5
RI,M,2009,Avery,5
RI,M,2009,Brendon,5
RI,M,2009,Casey,5
RI,M,2009,Devon,5
RI,M,2009,Elliot,5
RI,M,2009,Ezekiel,5
RI,M,2009,Finnegan,5
RI,M,2009,Garrett,5
RI,M,2009,Jayvon,5
RI,M,2009,Jesse,5
RI,M,2009,Jorge,5
RI,M,2009,Kai,5
RI,M,2009,Manuel,5
RI,M,2009,Melvin,5
RI,M,2009,Mitchell,5
RI,M,2009,Rowan,5
RI,M,2009,Santiago,5
RI,M,2009,Santino,5
RI,M,2009,Shawn,5
RI,M,2009,Tucker,5
RI,M,2009,Xzavier,5
RI,M,2010,Logan,84
RI,M,2010,Michael,80
RI,M,2010,Alexander,74
RI,M,2010,Jayden,73
RI,M,2010,Jacob,72
RI,M,2010,Benjamin,61
RI,M,2010,Mason,60
RI,M,2010,Daniel,57
RI,M,2010,Joseph,57
RI,M,2010,Aiden,56
RI,M,2010,Ethan,56
RI,M,2010,Cameron,54
RI,M,2010,Christopher,54
RI,M,2010,Jack,54
RI,M,2010,Ryan,54
RI,M,2010,Tyler,54
RI,M,2010,Noah,52
RI,M,2010,James,48
RI,M,2010,Matthew,48
RI,M,2010,Andrew,47
RI,M,2010,Anthony,47
RI,M,2010,William,46
RI,M,2010,Justin,45
RI,M,2010,Dylan,44
RI,M,2010,John,44
RI,M,2010,Joshua,44
RI,M,2010,Christian,41
RI,M,2010,Liam,41
RI,M,2010,Nathan,41
RI,M,2010,Nicholas,39
RI,M,2010,Connor,38
RI,M,2010,Gabriel,37
RI,M,2010,Jordan,37
RI,M,2010,Samuel,37
RI,M,2010,David,36
RI,M,2010,Jonathan,35
RI,M,2010,Owen,35
RI,M,2010,Luke,34
RI,M,2010,Lucas,33
RI,M,2010,Robert,32
RI,M,2010,Brayden,31
RI,M,2010,Elijah,31
RI,M,2010,Gavin,31
RI,M,2010,Jackson,30
RI,M,2010,Henry,27
RI,M,2010,Jason,27
RI,M,2010,Julian,27
RI,M,2010,Caleb,26
RI,M,2010,Colin,26
RI,M,2010,Evan,26
RI,M,2010,Jeremiah,26
RI,M,2010,Angel,25
RI,M,2010,Brody,25
RI,M,2010,Xavier,25
RI,M,2010,Kyle,24
RI,M,2010,Zachary,24
RI,M,2010,Aaron,23
RI,M,2010,Landon,23
RI,M,2010,Thomas,23
RI,M,2010,Austin,22
RI,M,2010,Brandon,22
RI,M,2010,Chase,22
RI,M,2010,Adrian,21
RI,M,2010,Hunter,21
RI,M,2010,Nathaniel,21
RI,M,2010,Carlos,20
RI,M,2010,Cole,20
RI,M,2010,Isaac,20
RI,M,2010,Kevin,20
RI,M,2010,Aidan,19
RI,M,2010,Isaiah,19
RI,M,2010,Jeremy,19
RI,M,2010,Charles,18
RI,M,2010,Brady,17
RI,M,2010,Jake,17
RI,M,2010,Jose,17
RI,M,2010,Maxwell,17
RI,M,2010,Oliver,17
RI,M,2010,Riley,17
RI,M,2010,Sean,17
