StateCode,Sex,YearOfBirth,Name,Number
SC,F,1951,Rachel,51
SC,F,1951,Annette,50
SC,F,1951,Priscilla,50
SC,F,1951,Ida,49
SC,F,1951,Belinda,48
SC,F,1951,Irene,48
SC,F,1951,Unknown,48
SC,F,1951,Rhonda,47
SC,F,1951,Victoria,46
SC,F,1951,Jacquelyn,45
SC,F,1951,Roberta,45
SC,F,1951,Claudia,44
SC,F,1951,Esther,44
SC,F,1951,Myra,44
SC,F,1951,Maggie,43
SC,F,1951,Miriam,43
SC,F,1951,Vera,43
SC,F,1951,Susie,42
SC,F,1951,Charlotte,41
SC,F,1951,Faye,41
SC,F,1951,Lucille,41
SC,F,1951,Viola,41
SC,F,1951,Alma,40
SC,F,1951,Harriet,40
SC,F,1951,Iris,40
SC,F,1951,Jackie,40
SC,F,1951,Sallie,40
SC,F,1951,Lynn,39
SC,F,1951,Constance,38
SC,F,1951,Debbie,38
SC,F,1951,Dora,38
SC,F,1951,Marcia,38
SC,F,1951,Queen,38
SC,F,1951,Angela,37
SC,F,1951,Kay,37
SC,F,1951,Frankie,35
SC,F,1951,Paulette,35
SC,F,1951,Sue,34
SC,F,1951,Beatrice,33
SC,F,1951,Grace,33
SC,F,1951,Lynda,33
SC,F,1951,Earnestine,32
SC,F,1951,Marian,32
SC,F,1951,Pauline,32
SC,F,1951,Fannie,31
SC,F,1951,Jennifer,31
SC,F,1951,Wilma,31
SC,F,1951,Charlene,30
SC,F,1951,Julie,30
SC,F,1951,Lizzie,30
SC,F,1951,Mable,30
SC,F,1951,Maxine,30
SC,F,1951,Sheryl,30
SC,F,1951,Henrietta,29
SC,F,1951,Joanne,29
SC,F,1951,Katie,29
SC,F,1951,Sadie,29
SC,F,1951,Stella,29
SC,F,1951,Albertha,28
SC,F,1951,Diana,28
SC,F,1951,Eleanor,28
SC,F,1951,Marjorie,28
SC,F,1951,Eunice,27
SC,F,1951,Inez,27
SC,F,1951,Cora,26
SC,F,1951,Essie,26
SC,F,1951,Jan,26
SC,F,1951,Janis,26
SC,F,1951,June,26
SC,F,1951,Rosemary,26
SC,F,1951,Rosetta,26
SC,F,1951,Terry,26
SC,F,1951,Veronica,26
SC,F,1951,Anita,25
SC,F,1951,Darlene,25
SC,F,1951,Harriett,25
SC,F,1951,Jennie,25
SC,F,1951,Melinda,25
SC,F,1951,Della,24
SC,F,1951,Amanda,23
SC,F,1951,Billie,23
SC,F,1951,Florence,23
SC,F,1951,Jenny,23
SC,F,1951,Myrtle,23
SC,F,1951,Agnes,22
SC,F,1951,Dale,22
SC,F,1951,Janette,22
SC,F,1951,Nellie,22
SC,F,1951,Nora,22
SC,F,1951,Shelby,22
SC,F,1951,Caroline,21
SC,F,1951,Gertrude,21
SC,F,1951,Laverne,21
SC,F,1951,Lorraine,21
SC,F,1951,Marion,21
SC,F,1951,Olivia,21
SC,F,1951,Pearlie,21
SC,F,1951,Vicky,21
SC,F,1951,Alberta,20
SC,F,1951,Eartha,20
SC,F,1951,Hilda,20
SC,F,1951,Joe,20
SC,F,1951,Lottie,20
SC,F,1951,Valerie,20
SC,F,1951,Velma,20
SC,F,1951,Amy,19
SC,F,1951,Ginger,19
SC,F,1951,Lucy,19
SC,F,1951,Naomi,19
SC,F,1951,Pearl,19
SC,F,1951,Suzanne,19
SC,F,1951,Sybil,19
SC,F,1951,Addie,18
SC,F,1951,Bettye,18
SC,F,1951,Carole,18
SC,F,1951,Gracie,18
SC,F,1951,Lena,18
SC,F,1951,Lou,18
SC,F,1951,Lucinda,18
SC,F,1951,Millie,18
SC,F,1951,Regina,18
SC,F,1951,Ruthie,18
SC,F,1951,Shelia,18
SC,F,1951,Ada,17
SC,F,1951,Andrea,17
SC,F,1951,Beulah,17
SC,F,1951,Eloise,17
SC,F,1951,Flora,17
SC,F,1951,Joy,17
SC,F,1951,Vernell,17
SC,F,1951,Bettie,16
SC,F,1951,Nina,16
SC,F,1951,Peggie,16
SC,F,1951,Blanche,15
SC,F,1951,Doretha,15
SC,F,1951,Gayle,15
SC,F,1951,Jeannie,15
SC,F,1951,Leila,15
SC,F,1951,Lelia,15
SC,F,1951,Leola,15
SC,F,1951,Marlene,15
SC,F,1951,Odessa,15
SC,F,1951,Robbie,15
SC,F,1951,Betsy,14
SC,F,1951,Candace,14
SC,F,1951,Carla,14
