StateCode,Sex,YearOfBirth,Name,Number
SC,F,1968,Fannie,5
SC,F,1968,Gale,5
SC,F,1968,Gayle,5
SC,F,1968,Gretchen,5
SC,F,1968,Jacqulyn,5
SC,F,1968,Janis,5
SC,F,1968,Jeanie,5
SC,F,1968,Jeannine,5
SC,F,1968,Jenifer,5
SC,F,1968,Jocelyn,5
SC,F,1968,John,5
SC,F,1968,Karin,5
SC,F,1968,Katharine,5
SC,F,1968,Kaye,5
SC,F,1968,Kendra,5
SC,F,1968,Krystal,5
SC,F,1968,Ladonna,5
SC,F,1968,Lawanda,5
SC,F,1968,Leanne,5
SC,F,1968,Leila,5
SC,F,1968,Lesia,5
SC,F,1968,Libby,5
SC,F,1968,Lou,5
SC,F,1968,Lucille,5
SC,F,1968,Marcella,5
SC,F,1968,Marla,5
SC,F,1968,Maureen,5
SC,F,1968,Mechelle,5
SC,F,1968,Molly,5
SC,F,1968,Nadine,5
SC,F,1968,Natasha,5
SC,F,1968,Odessa,5
SC,F,1968,Pamala,5
SC,F,1968,Princess,5
SC,F,1968,Rebekah,5
SC,F,1968,Renita,5
SC,F,1968,Rosalyn,5
SC,F,1968,Rosemary,5
SC,F,1968,Scarlett,5
SC,F,1968,Sheron,5
SC,F,1968,Shonda,5
SC,F,1968,Stefanie,5
SC,F,1968,Tawana,5
SC,F,1968,Thomasina,5
SC,F,1968,Valorie,5
SC,F,1968,Vikki,5
SC,F,1968,Winifred,5
SC,F,1968,Zenobia,5
SC,F,1969,Lisa,550
SC,F,1969,Angela,539
SC,F,1969,Kimberly,444
SC,F,1969,Tammy,434
SC,F,1969,Melissa,405
SC,F,1969,Mary,365
SC,F,1969,Pamela,345
SC,F,1969,Sharon,303
SC,F,1969,Michelle,283
SC,F,1969,Karen,280
SC,F,1969,Tracy,263
SC,F,1969,Teresa,254
SC,F,1969,Elizabeth,251
SC,F,1969,Cynthia,241
SC,F,1969,Jennifer,236
SC,F,1969,Patricia,229
SC,F,1969,Sandra,227
SC,F,1969,Susan,215
SC,F,1969,Laura,211
SC,F,1969,Amy,210
SC,F,1969,Donna,207
SC,F,1969,Stephanie,204
SC,F,1969,Shannon,191
SC,F,1969,Tonya,184
SC,F,1969,Barbara,176
SC,F,1969,Tina,171
SC,F,1969,Kelly,144
SC,F,1969,Linda,144
SC,F,1969,Rhonda,143
SC,F,1969,Wendy,142
SC,F,1969,Julie,139
SC,F,1969,Wanda,139
SC,F,1969,Deborah,131
SC,F,1969,Sherry,130
SC,F,1969,Jacqueline,128
SC,F,1969,Robin,128
SC,F,1969,Brenda,124
SC,F,1969,Rebecca,119
SC,F,1969,Lori,115
SC,F,1969,Carolyn,114
SC,F,1969,Andrea,111
SC,F,1969,Debra,105
SC,F,1969,Leslie,104
SC,F,1969,Dana,101
SC,F,1969,Paula,99
SC,F,1969,Sonya,98
SC,F,1969,Carol,96
SC,F,1969,Christine,95
SC,F,1969,Sheila,94
SC,F,1969,Cheryl,88
SC,F,1969,Janet,87
SC,F,1969,Margaret,87
SC,F,1969,Nancy,87
SC,F,1969,Tracey,86
SC,F,1969,Dawn,85
SC,F,1969,Theresa,85
SC,F,1969,Heather,82
SC,F,1969,Regina,81
SC,F,1969,Catherine,78
SC,F,1969,Kathy,78
SC,F,1969,Crystal,77
SC,F,1969,Beverly,72
SC,F,1969,Melinda,72
