StateCode,Sex,YearOfBirth,Name,Number
SC,F,1986,Cheryl,18
SC,F,1986,Haley,18
SC,F,1986,Alexandra,17
SC,F,1986,Angelica,17
SC,F,1986,Ashlee,17
SC,F,1986,Chiquita,17
SC,F,1986,Constance,17
SC,F,1986,Dawn,17
SC,F,1986,Demetria,17
SC,F,1986,Joanna,17
SC,F,1986,Marquita,17
SC,F,1986,Shameka,17
SC,F,1986,Tamika,17
SC,F,1986,Alyssa,16
SC,F,1986,Ann,16
SC,F,1986,Caitlin,16
SC,F,1986,Desiree,16
SC,F,1986,Donna,16
SC,F,1986,Frances,16
SC,F,1986,Latonya,16
SC,F,1986,Linda,16
SC,F,1986,Melinda,16
SC,F,1986,Molly,16
SC,F,1986,Nikita,16
SC,F,1986,Nikki,16
SC,F,1986,Patrice,16
SC,F,1986,Robyn,16
SC,F,1986,Sherry,16
SC,F,1986,Clarissa,15
SC,F,1986,Deidre,15
SC,F,1986,Ellen,15
SC,F,1986,Gina,15
SC,F,1986,Kristie,15
SC,F,1986,Melody,15
SC,F,1986,Nina,15
SC,F,1986,Rachael,15
SC,F,1986,Shanika,15
SC,F,1986,Shante,15
SC,F,1986,Tabatha,15
SC,F,1986,Amelia,14
SC,F,1986,Charlene,14
SC,F,1986,Christie,14
SC,F,1986,Jenny,14
SC,F,1986,Lashonda,14
SC,F,1986,Sophia,14
SC,F,1986,Tanisha,14
SC,F,1986,Taylor,14
SC,F,1986,Tiara,14
SC,F,1986,Tierra,14
SC,F,1986,Tracey,14
SC,F,1986,Anastasia,13
SC,F,1986,Carmen,13
SC,F,1986,Christin,13
SC,F,1986,Diana,13
SC,F,1986,Hayley,13
SC,F,1986,Kelley,13
SC,F,1986,Michele,13
SC,F,1986,Monique,13
SC,F,1986,Sasha,13
SC,F,1986,Shayla,13
SC,F,1986,Terri,13
SC,F,1986,Adrian,12
SC,F,1986,Alisa,12
SC,F,1986,Brenda,12
SC,F,1986,Christa,12
SC,F,1986,Christian,12
SC,F,1986,Ciera,12
SC,F,1986,Domonique,12
SC,F,1986,Hillary,12
SC,F,1986,Jana,12
SC,F,1986,Janet,12
SC,F,1986,Joy,12
SC,F,1986,Kasey,12
SC,F,1986,Keri,12
SC,F,1986,Krystle,12
SC,F,1986,Lacy,12
SC,F,1986,Madison,12
SC,F,1986,Mandy,12
SC,F,1986,Marie,12
SC,F,1986,Marissa,12
SC,F,1986,Sheila,12
SC,F,1986,Shelley,12
SC,F,1986,Traci,12
SC,F,1986,Aimee,11
SC,F,1986,Annie,11
SC,F,1986,Antoinette,11
SC,F,1986,Beverly,11
SC,F,1986,Bridgett,11
SC,F,1986,Brittani,11
SC,F,1986,Carol,11
SC,F,1986,Claire,11
SC,F,1986,Grace,11
SC,F,1986,Ivy,11
SC,F,1986,Jackie,11
SC,F,1986,James,11
SC,F,1986,Jill,11
SC,F,1986,Kendall,11
SC,F,1986,Lakeshia,11
SC,F,1986,Latoria,11
SC,F,1986,Laurie,11
SC,F,1986,Lydia,11
SC,F,1986,Paris,11
SC,F,1986,Princess,11
SC,F,1986,Priscilla,11
SC,F,1986,Shawn,11
SC,F,1986,Sherri,11
SC,F,1986,Suzanne,11
SC,F,1986,Theresa,11
SC,F,1986,Wendy,11
SC,F,1986,Bobbie,10
SC,F,1986,Bridgette,10
SC,F,1986,Christen,10
SC,F,1986,Ciara,10
SC,F,1986,Deidra,10
SC,F,1986,Devin,10
SC,F,1986,Gwendolyn,10
SC,F,1986,Helen,10
SC,F,1986,Hilary,10
SC,F,1986,Jaime,10
SC,F,1986,Jillian,10
SC,F,1986,Kari,10
SC,F,1986,Katelyn,10
SC,F,1986,Kayce,10
SC,F,1986,Kerri,10
SC,F,1986,Kristian,10
SC,F,1986,Latrice,10
SC,F,1986,Ryan,10
SC,F,1986,Shaina,10
SC,F,1986,Shaquana,10
SC,F,1986,Shelby,10
SC,F,1986,Sylvia,10
SC,F,1986,Aisha,9
SC,F,1986,Alice,9
SC,F,1986,Ashly,9
SC,F,1986,Autumn,9
SC,F,1986,Cara,9
SC,F,1986,Cindy,9
SC,F,1986,Gabrielle,9
SC,F,1986,Gloria,9
SC,F,1986,Jaimie,9
SC,F,1986,Jami,9
SC,F,1986,Janice,9
SC,F,1986,Kelsey,9
SC,F,1986,Latisha,9
SC,F,1986,Lillian,9
SC,F,1986,Mindy,9
SC,F,1986,Olivia,9
SC,F,1986,Paula,9
SC,F,1986,Selena,9
SC,F,1986,Shamika,9
SC,F,1986,Shanta,9
SC,F,1986,Sharonda,9
SC,F,1986,Sonya,9
SC,F,1986,Stacie,9
SC,F,1986,Aleshia,8
SC,F,1986,Alexandria,8
SC,F,1986,Allyson,8
SC,F,1986,Angelique,8
SC,F,1986,Anita,8
SC,F,1986,Asia,8
SC,F,1986,Bailey,8
SC,F,1986,Betty,8
SC,F,1986,Blair,8
SC,F,1986,Cortney,8
SC,F,1986,Cristina,8
SC,F,1986,Devon,8
SC,F,1986,Dorothy,8
SC,F,1986,Hailey,8
SC,F,1986,Jaclyn,8
SC,F,1986,Janie,8
SC,F,1986,Joyce,8
SC,F,1986,Judith,8
SC,F,1986,Kaitlin,8
SC,F,1986,Kala,8
SC,F,1986,Kate,8
SC,F,1986,Katharine,8
SC,F,1986,Kathy,8
SC,F,1986,Kenyetta,8
SC,F,1986,Kerry,8
SC,F,1986,Lakisha,8
SC,F,1986,Laquanda,8
SC,F,1986,Lashanda,8
SC,F,1986,Loren,8
SC,F,1986,Maggie,8
SC,F,1986,Mercedes,8
SC,F,1986,Octavia,8
SC,F,1986,Randi,8
SC,F,1986,Sable,8
SC,F,1986,Shaneka,8
SC,F,1986,Shaniqua,8
SC,F,1986,Shatara,8
SC,F,1986,Stefanie,8
SC,F,1986,Tanya,8
SC,F,1986,Abby,7
SC,F,1986,Alecia,7
SC,F,1986,Asha,7
SC,F,1986,Ashli,7
SC,F,1986,Brandie,7
SC,F,1986,Briana,7
SC,F,1986,Cameron,7
SC,F,1986,Cecilia,7
SC,F,1986,Charmaine,7
SC,F,1986,Cheri,7
SC,F,1986,Cherrelle,7
SC,F,1986,Christi,7
SC,F,1986,Claudia,7
SC,F,1986,Daisy,7
SC,F,1986,Debra,7
SC,F,1986,Deirdre,7
SC,F,1986,Dianna,7
SC,F,1986,Elise,7
SC,F,1986,Evelyn,7
SC,F,1986,Felisha,7
SC,F,1986,Francesca,7
SC,F,1986,Hollie,7
SC,F,1986,Jade,7
SC,F,1986,Jane,7
SC,F,1986,Jennie,7
SC,F,1986,Jodi,7
SC,F,1986,Keshia,7
SC,F,1986,Kirby,7
SC,F,1986,Kristine,7
SC,F,1986,Lakesha,7
SC,F,1986,Latavia,7
SC,F,1986,Latesha,7
SC,F,1986,Latosha,7
SC,F,1986,Laurel,7
SC,F,1986,Madeline,7
SC,F,1986,Maegan,7
SC,F,1986,Mollie,7
SC,F,1986,Nakia,7
SC,F,1986,Nakita,7
SC,F,1986,Peggy,7
SC,F,1986,Porsche,7
SC,F,1986,Porsha,7
SC,F,1986,Precious,7
SC,F,1986,Robert,7
SC,F,1986,Rochelle,7
SC,F,1986,Ruth,7
SC,F,1986,Sada,7
SC,F,1986,Sally,7
SC,F,1986,Shalonda,7
SC,F,1986,Shari,7
SC,F,1986,Shawna,7
SC,F,1986,Shirley,7
SC,F,1986,Tangela,7
SC,F,1986,Tenisha,7
SC,F,1986,Tia,7
