StateCode,Sex,YearOfBirth,Name,Number
SC,F,2002,Aaliyah,87
SC,F,2002,Mackenzie,87
SC,F,2002,Rebecca,81
SC,F,2002,Natalie,77
SC,F,2002,Faith,72
SC,F,2002,Breanna,71
SC,F,2002,Trinity,70
SC,F,2002,Sara,69
SC,F,2002,Courtney,67
SC,F,2002,Sierra,67
SC,F,2002,Julia,65
SC,F,2002,Autumn,61
SC,F,2002,Allison,60
SC,F,2002,Jennifer,60
SC,F,2002,Bailey,59
SC,F,2002,Maria,59
SC,F,2002,Gabrielle,58
SC,F,2002,Sophia,58
SC,F,2002,Mckenzie,56
SC,F,2002,Kaylee,55
SC,F,2002,Zoe,55
SC,F,2002,Catherine,54
SC,F,2002,Kathryn,52
SC,F,2002,Madeline,52
SC,F,2002,Amanda,51
SC,F,2002,Kimberly,51
SC,F,2002,Alexandra,50
SC,F,2002,Diamond,50
SC,F,2002,Skylar,50
SC,F,2002,Cassidy,49
SC,F,2002,Kylie,49
SC,F,2002,Kelsey,48
SC,F,2002,Shelby,48
SC,F,2002,Angel,47
SC,F,2002,Briana,47
SC,F,2002,Caitlin,47
SC,F,2002,Erin,47
SC,F,2002,Kennedy,47
SC,F,2002,Madelyn,47
SC,F,2002,Riley,47
SC,F,2002,Brooke,46
SC,F,2002,Summer,46
SC,F,2002,Katie,45
SC,F,2002,Ashlyn,44
SC,F,2002,Christina,44
SC,F,2002,Lindsey,44
SC,F,2002,Laura,43
SC,F,2002,Mikayla,43
SC,F,2002,Stephanie,43
SC,F,2002,Jenna,42
SC,F,2002,Ella,41
SC,F,2002,Brittany,40
SC,F,2002,Jayla,40
SC,F,2002,Leah,40
SC,F,2002,Lillian,40
SC,F,2002,Reagan,40
SC,F,2002,Danielle,39
SC,F,2002,Nicole,39
SC,F,2002,Alexandria,38
SC,F,2002,Claire,38
SC,F,2002,Gracie,38
SC,F,2002,Rebekah,38
SC,F,2002,Abby,37
SC,F,2002,Erica,37
SC,F,2002,Lydia,37
SC,F,2002,Hanna,36
SC,F,2002,India,36
SC,F,2002,Mia,36
SC,F,2002,Caitlyn,35
SC,F,2002,Heather,35
SC,F,2002,Ansley,34
SC,F,2002,Payton,34
SC,F,2002,Bethany,33
SC,F,2002,Cameron,33
SC,F,2002,Chelsea,33
SC,F,2002,Cheyenne,33
SC,F,2002,Raven,33
SC,F,2002,Ava,32
SC,F,2002,Andrea,31
SC,F,2002,Imani,31
SC,F,2002,Logan,31
SC,F,2002,Margaret,31
SC,F,2002,Kristen,30
SC,F,2002,Mya,30
SC,F,2002,Peyton,30
SC,F,2002,Alicia,29
SC,F,2002,Amelia,29
SC,F,2002,Aubrey,29
SC,F,2002,Kendall,29
SC,F,2002,Maggie,29
SC,F,2002,Tiffany,29
SC,F,2002,Harley,28
SC,F,2002,Kelly,28
SC,F,2002,Kiara,28
SC,F,2002,Lily,28
SC,F,2002,Sophie,28
SC,F,2002,Savanna,27
SC,F,2002,Alexia,26
SC,F,2002,Camryn,26
SC,F,2002,Hayley,26
SC,F,2002,Hope,26
SC,F,2002,Paige,26
SC,F,2002,Asia,25
SC,F,2002,Audrey,25
SC,F,2002,Gabriella,25
SC,F,2002,Marissa,25
SC,F,2002,Meredith,25
SC,F,2002,Michelle,25
SC,F,2002,Miranda,25
SC,F,2002,Shaniya,25
SC,F,2002,Zaria,25
SC,F,2002,Arianna,24
SC,F,2002,Ashton,24
SC,F,2002,Charlotte,24
SC,F,2002,Isabelle,24
SC,F,2002,Kara,24
SC,F,2002,Mariah,24
SC,F,2002,Nevaeh,24
SC,F,2002,Essence,23
SC,F,2002,Maya,23
SC,F,2002,Michaela,23
SC,F,2002,Molly,23
SC,F,2002,Alexa,22
SC,F,2002,Aliyah,22
SC,F,2002,Brooklyn,22
SC,F,2002,Haylee,22
SC,F,2002,Jordyn,22
SC,F,2002,Makenzie,22
SC,F,2002,Amari,21
SC,F,2002,Amy,21
SC,F,2002,Ariel,21
SC,F,2002,Jocelyn,21
SC,F,2002,Kylee,21
SC,F,2002,Leslie,21
SC,F,2002,Macy,21
SC,F,2002,Mallory,21
SC,F,2002,Tamia,21
SC,F,2002,Addison,20
SC,F,2002,Ana,20
SC,F,2002,Angelina,20
SC,F,2002,Ariana,20
SC,F,2002,Ashleigh,20
SC,F,2002,Carmen,20
SC,F,2002,Carson,20
SC,F,2002,Cierra,20
SC,F,2002,Jade,20
SC,F,2002,Jaden,20
SC,F,2002,Karen,20
SC,F,2002,Katelynn,20
SC,F,2002,Lauryn,20
SC,F,2002,Shakira,20
SC,F,2002,Adrianna,19
SC,F,2002,Jacqueline,19
SC,F,2002,Kristin,19
SC,F,2002,Kyla,19
SC,F,2002,Lindsay,19
SC,F,2002,Shannon,19
SC,F,2002,Aniya,18
SC,F,2002,Ashlynn,18
SC,F,2002,Dakota,18
SC,F,2002,Desiree,18
SC,F,2002,Haleigh,18
SC,F,2002,Helen,18
SC,F,2002,Jayda,18
SC,F,2002,Kamryn,18
SC,F,2002,Mckenna,18
SC,F,2002,Meghan,18
SC,F,2002,Selena,18
SC,F,2002,Skyler,18
SC,F,2002,Tabitha,18
SC,F,2002,Tyasia,18
SC,F,2002,Yasmine,18
SC,F,2002,Angela,17
SC,F,2002,Avery,17
SC,F,2002,Diana,17
SC,F,2002,Ellie,17
SC,F,2002,Georgia,17
SC,F,2002,Grayson,17
SC,F,2002,Isabel,17
SC,F,2002,Janiya,17
SC,F,2002,Jayden,17
SC,F,2002,Josie,17
SC,F,2002,Kassidy,17
SC,F,2002,Katlyn,17
SC,F,2002,Miracle,17
SC,F,2002,Patricia,17
SC,F,2002,Alexus,16
SC,F,2002,Brenda,16
SC,F,2002,Camille,16
SC,F,2002,Casey,16
SC,F,2002,Daisy,16
SC,F,2002,Daniela,16
SC,F,2002,Delaney,16
SC,F,2002,Erika,16
SC,F,2002,Hallie,16
SC,F,2002,Heaven,16
SC,F,2002,Holly,16
SC,F,2002,Jakayla,16
SC,F,2002,Justice,16
SC,F,2002,Kaitlin,16
SC,F,2002,Kate,16
SC,F,2002,Kaylin,16
SC,F,2002,Kirsten,16
SC,F,2002,Kyra,16
SC,F,2002,Lucy,16
SC,F,2002,Monica,16
SC,F,2002,Nia,16
SC,F,2002,Nyasia,16
SC,F,2002,Nyla,16
SC,F,2002,Precious,16
SC,F,2002,Whitney,16
SC,F,2002,Adriana,15
SC,F,2002,Amaya,15
SC,F,2002,Anne,15
SC,F,2002,April,15
SC,F,2002,Brittney,15
SC,F,2002,Charity,15
SC,F,2002,Elisabeth,15
SC,F,2002,Evelyn,15
SC,F,2002,Jazmine,15
SC,F,2002,Kailey,15
SC,F,2002,Kaleigh,15
SC,F,2002,Layla,15
SC,F,2002,Melissa,15
SC,F,2002,Nadia,15
SC,F,2002,Rylee,15
SC,F,2002,Serenity,15
SC,F,2002,Shania,15
SC,F,2002,Veronica,15
SC,F,2002,Virginia,15
SC,F,2002,Zoey,15
SC,F,2002,Abbigail,14
SC,F,2002,Allie,14
SC,F,2002,Carly,14
SC,F,2002,Eliza,14
SC,F,2002,Emilee,14
SC,F,2002,Jamie,14
SC,F,2002,Jasmin,14
SC,F,2002,Kayleigh,14
SC,F,2002,Kendra,14
SC,F,2002,Sabrina,14
SC,F,2002,Shayla,14
SC,F,2002,Alaina,13
SC,F,2002,Alana,13
SC,F,2002,Aniyah,13
SC,F,2002,Annie,13
SC,F,2002,Chandler,13
SC,F,2002,Deanna,13
SC,F,2002,Jillian,13
SC,F,2002,Julianna,13
SC,F,2002,Kristina,13
SC,F,2002,Kyleigh,13
SC,F,2002,Maddison,13
SC,F,2002,Meagan,13
SC,F,2002,Taniya,13
SC,F,2002,Tiara,13
SC,F,2002,Amya,12
SC,F,2002,Angelica,12
SC,F,2002,Baylee,12
SC,F,2002,Bella,12
SC,F,2002,Britney,12
SC,F,2002,Callie,12
SC,F,2002,Carolina,12
SC,F,2002,Carolyn,12
SC,F,2002,Deasia,12
SC,F,2002,Ebony,12
SC,F,2002,Eva,12
SC,F,2002,Genesis,12
SC,F,2002,Kathleen,12
SC,F,2002,Laila,12
SC,F,2002,Mckayla,12
SC,F,2002,Melanie,12
SC,F,2002,Naomi,12
SC,F,2002,Pamela,12
SC,F,2002,Regan,12
SC,F,2002,Allyson,11
SC,F,2002,Annabelle,11
SC,F,2002,Ayanna,11
SC,F,2002,Christian,11
SC,F,2002,Claudia,11
SC,F,2002,Cynthia,11
SC,F,2002,Eden,11
SC,F,2002,Eleanor,11
SC,F,2002,Elena,11
SC,F,2002,Hunter,11
SC,F,2002,Juliana,11
SC,F,2002,Julie,11
SC,F,2002,Karina,11
SC,F,2002,Kasey,11
SC,F,2002,Kenya,11
SC,F,2002,Kierra,11
SC,F,2002,Lilly,11
SC,F,2002,Lizbeth,11
SC,F,2002,Nancy,11
SC,F,2002,Paris,11
SC,F,2002,Sequoia,11
SC,F,2002,Tamara,11
SC,F,2002,Abbie,10
SC,F,2002,Alaysia,10
SC,F,2002,Alice,10
SC,F,2002,Alisha,10
SC,F,2002,Bryanna,10
SC,F,2002,Candice,10
SC,F,2002,Carley,10
SC,F,2002,Chasity,10
SC,F,2002,Clara,10
SC,F,2002,Crystal,10
SC,F,2002,Dasia,10
SC,F,2002,Elise,10
SC,F,2002,Jamya,10
SC,F,2002,Jessie,10
SC,F,2002,Joanna,10
SC,F,2002,Kaylyn,10
SC,F,2002,Kinsley,10
SC,F,2002,Mahogany,10
SC,F,2002,Melody,10
SC,F,2002,Nina,10
SC,F,2002,Noelle,10
SC,F,2002,Nya,10
SC,F,2002,Rosa,10
SC,F,2002,Ryleigh,10
SC,F,2002,Serena,10
SC,F,2002,Shanya,10
SC,F,2002,Sidney,10
SC,F,2002,Teresa,10
SC,F,2002,Tiana,10
SC,F,2002,Tionna,10
SC,F,2002,Tori,10
SC,F,2002,Vanessa,10
SC,F,2002,Addie,9
SC,F,2002,Amani,9
SC,F,2002,Anya,9
SC,F,2002,Ayana,9
SC,F,2002,Carlee,9
SC,F,2002,Cassandra,9
SC,F,2002,Cassie,9
SC,F,2002,Cheyanne,9
SC,F,2002,Ciara,9
SC,F,2002,Destini,9
SC,F,2002,Elaina,9
SC,F,2002,Esmeralda,9
SC,F,2002,Gracen,9
SC,F,2002,Hayden,9
SC,F,2002,Imari,9
SC,F,2002,Ivy,9
SC,F,2002,Iyana,9
SC,F,2002,Jadyn,9
SC,F,2002,Kaitlynn,9
SC,F,2002,Kiana,9
SC,F,2002,Kira,9
