StateCode,Sex,YearOfBirth,Name,Number
SC,F,2013,Spencer,5
SC,F,2013,Symone,5
SC,F,2013,Symphony,5
SC,F,2013,Tahiry,5
SC,F,2013,Tamara,5
SC,F,2013,Tania,5
SC,F,2013,Taylen,5
SC,F,2013,Tegan,5
SC,F,2013,Teresa,5
SC,F,2013,Toni,5
SC,F,2013,Valeria,5
SC,F,2013,Whitney,5
SC,F,2013,Yaretzi,5
SC,F,2013,Zara,5
SC,F,2014,Emma,295
SC,F,2014,Ava,289
SC,F,2014,Olivia,226
SC,F,2014,Madison,210
SC,F,2014,Isabella,191
SC,F,2014,Elizabeth,175
SC,F,2014,Abigail,160
SC,F,2014,Sophia,156
SC,F,2014,Zoey,147
SC,F,2014,Harper,144
SC,F,2014,Emily,138
SC,F,2014,Chloe,133
SC,F,2014,Lillian,132
SC,F,2014,Ella,127
SC,F,2014,Caroline,124
SC,F,2014,Charlotte,119
SC,F,2014,Skylar,118
SC,F,2014,Aubrey,117
SC,F,2014,Amelia,114
SC,F,2014,Addison,111
SC,F,2014,Sadie,108
SC,F,2014,Serenity,108
SC,F,2014,Avery,104
SC,F,2014,Hannah,104
SC,F,2014,Peyton,104
SC,F,2014,Brooklyn,103
SC,F,2014,Nevaeh,102
SC,F,2014,Savannah,102
SC,F,2014,Layla,99
SC,F,2014,Taylor,97
SC,F,2014,Anna,95
SC,F,2014,Mary,92
SC,F,2014,Kennedy,91
SC,F,2014,Khloe,91
SC,F,2014,Mia,90
SC,F,2014,Riley,87
SC,F,2014,Paisley,86
SC,F,2014,London,82
SC,F,2014,Evelyn,81
SC,F,2014,Natalie,80
SC,F,2014,Autumn,79
SC,F,2014,Grace,79
SC,F,2014,Londyn,79
SC,F,2014,Morgan,79
SC,F,2014,Kaylee,76
SC,F,2014,Kylie,76
SC,F,2014,Aria,74
SC,F,2014,Kinsley,72
SC,F,2014,Mckenzie,72
SC,F,2014,Trinity,72
SC,F,2014,Aaliyah,71
SC,F,2014,Annabelle,71
SC,F,2014,Lily,69
SC,F,2014,Scarlett,68
SC,F,2014,Aubree,67
SC,F,2014,Katherine,65
SC,F,2014,Victoria,65
SC,F,2014,Gabriella,64
SC,F,2014,Alexis,63
SC,F,2014,Arianna,63
