StateCode,Sex,YearOfBirth,Name,Number
SD,F,1938,Dolores,12
SD,F,1938,Edith,12
SD,F,1938,Ella,12
SD,F,1938,Florence,12
SD,F,1938,Leona,12
SD,F,1938,Marian,12
SD,F,1938,Patty,12
SD,F,1938,Glenda,11
SD,F,1938,Jeanne,11
SD,F,1938,Laura,11
SD,F,1938,Louise,11
SD,F,1938,Verna,11
SD,F,1938,Wanda,11
SD,F,1938,Dixie,10
SD,F,1938,Lola,10
SD,F,1938,Marcella,10
SD,F,1938,Marcia,10
SD,F,1938,Margie,10
SD,F,1938,Ruby,10
SD,F,1938,Viola,10
SD,F,1938,Anna,9
SD,F,1938,Annette,9
SD,F,1938,Cleo,9
SD,F,1938,Eunice,9
SD,F,1938,Genevieve,9
SD,F,1938,Ione,9
SD,F,1938,Jeannette,9
SD,F,1938,Jo,9
SD,F,1938,Pauline,9
SD,F,1938,Pearl,9
SD,F,1938,Rosemary,9
SD,F,1938,Sonja,9
SD,F,1938,Susan,9
SD,F,1938,Theresa,9
SD,F,1938,Velma,9
SD,F,1938,Avis,8
SD,F,1938,Bette,8
SD,F,1938,Colleen,8
SD,F,1938,Constance,8
SD,F,1938,Darla,8
SD,F,1938,Deanne,8
SD,F,1938,Dianne,8
SD,F,1938,Elsie,8
SD,F,1938,Gail,8
SD,F,1938,Harriet,8
SD,F,1938,Joy,8
SD,F,1938,Kaye,8
SD,F,1938,Marion,8
SD,F,1938,Verla,8
SD,F,1938,Violet,8
SD,F,1938,Vivian,8
SD,F,1938,Adeline,7
SD,F,1938,Ardella,7
SD,F,1938,Arlys,7
SD,F,1938,Beatrice,7
SD,F,1938,Charlene,7
SD,F,1938,Clarice,7
SD,F,1938,Corrine,7
SD,F,1938,Dawn,7
SD,F,1938,Edna,7
SD,F,1938,Ethel,7
SD,F,1938,Faye,7
SD,F,1938,Lila,7
SD,F,1938,Lillian,7
SD,F,1938,Lorna,7
SD,F,1938,Martha,7
SD,F,1938,Bernadine,6
SD,F,1938,Bertha,6
SD,F,1938,Caroline,6
SD,F,1938,Cecelia,6
SD,F,1938,Clara,6
SD,F,1938,Della,6
SD,F,1938,Diana,6
SD,F,1938,Emma,6
SD,F,1938,Gertrude,6
SD,F,1938,Jackie,6
SD,F,1938,Marla,6
SD,F,1938,Myra,6
SD,F,1938,Myrtle,6
SD,F,1938,Naomi,6
SD,F,1938,Pat,6
SD,F,1938,Priscilla,6
SD,F,1938,Renee,6
SD,F,1938,Rosella,6
SD,F,1938,Sarah,6
SD,F,1938,Thelma,6
SD,F,1938,Twila,6
SD,F,1938,Alta,5
SD,F,1938,Alvina,5
SD,F,1938,Angeline,5
SD,F,1938,Ardis,5
SD,F,1938,Belva,5
SD,F,1938,Dona,5
SD,F,1938,Ida,5
SD,F,1938,Julia,5
SD,F,1938,Julie,5
SD,F,1938,Ladonna,5
SD,F,1938,Luella,5
SD,F,1938,Miriam,5
SD,F,1938,Muriel,5
SD,F,1938,Nadine,5
SD,F,1938,Rebecca,5
SD,F,1938,Regina,5
SD,F,1938,Reta,5
SD,F,1938,Sharron,5
SD,F,1938,Sheila,5
SD,F,1938,Teresa,5
SD,F,1939,Mary,215
SD,F,1939,Sharon,154
SD,F,1939,Shirley,140
SD,F,1939,Carol,138
SD,F,1939,Barbara,124
SD,F,1939,Janice,123
SD,F,1939,Donna,110
SD,F,1939,Betty,108
SD,F,1939,Karen,108
SD,F,1939,Marilyn,94
SD,F,1939,Patricia,94
SD,F,1939,Darlene,77
SD,F,1939,Beverly,76
SD,F,1939,Phyllis,71
SD,F,1939,Joyce,69
SD,F,1939,Janet,65
SD,F,1939,Dorothy,63
SD,F,1939,Judy,60
SD,F,1939,Marlene,58
SD,F,1939,Joan,55
SD,F,1939,Judith,55
SD,F,1939,Margaret,55
SD,F,1939,Lois,53
SD,F,1939,Norma,49
SD,F,1939,Sandra,48
SD,F,1939,Bonnie,45
SD,F,1939,Delores,45
SD,F,1939,Nancy,45
SD,F,1939,Ruth,44
SD,F,1939,Virginia,42
SD,F,1939,Kay,41
SD,F,1939,Connie,40
SD,F,1939,Elaine,39
SD,F,1939,Joann,39
SD,F,1939,Alice,37
