StateCode,Sex,YearOfBirth,Name,Number
SD,F,1981,Kara,14
SD,F,1981,Molly,14
SD,F,1981,Pamela,14
SD,F,1981,Susan,14
SD,F,1981,Tina,14
SD,F,1981,Tonya,14
SD,F,1981,Autumn,13
SD,F,1981,Brenda,13
SD,F,1981,Catherine,13
SD,F,1981,Jenny,13
SD,F,1981,Robin,13
SD,F,1981,Sandra,13
SD,F,1981,Teresa,13
SD,F,1981,Becky,12
SD,F,1981,Jenna,12
SD,F,1981,Lori,12
SD,F,1981,Meghan,12
SD,F,1981,Miranda,12
SD,F,1981,Callie,11
SD,F,1981,Carmen,11
SD,F,1981,Janelle,11
SD,F,1981,Julia,11
SD,F,1981,Kathleen,11
SD,F,1981,Kendra,11
SD,F,1981,Kristi,11
SD,F,1981,Kristina,11
SD,F,1981,Renee,11
SD,F,1981,Valerie,11
SD,F,1981,Alisha,10
SD,F,1981,Carly,10
SD,F,1981,Courtney,10
SD,F,1981,Denise,10
SD,F,1981,Jacqueline,10
SD,F,1981,Margaret,10
SD,F,1981,Mindy,10
SD,F,1981,Vanessa,10
SD,F,1981,Janet,9
SD,F,1981,Jolene,9
SD,F,1981,Kelsey,9
SD,F,1981,Melinda,9
SD,F,1981,Monica,9
SD,F,1981,Patricia,9
SD,F,1981,Randi,9
SD,F,1981,Shelly,9
SD,F,1981,Tasha,9
SD,F,1981,Teri,9
SD,F,1981,Bethany,8
SD,F,1981,Bridget,8
SD,F,1981,Cara,8
SD,F,1981,Casey,8
SD,F,1981,Christy,8
SD,F,1981,Desiree,8
SD,F,1981,Erika,8
SD,F,1981,Jackie,8
SD,F,1981,Jody,8
SD,F,1981,Kellie,8
SD,F,1981,Kerri,8
SD,F,1981,Kristine,8
SD,F,1981,Natalie,8
SD,F,1981,Natasha,8
SD,F,1981,Rachael,8
SD,F,1981,Sonja,8
SD,F,1981,Sonya,8
SD,F,1981,Summer,8
SD,F,1981,Suzanne,8
SD,F,1981,Tamara,8
SD,F,1981,Abbie,7
SD,F,1981,Alison,7
SD,F,1981,Betsy,7
SD,F,1981,Candice,7
SD,F,1981,Cheryl,7
SD,F,1981,Jaclyn,7
SD,F,1981,Jami,7
SD,F,1981,Joni,7
SD,F,1981,Joy,7
SD,F,1981,Lacy,7
SD,F,1981,Linda,7
SD,F,1981,Nancy,7
SD,F,1981,Paige,7
SD,F,1981,Paula,7
SD,F,1981,Shanna,7
SD,F,1981,Shawna,7
SD,F,1981,Sheri,7
SD,F,1981,Sherry,7
SD,F,1981,Terri,7
SD,F,1981,Tessa,7
SD,F,1981,Tricia,7
SD,F,1981,Trisha,7
SD,F,1981,Alexis,6
SD,F,1981,Alyssa,6
SD,F,1981,Angie,6
SD,F,1981,Annie,6
SD,F,1981,Bobbie,6
SD,F,1981,Carla,6
SD,F,1981,Carol,6
SD,F,1981,Dana,6
SD,F,1981,Haley,6
SD,F,1981,Kathy,6
SD,F,1981,Katrina,6
SD,F,1981,Krista,6
SD,F,1981,Kristy,6
SD,F,1981,Mandi,6
SD,F,1981,Meredith,6
SD,F,1981,Misti,6
SD,F,1981,Renae,6
SD,F,1981,Rhonda,6
SD,F,1981,Rita,6
SD,F,1981,Tia,6
SD,F,1981,Toni,6
SD,F,1981,Victoria,6
SD,F,1981,Abbey,5
SD,F,1981,Abigail,5
SD,F,1981,Alissa,5
SD,F,1981,Billie,5
SD,F,1981,Briana,5
SD,F,1981,Brianne,5
SD,F,1981,Brittney,5
SD,F,1981,Candace,5
SD,F,1981,Carissa,5
SD,F,1981,Cassie,5
SD,F,1981,Cynthia,5
SD,F,1981,Darcy,5
SD,F,1981,Gina,5
SD,F,1981,Ginger,5
SD,F,1981,Hope,5
SD,F,1981,Jaime,5
SD,F,1981,Jana,5
SD,F,1981,Janice,5
SD,F,1981,Jayme,5
SD,F,1981,Jeanine,5
SD,F,1981,Jillian,5
SD,F,1981,Joanna,5
SD,F,1981,Karla,5
SD,F,1981,Keri,5
SD,F,1981,Laurie,5
SD,F,1981,Lea,5
SD,F,1981,Loni,5
SD,F,1981,Maria,5
SD,F,1981,Martha,5
SD,F,1981,Meagan,5
SD,F,1981,Michele,5
SD,F,1981,Naomi,5
SD,F,1981,Penny,5
SD,F,1981,Robyn,5
SD,F,1981,Ruth,5
SD,F,1981,Shanda,5
SD,F,1981,Sheila,5
SD,F,1981,Staci,5
SD,F,1981,Stacie,5
SD,F,1981,Tabitha,5
SD,F,1981,Tonia,5
SD,F,1982,Jennifer,213
SD,F,1982,Jessica,196
SD,F,1982,Sarah,161
SD,F,1982,Amanda,146
SD,F,1982,Melissa,98
SD,F,1982,Angela,97
SD,F,1982,Nicole,97
SD,F,1982,Amber,95
SD,F,1982,Amy,83
SD,F,1982,Rebecca,82
SD,F,1982,Elizabeth,73
SD,F,1982,Erin,72
SD,F,1982,Emily,68
SD,F,1982,Heather,67
SD,F,1982,Michelle,67
SD,F,1982,Sara,61
SD,F,1982,Lisa,59
SD,F,1982,Jamie,57
SD,F,1982,Stephanie,56
SD,F,1982,Laura,53
SD,F,1982,Andrea,50
SD,F,1982,Kristin,49
SD,F,1982,Rachel,49
SD,F,1982,Katie,48
SD,F,1982,Ashley,47
SD,F,1982,Crystal,44
SD,F,1982,Lindsey,43
SD,F,1982,Kimberly,42
SD,F,1982,April,40
SD,F,1982,Jill,40
SD,F,1982,Heidi,39
SD,F,1982,Mary,38
SD,F,1982,Tara,37
SD,F,1982,Tiffany,37
SD,F,1982,Kayla,36
SD,F,1982,Megan,36
SD,F,1982,Anna,32
SD,F,1982,Danielle,32
SD,F,1982,Julie,32
SD,F,1982,Katherine,32
SD,F,1982,Lindsay,32
SD,F,1982,Kari,31
SD,F,1982,Carrie,30
SD,F,1982,Kelly,29
SD,F,1982,Lacey,29
SD,F,1982,Shannon,28
SD,F,1982,Christina,27
SD,F,1982,Samantha,27
SD,F,1982,Leah,26
SD,F,1982,Abby,25
SD,F,1982,Brooke,23
SD,F,1982,Kristen,23
SD,F,1982,Kristi,23
SD,F,1982,Tracy,23
SD,F,1982,Holly,22
SD,F,1982,Brandi,21
SD,F,1982,Cassandra,21
