StateCode,Sex,YearOfBirth,Name,Number
SD,M,1922,Calvin,8
SD,M,1922,Conrad,8
SD,M,1922,Elroy,8
SD,M,1922,Franklin,8
SD,M,1922,Irvin,8
SD,M,1922,Kermit,8
SD,M,1922,Leon,8
SD,M,1922,Michael,8
SD,M,1922,Milo,8
SD,M,1922,Quentin,8
SD,M,1922,Royal,8
SD,M,1922,Allan,7
SD,M,1922,Aloysius,7
SD,M,1922,Byron,7
SD,M,1922,Curtis,7
SD,M,1922,Dennis,7
SD,M,1922,Edmund,7
SD,M,1922,Gale,7
SD,M,1922,Jerry,7
SD,M,1922,Milbert,7
SD,M,1922,Palmer,7
SD,M,1922,Phillip,7
SD,M,1922,Reuben,7
SD,M,1922,Sidney,7
SD,M,1922,Wilmer,7
SD,M,1922,Anton,6
SD,M,1922,Chris,6
SD,M,1922,Daryl,6
SD,M,1922,Elton,6
SD,M,1922,Forrest,6
SD,M,1922,Grant,6
SD,M,1922,Harlan,6
SD,M,1922,Jean,6
SD,M,1922,Jerald,6
SD,M,1922,Jesse,6
SD,M,1922,Karl,6
SD,M,1922,Lavern,6
SD,M,1922,Lenard,6
SD,M,1922,Levi,6
SD,M,1922,Lyman,6
SD,M,1922,Sylvester,6
SD,M,1922,Ward,6
SD,M,1922,Wilbert,6
SD,M,1922,August,5
SD,M,1922,Burdette,5
SD,M,1922,Claire,5
SD,M,1922,Claude,5
SD,M,1922,Clifton,5
SD,M,1922,Delmer,5
SD,M,1922,Dick,5
SD,M,1922,Dwight,5
SD,M,1922,Emmett,5
SD,M,1922,Felix,5
SD,M,1922,Guy,5
SD,M,1922,Hugh,5
SD,M,1922,Ira,5
SD,M,1922,Irving,5
SD,M,1922,Julius,5
SD,M,1922,Laurel,5
SD,M,1922,Merlin,5
SD,M,1922,Merlyn,5
SD,M,1922,Millard,5
SD,M,1922,Nicholas,5
SD,M,1922,Nick,5
SD,M,1922,Noel,5
SD,M,1922,Otto,5
SD,M,1922,Perry,5
SD,M,1922,Pius,5
SD,M,1922,Rodney,5
SD,M,1922,Sam,5
SD,M,1922,Willie,5
SD,M,1923,Robert,374
SD,M,1923,Donald,266
SD,M,1923,John,260
SD,M,1923,James,178
SD,M,1923,William,173
SD,M,1923,Kenneth,132
SD,M,1923,Harold,129
SD,M,1923,Richard,117
SD,M,1923,Charles,113
SD,M,1923,George,99
SD,M,1923,Raymond,97
SD,M,1923,Marvin,82
SD,M,1923,Clarence,77
SD,M,1923,Joseph,70
SD,M,1923,Dale,65
SD,M,1923,Walter,65
SD,M,1923,Edward,63
SD,M,1923,Eugene,63
SD,M,1923,Francis,63
SD,M,1923,Lloyd,63
SD,M,1923,Paul,63
SD,M,1923,Leonard,61
SD,M,1923,Melvin,60
SD,M,1923,Howard,57
SD,M,1923,Lawrence,57
SD,M,1923,Leo,55
SD,M,1923,Ralph,55
SD,M,1923,Wayne,53
SD,M,1923,Gerald,52
SD,M,1923,Floyd,51
SD,M,1923,Thomas,50
SD,M,1923,Vernon,50
SD,M,1923,Duane,49
SD,M,1923,Frank,49
SD,M,1923,Earl,48
SD,M,1923,Harry,48
SD,M,1923,Albert,47
SD,M,1923,Elmer,47
SD,M,1923,Henry,47
SD,M,1923,Arthur,46
SD,M,1923,Bernard,45
SD,M,1923,Jack,43
SD,M,1923,Lyle,43
SD,M,1923,Roy,43
SD,M,1923,Ernest,41
SD,M,1923,Alvin,38
SD,M,1923,Herbert,37
SD,M,1923,Wallace,37
SD,M,1923,Warren,37
SD,M,1923,Glenn,36
SD,M,1923,Lester,36
SD,M,1923,Norman,35
SD,M,1923,Orville,35
SD,M,1923,Arnold,33
SD,M,1923,Edwin,32
SD,M,1923,Stanley,32
SD,M,1923,Gordon,31
SD,M,1923,Leroy,31
SD,M,1923,David,29
SD,M,1923,Dean,29
SD,M,1923,Russell,28
SD,M,1923,Virgil,28
SD,M,1923,Carl,27
SD,M,1923,Harvey,27
SD,M,1923,Keith,27
SD,M,1923,Clifford,26
SD,M,1923,Milton,25
SD,M,1923,Vincent,25
SD,M,1923,Merle,24
SD,M,1923,Fred,23
SD,M,1923,Theodore,23
SD,M,1923,Alfred,22
SD,M,1923,Herman,22
SD,M,1923,Eldon,21
SD,M,1923,Louis,21
SD,M,1923,Ray,21
SD,M,1923,Willard,21
SD,M,1923,Allen,20
SD,M,1923,Calvin,20
SD,M,1923,Delbert,20
SD,M,1923,Ervin,20
SD,M,1923,Lee,20
SD,M,1923,Maurice,20
SD,M,1923,Andrew,19
SD,M,1923,Lewis,19
SD,M,1923,Philip,19
SD,M,1923,Roger,19
SD,M,1923,Cecil,18
SD,M,1923,Wesley,18
SD,M,1923,Daniel,17
SD,M,1923,Everett,17
SD,M,1923,Leland,17
SD,M,1923,Martin,17
SD,M,1923,Peter,17
SD,M,1923,Reuben,17
SD,M,1923,Wilbur,17
SD,M,1923,Darrell,16
SD,M,1923,Glen,16
SD,M,1923,Harlan,16
SD,M,1923,Ivan,16
SD,M,1923,Joe,16
SD,M,1923,Delmar,15
SD,M,1923,Gilbert,15
SD,M,1923,Lowell,15
SD,M,1923,Max,15
SD,M,1923,Oscar,15
SD,M,1923,Roland,15
SD,M,1923,Victor,15
SD,M,1923,Burton,14
SD,M,1923,Clayton,14
SD,M,1923,Curtis,14
SD,M,1923,Douglas,14
SD,M,1923,Loren,14
SD,M,1923,Norbert,14
SD,M,1923,Ronald,14
SD,M,1923,Clinton,13
SD,M,1923,Don,13
SD,M,1923,Erwin,13
SD,M,1923,Forrest,13
SD,M,1923,Laverne,13
SD,M,1923,Leslie,13
SD,M,1923,Morris,13
SD,M,1923,Vern,13
SD,M,1923,Carroll,12
SD,M,1923,Clyde,12
SD,M,1923,Darwin,12
SD,M,1923,Frederick,12
SD,M,1923,Leon,12
SD,M,1923,Myron,12
SD,M,1923,Neil,12
SD,M,1923,Bruce,11
SD,M,1923,Julius,11
SD,M,1923,Lavern,11
SD,M,1923,Marion,11
SD,M,1923,Maynard,11
SD,M,1923,Oliver,11
SD,M,1923,Samuel,11
SD,M,1923,Clair,10
SD,M,1923,Clifton,10
SD,M,1923,Jerome,10
SD,M,1923,Jerry,10
SD,M,1923,Michael,10
SD,M,1923,Wilfred,10
SD,M,1923,Allan,9
SD,M,1923,Daryl,9
SD,M,1923,Gale,9
SD,M,1923,Harris,9
SD,M,1923,Jacob,9
SD,M,1923,Merlin,9
SD,M,1923,Rex,9
SD,M,1923,Rudolph,9
SD,M,1923,Wendell,9
SD,M,1923,Willis,9
SD,M,1923,Adrian,8
SD,M,1923,Boyd,8
SD,M,1923,Emil,8
SD,M,1923,Fredrick,8
SD,M,1923,Guy,8
SD,M,1923,Hubert,8
