StateCode,Sex,YearOfBirth,Name,Number
SD,M,1971,Jason,199
SD,M,1971,Chad,159
SD,M,1971,Scott,151
SD,M,1971,David,150
SD,M,1971,Robert,129
SD,M,1971,John,120
SD,M,1971,James,118
SD,M,1971,Brian,115
SD,M,1971,Christopher,108
SD,M,1971,Todd,85
SD,M,1971,Mark,82
SD,M,1971,Jeffrey,80
SD,M,1971,Daniel,78
SD,M,1971,Troy,76
SD,M,1971,Steven,75
SD,M,1971,Matthew,71
SD,M,1971,Shawn,71
SD,M,1971,Eric,69
SD,M,1971,Paul,67
SD,M,1971,Thomas,65
SD,M,1971,Timothy,63
SD,M,1971,Bradley,62
SD,M,1971,William,61
SD,M,1971,Travis,58
SD,M,1971,Richard,57
SD,M,1971,Kevin,54
SD,M,1971,Patrick,42
SD,M,1971,Shane,41
SD,M,1971,Gregory,39
SD,M,1971,Aaron,38
SD,M,1971,Ryan,38
SD,M,1971,Craig,37
SD,M,1971,Joseph,35
SD,M,1971,Terry,35
SD,M,1971,Justin,34
SD,M,1971,Cory,33
SD,M,1971,Charles,32
SD,M,1971,Anthony,31
SD,M,1971,Wade,31
SD,M,1971,Corey,30
SD,M,1971,Douglas,30
SD,M,1971,Lance,30
SD,M,1971,Jay,29
SD,M,1971,Joel,28
SD,M,1971,Keith,28
SD,M,1971,Darin,27
SD,M,1971,Kelly,27
SD,M,1971,Kenneth,27
SD,M,1971,Jonathan,26
SD,M,1971,Ronald,26
SD,M,1971,Brett,24
SD,M,1971,Bryan,24
SD,M,1971,Gary,24
SD,M,1971,Darren,23
SD,M,1971,Donald,23
SD,M,1971,Jon,23
SD,M,1971,Chris,22
SD,M,1971,Kyle,22
SD,M,1971,Sean,22
SD,M,1971,Dennis,21
SD,M,1971,Nathan,21
SD,M,1971,Randy,20
SD,M,1971,Tony,20
SD,M,1971,Andrew,19
SD,M,1971,Brent,19
SD,M,1971,Shannon,19
SD,M,1971,Dean,18
SD,M,1971,Lee,18
SD,M,1971,Roger,18
SD,M,1971,Jeremy,17
SD,M,1971,Jerry,17
SD,M,1971,Stephen,17
SD,M,1971,Brad,16
SD,M,1971,Duane,16
SD,M,1971,Larry,16
SD,M,1971,Rodney,16
SD,M,1971,Jesse,15
SD,M,1971,Ricky,15
SD,M,1971,Wayne,15
SD,M,1971,Clinton,14
SD,M,1971,Dale,14
SD,M,1971,Danny,14
SD,M,1971,Edward,14
SD,M,1971,Jared,14
SD,M,1971,Jeffery,14
SD,M,1971,Kurt,14
SD,M,1971,Donovan,13
SD,M,1971,Russell,13
SD,M,1971,Adam,12
SD,M,1971,Bruce,12
SD,M,1971,Derek,12
SD,M,1971,Gerald,12
SD,M,1971,Heath,12
SD,M,1971,Jeff,12
SD,M,1971,Neil,12
SD,M,1971,Philip,12
SD,M,1971,Jamie,11
SD,M,1971,Joshua,11
SD,M,1971,Marty,11
SD,M,1971,Peter,11
SD,M,1971,Raymond,11
SD,M,1971,Trent,11
SD,M,1971,Alan,10
SD,M,1971,Allen,10
SD,M,1971,Bill,10
SD,M,1971,Casey,10
SD,M,1971,Curtis,10
SD,M,1971,Erik,10
SD,M,1971,Loren,10
SD,M,1971,Mike,10
SD,M,1971,Tracy,10
SD,M,1971,Benjamin,9
SD,M,1971,Dana,9
SD,M,1971,Dustin,9
SD,M,1971,George,9
SD,M,1971,Glenn,9
SD,M,1971,Grant,9
SD,M,1971,Kent,9
SD,M,1971,Monte,9
SD,M,1971,Randall,9
SD,M,1971,Bart,8
SD,M,1971,Brandon,8
SD,M,1971,Calvin,8
SD,M,1971,Carl,8
SD,M,1971,Christian,8
SD,M,1971,Eugene,8
SD,M,1971,Frank,8
SD,M,1971,Gene,8
SD,M,1971,Greg,8
SD,M,1971,Henry,8
SD,M,1971,Lawrence,8
SD,M,1971,Marc,8
SD,M,1971,Myron,8
SD,M,1971,Nicholas,8
SD,M,1971,Robbie,8
SD,M,1971,Ross,8
SD,M,1971,Shon,8
SD,M,1971,Steve,8
SD,M,1971,Toby,8
SD,M,1971,Barry,7
SD,M,1971,Cody,7
SD,M,1971,Darrin,7
SD,M,1971,Howard,7
SD,M,1971,Joe,7
SD,M,1971,Leslie,7
SD,M,1971,Lester,7
SD,M,1971,Martin,7
SD,M,1971,Marvin,7
SD,M,1971,Mitchell,7
SD,M,1971,Rick,7
SD,M,1971,Theodore,7
SD,M,1971,Tim,7
SD,M,1971,Tom,7
SD,M,1971,Arthur,6
SD,M,1971,Bryce,6
SD,M,1971,Clifford,6
SD,M,1971,Darrell,6
SD,M,1971,Derrick,6
SD,M,1971,Earl,6
SD,M,1971,Kory,6
SD,M,1971,Lonnie,6
SD,M,1971,Lyle,6
SD,M,1971,Micheal,6
SD,M,1971,Preston,6
SD,M,1971,Roy,6
SD,M,1971,Samuel,6
SD,M,1971,Shaun,6
SD,M,1971,Tyler,6
SD,M,1971,Waylon,6
SD,M,1971,Wesley,6
SD,M,1971,Bobby,5
SD,M,1971,Chuck,5
SD,M,1971,Clark,5
SD,M,1971,Daren,5
SD,M,1971,Dwight,5
SD,M,1971,Glen,5
SD,M,1971,Gregg,5
SD,M,1971,Jarrod,5
SD,M,1971,Jess,5
SD,M,1971,Jody,5
SD,M,1971,Kirk,5
SD,M,1971,Kris,5
SD,M,1971,Kurtis,5
SD,M,1971,Leroy,5
SD,M,1971,Robin,5
SD,M,1971,Sheldon,5
SD,M,1971,Stacy,5
SD,M,1971,Terrance,5
SD,M,1971,Thad,5
SD,M,1971,Warren,5
SD,M,1972,Jason,213
SD,M,1972,Michael,207
SD,M,1972,Chad,167
SD,M,1972,Christopher,142
SD,M,1972,Robert,125
SD,M,1972,David,118
SD,M,1972,Scott,115
SD,M,1972,Brian,110
SD,M,1972,James,104
SD,M,1972,John,94
SD,M,1972,Steven,91
SD,M,1972,Daniel,85
SD,M,1972,Jeffrey,76
SD,M,1972,Troy,68
SD,M,1972,Kevin,67
SD,M,1972,Travis,65
SD,M,1972,Eric,62
SD,M,1972,Mark,62
SD,M,1972,Matthew,58
SD,M,1972,Ryan,58
SD,M,1972,Paul,57
SD,M,1972,William,54
SD,M,1972,Richard,51
SD,M,1972,Shawn,50
SD,M,1972,Thomas,48
SD,M,1972,Timothy,48
SD,M,1972,Patrick,44
SD,M,1972,Bradley,43
SD,M,1972,Todd,43
SD,M,1972,Shane,42
SD,M,1972,Gregory,41
SD,M,1972,Jeremy,38
SD,M,1972,Justin,38
SD,M,1972,Joseph,36
SD,M,1972,Charles,34
SD,M,1972,Anthony,32
SD,M,1972,Darin,32
SD,M,1972,Cory,31
SD,M,1972,Jon,31
SD,M,1972,Douglas,30
SD,M,1972,Aaron,28
SD,M,1972,Brett,28
SD,M,1972,Craig,26
SD,M,1972,Nathan,26
SD,M,1972,Dennis,25
SD,M,1972,Andrew,24
SD,M,1972,Brent,24
SD,M,1972,Kelly,24
SD,M,1972,Larry,24
SD,M,1972,Ronald,24
SD,M,1972,Donald,23
SD,M,1972,Jamie,23
SD,M,1972,Keith,23
SD,M,1972,Sean,23
SD,M,1972,Wade,23
SD,M,1972,Kyle,22
SD,M,1972,Corey,21
SD,M,1972,Jonathan,21
SD,M,1972,Chris,20
SD,M,1972,Jerry,20
SD,M,1972,Kenneth,20
SD,M,1972,Lance,20
SD,M,1972,Terry,20
SD,M,1972,Curtis,19
SD,M,1972,Lee,19
SD,M,1972,Bryan,18
SD,M,1972,Jeffery,18
SD,M,1972,Dale,17
SD,M,1972,Joel,17
SD,M,1972,Tony,17
SD,M,1972,Tracy,17
SD,M,1972,Adam,16
SD,M,1972,Heath,16
SD,M,1972,Joshua,16
SD,M,1972,Randy,16
SD,M,1972,Stephen,16
SD,M,1972,Erik,14
SD,M,1972,Gary,14
SD,M,1972,Jay,14
SD,M,1972,Peter,14
SD,M,1972,Alan,13
SD,M,1972,Derek,13
SD,M,1972,Dustin,13
SD,M,1972,Shannon,13
SD,M,1972,Wayne,13
SD,M,1972,Darren,12
SD,M,1972,Duane,12
SD,M,1972,Jesse,12
SD,M,1972,Micheal,12
SD,M,1972,Raymond,12
SD,M,1972,Benjamin,11
SD,M,1972,Brad,11
SD,M,1972,Cody,11
SD,M,1972,Darrin,11
SD,M,1972,Edward,11
SD,M,1972,Jody,11
SD,M,1972,Samuel,11
SD,M,1972,Tyler,11
SD,M,1972,Bruce,10
SD,M,1972,Dana,10
SD,M,1972,Nicholas,10
SD,M,1972,Clayton,9
SD,M,1972,Dean,9
SD,M,1972,Frank,9
SD,M,1972,George,9
SD,M,1972,Jeff,9
SD,M,1972,Lonnie,9
SD,M,1972,Loren,9
SD,M,1972,Marc,9
SD,M,1972,Neil,9
SD,M,1972,Russell,9
SD,M,1972,Allen,8
SD,M,1972,Casey,8
SD,M,1972,Christian,8
SD,M,1972,Derrick,8
SD,M,1972,Grant,8
SD,M,1972,Jerome,8
SD,M,1972,Jess,8
SD,M,1972,Kirk,8
SD,M,1972,Tim,8
SD,M,1972,Trent,8
SD,M,1972,Trevor,8
SD,M,1972,Arthur,7
SD,M,1972,Clinton,7
SD,M,1972,Earl,7
SD,M,1972,Kurt,7
SD,M,1972,Leon,7
SD,M,1972,Randall,7
SD,M,1972,Rick,7
SD,M,1972,Ricky,7
SD,M,1972,Rodney,7
SD,M,1972,Roger,7
SD,M,1972,Stuart,7
SD,M,1972,Theodore,7
SD,M,1972,Alvin,6
SD,M,1972,Billy,6
SD,M,1972,Danny,6
SD,M,1972,Greg,6
SD,M,1972,Harold,6
SD,M,1972,Jacob,6
SD,M,1972,Jade,6
SD,M,1972,Joe,6
SD,M,1972,Kent,6
SD,M,1972,Leslie,6
SD,M,1972,Lyle,6
SD,M,1972,Lynn,6
SD,M,1972,Mathew,6
SD,M,1972,Nathaniel,6
SD,M,1972,Philip,6
SD,M,1972,Ray,6
SD,M,1972,Thad,6
SD,M,1972,Toby,6
SD,M,1972,Allan,5
SD,M,1972,Bernard,5
SD,M,1972,Bill,5
SD,M,1972,Brandon,5
SD,M,1972,Clint,5
SD,M,1972,Dallas,5
