StateCode,Sex,YearOfBirth,Name,Number
TN,F,1966,Alma,7
TN,F,1966,Annetta,7
TN,F,1966,Anthony,7
TN,F,1966,Callie,7
TN,F,1966,Cassie,7
TN,F,1966,Charla,7
TN,F,1966,Courtney,7
TN,F,1966,Deann,7
TN,F,1966,Elise,7
TN,F,1966,Elisha,7
TN,F,1966,Elsie,7
TN,F,1966,Ernestine,7
TN,F,1966,Esther,7
TN,F,1966,Fannie,7
TN,F,1966,Gwen,7
TN,F,1966,Heidi,7
TN,F,1966,Jada,7
TN,F,1966,Jami,7
TN,F,1966,Jeana,7
TN,F,1966,Krista,7
TN,F,1966,Leisa,7
TN,F,1966,Lucretia,7
TN,F,1966,Marcy,7
TN,F,1966,Marion,7
TN,F,1966,Marty,7
TN,F,1966,Mattie,7
TN,F,1966,Monique,7
TN,F,1966,Nita,7
TN,F,1966,Paulette,7
TN,F,1966,Pennie,7
TN,F,1966,Phoebe,7
TN,F,1966,Regena,7
TN,F,1966,Rena,7
TN,F,1966,Rhoda,7
TN,F,1966,Tamatha,7
TN,F,1966,Tammi,7
TN,F,1966,Toya,7
TN,F,1966,Tracye,7
TN,F,1966,Verna,7
TN,F,1966,Whitney,7
TN,F,1966,William,7
TN,F,1966,Abby,6
TN,F,1966,Adrian,6
TN,F,1966,Alberta,6
TN,F,1966,Amber,6
TN,F,1966,Antoinette,6
TN,F,1966,Bessie,6
TN,F,1966,Cherri,6
TN,F,1966,Chris,6
TN,F,1966,Christian,6
TN,F,1966,Claire,6
TN,F,1966,Claudia,6
TN,F,1966,Delia,6
TN,F,1966,Dixie,6
TN,F,1966,Earlene,6
TN,F,1966,Earline,6
TN,F,1966,Edwina,6
TN,F,1966,Erin,6
TN,F,1966,Eunice,6
TN,F,1966,Eve,6
TN,F,1966,Felisa,6
TN,F,1966,Flora,6
TN,F,1966,Glenna,6
TN,F,1966,Harriet,6
TN,F,1966,Ida,6
TN,F,1966,Jeanie,6
TN,F,1966,Jeanine,6
TN,F,1966,Jeanna,6
TN,F,1966,Jerrie,6
TN,F,1966,Jody,6
TN,F,1966,Karin,6
TN,F,1966,Karren,6
TN,F,1966,Katheryn,6
TN,F,1966,Kathrine,6
TN,F,1966,Kerry,6
TN,F,1966,Kirsten,6
TN,F,1966,Kitty,6
TN,F,1966,Latonya,6
TN,F,1966,Leanna,6
TN,F,1966,Leona,6
TN,F,1966,Letha,6
TN,F,1966,Libby,6
TN,F,1966,Lorraine,6
TN,F,1966,Malissa,6
TN,F,1966,Mamie,6
TN,F,1966,Minnie,6
TN,F,1966,Nadine,6
TN,F,1966,Robert,6
TN,F,1966,Roslyn,6
TN,F,1966,Shellie,6
TN,F,1966,Sonji,6
TN,F,1966,Tawana,6
TN,F,1966,Tonda,6
TN,F,1966,Velma,6
TN,F,1966,Windy,6
TN,F,1966,Ada,5
TN,F,1966,Aimee,5
TN,F,1966,Ava,5
TN,F,1966,Beatrice,5
TN,F,1966,Bettina,5
TN,F,1966,Camille,5
TN,F,1966,Cammie,5
TN,F,1966,Colleen,5
TN,F,1966,Daisy,5
TN,F,1966,David,5
TN,F,1966,Deidre,5
TN,F,1966,Delana,5
TN,F,1966,Denita,5
TN,F,1966,Detra,5
TN,F,1966,Dottie,5
TN,F,1966,Erica,5
TN,F,1966,Eula,5
TN,F,1966,Francine,5
TN,F,1966,Gale,5
TN,F,1966,Gay,5
TN,F,1966,Geraldine,5
TN,F,1966,Henrietta,5
TN,F,1966,Ingrid,5
TN,F,1966,Iris,5
TN,F,1966,Jama,5
TN,F,1966,Janis,5
TN,F,1966,Jeannette,5
TN,F,1966,Jenifer,5
TN,F,1966,Josephine,5
TN,F,1966,Kara,5
TN,F,1966,Katharine,5
TN,F,1966,Kathi,5
TN,F,1966,Kellye,5
TN,F,1966,Kimberlee,5
TN,F,1966,Ladonna,5
TN,F,1966,Lara,5
TN,F,1966,Latanya,5
TN,F,1966,Lesli,5
TN,F,1966,Lolita,5
TN,F,1966,Lucille,5
TN,F,1966,Lynne,5
TN,F,1966,Machelle,5
TN,F,1966,Madeline,5
TN,F,1966,Marcie,5
TN,F,1966,Matilda,5
TN,F,1966,Maureen,5
TN,F,1966,Mellisa,5
TN,F,1966,Melodie,5
TN,F,1966,Merri,5
TN,F,1966,Mickie,5
TN,F,1966,Miranda,5
TN,F,1966,Miriam,5
TN,F,1966,Nikki,5
TN,F,1966,Opal,5
TN,F,1966,Penni,5
TN,F,1966,Regenia,5
TN,F,1966,Renea,5
TN,F,1966,Roxie,5
TN,F,1966,Ruthie,5
TN,F,1966,Sallie,5
TN,F,1966,Scarlet,5
TN,F,1966,Scarlett,5
TN,F,1966,Selina,5
TN,F,1966,Shana,5
TN,F,1966,Shonda,5
TN,F,1966,Stacie,5
TN,F,1966,Starla,5
TN,F,1966,Susanne,5
TN,F,1966,Timothy,5
TN,F,1966,Tommie,5
TN,F,1966,Tracee,5
TN,F,1966,Twyla,5
TN,F,1966,Velvet,5
TN,F,1966,Vikki,5
TN,F,1967,Lisa,1178
TN,F,1967,Kimberly,922
TN,F,1967,Angela,803
TN,F,1967,Tammy,741
TN,F,1967,Melissa,737
TN,F,1967,Mary,559
TN,F,1967,Teresa,481
TN,F,1967,Karen,479
TN,F,1967,Tina,458
TN,F,1967,Pamela,415
TN,F,1967,Donna,413
TN,F,1967,Cynthia,393
TN,F,1967,Sharon,374
TN,F,1967,Sandra,358
TN,F,1967,Susan,354
TN,F,1967,Amy,338
TN,F,1967,Patricia,330
TN,F,1967,Rhonda,327
TN,F,1967,Michelle,320
TN,F,1967,Stephanie,319
TN,F,1967,Sherry,304
TN,F,1967,Jennifer,294
TN,F,1967,Elizabeth,287
TN,F,1967,Tracy,268
TN,F,1967,Deborah,252
TN,F,1967,Linda,252
TN,F,1967,Rebecca,230
TN,F,1967,Lori,213
TN,F,1967,Brenda,210
TN,F,1967,Paula,206
TN,F,1967,Robin,204
TN,F,1967,Laura,203
TN,F,1967,Barbara,201
TN,F,1967,Tonya,192
TN,F,1967,Regina,191
TN,F,1967,Kelly,180
TN,F,1967,Wendy,177
TN,F,1967,Sheila,174
TN,F,1967,Carol,173
TN,F,1967,Connie,171
TN,F,1967,Cheryl,169
TN,F,1967,Julie,165
TN,F,1967,Kathy,161
TN,F,1967,Carolyn,158
TN,F,1967,Janet,156
TN,F,1967,Cindy,153
TN,F,1967,Jacqueline,149
TN,F,1967,Nancy,147
TN,F,1967,Debra,143
TN,F,1967,Vickie,138
TN,F,1967,Carla,134
TN,F,1967,Andrea,131
TN,F,1967,Dana,129
TN,F,1967,Penny,123
TN,F,1967,Anita,120
TN,F,1967,Beverly,119
TN,F,1967,Margaret,119
TN,F,1967,Gina,118
TN,F,1967,Melinda,118
TN,F,1967,Shelia,118
TN,F,1967,Amanda,117
TN,F,1967,Wanda,117
TN,F,1967,Terri,116
TN,F,1967,Kim,114
TN,F,1967,April,111
TN,F,1967,Leslie,110
TN,F,1967,Melanie,103
TN,F,1967,Stacey,103
TN,F,1967,Janice,100
TN,F,1967,Betty,98
TN,F,1967,Debbie,98
TN,F,1967,Katherine,97
TN,F,1967,Vicki,95
TN,F,1967,Sarah,93
TN,F,1967,Sonya,92
TN,F,1967,Valerie,92
TN,F,1967,Tracey,91
TN,F,1967,Joyce,90
TN,F,1967,Judy,89
TN,F,1967,Sherri,89
TN,F,1967,Shannon,85
TN,F,1967,Denise,82
TN,F,1967,Kristi,82
TN,F,1967,Dawn,80
TN,F,1967,Theresa,80
TN,F,1967,Jamie,79
TN,F,1967,Rita,78
TN,F,1967,Angelia,76
TN,F,1967,Leigh,75
TN,F,1967,Monica,75
TN,F,1967,Rachel,74
TN,F,1967,Virginia,73
TN,F,1967,Loretta,72
TN,F,1967,Tammie,72
TN,F,1967,Cathy,69
TN,F,1967,Charlotte,69
TN,F,1967,Sabrina,69
TN,F,1967,Shirley,69
TN,F,1967,Catherine,68
TN,F,1967,Jill,68
TN,F,1967,Julia,68
TN,F,1967,Martha,68
TN,F,1967,Suzanne,68
TN,F,1967,Beth,67
TN,F,1967,Glenda,67
TN,F,1967,Stacy,66
TN,F,1967,Ann,64
TN,F,1967,Yolanda,64
TN,F,1967,Deanna,62
TN,F,1967,Joy,61
TN,F,1967,Christy,60
TN,F,1967,Diane,59
TN,F,1967,Marilyn,58
TN,F,1967,Anna,56
TN,F,1967,Dorothy,56
TN,F,1967,Angie,55
TN,F,1967,Ginger,55
TN,F,1967,Bonnie,54
TN,F,1967,Vanessa,54
TN,F,1967,Vicky,54
TN,F,1967,Michele,53
TN,F,1967,Traci,53
TN,F,1967,Christine,52
TN,F,1967,Annette,51
TN,F,1967,Gloria,51
TN,F,1967,Marsha,51
TN,F,1967,Veronica,51
TN,F,1967,Helen,50
TN,F,1967,Jackie,50
TN,F,1967,Felicia,49
TN,F,1967,Phyllis,49
TN,F,1967,Crystal,48
TN,F,1967,Melody,48
TN,F,1967,Peggy,48
TN,F,1967,Doris,47
TN,F,1967,Tamara,46
TN,F,1967,Tanya,44
TN,F,1967,Alice,43
TN,F,1967,Becky,43
TN,F,1967,Gwendolyn,43
TN,F,1967,Maria,43
TN,F,1967,Belinda,42
TN,F,1967,Christie,42
TN,F,1967,Kathryn,42
TN,F,1967,Kelley,42
TN,F,1967,Ronda,42
TN,F,1967,Sandy,42
TN,F,1967,Sherrie,42
TN,F,1967,Ellen,41
TN,F,1967,Samantha,41
TN,F,1967,Sheryl,41
TN,F,1967,Katrina,40
TN,F,1967,Norma,40
TN,F,1967,Toni,40
TN,F,1967,Darlene,39
TN,F,1967,Jo,39
TN,F,1967,Kathleen,39
TN,F,1967,Sonja,39
TN,F,1967,Tiffany,39
TN,F,1967,Carrie,38
TN,F,1967,Lora,38
TN,F,1967,Tracie,38
TN,F,1967,Christina,37
TN,F,1967,Laurie,37
TN,F,1967,Emily,36
TN,F,1967,Jane,36
TN,F,1967,Patti,36
TN,F,1967,Terry,36
TN,F,1967,Cassandra,35
TN,F,1967,Heather,35
TN,F,1967,Holly,35
TN,F,1967,Judith,35
TN,F,1967,Kimberley,35
TN,F,1967,Misty,35
TN,F,1967,Tonia,35
TN,F,1967,Trina,35
TN,F,1967,Bobbie,34
TN,F,1967,Charlene,34
TN,F,1967,Diana,34
TN,F,1967,Lee,34
TN,F,1967,Renee,34
TN,F,1967,Ruth,34
TN,F,1967,Sylvia,34
TN,F,1967,Anne,33
TN,F,1967,Audrey,33
TN,F,1967,Billie,33
TN,F,1967,Kelli,33
TN,F,1967,Sheri,33
TN,F,1967,Victoria,33
TN,F,1967,Vivian,33
TN,F,1967,Carmen,32
TN,F,1967,Evelyn,32
TN,F,1967,Karla,32
TN,F,1967,Rose,32
TN,F,1967,Frances,31
TN,F,1967,Janie,31
TN,F,1967,Leah,31
TN,F,1967,Marie,31
TN,F,1967,Patty,31
TN,F,1967,Shelley,31
TN,F,1967,Lana,30
TN,F,1967,Mitzi,30
TN,F,1967,Sara,30
TN,F,1967,Allison,29
TN,F,1967,Constance,29
TN,F,1967,Gail,29
TN,F,1967,Kristy,27
TN,F,1967,Patsy,27
TN,F,1967,Alicia,26
TN,F,1967,Jean,26
TN,F,1967,Robbie,26
TN,F,1967,Shelly,26
TN,F,1967,Alisa,25
TN,F,1967,Candace,25
TN,F,1967,Lynn,25
TN,F,1967,Sonia,25
TN,F,1967,Tonja,25
TN,F,1967,Deana,24
TN,F,1967,Greta,24
TN,F,1967,Jana,24
TN,F,1967,Jessica,24
TN,F,1967,Lorie,24
TN,F,1967,Lynda,24
