StateCode,Sex,YearOfBirth,Name,Number
TN,F,1981,James,11
TN,F,1981,Janna,11
TN,F,1981,Jerri,11
TN,F,1981,Karla,11
TN,F,1981,Laurel,11
TN,F,1981,Marcia,11
TN,F,1981,Marjorie,11
TN,F,1981,Michele,11
TN,F,1981,Peggy,11
TN,F,1981,Raven,11
TN,F,1981,Rita,11
TN,F,1981,Rochelle,11
TN,F,1981,Sally,11
TN,F,1981,Shelby,11
TN,F,1981,Shelia,11
TN,F,1981,Tammie,11
TN,F,1981,Terra,11
TN,F,1981,Amie,10
TN,F,1981,Ashlie,10
TN,F,1981,Cathy,10
TN,F,1981,Chrissy,10
TN,F,1981,Darla,10
TN,F,1981,Deidra,10
TN,F,1981,Hope,10
TN,F,1981,Kisha,10
TN,F,1981,Leanna,10
TN,F,1981,Lorie,10
TN,F,1981,Lucy,10
TN,F,1981,Maggie,10
TN,F,1981,Marie,10
TN,F,1981,Marilyn,10
TN,F,1981,Marla,10
TN,F,1981,Melisa,10
TN,F,1981,Nakia,10
TN,F,1981,Nora,10
TN,F,1981,Patrice,10
TN,F,1981,Rosa,10
TN,F,1981,Serena,10
TN,F,1981,Shauna,10
TN,F,1981,Sophia,10
TN,F,1981,Stefanie,10
TN,F,1981,Alissa,9
TN,F,1981,Brandon,9
TN,F,1981,Camille,9
TN,F,1981,Candi,9
TN,F,1981,Claire,9
TN,F,1981,Colleen,9
TN,F,1981,Debbie,9
TN,F,1981,Demetria,9
TN,F,1981,Dominique,9
TN,F,1981,Elisabeth,9
TN,F,1981,Gwendolyn,9
TN,F,1981,Jeannie,9
TN,F,1981,Jo,9
TN,F,1981,Jordan,9
TN,F,1981,Joshua,9
TN,F,1981,Judith,9
TN,F,1981,Judy,9
TN,F,1981,Kate,9
TN,F,1981,Katy,9
TN,F,1981,Kesha,9
TN,F,1981,Laquisha,9
TN,F,1981,Lea,9
TN,F,1981,Loretta,9
TN,F,1981,Lynette,9
TN,F,1981,Marcie,9
TN,F,1981,Marquita,9
TN,F,1981,Meagan,9
TN,F,1981,Naomi,9
TN,F,1981,Shamika,9
TN,F,1981,Shasta,9
TN,F,1981,Sheri,9
TN,F,1981,Sheryl,9
TN,F,1981,Starla,9
TN,F,1981,Tenisha,9
TN,F,1981,Tera,9
TN,F,1981,Tierra,9
TN,F,1981,Tomeka,9
TN,F,1981,Adrianne,8
TN,F,1981,Alana,8
TN,F,1981,Alice,8
TN,F,1981,Allyson,8
TN,F,1981,Amberly,8
TN,F,1981,Angelica,8
TN,F,1981,Angelique,8
TN,F,1981,Annette,8
TN,F,1981,Bianca,8
TN,F,1981,Blair,8
TN,F,1981,Britney,8
TN,F,1981,Caitlin,8
TN,F,1981,Carissa,8
TN,F,1981,Cristina,8
TN,F,1981,Deana,8
TN,F,1981,Dena,8
TN,F,1981,Desiree,8
TN,F,1981,Dusty,8
TN,F,1981,Gloria,8
TN,F,1981,Jeanette,8
TN,F,1981,Jeanne,8
TN,F,1981,Jenifer,8
TN,F,1981,Katharine,8
TN,F,1981,Kerry,8
TN,F,1981,Kim,8
TN,F,1981,Kirsten,8
TN,F,1981,Krystle,8
TN,F,1981,Ladonna,8
TN,F,1981,Lakiesha,8
TN,F,1981,Lara,8
TN,F,1981,Lashanda,8
TN,F,1981,Latricia,8
TN,F,1981,Lawanda,8
TN,F,1981,Lillian,8
TN,F,1981,Lindy,8
TN,F,1981,Nicki,8
TN,F,1981,Princess,8
TN,F,1981,Shanta,8
TN,F,1981,Sherika,8
TN,F,1981,Sherrie,8
TN,F,1981,Syreeta,8
TN,F,1981,Valarie,8
TN,F,1981,Yvette,8
TN,F,1981,Yvonne,8
TN,F,1981,Alaina,7
TN,F,1981,Alisa,7
TN,F,1981,Antoinette,7
TN,F,1981,Betsy,7
TN,F,1981,Bobbi,7
TN,F,1981,Brianne,7
TN,F,1981,Brook,7
TN,F,1981,Candyce,7
TN,F,1981,Casandra,7
TN,F,1981,Casie,7
TN,F,1981,Chiquita,7
TN,F,1981,Clara,7
TN,F,1981,Crissy,7
TN,F,1981,Eliza,7
TN,F,1981,Evita,7
TN,F,1981,Fallon,7
TN,F,1981,Hilary,7
TN,F,1981,Jacklyn,7
TN,F,1981,Jami,7
TN,F,1981,Jody,7
TN,F,1981,Johanna,7
TN,F,1981,Johnna,7
TN,F,1981,Karyn,7
TN,F,1981,Kathrine,7
TN,F,1981,Kori,7
TN,F,1981,Lakeesha,7
TN,F,1981,Lakeshia,7
TN,F,1981,Larissa,7
TN,F,1981,Lynn,7
TN,F,1981,Marissa,7
TN,F,1981,Marlena,7
TN,F,1981,Patty,7
