StateCode,Sex,YearOfBirth,Name,Number
TN,F,1994,Ryan,6
TN,F,1994,Santana,6
TN,F,1994,Savana,6
TN,F,1994,Sheena,6
TN,F,1994,Sommer,6
TN,F,1994,Stormy,6
TN,F,1994,Susanna,6
TN,F,1994,Tamera,6
TN,F,1994,Tamika,6
TN,F,1994,Abigale,5
TN,F,1994,Addie,5
TN,F,1994,Adrianne,5
TN,F,1994,Alejandra,5
TN,F,1994,Amberly,5
TN,F,1994,Angelina,5
TN,F,1994,Ansley,5
TN,F,1994,Asha,5
TN,F,1994,Ashlen,5
TN,F,1994,Ashlie,5
TN,F,1994,Ashlin,5
TN,F,1994,Audra,5
TN,F,1994,August,5
TN,F,1994,Autum,5
TN,F,1994,Ayana,5
TN,F,1994,Baylee,5
TN,F,1994,Becca,5
TN,F,1994,Bobbi,5
TN,F,1994,Breauna,5
TN,F,1994,Brittaney,5
TN,F,1994,Brittni,5
TN,F,1994,Brittny,5
TN,F,1994,Brookelyn,5
TN,F,1994,Bryana,5
TN,F,1994,Carlesha,5
TN,F,1994,Casie,5
TN,F,1994,Cecilia,5
TN,F,1994,Chanel,5
TN,F,1994,Chantel,5
TN,F,1994,Chasidy,5
TN,F,1994,Cheyanne,5
TN,F,1994,Deana,5
TN,F,1994,Deidre,5
TN,F,1994,Delaney,5
TN,F,1994,Derricka,5
TN,F,1994,Desirae,5
TN,F,1994,Diamonique,5
TN,F,1994,Domonique,5
TN,F,1994,Dynasty,5
TN,F,1994,Elena,5
TN,F,1994,Emilia,5
TN,F,1994,Fallon,5
TN,F,1994,Jaimee,5
TN,F,1994,Janae,5
TN,F,1994,Jayla,5
TN,F,1994,Jayme,5
TN,F,1994,Jazmyn,5
TN,F,1994,Jena,5
TN,F,1994,Jennie,5
TN,F,1994,Jessika,5
TN,F,1994,Jody,5
TN,F,1994,Justine,5
TN,F,1994,Kaci,5
TN,F,1994,Kailee,5
TN,F,1994,Kateland,5
TN,F,1994,Katlynn,5
TN,F,1994,Keanna,5
TN,F,1994,Kendyl,5
TN,F,1994,Keyanna,5
TN,F,1994,Kimberlee,5
TN,F,1994,Kimberley,5
TN,F,1994,Kionna,5
TN,F,1994,Kirstin,5
TN,F,1994,Krystina,5
TN,F,1994,Kyndra,5
TN,F,1994,Laci,5
TN,F,1994,Lakendra,5
TN,F,1994,Lana,5
TN,F,1994,Leann,5
TN,F,1994,Leanne,5
TN,F,1994,Leigha,5
TN,F,1994,Lela,5
TN,F,1994,Lillie,5
TN,F,1994,Lilly,5
TN,F,1994,London,5
TN,F,1994,Madalyn,5
TN,F,1994,Madeleine,5
TN,F,1994,Magen,5
TN,F,1994,Marion,5
TN,F,1994,Markesha,5
TN,F,1994,Marley,5
TN,F,1994,Marquita,5
TN,F,1994,Meaghan,5
TN,F,1994,Mekayla,5
TN,F,1994,Micaela,5
TN,F,1994,Miracle,5
TN,F,1994,Moriah,5
TN,F,1994,Nakita,5
TN,F,1994,Naomi,5
TN,F,1994,Natosha,5
TN,F,1994,Neely,5
TN,F,1994,Nia,5
TN,F,1994,Penny,5
TN,F,1994,Phylicia,5
TN,F,1994,Portia,5
TN,F,1994,Priscilla,5
TN,F,1994,Rayven,5
TN,F,1994,Renee,5
TN,F,1994,Rochelle,5
TN,F,1994,Ronesha,5
TN,F,1994,Ruth,5
TN,F,1994,Salina,5
TN,F,1994,Savanah,5
TN,F,1994,Shantel,5
TN,F,1994,Shauna,5
TN,F,1994,Shawn,5
TN,F,1994,Shea,5
TN,F,1994,Shelly,5
TN,F,1994,Shianne,5
TN,F,1994,Siera,5
TN,F,1994,Staci,5
TN,F,1994,Stacie,5
TN,F,1994,Starla,5
TN,F,1994,Stefanie,5
TN,F,1994,Tabetha,5
TN,F,1994,Talia,5
TN,F,1994,Talisha,5
TN,F,1994,Tammy,5
TN,F,1994,Tatyana,5
TN,F,1994,Tayla,5
TN,F,1994,Tenisha,5
TN,F,1994,Tera,5
TN,F,1994,Tyisha,5
TN,F,1994,Yolanda,5
TN,F,1995,Ashley,664
TN,F,1995,Jessica,579
TN,F,1995,Hannah,540
TN,F,1995,Brittany,516
TN,F,1995,Emily,512
TN,F,1995,Sarah,494
TN,F,1995,Taylor,483
TN,F,1995,Kayla,479
TN,F,1995,Rachel,385
TN,F,1995,Megan,379
TN,F,1995,Courtney,344
TN,F,1995,Samantha,343
TN,F,1995,Amber,323
TN,F,1995,Shelby,319
TN,F,1995,Morgan,315
TN,F,1995,Anna,307
TN,F,1995,Elizabeth,307
TN,F,1995,Alexis,300
TN,F,1995,Lauren,294
TN,F,1995,Mary,270
TN,F,1995,Kelsey,267
TN,F,1995,Haley,263
TN,F,1995,Victoria,259
TN,F,1995,Madison,253
TN,F,1995,Jasmine,244
TN,F,1995,Brianna,243
TN,F,1995,Amanda,232
TN,F,1995,Rebecca,207
TN,F,1995,Tiffany,204
TN,F,1995,Chelsea,200
TN,F,1995,Kristen,200
TN,F,1995,Kaitlyn,194
TN,F,1995,Katherine,187
TN,F,1995,Heather,185
TN,F,1995,Savannah,185
TN,F,1995,Allison,181
TN,F,1995,Olivia,174
TN,F,1995,Destiny,169
TN,F,1995,Abigail,160
TN,F,1995,Sydney,160
TN,F,1995,Jordan,156
TN,F,1995,Lindsey,151
TN,F,1995,Jennifer,148
TN,F,1995,Whitney,148
TN,F,1995,Katelyn,143
TN,F,1995,Sara,140
TN,F,1995,Alexandria,135
TN,F,1995,Laura,128
TN,F,1995,Stephanie,128
TN,F,1995,Bethany,127
TN,F,1995,Kimberly,127
TN,F,1995,Miranda,125
TN,F,1995,Danielle,124
TN,F,1995,Christina,123
TN,F,1995,Erin,123
TN,F,1995,Autumn,121
TN,F,1995,Caroline,118
TN,F,1995,Kaitlin,118
TN,F,1995,Katie,116
TN,F,1995,Sierra,116
TN,F,1995,Alexandra,115
TN,F,1995,Hailey,115
TN,F,1995,Brooke,112
TN,F,1995,Breanna,105
TN,F,1995,Erica,103
TN,F,1995,Gabrielle,102
TN,F,1995,Brittney,98
TN,F,1995,Alyssa,96
TN,F,1995,Andrea,95
TN,F,1995,Kathryn,94
TN,F,1995,Natalie,94
TN,F,1995,Bailey,93
TN,F,1995,Paige,92
TN,F,1995,Caitlin,90
TN,F,1995,Summer,90
TN,F,1995,Emma,89
TN,F,1995,Kristin,88
TN,F,1995,Briana,83
TN,F,1995,Holly,83
TN,F,1995,Jamie,83
TN,F,1995,Chelsey,81
TN,F,1995,Mackenzie,80
TN,F,1995,Amy,79
TN,F,1995,Catherine,79
TN,F,1995,Nicole,78
TN,F,1995,Alicia,77
TN,F,1995,Julia,76
TN,F,1995,Brandi,75
TN,F,1995,Angela,74
TN,F,1995,Kelly,74
TN,F,1995,Kendra,72
TN,F,1995,Margaret,70
TN,F,1995,Mckenzie,70
TN,F,1995,Michaela,70
TN,F,1995,Raven,69
TN,F,1995,Cheyenne,68
TN,F,1995,Cassidy,67
TN,F,1995,Hayley,67
TN,F,1995,Leah,67
TN,F,1995,Mariah,67
TN,F,1995,Grace,65
TN,F,1995,Rebekah,64
TN,F,1995,Tori,64
TN,F,1995,Caitlyn,63
TN,F,1995,Crystal,63
TN,F,1995,Angel,62
TN,F,1995,Madeline,62
TN,F,1995,Melissa,62
TN,F,1995,Michelle,62
TN,F,1995,April,61
TN,F,1995,Makayla,60
TN,F,1995,Kara,58
TN,F,1995,Marissa,56
TN,F,1995,Chasity,55
TN,F,1995,Kaylee,55
TN,F,1995,Mikayla,54
TN,F,1995,Jacqueline,53
TN,F,1995,Tabitha,53
TN,F,1995,Chloe,52
TN,F,1995,Shannon,52
TN,F,1995,Jenna,51
TN,F,1995,Maria,51
TN,F,1995,Casey,50
TN,F,1995,Rachael,50
TN,F,1995,Ashton,49
TN,F,1995,Kendall,49
TN,F,1995,Molly,49
TN,F,1995,Brandy,48
TN,F,1995,Mallory,48
TN,F,1995,Cassandra,47
TN,F,1995,Lindsay,47
TN,F,1995,Sabrina,47
TN,F,1995,Faith,46
TN,F,1995,Abby,45
TN,F,1995,Ariel,45
TN,F,1995,Aaliyah,44
TN,F,1995,Audrey,44
TN,F,1995,Ashlee,43
TN,F,1995,Ellen,43
TN,F,1995,Kristina,43
TN,F,1995,Lacey,43
TN,F,1995,Leslie,43
TN,F,1995,Tiara,43
TN,F,1995,Alexus,42
TN,F,1995,Dominique,42
TN,F,1995,Hanna,42
TN,F,1995,Macy,42
TN,F,1995,Meredith,42
TN,F,1995,Tara,42
TN,F,1995,Carly,41
TN,F,1995,Carrie,41
TN,F,1995,Chelsie,41
TN,F,1995,Cierra,41
TN,F,1995,Kathleen,41
TN,F,1995,Lydia,41
TN,F,1995,Melanie,41
TN,F,1995,Candace,40
TN,F,1995,Chandler,40
TN,F,1995,Katlyn,40
TN,F,1995,Peyton,40
TN,F,1995,Alisha,39
TN,F,1995,Brooklyn,39
TN,F,1995,Diamond,39
TN,F,1995,Monica,39
TN,F,1995,Natasha,39
TN,F,1995,Tia,39
TN,F,1995,Ashleigh,38
TN,F,1995,Harley,38
TN,F,1995,Kiara,38
TN,F,1995,Logan,38
TN,F,1995,Angelica,37
TN,F,1995,Kierra,37
TN,F,1995,Lisa,37
TN,F,1995,Ashlyn,36
TN,F,1995,Felicia,36
TN,F,1995,Hope,36
TN,F,1995,Callie,35
TN,F,1995,Christian,35
TN,F,1995,Justice,35
TN,F,1995,Asia,34
TN,F,1995,Ciara,34
TN,F,1995,Jessie,34
TN,F,1995,Cassie,33
TN,F,1995,Kennedy,33
TN,F,1995,Krista,33
TN,F,1995,Toni,33
TN,F,1995,Deanna,32
TN,F,1995,Erika,32
TN,F,1995,Meghan,32
TN,F,1995,Claire,31
TN,F,1995,Julie,31
TN,F,1995,Kirsten,31
TN,F,1995,Kylie,31
TN,F,1995,Marisa,31
TN,F,1995,Meagan,31
TN,F,1995,Desiree,30
TN,F,1995,Ebony,30
TN,F,1995,Alexa,28
TN,F,1995,Allyson,28
TN,F,1995,Kelsie,28
TN,F,1995,Amelia,27
TN,F,1995,Christine,27
TN,F,1995,Cynthia,27
TN,F,1995,Dakota,27
TN,F,1995,Lillian,27
TN,F,1995,Mercedes,27
TN,F,1995,Precious,27
TN,F,1995,Alison,26
TN,F,1995,Bria,26
TN,F,1995,Jade,26
TN,F,1995,Katelynn,26
TN,F,1995,Kelli,26
TN,F,1995,Patricia,26
TN,F,1995,Payton,26
TN,F,1995,Tessa,26
TN,F,1995,Virginia,26
TN,F,1995,Alana,25
TN,F,1995,Allie,25
TN,F,1995,Britney,25
TN,F,1995,Emilee,25
TN,F,1995,Hunter,25
TN,F,1995,Jada,25
TN,F,1995,Jazmine,25
TN,F,1995,Kasey,25
TN,F,1995,Brenna,24
TN,F,1995,Katrina,24
TN,F,1995,Maranda,24
TN,F,1995,Savanna,24
TN,F,1995,Zoe,24
TN,F,1995,Annie,23
TN,F,1995,Denise,23
TN,F,1995,Destinee,23
TN,F,1995,Maggie,23
TN,F,1995,Tamara,23
TN,F,1995,Baylee,22
TN,F,1995,Cara,22
TN,F,1995,Carolyn,22
TN,F,1995,Charity,22
TN,F,1995,Clarissa,22
TN,F,1995,Dana,22
TN,F,1995,Maya,22
TN,F,1995,Breana,21
TN,F,1995,Candice,21
TN,F,1995,Cortney,21
TN,F,1995,Deborah,21
TN,F,1995,Kaitlynn,21
TN,F,1995,Barbara,20
TN,F,1995,Bianca,20
TN,F,1995,Carley,20
TN,F,1995,Cayla,20
TN,F,1995,Dallas,20
TN,F,1995,Hallie,20
TN,F,1995,Isabella,20
TN,F,1995,Kali,20
TN,F,1995,Kiana,20
TN,F,1995,Makenzie,20
TN,F,1995,Robin,20
TN,F,1995,Selena,20
TN,F,1995,Tayler,20
TN,F,1995,Tierra,20
TN,F,1995,Vanessa,20
TN,F,1995,Veronica,20
TN,F,1995,Abbey,19
TN,F,1995,Adrienne,19
TN,F,1995,Aubrey,19
TN,F,1995,Brenda,19
TN,F,1995,Chelsi,19
TN,F,1995,Haleigh,19
TN,F,1995,Kaleigh,19
TN,F,1995,Mollie,19
TN,F,1995,Nikki,19
TN,F,1995,Aliyah,18
TN,F,1995,Anne,18
TN,F,1995,Bridget,18
TN,F,1995,Christa,18
TN,F,1995,Darian,18
TN,F,1995,Deja,18
TN,F,1995,Donna,18
TN,F,1995,Joanna,18
TN,F,1995,Sandra,18
TN,F,1995,Shawna,18
TN,F,1995,Sidney,18
TN,F,1995,Susan,18
TN,F,1995,Teresa,18
TN,F,1995,Tiffani,18
TN,F,1995,Bobbie,17
TN,F,1995,Ciera,17
TN,F,1995,Elisabeth,17
TN,F,1995,Jerrica,17
TN,F,1995,Karen,17
TN,F,1995,Mia,17
TN,F,1995,Micah,17
TN,F,1995,Nancy,17
TN,F,1995,Adrianna,16
TN,F,1995,Alissa,16
TN,F,1995,Ann,16
TN,F,1995,Darby,16
TN,F,1995,Josie,16
TN,F,1995,Kellie,16
TN,F,1995,Kelsea,16
TN,F,1995,Madelyn,16
TN,F,1995,Mckayla,16
TN,F,1995,Sadie,16
TN,F,1995,Sophia,16
TN,F,1995,Tiana,16
