StateCode,Sex,YearOfBirth,Name,Number
TN,F,2013,Crystal,8
TN,F,2013,Ellison,8
TN,F,2013,Emani,8
TN,F,2013,Emely,8
TN,F,2013,Emileigh,8
TN,F,2013,Esmeralda,8
TN,F,2013,Estrella,8
TN,F,2013,Eve,8
TN,F,2013,Fernanda,8
TN,F,2013,Gloria,8
TN,F,2013,Harleigh,8
TN,F,2013,Harlow,8
TN,F,2013,Haylie,8
TN,F,2013,Heather,8
TN,F,2013,Isis,8
TN,F,2013,Itzel,8
TN,F,2013,Ivey,8
TN,F,2013,Jacey,8
TN,F,2013,Jaleah,8
TN,F,2013,Jazlyn,8
TN,F,2013,Jessa,8
TN,F,2013,Jolie,8
TN,F,2013,Journei,8
TN,F,2013,Jovie,8
TN,F,2013,Julie,8
TN,F,2013,Juliette,8
TN,F,2013,Kaley,8
TN,F,2013,Kambree,8
TN,F,2013,Kamiyah,8
TN,F,2013,Karleigh,8
TN,F,2013,Kayley,8
TN,F,2013,Kenzi,8
TN,F,2013,Kenzlee,8
TN,F,2013,Kenzley,8
TN,F,2013,Kiera,8
TN,F,2013,Kylah,8
TN,F,2013,Lakelyn,8
TN,F,2013,Leanna,8
TN,F,2013,Lela,8
TN,F,2013,Lennox,8
TN,F,2013,Lesly,8
TN,F,2013,Lia,8
TN,F,2013,Lillianna,8
TN,F,2013,Lilyana,8
TN,F,2013,Lindsay,8
TN,F,2013,Louisa,8
TN,F,2013,Lynlee,8
TN,F,2013,Malayah,8
TN,F,2013,Maleigha,8
TN,F,2013,Mariyah,8
TN,F,2013,Marlie,8
TN,F,2013,Monica,8
TN,F,2013,Nia,8
TN,F,2013,Nova,8
TN,F,2013,Palmer,8
TN,F,2013,Raina,8
TN,F,2013,Raylee,8
TN,F,2013,Ryann,8
TN,F,2013,Saylor,8
TN,F,2013,Shyla,8
TN,F,2013,Taniyah,8
TN,F,2013,Temperance,8
TN,F,2013,Viviana,8
TN,F,2013,Wren,8
TN,F,2013,Zaniya,8
TN,F,2013,Aanya,7
TN,F,2013,Aaralyn,7
TN,F,2013,Abbey,7
TN,F,2013,Abbygail,7
TN,F,2013,Abrielle,7
TN,F,2013,Adele,7
TN,F,2013,Adelina,7
TN,F,2013,Adilyn,7
TN,F,2013,Adleigh,7
TN,F,2013,Adyson,7
TN,F,2013,Aileen,7
TN,F,2013,Alayla,7
TN,F,2013,Alaysia,7
TN,F,2013,Aleeah,7
TN,F,2013,Ali,7
TN,F,2013,Alondra,7
TN,F,2013,Anika,7
TN,F,2013,Annaleigh,7
TN,F,2013,Ariah,7
TN,F,2013,Ariya,7
TN,F,2013,Ariyana,7
TN,F,2013,Armani,7
TN,F,2013,Aryanna,7
TN,F,2013,Astrid,7
TN,F,2013,Baylor,7
TN,F,2013,Bonnie,7
TN,F,2013,Bria,7
TN,F,2013,Brookelyn,7
TN,F,2013,Brookelynn,7
TN,F,2013,Caelyn,7
TN,F,2013,Caitlin,7
TN,F,2013,Caleigh,7
