StateCode,Sex,YearOfBirth,Name,Number
TN,M,1948,Lebron,6
TN,M,1948,Lenard,6
TN,M,1948,Manuel,6
TN,M,1948,Merle,6
TN,M,1948,Napoleon,6
TN,M,1948,Nicholas,6
TN,M,1948,Noah,6
TN,M,1948,Otha,6
TN,M,1948,Owen,6
TN,M,1948,Prentice,6
TN,M,1948,Terrance,6
TN,M,1948,Winfred,6
TN,M,1948,Auther,5
TN,M,1948,Avery,5
TN,M,1948,Benton,5
TN,M,1948,Booker,5
TN,M,1948,Buster,5
TN,M,1948,Carter,5
TN,M,1948,Cedric,5
TN,M,1948,Chuck,5
TN,M,1948,Connie,5
TN,M,1948,Davey,5
TN,M,1948,Delmer,5
TN,M,1948,Dennie,5
TN,M,1948,Dillard,5
TN,M,1948,Dwain,5
TN,M,1948,Emanuel,5
TN,M,1948,Freeman,5
TN,M,1948,Gearld,5
TN,M,1948,Grant,5
TN,M,1948,Harlan,5
TN,M,1948,Haskell,5
TN,M,1948,Haywood,5
TN,M,1948,Houston,5
TN,M,1948,Howell,5
TN,M,1948,Issac,5
TN,M,1948,Jackson,5
TN,M,1948,Jacob,5
TN,M,1948,Jame,5
TN,M,1948,Jewell,5
TN,M,1948,Kendall,5
TN,M,1948,Lamar,5
TN,M,1948,Leland,5
TN,M,1948,Linwood,5
TN,M,1948,Lon,5
TN,M,1948,Lonzo,5
TN,M,1948,Loy,5
TN,M,1948,Luke,5
TN,M,1948,Montie,5
TN,M,1948,Moses,5
TN,M,1948,Ned,5
TN,M,1948,Newton,5
TN,M,1948,Nolan,5
TN,M,1948,Reuben,5
TN,M,1948,Rocky,5
TN,M,1948,Rondal,5
TN,M,1948,Ruben,5
TN,M,1948,Stephan,5
TN,M,1948,Toney,5
TN,M,1948,Vance,5
TN,M,1948,Wilbert,5
TN,M,1948,Wilford,5
TN,M,1948,Windell,5
TN,M,1948,Zane,5
TN,M,1949,James,2847
TN,M,1949,William,1719
TN,M,1949,John,1509
TN,M,1949,Robert,1499
TN,M,1949,Charles,1344
TN,M,1949,Larry,1336
TN,M,1949,David,1296
TN,M,1949,Jerry,928
TN,M,1949,Michael,893
TN,M,1949,Thomas,780
TN,M,1949,Gary,757
TN,M,1949,Ronald,708
TN,M,1949,Richard,627
TN,M,1949,Donald,599
TN,M,1949,Kenneth,539
TN,M,1949,George,482
TN,M,1949,Billy,477
TN,M,1949,Jimmy,467
TN,M,1949,Johnny,428
TN,M,1949,Roger,403
TN,M,1949,Danny,399
TN,M,1949,Ronnie,385
TN,M,1949,Terry,384
TN,M,1949,Bobby,346
TN,M,1949,Paul,342
TN,M,1949,Edward,331
TN,M,1949,Joe,324
TN,M,1949,Joseph,322
TN,M,1949,Stephen,307
TN,M,1949,Harold,303
TN,M,1949,Willie,293
TN,M,1949,Roy,287
TN,M,1949,Carl,264
TN,M,1949,Dennis,257
TN,M,1949,Eddie,251
TN,M,1949,Tommy,237
TN,M,1949,Steven,231
TN,M,1949,Phillip,215
TN,M,1949,Walter,211
TN,M,1949,Daniel,208
TN,M,1949,Raymond,188
TN,M,1949,Frank,182
TN,M,1949,Samuel,182
TN,M,1949,Wayne,177
TN,M,1949,Henry,176
TN,M,1949,Steve,174
TN,M,1949,Ralph,172
TN,M,1949,Jackie,161
TN,M,1949,Gerald,157
TN,M,1949,Donnie,154
TN,M,1949,Jack,152
TN,M,1949,Fred,148
TN,M,1949,Clarence,140
TN,M,1949,Melvin,137
TN,M,1949,Harry,132
TN,M,1949,Douglas,129
TN,M,1949,Ernest,129
TN,M,1949,Howard,129
TN,M,1949,Arthur,127
TN,M,1949,Randall,122
TN,M,1949,Glenn,119
TN,M,1949,Don,115
TN,M,1949,Lawrence,115
TN,M,1949,Stanley,114
TN,M,1949,Eugene,113
TN,M,1949,Albert,112
TN,M,1949,Earl,108
TN,M,1949,Anthony,105
TN,M,1949,Charlie,103
TN,M,1949,Ray,100
TN,M,1949,Marvin,97
TN,M,1949,Floyd,91
TN,M,1949,Allen,88
TN,M,1949,Barry,88
TN,M,1949,Jimmie,86
TN,M,1949,Lee,85
TN,M,1949,Lonnie,85
TN,M,1949,Timothy,84
TN,M,1949,Clyde,82
TN,M,1949,Leonard,82
TN,M,1949,Bruce,81
TN,M,1949,Tony,81
TN,M,1949,Clifford,80
TN,M,1949,Herbert,80
TN,M,1949,Mark,79
TN,M,1949,Jesse,78
TN,M,1949,Alan,77
TN,M,1949,Calvin,77
TN,M,1949,Freddie,77
TN,M,1949,Patrick,77
TN,M,1949,Sammy,77
TN,M,1949,Alvin,76
TN,M,1949,Garry,76
TN,M,1949,Philip,76
TN,M,1949,Andrew,75
TN,M,1949,Micheal,72
TN,M,1949,Curtis,71
TN,M,1949,Herman,71
TN,M,1949,Russell,71
TN,M,1949,Mike,69
TN,M,1949,Benny,68
TN,M,1949,Bill,68
TN,M,1949,Dale,68
TN,M,1949,Gregory,68
TN,M,1949,Alfred,67
TN,M,1949,Leroy,65
TN,M,1949,Jim,64
TN,M,1949,Franklin,63
TN,M,1949,Glen,63
TN,M,1949,Ricky,63
TN,M,1949,Lloyd,62
TN,M,1949,Randy,62
TN,M,1949,Leon,61
TN,M,1949,Dwight,60
TN,M,1949,Cecil,58
TN,M,1949,Chester,58
TN,M,1949,Claude,58
TN,M,1949,Hugh,58
TN,M,1949,Norman,58
TN,M,1949,Louis,57
TN,M,1949,Lynn,57
TN,M,1949,Frederick,55
TN,M,1949,Gene,54
TN,M,1949,Jessie,54
TN,M,1949,Joel,53
TN,M,1949,Johnnie,52
TN,M,1949,Teddy,50
TN,M,1949,Vernon,50
