StateCode,Sex,YearOfBirth,Name,Number
TN,M,1988,Tory,7
TN,M,1988,Vernon,7
TN,M,1988,Angelo,6
TN,M,1988,Benny,6
TN,M,1988,Benton,6
TN,M,1988,Braden,6
TN,M,1988,Brendan,6
TN,M,1988,Britton,6
TN,M,1988,Bryon,6
TN,M,1988,Bryson,6
TN,M,1988,Chauncey,6
TN,M,1988,Cole,6
TN,M,1988,Connor,6
TN,M,1988,Corbin,6
TN,M,1988,Dan,6
TN,M,1988,Dana,6
TN,M,1988,Darin,6
TN,M,1988,Davis,6
TN,M,1988,Demarco,6
TN,M,1988,Deshawn,6
TN,M,1988,Don,6
TN,M,1988,Edwin,6
TN,M,1988,Elliot,6
TN,M,1988,Emanuel,6
TN,M,1988,Geremy,6
TN,M,1988,Hank,6
TN,M,1988,Harris,6
TN,M,1988,Jamichael,6
TN,M,1988,Jerald,6
TN,M,1988,Jessee,6
TN,M,1988,Jody,6
TN,M,1988,Joesph,6
TN,M,1988,Jonah,6
TN,M,1988,Jose,6
TN,M,1988,Kody,6
TN,M,1988,Korey,6
TN,M,1988,Lester,6
TN,M,1988,Lukas,6
TN,M,1988,Marques,6
TN,M,1988,Martavious,6
TN,M,1988,Nathanial,6
TN,M,1988,Nico,6
TN,M,1988,Randal,6
TN,M,1988,Raphael,6
TN,M,1988,Shea,6
TN,M,1988,Shelby,6
TN,M,1988,Timmy,6
TN,M,1988,Tommie,6
TN,M,1988,Tucker,6
TN,M,1988,Tyrell,6
TN,M,1988,Vance,6
TN,M,1988,Willis,6
TN,M,1988,Arron,5
TN,M,1988,Ben,5
TN,M,1988,Bill,5
TN,M,1988,Braxton,5
TN,M,1988,Brennen,5
TN,M,1988,Brittany,5
TN,M,1988,Cedrick,5
TN,M,1988,Clyde,5
TN,M,1988,Damon,5
TN,M,1988,Dante,5
TN,M,1988,Deadrick,5
TN,M,1988,Demarius,5
TN,M,1988,Deon,5
TN,M,1988,Deundra,5
TN,M,1988,Donavan,5
TN,M,1988,Dwight,5
TN,M,1988,Edgar,5
TN,M,1988,Elton,5
TN,M,1988,Erin,5
TN,M,1988,Felix,5
TN,M,1988,Isiah,5
TN,M,1988,Issac,5
TN,M,1988,Jarad,5
TN,M,1988,Jefferson,5
TN,M,1988,Jim,5
TN,M,1988,Kellen,5
TN,M,1988,Kenton,5
TN,M,1988,Kirby,5
TN,M,1988,Kristofer,5
TN,M,1988,Leo,5
TN,M,1988,Lloyd,5
TN,M,1988,Marcell,5
TN,M,1988,Marco,5
TN,M,1988,Markus,5
TN,M,1988,Martez,5
TN,M,1988,Mikel,5
TN,M,1988,Morris,5
TN,M,1988,Mychal,5
TN,M,1988,Neal,5
TN,M,1988,Oliver,5
TN,M,1988,Princeton,5
TN,M,1988,Quincy,5
TN,M,1988,Rafael,5
TN,M,1988,Rashad,5
TN,M,1988,Rhett,5
TN,M,1988,Roman,5
TN,M,1988,Rory,5
TN,M,1988,Royce,5
TN,M,1988,Rufus,5
TN,M,1988,Sebastian,5
TN,M,1988,Sergio,5
TN,M,1988,Silas,5
TN,M,1988,Skylar,5
TN,M,1988,Stacey,5
TN,M,1988,Stacy,5
TN,M,1988,Steve,5
TN,M,1988,Teddy,5
TN,M,1988,Toby,5
TN,M,1988,Trinity,5
TN,M,1988,Waylon,5
TN,M,1988,Whitney,5
TN,M,1989,Joshua,1205
TN,M,1989,Christopher,1199
TN,M,1989,Michael,1056
TN,M,1989,James,1027
TN,M,1989,Justin,963
TN,M,1989,Matthew,889
TN,M,1989,William,846
TN,M,1989,Brandon,678
TN,M,1989,Robert,675
TN,M,1989,John,621
TN,M,1989,David,585
TN,M,1989,Jonathan,564
TN,M,1989,Daniel,534
TN,M,1989,Andrew,511
TN,M,1989,Joseph,487
TN,M,1989,Dustin,394
TN,M,1989,Cody,390
TN,M,1989,Jeremy,390
TN,M,1989,Nicholas,383
TN,M,1989,Charles,380
TN,M,1989,Jacob,371
TN,M,1989,Thomas,368
TN,M,1989,Timothy,364
TN,M,1989,Zachary,364
TN,M,1989,Steven,345
TN,M,1989,Ryan,333
TN,M,1989,Adam,318
TN,M,1989,Benjamin,308
TN,M,1989,Kevin,301
TN,M,1989,Anthony,296
TN,M,1989,Tyler,292
TN,M,1989,Eric,287
TN,M,1989,Aaron,281
TN,M,1989,Stephen,254
TN,M,1989,Brian,250
TN,M,1989,Richard,250
TN,M,1989,Jordan,236
TN,M,1989,Bradley,222
TN,M,1989,Kenneth,217
TN,M,1989,Travis,215
TN,M,1989,Nathan,211
TN,M,1989,Corey,203
TN,M,1989,Patrick,189
TN,M,1989,Samuel,189
TN,M,1989,Kyle,186
TN,M,1989,Mark,181
TN,M,1989,Jason,175
TN,M,1989,Austin,171
TN,M,1989,Jesse,171
TN,M,1989,Jeffrey,168
TN,M,1989,Alexander,164
TN,M,1989,Cory,160
TN,M,1989,Derek,157
TN,M,1989,Marcus,148
TN,M,1989,Gregory,147
TN,M,1989,Phillip,147
TN,M,1989,Caleb,128
TN,M,1989,Bryan,127
TN,M,1989,Sean,126
TN,M,1989,Taylor,126
TN,M,1989,Jared,124
TN,M,1989,Cameron,122
TN,M,1989,Paul,118
TN,M,1989,Wesley,118
TN,M,1989,Logan,117
TN,M,1989,Jerry,109
TN,M,1989,Ethan,107
TN,M,1989,Jeffery,106
TN,M,1989,Chase,105
TN,M,1989,Antonio,104
TN,M,1989,Casey,102
TN,M,1989,Nathaniel,102
TN,M,1989,Terry,98
TN,M,1989,Derrick,94
TN,M,1989,Johnathan,94
TN,M,1989,Bobby,90
TN,M,1989,Keith,89
TN,M,1989,Larry,89
TN,M,1989,Scott,86
TN,M,1989,Blake,84
TN,M,1989,Edward,84
TN,M,1989,Billy,83
TN,M,1989,Donald,83
TN,M,1989,Mitchell,83
TN,M,1989,Chad,81
TN,M,1989,Ricky,81
TN,M,1989,Seth,81
TN,M,1989,Alex,77
TN,M,1989,Shawn,77
TN,M,1989,Devin,75
TN,M,1989,Hunter,75
TN,M,1989,Curtis,74
TN,M,1989,Gary,72
TN,M,1989,Ronald,72
TN,M,1989,Darius,70
TN,M,1989,Tony,70
TN,M,1989,George,69
TN,M,1989,Jeremiah,69
TN,M,1989,Shane,69
TN,M,1989,Spencer,69
TN,M,1989,Jimmy,68
TN,M,1989,Evan,66
TN,M,1989,Jonathon,66
TN,M,1989,Johnny,63
TN,M,1989,Randall,62
TN,M,1989,Randy,61
TN,M,1989,Brett,60
TN,M,1989,Douglas,60
TN,M,1989,Brent,59
TN,M,1989,Ian,58
TN,M,1989,Willie,58
TN,M,1989,Courtney,57
TN,M,1989,Joel,57
TN,M,1989,Lucas,57
TN,M,1989,Rodney,57
TN,M,1989,Trevor,55
TN,M,1989,Allen,54
TN,M,1989,Walter,54
TN,M,1989,Carl,52
TN,M,1989,Dylan,52
TN,M,1989,Raymond,52
TN,M,1989,Colton,51
TN,M,1989,Reginald,50
TN,M,1989,Russell,50
TN,M,1989,Philip,49
TN,M,1989,Alan,48
TN,M,1989,Danny,48
TN,M,1989,Dennis,48
TN,M,1989,Roger,47
TN,M,1989,Jessie,46
TN,M,1989,Preston,46
TN,M,1989,Clayton,45
TN,M,1989,Jack,45
TN,M,1989,Micheal,45
TN,M,1989,Tommy,45
TN,M,1989,Terrance,44
TN,M,1989,Garrett,43
TN,M,1989,Vincent,43
TN,M,1989,Lee,42
TN,M,1989,Adrian,41
TN,M,1989,Calvin,41
TN,M,1989,Jamie,41
TN,M,1989,Darren,40
TN,M,1989,Jarvis,40
TN,M,1989,Roy,40
TN,M,1989,Christian,39
TN,M,1989,Jon,38
TN,M,1989,Mario,38
TN,M,1989,Darrell,37
TN,M,1989,Craig,35
TN,M,1989,Deandre,35
TN,M,1989,Marvin,35
TN,M,1989,Micah,35
TN,M,1989,Ronnie,35
TN,M,1989,Terrence,35
TN,M,1989,Clinton,34
TN,M,1989,Coty,34
TN,M,1989,Drew,34
TN,M,1989,Eddie,34
TN,M,1989,Troy,34
TN,M,1989,Victor,34
TN,M,1989,Luke,33
TN,M,1989,Xavier,33
TN,M,1989,Zachery,33
TN,M,1989,Bryant,32
TN,M,1989,Frank,32
TN,M,1989,Gerald,32
TN,M,1989,Grant,32
TN,M,1989,Isaac,32
TN,M,1989,Jake,31
TN,M,1989,Joe,31
TN,M,1989,Kristopher,31
TN,M,1989,Landon,31
TN,M,1989,Melvin,31
TN,M,1989,Andre,30
TN,M,1989,Demarcus,30
TN,M,1989,Erik,30
TN,M,1989,Julian,30
TN,M,1989,Colby,29
TN,M,1989,Dakota,29
TN,M,1989,Dominique,29
TN,M,1989,Henry,29
TN,M,1989,Levi,29
TN,M,1989,Roderick,29
TN,M,1989,Gabriel,28
TN,M,1989,Jay,28
TN,M,1989,Johnathon,28
TN,M,1989,Peter,28
TN,M,1989,Todd,28
TN,M,1989,Deangelo,27
TN,M,1989,Devon,27
TN,M,1989,Martin,27
TN,M,1989,Maurice,27
TN,M,1989,Ross,27
TN,M,1989,Clarence,26
TN,M,1989,Kendall,26
TN,M,1989,Lance,26
TN,M,1989,Marshall,26
TN,M,1989,Arthur,25
TN,M,1989,Desmond,25
TN,M,1989,Joey,25
TN,M,1989,Lawrence,25
TN,M,1989,Mathew,25
TN,M,1989,Bruce,24
TN,M,1989,Bryce,24
TN,M,1989,Byron,24
TN,M,1989,Darrius,24
TN,M,1989,Frederick,24
TN,M,1989,Stanley,24
TN,M,1989,Trenton,24
TN,M,1989,Carlos,23
TN,M,1989,Harold,23
TN,M,1989,Heath,23
TN,M,1989,Kendrick,23
TN,M,1989,Noah,23
TN,M,1989,Terrell,23
TN,M,1989,Jarrod,22
TN,M,1989,Louis,22
TN,M,1989,Rico,22
TN,M,1989,Zackery,22
TN,M,1989,Dexter,21
TN,M,1989,Elijah,21
TN,M,1989,Ernest,21
TN,M,1989,Harrison,21
TN,M,1989,Jermaine,21
TN,M,1989,Nickolas,21
