StateCode,Sex,YearOfBirth,Name,Number
TX,F,1938,Bernadine,8
TX,F,1938,Camilla,8
TX,F,1938,Cathy,8
TX,F,1938,Cheryl,8
TX,F,1938,Claire,8
TX,F,1938,Claudie,8
TX,F,1938,Clemmie,8
TX,F,1938,Deanne,8
TX,F,1938,Dimple,8
TX,F,1938,Dona,8
TX,F,1938,Gretchen,8
TX,F,1938,Hilaria,8
TX,F,1938,Isidra,8
TX,F,1938,Janey,8
TX,F,1938,Jaunita,8
TX,F,1938,Jeannie,8
TX,F,1938,Kathrine,8
TX,F,1938,Laquita,8
TX,F,1938,Lavonne,8
TX,F,1938,Leslie,8
TX,F,1938,Leticia,8
TX,F,1938,Lona,8
TX,F,1938,Louella,8
TX,F,1938,Marcelina,8
TX,F,1938,Margery,8
TX,F,1938,Mariana,8
TX,F,1938,Marina,8
TX,F,1938,Merry,8
TX,F,1938,Mozell,8
TX,F,1938,Neta,8
TX,F,1938,Odelia,8
TX,F,1938,Renee,8
TX,F,1938,Rowena,8
TX,F,1938,Sallye,8
TX,F,1938,Sidney,8
TX,F,1938,Tillie,8
TX,F,1938,Valentina,8
TX,F,1938,Veda,8
TX,F,1938,Vesta,8
TX,F,1938,William,8
TX,F,1938,Adell,7
TX,F,1938,Arline,7
TX,F,1938,Belinda,7
TX,F,1938,Blanch,7
TX,F,1938,Celeste,7
TX,F,1938,Chloe,7
TX,F,1938,Conception,7
TX,F,1938,Criselda,7
TX,F,1938,Darline,7
TX,F,1938,David,7
TX,F,1938,Dorothea,7
TX,F,1938,Dottie,7
TX,F,1938,Elidia,7
TX,F,1938,Elna,7
TX,F,1938,Elwanda,7
TX,F,1938,Emmie,7
TX,F,1938,Enedelia,7
TX,F,1938,Erminia,7
TX,F,1938,Fairy,7
TX,F,1938,Faith,7
TX,F,1938,Feliciana,7
TX,F,1938,Florene,7
TX,F,1938,Gale,7
TX,F,1938,Gayla,7
TX,F,1938,Genell,7
TX,F,1938,Greta,7
TX,F,1938,Gussie,7
TX,F,1938,Henry,7
TX,F,1938,Ignacia,7
TX,F,1938,Juliet,7
TX,F,1938,Leatrice,7
TX,F,1938,Leonora,7
TX,F,1938,Librada,7
TX,F,1938,Loraine,7
TX,F,1938,Loy,7
TX,F,1938,Lura,7
TX,F,1938,Lyda,7
TX,F,1938,Margrett,7
TX,F,1938,Marla,7
TX,F,1938,Maureen,7
TX,F,1938,Melinda,7
TX,F,1938,Merlene,7
TX,F,1938,Micaela,7
TX,F,1938,Myrtie,7
TX,F,1938,Nella,7
TX,F,1938,Noreta,7
TX,F,1938,Ofilia,7
TX,F,1938,Olive,7
TX,F,1938,Pearlene,7
TX,F,1938,Refugio,7
TX,F,1938,Romelia,7
TX,F,1938,Sarita,7
TX,F,1938,Sherrie,7
TX,F,1938,Soila,7
TX,F,1938,Sophia,7
TX,F,1938,Sophie,7
TX,F,1938,Sydney,7
TX,F,1938,Tina,7
TX,F,1938,Venita,7
TX,F,1938,Verdie,7
TX,F,1938,Vickie,7
TX,F,1938,Wilda,7
TX,F,1938,Zoila,7
TX,F,1938,Zona,7
TX,F,1938,Alpha,6
TX,F,1938,Anastacia,6
TX,F,1938,Augusta,6
TX,F,1938,Baby,6
TX,F,1938,Berniece,6
TX,F,1938,Carmel,6
TX,F,1938,Carrol,6
TX,F,1938,Cindy,6
TX,F,1938,Clemencia,6
TX,F,1938,Corinne,6
TX,F,1938,Corrine,6
TX,F,1938,Deana,6
TX,F,1938,Delta,6
TX,F,1938,Doreen,6
TX,F,1938,Edelmira,6
TX,F,1938,Elda,6
TX,F,1938,Elfida,6
TX,F,1938,Elisabeth,6
TX,F,1938,Eudelia,6
TX,F,1938,Felicia,6
TX,F,1938,Fern,6
TX,F,1938,Francies,6
TX,F,1938,Francine,6
TX,F,1938,Gennie,6
TX,F,1938,Gilberto,6
TX,F,1938,Glennis,6
TX,F,1938,Hettie,6
TX,F,1938,Iona,6
TX,F,1938,Isabell,6
TX,F,1938,Jayne,6
TX,F,1938,Jeanine,6
TX,F,1938,Jenell,6
TX,F,1938,Jerlean,6
TX,F,1938,Jerline,6
TX,F,1938,Jesus,6
TX,F,1938,Jesusita,6
TX,F,1938,Juanell,6
TX,F,1938,Kate,6
TX,F,1938,Katheryn,6
TX,F,1938,Lanelle,6
TX,F,1938,Laurel,6
TX,F,1938,Leila,6
TX,F,1938,Linnie,6
TX,F,1938,Lucilla,6
TX,F,1938,Lupita,6
TX,F,1938,Magdalen,6
TX,F,1938,Mandy,6
TX,F,1938,Margret,6
TX,F,1938,Maryhelen,6
TX,F,1938,Michelle,6
TX,F,1938,Nelva,6
TX,F,1938,Novella,6
TX,F,1938,Octavia,6
TX,F,1938,Omega,6
TX,F,1938,Paulita,6
TX,F,1938,Pilar,6
TX,F,1938,Porfiria,6
TX,F,1938,Precious,6
TX,F,1938,Roslyn,6
TX,F,1938,Roy,6
TX,F,1938,San,6
TX,F,1938,Selia,6
TX,F,1938,Sherrill,6
TX,F,1938,Silvia,6
TX,F,1938,Teresita,6
TX,F,1938,Toni,6
TX,F,1938,Veta,6
TX,F,1938,Zenaida,6
TX,F,1938,Adelia,5
TX,F,1938,Adeline,5
TX,F,1938,Agapita,5
TX,F,1938,Agatha,5
TX,F,1938,Aileen,5
TX,F,1938,Aleta,5
TX,F,1938,Almarie,5
TX,F,1938,Almeta,5
TX,F,1938,Armida,5
TX,F,1938,Arthur,5
TX,F,1938,Audie,5
TX,F,1938,Bernadette,5
TX,F,1938,Bess,5
TX,F,1938,Carmela,5
TX,F,1938,Carmelita,5
TX,F,1938,Carolynn,5
TX,F,1938,Celestina,5
TX,F,1938,Charmaine,5
TX,F,1938,Clydene,5
TX,F,1938,Cordelia,5
TX,F,1938,Dahlia,5
TX,F,1938,Dannie,5
TX,F,1938,Dawn,5
TX,F,1938,Debra,5
TX,F,1938,Dena,5
TX,F,1938,Denise,5
TX,F,1938,Dessie,5
TX,F,1938,Diamantina,5
TX,F,1938,Dina,5
TX,F,1938,Domitila,5
TX,F,1938,Doretha,5
TX,F,1938,Dorthey,5
TX,F,1938,Drusilla,5
TX,F,1938,Earl,5
TX,F,1938,Edward,5
TX,F,1938,Eleanora,5
TX,F,1938,Emilie,5
TX,F,1938,Erin,5
TX,F,1938,Ernest,5
TX,F,1938,Ethelene,5
TX,F,1938,Ethelyn,5
TX,F,1938,Fayrene,5
TX,F,1938,Flavia,5
TX,F,1938,Florencia,5
TX,F,1938,Fransisca,5
TX,F,1938,Fredda,5
TX,F,1938,Freddye,5
TX,F,1938,Gaylia,5
TX,F,1938,Gaynell,5
TX,F,1938,Georgina,5
TX,F,1938,Gonzala,5
TX,F,1938,Guillermina,5
TX,F,1938,Gwenda,5
TX,F,1938,Harriette,5
TX,F,1938,Henri,5
TX,F,1938,Ines,5
TX,F,1938,Isidora,5
TX,F,1938,Ivory,5
TX,F,1938,Jack,5
TX,F,1938,Jacquelin,5
TX,F,1938,Janyce,5
TX,F,1938,Jeane,5
TX,F,1938,Jeanelle,5
TX,F,1938,Jerre,5
TX,F,1938,Joetta,5
TX,F,1938,Josephina,5
TX,F,1938,Joye,5
TX,F,1938,Juliana,5
TX,F,1938,Justine,5
TX,F,1938,Karolyn,5
TX,F,1938,Ladonna,5
TX,F,1938,Lanora,5
TX,F,1938,Lavonia,5
TX,F,1938,Lawana,5
TX,F,1938,Lea,5
TX,F,1938,Lelia,5
TX,F,1938,Lennie,5
TX,F,1938,Leonarda,5
TX,F,1938,Lettie,5
TX,F,1938,Lorena,5
TX,F,1938,Lourdes,5
TX,F,1938,Lu,5
TX,F,1938,Lucila,5
TX,F,1938,Lynette,5
TX,F,1938,Maclovia,5
TX,F,1938,Malinda,5
TX,F,1938,Marcela,5
TX,F,1938,Margot,5
TX,F,1938,Marjo,5
TX,F,1938,Marolyn,5
TX,F,1938,Mellie,5
TX,F,1938,Meredith,5
TX,F,1938,Merilyn,5
TX,F,1938,Mineola,5
TX,F,1938,Monica,5
TX,F,1938,Myrtis,5
TX,F,1938,Nanette,5
TX,F,1938,Narcisa,5
TX,F,1938,Norita,5
TX,F,1938,Nova,5
TX,F,1938,Oletha,5
TX,F,1938,Oletta,5
TX,F,1938,Olevia,5
TX,F,1938,Oliva,5
TX,F,1938,Oscar,5
TX,F,1938,Pamela,5
TX,F,1938,Reda,5
TX,F,1938,Reyes,5
TX,F,1938,Robin,5
TX,F,1938,Romona,5
TX,F,1938,Ruben,5
TX,F,1938,Rubie,5
TX,F,1938,Sammy,5
TX,F,1938,Serena,5
TX,F,1938,Shirlee,5
TX,F,1938,Soveida,5
TX,F,1938,Stephanie,5
TX,F,1938,Tennie,5
TX,F,1938,Tessie,5
TX,F,1938,Trudy,5
TX,F,1938,Valeria,5
TX,F,1938,Vallie,5
TX,F,1938,Verdell,5
TX,F,1938,Vergie,5
TX,F,1938,Verlene,5
TX,F,1938,Vernice,5
TX,F,1938,Vertie,5
TX,F,1938,Vida,5
TX,F,1938,Vonda,5
TX,F,1938,Zella,5
TX,F,1939,Mary,3254
TX,F,1939,Barbara,1738
TX,F,1939,Betty,1452
TX,F,1939,Maria,1193
TX,F,1939,Shirley,1020
TX,F,1939,Patricia,949
TX,F,1939,Dorothy,877
TX,F,1939,Patsy,742
TX,F,1939,Nancy,725
TX,F,1939,Martha,706
TX,F,1939,Linda,703
TX,F,1939,Joyce,648
TX,F,1939,Wanda,631
TX,F,1939,Margaret,624
TX,F,1939,Carolyn,609
TX,F,1939,Gloria,548
TX,F,1939,Virginia,531
TX,F,1939,Frances,521
TX,F,1939,Sandra,519
TX,F,1939,Peggy,513
TX,F,1939,Doris,505
TX,F,1939,Helen,502
TX,F,1939,Jo,463
TX,F,1939,Alice,425
TX,F,1939,Carol,425
TX,F,1939,Elizabeth,375
TX,F,1939,Juanita,369
TX,F,1939,Ruby,334
TX,F,1939,Norma,326
TX,F,1939,Glenda,316
TX,F,1939,Judy,311
TX,F,1939,Bobbie,308
TX,F,1939,Billie,299
TX,F,1939,Janice,294
TX,F,1939,Beverly,279
TX,F,1939,Sylvia,273
TX,F,1939,Ruth,263
TX,F,1939,Annie,262
TX,F,1939,Evelyn,251
TX,F,1939,Julia,237
TX,F,1939,Anita,233
TX,F,1939,Rosa,233
TX,F,1939,Ann,232
TX,F,1939,Dolores,230
TX,F,1939,Marilyn,230
TX,F,1939,Judith,229
TX,F,1939,Emma,226
TX,F,1939,Donna,217
TX,F,1939,Rose,213
TX,F,1939,Joan,210
TX,F,1939,Eva,208
TX,F,1939,Lois,206
TX,F,1939,Margie,203
TX,F,1939,Sue,202
TX,F,1939,Nelda,197
TX,F,1939,Anna,196
TX,F,1939,Sarah,196
TX,F,1939,Guadalupe,191
TX,F,1939,Jean,183
TX,F,1939,Mildred,182
TX,F,1939,Willie,181
TX,F,1939,Irene,179
TX,F,1939,Sharon,177
TX,F,1939,Dora,173
TX,F,1939,Jane,163
TX,F,1939,Kay,161
TX,F,1939,Clara,160
TX,F,1939,Janie,160
TX,F,1939,Paula,160
TX,F,1939,Lydia,156
TX,F,1939,Bonnie,155
TX,F,1939,Charlotte,155
TX,F,1939,Marie,153
TX,F,1939,Phyllis,152
TX,F,1939,Carmen,151
TX,F,1939,Edna,151
TX,F,1939,Bertha,149
TX,F,1939,Esther,148
TX,F,1939,Margarita,148
TX,F,1939,Melba,146
TX,F,1939,Thelma,145
TX,F,1939,Geraldine,143
TX,F,1939,Wilma,141
TX,F,1939,Gladys,140
TX,F,1939,Joann,140
TX,F,1939,Alicia,138
TX,F,1939,Olga,138
TX,F,1939,Loretta,136
TX,F,1939,Irma,135
TX,F,1939,Josephine,135
TX,F,1939,Rita,135
TX,F,1939,Johnnie,133
TX,F,1939,Laura,132
TX,F,1939,Louise,131
TX,F,1939,Georgia,128
TX,F,1939,Yvonne,127
TX,F,1939,Yolanda,126
TX,F,1939,Alma,125
TX,F,1939,Ethel,125
TX,F,1939,Jeanette,125
TX,F,1939,Jessie,124
TX,F,1939,Beatrice,122
TX,F,1939,Lillie,121
TX,F,1939,Sally,120
TX,F,1939,Ella,118
TX,F,1939,Rosie,118
TX,F,1939,Marjorie,117
TX,F,1939,Kathryn,116
TX,F,1939,Lupe,116
TX,F,1939,Pat,116
TX,F,1939,Sara,116
TX,F,1939,Joy,114
TX,F,1939,Janet,113
TX,F,1939,Minnie,113
TX,F,1939,Hazel,112
TX,F,1939,Lillian,111
TX,F,1939,Connie,110
TX,F,1939,Jimmie,110
TX,F,1939,Rebecca,109
TX,F,1939,Jackie,105
TX,F,1939,Vera,105
TX,F,1939,Aurora,102
TX,F,1939,Lynda,102
TX,F,1939,Charlene,101
TX,F,1939,Ida,101
TX,F,1939,Jerry,100
TX,F,1939,Karen,100
TX,F,1939,Teresa,99
TX,F,1939,Vivian,99
TX,F,1939,Carole,98
TX,F,1939,Ramona,98
TX,F,1939,Velma,97
TX,F,1939,Delia,96
TX,F,1939,Gwendolyn,95
TX,F,1939,Brenda,94
TX,F,1939,Bettie,93
TX,F,1939,Delores,93
TX,F,1939,Faye,93
TX,F,1939,Amelia,92
TX,F,1939,June,92
TX,F,1939,Rachel,92
TX,F,1939,Katherine,91
TX,F,1939,Maxine,91
TX,F,1939,Annette,89
TX,F,1939,Lucy,89
TX,F,1939,Antonia,87
TX,F,1939,Elida,87
TX,F,1939,Pauline,87
TX,F,1939,Bernice,86
TX,F,1939,Catherine,86
TX,F,1939,Mae,86
TX,F,1939,Edith,85
TX,F,1939,Olivia,85
TX,F,1939,Cynthia,83
TX,F,1939,Ellen,82
TX,F,1939,Erma,82
TX,F,1939,Florence,82
TX,F,1939,Geneva,82
TX,F,1939,Mattie,82
TX,F,1939,Consuelo,81
TX,F,1939,Grace,81
TX,F,1939,Myrna,81
TX,F,1939,Victoria,80
TX,F,1939,Gail,79
TX,F,1939,Eleanor,78
TX,F,1939,Elsie,78
TX,F,1939,Josefina,78
TX,F,1939,Petra,78
TX,F,1939,Susan,78
TX,F,1939,Bessie,77
TX,F,1939,Rosemary,77
TX,F,1939,Bettye,76
TX,F,1939,Oralia,76
TX,F,1939,Audrey,75
TX,F,1939,Tommie,75
TX,F,1939,Manuela,74
TX,F,1939,Theresa,73
TX,F,1939,Dominga,72
TX,F,1939,Estella,72
TX,F,1939,Janis,72
TX,F,1939,Kathleen,72
TX,F,1939,Esperanza,71
TX,F,1939,Myrtle,71
TX,F,1939,Celia,70
TX,F,1939,Elaine,70
TX,F,1939,Elvira,70
TX,F,1939,Sherry,70
TX,F,1939,Diana,69
TX,F,1939,Elva,69
TX,F,1939,Lucille,69
TX,F,1939,Christine,68
TX,F,1939,Dixie,68
TX,F,1939,Lou,68
TX,F,1939,Nellie,68
TX,F,1939,Nora,68
TX,F,1939,Diane,67
TX,F,1939,Stella,67
TX,F,1939,Cora,66
TX,F,1939,Suzanne,66
TX,F,1939,Angelita,65
TX,F,1939,Darlene,65
TX,F,1939,Isabel,64
TX,F,1939,Nina,64
TX,F,1939,Viola,64
TX,F,1939,Anne,63
TX,F,1939,Claudia,63
TX,F,1939,Cecilia,62
TX,F,1939,Frankie,62
TX,F,1939,Roberta,62
TX,F,1939,Verna,62
TX,F,1939,Laverne,61
TX,F,1939,Lola,61
TX,F,1939,Marion,60
TX,F,1939,Ernestina,59
TX,F,1939,Francisca,59
TX,F,1939,Dorthy,57
TX,F,1939,Molly,57
TX,F,1939,Andrea,55
TX,F,1939,Gracie,55
TX,F,1939,Ada,54
TX,F,1939,Opal,54
TX,F,1939,Priscilla,54
TX,F,1939,Jacqueline,53
TX,F,1939,Josie,53
TX,F,1939,Juana,53
TX,F,1939,Ofelia,53
TX,F,1939,Susie,53
TX,F,1939,Angelina,52
TX,F,1939,Deanna,52
TX,F,1939,Lula,52
TX,F,1939,Ernestine,51
TX,F,1939,Reba,51
TX,F,1939,Robbie,51
TX,F,1939,Carrie,50
TX,F,1939,Estela,50
TX,F,1939,Flora,50
TX,F,1939,Lena,49
TX,F,1939,Marian,49
TX,F,1939,Evangelina,48
TX,F,1939,Sonja,48
TX,F,1939,Emily,47
TX,F,1939,Ora,47
TX,F,1939,Ruthie,47
TX,F,1939,Hortencia,46
TX,F,1939,Minerva,46
TX,F,1939,Nettie,46
TX,F,1939,Rosalie,46
TX,F,1939,Carolina,45
TX,F,1939,Deloris,45
TX,F,1939,Gayle,45
TX,F,1939,Hilda,45
TX,F,1939,Naomi,45
TX,F,1939,Raquel,45
TX,F,1939,Elena,43
TX,F,1939,Herminia,43
TX,F,1939,Ima,43
TX,F,1939,Leona,43
TX,F,1939,Socorro,43
TX,F,1939,Beth,42
TX,F,1939,Jan,42
TX,F,1939,Lucia,42
TX,F,1939,Marcia,42
TX,F,1939,Ester,41
TX,F,1939,Hattie,41
TX,F,1939,Santos,41
TX,F,1939,Jewel,40
TX,F,1939,Leonor,40
TX,F,1939,Mollie,40
TX,F,1939,Bennie,39
TX,F,1939,Gay,39
TX,F,1939,Adela,38
TX,F,1939,Eloisa,38
TX,F,1939,Eula,38
TX,F,1939,Fay,38
TX,F,1939,Francis,38
TX,F,1939,Iva,38
TX,F,1939,Ola,38
TX,F,1939,Tomasa,38
TX,F,1939,Agnes,37
TX,F,1939,Della,37
TX,F,1939,Eunice,37
TX,F,1939,Fannie,37
TX,F,1939,Inez,37
TX,F,1939,Joanne,37
TX,F,1939,Nita,37
TX,F,1939,Arlene,36
TX,F,1939,Cruz,36
TX,F,1939,Eddie,36
TX,F,1939,Iris,36
TX,F,1939,Jeanne,35
TX,F,1939,Katie,35
TX,F,1939,Lidia,35
TX,F,1939,Neva,35
TX,F,1939,Benita,34
TX,F,1939,Elisa,34
TX,F,1939,Freda,34
TX,F,1939,Georgie,34
TX,F,1939,Patty,34
TX,F,1939,Pearl,34
TX,F,1939,Winnie,34
TX,F,1939,Elma,33
TX,F,1939,Ina,33
TX,F,1939,Maggie,33
TX,F,1939,Eloise,32
TX,F,1939,Henrietta,32
TX,F,1939,Lynn,32
TX,F,1939,Nell,32
TX,F,1939,Sallie,32
TX,F,1939,Sheila,32
TX,F,1939,Sondra,32
TX,F,1939,Ana,31
TX,F,1939,Cecelia,31
TX,F,1939,Concepcion,31
TX,F,1939,Earnestine,31
TX,F,1939,Janette,31
TX,F,1939,Lee,31
TX,F,1939,Mable,31
TX,F,1939,Marlene,31
TX,F,1939,Ollie,31
TX,F,1939,Polly,31
TX,F,1939,Daisy,30
TX,F,1939,Josefa,30
TX,F,1939,Melva,30
TX,F,1939,Myra,30
TX,F,1939,Sammie,30
TX,F,1939,Violet,30
TX,F,1939,Berta,29
TX,F,1939,Earline,29
TX,F,1939,Joe,29
TX,F,1939,Lorene,29
TX,F,1939,Magdalena,29
TX,F,1939,Mamie,29
TX,F,1939,Rosario,29
TX,F,1939,Etta,28
TX,F,1939,Freddie,28
TX,F,1939,Jennie,28
TX,F,1939,Lottie,28
TX,F,1939,Marta,28
TX,F,1939,Pearlie,28
TX,F,1939,Sofia,28
TX,F,1939,Alta,27
TX,F,1939,Constance,27
TX,F,1939,Glenna,27
TX,F,1939,Harriet,27
TX,F,1939,Herlinda,27
TX,F,1939,Saundra,27
TX,F,1939,Virgie,27
TX,F,1939,Addie,26
TX,F,1939,Charles,26
TX,F,1939,Dianne,26
TX,F,1939,Janelle,26
TX,F,1939,Lela,26
TX,F,1939,Vicki,26
TX,F,1939,Beulah,25
TX,F,1939,Delfina,25
TX,F,1939,Elia,25
TX,F,1939,Essie,25
TX,F,1939,Jacquelyn,25
TX,F,1939,Lanell,25
