StateCode,Sex,YearOfBirth,Name,Number
TX,F,1962,Jonette,5
TX,F,1962,Jovita,5
TX,F,1962,Judie,5
TX,F,1962,Kandace,5
TX,F,1962,Karie,5
TX,F,1962,Karole,5
TX,F,1962,Kassandra,5
TX,F,1962,Kate,5
TX,F,1962,Keli,5
TX,F,1962,Kem,5
TX,F,1962,Kevin,5
TX,F,1962,Kimi,5
TX,F,1962,Kyle,5
TX,F,1962,Kym,5
TX,F,1962,Lanette,5
TX,F,1962,Larry,5
TX,F,1962,Lavonda,5
TX,F,1962,Lawana,5
TX,F,1962,Leslea,5
TX,F,1962,Leslee,5
TX,F,1962,Letecia,5
TX,F,1962,Lina,5
TX,F,1962,Lindsey,5
TX,F,1962,Lizbeth,5
TX,F,1962,Lona,5
TX,F,1962,Lonnie,5
TX,F,1962,Loraine,5
TX,F,1962,Louis,5
TX,F,1962,Loyce,5
TX,F,1962,Luana,5
TX,F,1962,Luann,5
TX,F,1962,Margarett,5
TX,F,1962,Mariann,5
TX,F,1962,Maribelle,5
TX,F,1962,Marilynn,5
TX,F,1962,Marisol,5
TX,F,1962,Matilde,5
TX,F,1962,Mavis,5
TX,F,1962,Melida,5
TX,F,1962,Melodi,5
TX,F,1962,Merle,5
TX,F,1962,Milissa,5
TX,F,1962,Mireya,5
TX,F,1962,Mirtha,5
TX,F,1962,Monette,5
TX,F,1962,Nereida,5
TX,F,1962,Noreen,5
TX,F,1962,Normalinda,5
TX,F,1962,Oleta,5
TX,F,1962,Patrick,5
TX,F,1962,Perri,5
TX,F,1962,Racheal,5
TX,F,1962,Rana,5
TX,F,1962,Raul,5
TX,F,1962,Regenia,5
TX,F,1962,Reginia,5
TX,F,1962,Reyna,5
TX,F,1962,Richelle,5
TX,F,1962,Roberto,5
TX,F,1962,Rocio,5
TX,F,1962,Ronald,5
TX,F,1962,Roxana,5
TX,F,1962,Sadie,5
TX,F,1962,Scarlet,5
TX,F,1962,Shara,5
TX,F,1962,Sharan,5
TX,F,1962,Sharlene,5
TX,F,1962,Sherita,5
TX,F,1962,Star,5
TX,F,1962,Susy,5
TX,F,1962,Tammara,5
TX,F,1962,Tereasa,5
TX,F,1962,Terese,5
TX,F,1962,Terresa,5
TX,F,1962,Tessa,5
TX,F,1962,Thomas,5
TX,F,1962,Tomasita,5
TX,F,1962,Toy,5
TX,F,1962,Tracee,5
TX,F,1962,Trecia,5
TX,F,1962,Troy,5
TX,F,1962,Twana,5
TX,F,1962,Vada,5
TX,F,1962,Valinda,5
TX,F,1962,Veda,5
TX,F,1962,Virgina,5
TX,F,1962,Winifred,5
TX,F,1962,Youlanda,5
TX,F,1962,Zina,5
TX,F,1962,Zita,5
TX,F,1962,Zoila,5
TX,F,1963,Lisa,2347
TX,F,1963,Mary,2342
TX,F,1963,Maria,1769
TX,F,1963,Cynthia,1699
TX,F,1963,Sandra,1606
TX,F,1963,Linda,1422
TX,F,1963,Patricia,1409
TX,F,1963,Karen,1387
TX,F,1963,Donna,1357
TX,F,1963,Susan,1199
TX,F,1963,Tammy,1139
TX,F,1963,Brenda,1085
TX,F,1963,Elizabeth,1077
TX,F,1963,Pamela,1072
TX,F,1963,Teresa,1048
TX,F,1963,Laura,1004
TX,F,1963,Sharon,993
TX,F,1963,Debra,990
TX,F,1963,Kimberly,971
TX,F,1963,Deborah,965
TX,F,1963,Diana,868
TX,F,1963,Lori,823
TX,F,1963,Sylvia,771
TX,F,1963,Rebecca,743
TX,F,1963,Angela,727
TX,F,1963,Norma,700
TX,F,1963,Rhonda,699
TX,F,1963,Cheryl,696
TX,F,1963,Barbara,694
TX,F,1963,Cindy,686
TX,F,1963,Paula,682
TX,F,1963,Tina,663
TX,F,1963,Debbie,649
TX,F,1963,Kathy,636
TX,F,1963,Melissa,629
TX,F,1963,Nancy,613
TX,F,1963,Julie,611
TX,F,1963,Kelly,570
TX,F,1963,Carol,565
TX,F,1963,Gloria,553
TX,F,1963,Martha,549
TX,F,1963,Robin,544
TX,F,1963,Michelle,523
TX,F,1963,Sherry,522
TX,F,1963,Connie,514
TX,F,1963,Terri,507
TX,F,1963,Carolyn,502
TX,F,1963,Janet,484
TX,F,1963,Yolanda,476
TX,F,1963,Sheila,461
TX,F,1963,Dana,451
TX,F,1963,Jennifer,439
TX,F,1963,Theresa,437
TX,F,1963,Kim,436
TX,F,1963,Denise,434
TX,F,1963,Tracy,426
TX,F,1963,Judy,421
TX,F,1963,Anna,412
TX,F,1963,Diane,395
TX,F,1963,Leticia,394
TX,F,1963,Rosa,390
TX,F,1963,Margaret,379
TX,F,1963,Stephanie,378
TX,F,1963,Belinda,368
TX,F,1963,Jacqueline,367
TX,F,1963,Beverly,366
TX,F,1963,Janice,364
TX,F,1963,Anita,359
TX,F,1963,Virginia,356
TX,F,1963,Carla,355
TX,F,1963,Laurie,354
