StateCode,Sex,YearOfBirth,Name,Number
TX,F,1985,Katarina,5
TX,F,1985,Katherin,5
TX,F,1985,Kathlyn,5
TX,F,1985,Katia,5
TX,F,1985,Katlyn,5
TX,F,1985,Katrice,5
TX,F,1985,Kattie,5
TX,F,1985,Kayci,5
TX,F,1985,Kayley,5
TX,F,1985,Kaylyn,5
TX,F,1985,Keira,5
TX,F,1985,Kelci,5
TX,F,1985,Kenda,5
TX,F,1985,Kenyatta,5
TX,F,1985,Khadijah,5
TX,F,1985,Kiera,5
TX,F,1985,Kortni,5
TX,F,1985,Kristel,5
TX,F,1985,Kriston,5
TX,F,1985,Krystale,5
TX,F,1985,Krystan,5
TX,F,1985,Krystyn,5
TX,F,1985,Lan,5
TX,F,1985,Laporsha,5
TX,F,1985,Laqueta,5
TX,F,1985,Laresha,5
TX,F,1985,Larry,5
TX,F,1985,Lashandra,5
TX,F,1985,Lashunda,5
TX,F,1985,Lashundra,5
TX,F,1985,Latrecia,5
TX,F,1985,Leeanna,5
TX,F,1985,Liane,5
TX,F,1985,Lindi,5
TX,F,1985,Liset,5
TX,F,1985,Lisha,5
TX,F,1985,Lizzet,5
TX,F,1985,Lluvia,5
TX,F,1985,Loan,5
TX,F,1985,Lola,5
TX,F,1985,Loreal,5
TX,F,1985,Lorenza,5
TX,F,1985,Loriann,5
TX,F,1985,Lorin,5
TX,F,1985,Lorinda,5
TX,F,1985,Lory,5
TX,F,1985,Lucretia,5
TX,F,1985,Lyndsie,5
TX,F,1985,Lynne,5
TX,F,1985,Lysette,5
TX,F,1985,Mabel,5
TX,F,1985,Magali,5
TX,F,1985,Maghan,5
TX,F,1985,Mahogany,5
TX,F,1985,Malerie,5
TX,F,1985,Margaux,5
TX,F,1985,Mariaelena,5
TX,F,1985,Mariann,5
TX,F,1985,Marisella,5
TX,F,1985,Marita,5
TX,F,1985,Melaine,5
TX,F,1985,Melba,5
TX,F,1985,Melony,5
TX,F,1985,Melva,5
TX,F,1985,Meridith,5
TX,F,1985,Michel,5
TX,F,1985,Micki,5
TX,F,1985,Miguel,5
TX,F,1985,Mitchell,5
TX,F,1985,Myeisha,5
TX,F,1985,Mysti,5
TX,F,1985,Nakeisha,5
TX,F,1985,Nakita,5
TX,F,1985,Nathaniel,5
TX,F,1985,Nedra,5
TX,F,1985,Nena,5
TX,F,1985,Neva,5
TX,F,1985,Nickie,5
TX,F,1985,Nicky,5
TX,F,1985,Nicolasa,5
TX,F,1985,Nneka,5
TX,F,1985,Noemy,5
TX,F,1985,Nova,5
TX,F,1985,Ogechi,5
TX,F,1985,Patrica,5
TX,F,1985,Patty,5
TX,F,1985,Paulette,5
TX,F,1985,Pedro,5
TX,F,1985,Penelope,5
TX,F,1985,Peyton,5
TX,F,1985,Porscha,5
TX,F,1985,Priya,5
TX,F,1985,Rafael,5
TX,F,1985,Rana,5
TX,F,1985,Randee,5
TX,F,1985,Rayna,5
TX,F,1985,Reba,5
TX,F,1985,Renita,5
TX,F,1985,Rhianna,5
TX,F,1985,Rosamaria,5
TX,F,1985,Samara,5
TX,F,1985,Sammie,5
TX,F,1985,Sana,5
TX,F,1985,Sandie,5
TX,F,1985,Sarahi,5
TX,F,1985,Shaila,5
TX,F,1985,Shamica,5
TX,F,1985,Shamonica,5
TX,F,1985,Shanita,5
TX,F,1985,Sharhonda,5
TX,F,1985,Sharita,5
TX,F,1985,Shatara,5
TX,F,1985,Shaunte,5
TX,F,1985,Shawana,5
TX,F,1985,Shawanna,5
TX,F,1985,Shenna,5
TX,F,1985,Sherika,5
TX,F,1985,Shira,5
TX,F,1985,Shonna,5
TX,F,1985,Sirena,5
TX,F,1985,Steffani,5
TX,F,1985,Sunni,5
TX,F,1985,Sunshine,5
TX,F,1985,Suzana,5
TX,F,1985,Takeisha,5
TX,F,1985,Takisha,5
TX,F,1985,Talia,5
TX,F,1985,Tamica,5
TX,F,1985,Tammera,5
TX,F,1985,Tayler,5
TX,F,1985,Tempest,5
TX,F,1985,Tenesha,5
TX,F,1985,Terica,5
TX,F,1985,Thuy,5
TX,F,1985,Tianna,5
TX,F,1985,Tifani,5
TX,F,1985,Tiffanee,5
TX,F,1985,Tobie,5
TX,F,1985,Tommi,5
TX,F,1985,Tonie,5
TX,F,1985,Triana,5
TX,F,1985,Trinh,5
TX,F,1985,Tristin,5
TX,F,1985,Vannesa,5
TX,F,1985,Velia,5
TX,F,1985,Vonda,5
TX,F,1985,Whitnee,5
TX,F,1985,Winter,5
TX,F,1985,Xenia,5
TX,F,1985,Yasmine,5
TX,F,1985,Yen,5
TX,F,1985,Zoe,5
TX,F,1986,Ashley,4113
TX,F,1986,Jessica,4111
TX,F,1986,Amanda,3250
TX,F,1986,Jennifer,2919
TX,F,1986,Sarah,1936
TX,F,1986,Stephanie,1829
TX,F,1986,Crystal,1765
TX,F,1986,Brittany,1572
TX,F,1986,Elizabeth,1458
TX,F,1986,Amber,1443
TX,F,1986,Lauren,1404
TX,F,1986,Heather,1403
TX,F,1986,Melissa,1366
TX,F,1986,Laura,1293
TX,F,1986,Christina,1188
TX,F,1986,Megan,1136
TX,F,1986,Rachel,1124
TX,F,1986,Kimberly,1123
TX,F,1986,Tiffany,1067
TX,F,1986,Amy,1048
TX,F,1986,Erica,1040
TX,F,1986,Maria,1021
TX,F,1986,Samantha,1019
TX,F,1986,Vanessa,1007
TX,F,1986,Michelle,947
TX,F,1986,Nicole,864
TX,F,1986,Rebecca,830
TX,F,1986,Whitney,803
TX,F,1986,Emily,779
TX,F,1986,Courtney,765
TX,F,1986,Monica,755
TX,F,1986,Mary,728
TX,F,1986,Sara,728
TX,F,1986,Katherine,717
TX,F,1986,Angela,713
TX,F,1986,Lindsey,706
TX,F,1986,Danielle,702
TX,F,1986,Veronica,649
TX,F,1986,Victoria,645
TX,F,1986,Andrea,633
TX,F,1986,Valerie,631
TX,F,1986,Krystal,619
TX,F,1986,April,574
TX,F,1986,Jamie,567
TX,F,1986,Natalie,563
TX,F,1986,Erin,562
TX,F,1986,Cynthia,528
TX,F,1986,Lisa,526
TX,F,1986,Kristen,511
TX,F,1986,Brenda,491
TX,F,1986,Kelly,480
TX,F,1986,Erika,478
TX,F,1986,Alicia,466
TX,F,1986,Anna,454
TX,F,1986,Patricia,454
TX,F,1986,Allison,445
TX,F,1986,Diana,440
TX,F,1986,Kathryn,401
TX,F,1986,Leslie,401
TX,F,1986,Priscilla,401
TX,F,1986,Brittney,397
TX,F,1986,Lindsay,395
TX,F,1986,Katie,385
TX,F,1986,Sandra,381
TX,F,1986,Mayra,378
TX,F,1986,Kristin,375
TX,F,1986,Shannon,369
TX,F,1986,Christine,368
TX,F,1986,Brandi,361
TX,F,1986,Julie,361
TX,F,1986,Ana,358
TX,F,1986,Jacqueline,358
TX,F,1986,Chelsea,357
TX,F,1986,Angelica,353
TX,F,1986,Nancy,346
TX,F,1986,Meagan,339
TX,F,1986,Kristina,334
TX,F,1986,Claudia,330
TX,F,1986,Holly,322
TX,F,1986,Kayla,319
TX,F,1986,Cassandra,310
TX,F,1986,Catherine,305
TX,F,1986,Casey,292
TX,F,1986,Tara,290
TX,F,1986,Brandy,279
TX,F,1986,Jordan,271
