StateCode,Sex,YearOfBirth,Name,Number
TX,F,2010,Shyann,22
TX,F,2010,Sky,22
TX,F,2010,Tamara,22
TX,F,2010,Tanya,22
TX,F,2010,Yasmine,22
TX,F,2010,Yuridia,22
TX,F,2010,Addie,21
TX,F,2010,Alizay,21
TX,F,2010,Analisa,21
TX,F,2010,Anita,21
TX,F,2010,Annalee,21
TX,F,2010,Annelise,21
TX,F,2010,Audrianna,21
TX,F,2010,Carson,21
TX,F,2010,Charleigh,21
TX,F,2010,Chelsey,21
TX,F,2010,Dalila,21
TX,F,2010,Delia,21
TX,F,2010,Devyn,21
TX,F,2010,Elin,21
TX,F,2010,Everleigh,21
TX,F,2010,Gissel,21
TX,F,2010,Illiana,21
TX,F,2010,Ireland,21
TX,F,2010,Iyana,21
TX,F,2010,Jana,21
TX,F,2010,Janiah,21
TX,F,2010,Jazmyne,21
TX,F,2010,Jazzlynn,21
TX,F,2010,Jemma,21
TX,F,2010,Jiselle,21
TX,F,2010,Jordin,21
TX,F,2010,Juanita,21
TX,F,2010,Justine,21
TX,F,2010,Kai,21
TX,F,2010,Karley,21
TX,F,2010,Kathleen,21
TX,F,2010,Kiersten,21
TX,F,2010,Lacy,21
TX,F,2010,Makaila,21
TX,F,2010,Maricela,21
TX,F,2010,Mariel,21
TX,F,2010,Natali,21
TX,F,2010,Nelly,21
TX,F,2010,Priscila,21
TX,F,2010,Raleigh,21
TX,F,2010,Rayleigh,21
TX,F,2010,Scout,21
TX,F,2010,Solange,21
TX,F,2010,Tiara,21
TX,F,2010,Tracy,21
TX,F,2010,Trista,21
TX,F,2010,Unique,21
TX,F,2010,Yessenia,21
TX,F,2010,Yulianna,21
TX,F,2010,Alaysia,20
TX,F,2010,Ali,20
TX,F,2010,Amarie,20
TX,F,2010,Analise,20
TX,F,2010,Avianna,20
TX,F,2010,Bayleigh,20
TX,F,2010,Caitlynn,20
TX,F,2010,Cambria,20
TX,F,2010,Colette,20
TX,F,2010,Daira,20
TX,F,2010,Debora,20
TX,F,2010,Emme,20
TX,F,2010,Gracyn,20
TX,F,2010,Greta,20
TX,F,2010,Hattie,20
TX,F,2010,Irma,20
TX,F,2010,Italia,20
TX,F,2010,Jacie,20
TX,F,2010,Jael,20
TX,F,2010,Jizelle,20
TX,F,2010,Jocelyne,20
TX,F,2010,Kamille,20
TX,F,2010,Karly,20
TX,F,2010,Katya,20
TX,F,2010,Keely,20
TX,F,2010,Kirsten,20
TX,F,2010,Kylah,20
TX,F,2010,Lanie,20
TX,F,2010,Lara,20
TX,F,2010,Lexy,20
TX,F,2010,Lupita,20
TX,F,2010,Madelyne,20
TX,F,2010,Mariam,20
TX,F,2010,Melinda,20
TX,F,2010,Natalya,20
TX,F,2010,Nicolette,20
TX,F,2010,Noor,20
TX,F,2010,Odalys,20
TX,F,2010,Pilar,20
TX,F,2010,Riya,20
TX,F,2010,Tinley,20
TX,F,2010,Tyler,20
TX,F,2010,Yvonne,20
TX,F,2010,Zaria,20
TX,F,2010,Aanya,19
TX,F,2010,Abcde,19
TX,F,2010,Abrianna,19
TX,F,2010,Akira,19
TX,F,2010,Alysson,19
TX,F,2010,Ariyana,19
TX,F,2010,Aubri,19
TX,F,2010,Audree,19
TX,F,2010,Audrie,19
TX,F,2010,Ayari,19
TX,F,2010,Briseida,19
TX,F,2010,Caleigh,19
TX,F,2010,Celine,19
TX,F,2010,Charlize,19
TX,F,2010,Coral,19
TX,F,2010,Elida,19
TX,F,2010,Ericka,19
TX,F,2010,Gisele,19
TX,F,2010,Harlow,19
TX,F,2010,Henley,19
TX,F,2010,Issabella,19
TX,F,2010,Jaci,19
TX,F,2010,Jacklyn,19
TX,F,2010,Jailyn,19
TX,F,2010,Janeth,19
TX,F,2010,Jeanette,19
TX,F,2010,Juana,19
TX,F,2010,Kaley,19
TX,F,2010,Karma,19
TX,F,2010,Kathia,19
TX,F,2010,Kenlee,19
TX,F,2010,Kianna,19
TX,F,2010,Kinslee,19
TX,F,2010,Kori,19
TX,F,2010,Krista,19
TX,F,2010,Kynleigh,19
TX,F,2010,Landrie,19
TX,F,2010,Lillyanna,19
TX,F,2010,Magaly,19
TX,F,2010,Miyah,19
TX,F,2010,Nahla,19
TX,F,2010,Nya,19
TX,F,2010,Paislee,19
TX,F,2010,Raeleigh,19
TX,F,2010,Saanvi,19
TX,F,2010,Sheyla,19
TX,F,2010,Zaniah,19
TX,F,2010,Alanah,18
TX,F,2010,Alexi,18
TX,F,2010,Alizae,18
TX,F,2010,Amiah,18
TX,F,2010,Amyah,18
TX,F,2010,Annalisa,18
TX,F,2010,Annika,18
TX,F,2010,Ariadne,18
TX,F,2010,Arya,18
TX,F,2010,Ashton,18
TX,F,2010,Aviana,18
TX,F,2010,Berenice,18
TX,F,2010,Calista,18
TX,F,2010,Candice,18
TX,F,2010,Celina,18
TX,F,2010,Corina,18
TX,F,2010,Debanhi,18
TX,F,2010,Dora,18
TX,F,2010,Edna,18
TX,F,2010,Evolet,18
TX,F,2010,Jackie,18
TX,F,2010,Jaclyn,18
TX,F,2010,Jalyssa,18
TX,F,2010,Jamiyah,18
TX,F,2010,Jesslyn,18
TX,F,2010,Jianna,18
TX,F,2010,Joseline,18
TX,F,2010,Keily,18
TX,F,2010,Khloee,18
TX,F,2010,Kristal,18
TX,F,2010,Landri,18
TX,F,2010,Leigha,18
TX,F,2010,Meadow,18
TX,F,2010,Monique,18
TX,F,2010,Nalani,18
TX,F,2010,Nayelli,18
TX,F,2010,Presleigh,18
TX,F,2010,Robin,18
TX,F,2010,Sofie,18
TX,F,2010,Tia,18
TX,F,2010,Toni,18
TX,F,2010,Triniti,18
TX,F,2010,Zoya,18
TX,F,2010,Adalee,17
TX,F,2010,Addilyn,17
TX,F,2010,Adela,17
TX,F,2010,Adison,17
TX,F,2010,Aliyana,17
TX,F,2010,Alora,17
TX,F,2010,Anayeli,17
TX,F,2010,Angeles,17
TX,F,2010,Anjali,17
TX,F,2010,Aubrianna,17
TX,F,2010,Audriana,17
TX,F,2010,Austyn,17
TX,F,2010,Azucena,17
TX,F,2010,Briseis,17
TX,F,2010,Brynley,17
TX,F,2010,Carli,17
TX,F,2010,Carsyn,17
TX,F,2010,Dezirae,17
TX,F,2010,Emmaleigh,17
TX,F,2010,Emmy,17
TX,F,2010,Estefani,17
TX,F,2010,Estella,17
TX,F,2010,Gina,17
TX,F,2010,Gisel,17
TX,F,2010,Harleigh,17
TX,F,2010,Heavenly,17
TX,F,2010,Hillary,17
TX,F,2010,Ileana,17
TX,F,2010,Izabelle,17
TX,F,2010,Janette,17
TX,F,2010,Jasmyn,17
TX,F,2010,Jenifer,17
TX,F,2010,Jolene,17
TX,F,2010,Julisa,17
TX,F,2010,Kaily,17
TX,F,2010,Kennadi,17
TX,F,2010,Kinleigh,17
TX,F,2010,Kristin,17
TX,F,2010,Leann,17
TX,F,2010,Leeann,17
TX,F,2010,Leona,17
TX,F,2010,Loralei,17
TX,F,2010,Maddie,17
TX,F,2010,Makena,17
TX,F,2010,Maylee,17
TX,F,2010,Nayla,17
TX,F,2010,Nyah,17
TX,F,2010,Payten,17
TX,F,2010,Rhyan,17
TX,F,2010,Ria,17
TX,F,2010,Roberta,17
TX,F,2010,Sally,17
TX,F,2010,Samya,17
TX,F,2010,Stacey,17
TX,F,2010,Stevie,17
TX,F,2010,Yara,17
TX,F,2010,Zaida,17
TX,F,2010,Abagail,16
TX,F,2010,Ainslee,16
TX,F,2010,Aleyah,16
TX,F,2010,Angely,16
TX,F,2010,Ann,16
TX,F,2010,Anneliese,16
TX,F,2010,Ashanti,16
TX,F,2010,Aurelia,16
TX,F,2010,Aymar,16
TX,F,2010,Beatrice,16
TX,F,2010,Blessing,16
TX,F,2010,Cayleigh,16
TX,F,2010,Christy,16
TX,F,2010,Constance,16
TX,F,2010,Elliot,16
TX,F,2010,Emmalynn,16
TX,F,2010,Farah,16
TX,F,2010,Ivory,16
TX,F,2010,Izabel,16
TX,F,2010,Janya,16
TX,F,2010,Jaquelin,16
TX,F,2010,Jasleen,16
TX,F,2010,Jolee,16
TX,F,2010,Joselynn,16
TX,F,2010,Kaya,16
TX,F,2010,Laci,16
TX,F,2010,Lacie,16
TX,F,2010,Laurel,16
TX,F,2010,Leana,16
TX,F,2010,Lilyann,16
TX,F,2010,Liyah,16
TX,F,2010,Makiyah,16
TX,F,2010,Maryann,16
TX,F,2010,Miya,16
TX,F,2010,Mylah,16
TX,F,2010,Naila,16
TX,F,2010,Nikki,16
TX,F,2010,Nola,16
TX,F,2010,Nova,16
TX,F,2010,Raylynn,16
TX,F,2010,Rhea,16
TX,F,2010,Rita,16
TX,F,2010,Roxy,16
TX,F,2010,Savana,16
TX,F,2010,Shannon,16
TX,F,2010,Stormy,16
TX,F,2010,Sydni,16
TX,F,2010,Taniya,16
TX,F,2010,Zayla,16
TX,F,2010,Adele,15
TX,F,2010,Alaya,15
TX,F,2010,Aleyna,15
TX,F,2010,Alyanna,15
TX,F,2010,Amayah,15
TX,F,2010,Anabell,15
TX,F,2010,Angelita,15
TX,F,2010,Aven,15
TX,F,2010,Aymee,15
TX,F,2010,Brandi,15
TX,F,2010,Bria,15
TX,F,2010,Cambree,15
TX,F,2010,Camden,15
TX,F,2010,Carrie,15
TX,F,2010,Cassie,15
TX,F,2010,Chandler,15
TX,F,2010,Clare,15
TX,F,2010,Deisy,15
TX,F,2010,Delanie,15
TX,F,2010,Drew,15
TX,F,2010,Emalee,15
TX,F,2010,Emalyn,15
TX,F,2010,Emmie,15
TX,F,2010,Eryn,15
TX,F,2010,Eshal,15
TX,F,2010,Ester,15
TX,F,2010,Everly,15
TX,F,2010,Hadlee,15
TX,F,2010,Itzayana,15
TX,F,2010,Jacelyn,15
TX,F,2010,Jacquelin,15
TX,F,2010,Jailynn,15
TX,F,2010,Jaycie,15
TX,F,2010,Jeslyn,15
TX,F,2010,Jurnee,15
TX,F,2010,Kalyn,15
TX,F,2010,Kamilla,15
TX,F,2010,Karleigh,15
TX,F,2010,Karol,15
TX,F,2010,Keegan,15
TX,F,2010,Khloey,15
TX,F,2010,Kristy,15
TX,F,2010,Kya,15
TX,F,2010,Layne,15
TX,F,2010,Lianna,15
TX,F,2010,Lillyan,15
TX,F,2010,Londynn,15
TX,F,2010,Lourdes,15
TX,F,2010,Lyra,15
TX,F,2010,Magnolia,15
TX,F,2010,Malorie,15
TX,F,2010,Maxine,15
TX,F,2010,Maycee,15
TX,F,2010,Mayrin,15
TX,F,2010,Melannie,15
TX,F,2010,Nahomi,15
TX,F,2010,Nailah,15
TX,F,2010,Naima,15
TX,F,2010,Nariah,15
TX,F,2010,Nichole,15
TX,F,2010,Nohemi,15
TX,F,2010,Promise,15
TX,F,2010,Rileigh,15
TX,F,2010,Sahara,15
TX,F,2010,Sanai,15
TX,F,2010,Taytum,15
TX,F,2010,Aaliah,14
TX,F,2010,Alasia,14
TX,F,2010,Alexys,14
TX,F,2010,Alyna,14
TX,F,2010,Alysa,14
TX,F,2010,Amalia,14
TX,F,2010,Amberlynn,14
TX,F,2010,Ananya,14
TX,F,2010,Anastacia,14
TX,F,2010,Anayah,14
TX,F,2010,Anette,14
TX,F,2010,Angelie,14
TX,F,2010,Ariyanna,14
TX,F,2010,Blythe,14
TX,F,2010,Cailey,14
TX,F,2010,Calleigh,14
TX,F,2010,Cecily,14
TX,F,2010,Charis,14
TX,F,2010,Colbie,14
TX,F,2010,Dallas,14
TX,F,2010,Dasia,14
TX,F,2010,Deasia,14
TX,F,2010,Destini,14
TX,F,2010,Devin,14
TX,F,2010,Diane,14
TX,F,2010,Eisley,14
TX,F,2010,Elisha,14
TX,F,2010,Ellery,14
TX,F,2010,Elliott,14
TX,F,2010,Ellis,14
TX,F,2010,Elysia,14
TX,F,2010,Ema,14
TX,F,2010,Geneva,14
TX,F,2010,Gisell,14
TX,F,2010,Harmoni,14
TX,F,2010,Hunter,14
TX,F,2010,Jaeda,14
TX,F,2010,Janell,14
TX,F,2010,Jessenia,14
TX,F,2010,Jessika,14
TX,F,2010,Joscelyn,14
TX,F,2010,Josey,14
TX,F,2010,Julyssa,14
TX,F,2010,Kacey,14
TX,F,2010,Kahlan,14
TX,F,2010,Kambry,14
TX,F,2010,Karmen,14
TX,F,2010,Karrington,14
TX,F,2010,Karter,14
TX,F,2010,Katarina,14
TX,F,2010,Kenlie,14
TX,F,2010,Kora,14
TX,F,2010,Krislynn,14
TX,F,2010,Laynie,14
TX,F,2010,Leilany,14
TX,F,2010,Liah,14
TX,F,2010,Makenzi,14
TX,F,2010,Marisela,14
TX,F,2010,Marlie,14
TX,F,2010,Mayah,14
TX,F,2010,Melodie,14
TX,F,2010,Nallely,14
TX,F,2010,Raina,14
TX,F,2010,Remi,14
TX,F,2010,Saray,14
TX,F,2010,Sarina,14
TX,F,2010,Soraya,14
TX,F,2010,Stefany,14
TX,F,2010,Susie,14
TX,F,2010,Tatianna,14
TX,F,2010,Tina,14
TX,F,2010,Trisha,14
TX,F,2010,Tristyn,14
TX,F,2010,Venus,14
TX,F,2010,Whitley,14
TX,F,2010,Yarel,14
TX,F,2010,Yazmine,14
TX,F,2010,Yoselyn,14
TX,F,2010,Zoee,14
TX,F,2010,Zury,14
TX,F,2010,Aaralyn,13
TX,F,2010,Aditi,13
TX,F,2010,Aiyanna,13
TX,F,2010,Alexandrea,13
TX,F,2010,Alyana,13
TX,F,2010,Amia,13
TX,F,2010,Ammy,13
TX,F,2010,Anais,13
TX,F,2010,Anaiyah,13
TX,F,2010,Angelyn,13
TX,F,2010,Anisa,13
TX,F,2010,Aniston,13
TX,F,2010,Ariela,13
TX,F,2010,Aundrea,13
TX,F,2010,Avani,13
TX,F,2010,Avarie,13
TX,F,2010,Ayva,13
TX,F,2010,Belle,13
TX,F,2010,Breana,13
TX,F,2010,Brinlee,13
TX,F,2010,Brookelynn,13
TX,F,2010,Bryn,13
TX,F,2010,Chassidy,13
TX,F,2010,Cianna,13
TX,F,2010,Darby,13
TX,F,2010,Dayla,13
TX,F,2010,Dina,13
TX,F,2010,Emili,13
TX,F,2010,Esme,13
TX,F,2010,Gentry,13
TX,F,2010,Haidyn,13
TX,F,2010,Harlie,13
TX,F,2010,Hartley,13
TX,F,2010,Holland,13
TX,F,2010,Ilianna,13
TX,F,2010,Isamar,13
TX,F,2010,Izel,13
TX,F,2010,Jazlene,13
TX,F,2010,Jiya,13
TX,F,2010,Kalista,13
TX,F,2010,Kamya,13
