StateCode,Sex,YearOfBirth,Name,Number
TX,M,1922,Lorenzo,56
TX,M,1922,Max,56
TX,M,1922,Ricardo,56
TX,M,1922,Gilberto,55
TX,M,1922,Russell,55
TX,M,1922,Stanley,55
TX,M,1922,Bobby,54
TX,M,1922,Julian,54
TX,M,1922,Wilburn,53
TX,M,1922,Freddie,52
TX,M,1922,Gene,52
TX,M,1922,Isaac,52
TX,M,1922,Santiago,52
TX,M,1922,Elton,51
TX,M,1922,Louie,51
TX,M,1922,Frederick,50
TX,M,1922,Benito,49
TX,M,1922,Bernard,49
TX,M,1922,Preston,49
TX,M,1922,Gregorio,48
TX,M,1922,Grover,48
TX,M,1922,Ignacio,48
TX,M,1922,Roger,47
TX,M,1922,Franklin,46
TX,M,1922,Julius,46
TX,M,1922,Theodore,46
TX,M,1922,Alex,45
TX,M,1922,Clinton,45
TX,M,1922,Fernando,45
TX,M,1922,Jimmy,45
TX,M,1922,Otto,45
TX,M,1922,Charley,44
TX,M,1922,Emil,44
TX,M,1922,Emmett,44
TX,M,1922,Joel,44
TX,M,1922,Ramiro,44
TX,M,1922,Rex,44
TX,M,1922,Anthony,43
TX,M,1922,Arnold,43
TX,M,1922,Byron,43
TX,M,1922,Ellis,43
TX,M,1922,Margarito,43
TX,M,1922,Nathaniel,43
TX,M,1922,Wilbur,43
TX,M,1922,Will,43
TX,M,1922,Aaron,42
TX,M,1922,Fidel,42
TX,M,1922,Forrest,42
TX,M,1922,Adolph,41
TX,M,1922,Dale,41
TX,M,1922,Dennis,41
TX,M,1922,Elias,41
TX,M,1922,Michael,41
TX,M,1922,Nolan,41
TX,M,1922,Odell,41
TX,M,1922,Perry,41
TX,M,1922,Alejandro,40
TX,M,1922,Barney,40
TX,M,1922,Bruce,40
TX,M,1922,Carroll,40
TX,M,1922,Nicolas,40
TX,M,1922,Sammie,40
TX,M,1922,August,39
TX,M,1922,Hollis,39
TX,M,1922,Jasper,39
TX,M,1922,Jeff,39
TX,M,1922,Pat,39
TX,M,1922,Wiley,39
TX,M,1922,Cruz,38
TX,M,1922,Dewey,38
TX,M,1922,Ross,38
TX,M,1922,Elmo,37
TX,M,1922,Ervin,37
TX,M,1922,Jerome,37
TX,M,1922,Bert,36
TX,M,1922,Larry,36
TX,M,1922,Ollie,36
TX,M,1922,Reynaldo,36
TX,M,1922,Angel,35
TX,M,1922,Clayton,35
TX,M,1922,Orville,35
TX,M,1922,Steve,35
TX,M,1922,Wilbert,35
TX,M,1922,Bobbie,34
TX,M,1922,Roscoe,34
TX,M,1922,Sherman,34
TX,M,1922,Thurman,34
TX,M,1922,Woodrow,34
TX,M,1922,Lupe,33
TX,M,1922,Oran,33
TX,M,1922,Phillip,33
TX,M,1922,Vicente,33
TX,M,1922,Amos,32
TX,M,1922,Emilio,32
TX,M,1922,Nathan,32
TX,M,1922,Reuben,32
TX,M,1922,Wilson,32
TX,M,1922,Alexander,31
TX,M,1922,Armando,31
TX,M,1922,Claud,31
TX,M,1922,Eldon,31
