StateCode,Sex,YearOfBirth,Name,Number
TX,M,1952,Kirk,51
TX,M,1952,Maurice,51
TX,M,1952,Ronny,51
TX,M,1952,Cruz,50
TX,M,1952,Fredrick,50
TX,M,1952,Adan,49
TX,M,1952,Adolfo,49
TX,M,1952,Dwayne,49
TX,M,1952,Francis,49
TX,M,1952,Grady,49
TX,M,1952,Oliver,49
TX,M,1952,Pat,49
TX,M,1952,Vicente,49
TX,M,1952,Delbert,48
TX,M,1952,Garland,48
TX,M,1952,Kelly,48
TX,M,1952,Monty,48
TX,M,1952,Preston,48
TX,M,1952,Adrian,47
TX,M,1952,Eloy,47
TX,M,1952,Luther,47
TX,M,1952,Hubert,46
TX,M,1952,Jeff,46
TX,M,1952,Gerardo,45
TX,M,1952,Mack,45
TX,M,1952,Wendell,45
TX,M,1952,Wilbert,45
TX,M,1952,Dana,44
TX,M,1952,Duane,44
TX,M,1952,Forrest,44
TX,M,1952,Marcos,44
TX,M,1952,Monte,44
TX,M,1952,Nathaniel,44
TX,M,1952,Robin,44
TX,M,1952,Trinidad,44
TX,M,1952,Kyle,43
TX,M,1952,Margarito,43
TX,M,1952,Nicolas,43
TX,M,1952,Tommie,43
TX,M,1952,Archie,42
TX,M,1952,Ervin,42
TX,M,1952,Fidel,42
TX,M,1952,Loyd,42
TX,M,1952,Raymundo,42
TX,M,1952,Ross,42
TX,M,1952,Horace,41
TX,M,1952,Kurt,41
TX,M,1952,Malcolm,41
TX,M,1952,Buddy,40
TX,M,1952,Daryl,40
TX,M,1952,Elmer,40
TX,M,1952,Everett,40
TX,M,1952,Marc,40
TX,M,1952,Noel,40
TX,M,1952,Roel,40
TX,M,1952,Adam,39
TX,M,1952,Agustin,39
TX,M,1952,Nicholas,39
TX,M,1952,Aubrey,38
TX,M,1952,Federico,38
TX,M,1952,Leonel,38
TX,M,1952,Rodger,38
TX,M,1952,Rojelio,38
TX,M,1952,Brad,37
TX,M,1952,Ellis,37
TX,M,1952,Jerald,37
TX,M,1952,Lupe,37
TX,M,1952,Reymundo,37
TX,M,1952,Darryl,36
TX,M,1952,Gregorio,36
TX,M,1952,Lionel,36
