StateCode,Sex,YearOfBirth,Name,Number
TX,M,1961,Elias,58
TX,M,1961,Guillermo,58
TX,M,1961,Lynn,58
TX,M,1961,Noel,58
TX,M,1961,Allan,57
TX,M,1961,Angel,57
TX,M,1961,Donny,57
TX,M,1961,Marshall,57
TX,M,1961,Theodore,57
TX,M,1961,Dana,56
TX,M,1961,Ross,56
TX,M,1961,Clint,54
TX,M,1961,Damon,54
TX,M,1961,Derek,54
TX,M,1961,Nathaniel,54
TX,M,1961,Sidney,54
TX,M,1961,Gregg,53
TX,M,1961,Isaac,53
TX,M,1961,Jerome,53
TX,M,1961,Marion,53
TX,M,1961,Teddy,53
TX,M,1961,Derrick,52
TX,M,1961,Eloy,52
TX,M,1961,Max,52
TX,M,1961,Neal,52
TX,M,1961,Raymundo,52
TX,M,1961,Roel,52
TX,M,1961,Royce,52
TX,M,1961,Bennie,51
TX,M,1961,Bret,51
TX,M,1961,Chester,51
TX,M,1961,Frankie,51
TX,M,1961,Matt,51
TX,M,1961,Mickey,51
TX,M,1961,Alonzo,50
TX,M,1961,Darrel,50
TX,M,1961,Edgar,50
TX,M,1961,Humberto,50
TX,M,1961,Bernard,49
TX,M,1961,Marcos,49
TX,M,1961,Weldon,49
TX,M,1961,Doyle,48
TX,M,1961,Lupe,48
TX,M,1961,Bob,47
TX,M,1961,Grady,47
TX,M,1961,Ignacio,47
TX,M,1961,Robbie,47
TX,M,1961,Arnoldo,46
TX,M,1961,Justin,46
TX,M,1961,Morris,46
TX,M,1961,Virgil,46
TX,M,1961,Adan,45
TX,M,1961,Fidel,45
TX,M,1961,Ron,45
TX,M,1961,Van,45
TX,M,1961,Alexander,44
TX,M,1961,Archie,44
TX,M,1961,Cesar,44
TX,M,1961,Cruz,44
TX,M,1961,Fredrick,44
TX,M,1961,Stewart,44
TX,M,1961,Dave,43
TX,M,1961,Edwardo,43
TX,M,1961,Nick,43
TX,M,1961,Leonardo,42
TX,M,1961,Preston,42
TX,M,1961,Vicente,42
TX,M,1961,Bart,41
TX,M,1961,Clark,41
TX,M,1961,Lionel,41
TX,M,1961,Maurice,41
TX,M,1961,Nicholas,41
TX,M,1961,Rudolph,41
TX,M,1961,Adolfo,40
TX,M,1961,Hugh,40
TX,M,1961,Sherman,40
TX,M,1961,Stacy,40
TX,M,1961,Buddy,39
TX,M,1961,Fabian,39
TX,M,1961,Homer,39
TX,M,1961,Otis,39
TX,M,1961,Saul,39
TX,M,1961,Tommie,39
TX,M,1961,Arnulfo,38
TX,M,1961,Forrest,38
TX,M,1961,Jamie,38
TX,M,1961,Rodger,38
TX,M,1961,Simon,38
TX,M,1961,Xavier,38
TX,M,1961,Eddy,37
TX,M,1961,Emilio,37
TX,M,1961,Luther,37
TX,M,1961,Omar,37
TX,M,1961,Phil,37
TX,M,1961,Tyrone,37
TX,M,1961,Wallace,37
TX,M,1961,Blake,36
TX,M,1961,Delbert,36
TX,M,1961,Federico,36
TX,M,1961,Homero,36
TX,M,1961,Leland,36
TX,M,1961,Willis,36
TX,M,1961,Aubrey,35
TX,M,1961,Kim,35
TX,M,1961,Malcolm,35
TX,M,1961,Neil,35
TX,M,1961,Nelson,35
TX,M,1961,Scotty,35
TX,M,1961,Genaro,34
TX,M,1961,Toby,34
TX,M,1961,Efrain,33
TX,M,1961,Garland,33
TX,M,1961,Lowell,33
TX,M,1961,Rosendo,33
TX,M,1961,Abraham,32
TX,M,1961,Jerald,32
TX,M,1961,Oliver,32
TX,M,1961,Shane,32
TX,M,1961,Vance,32
TX,M,1961,Andre,31
TX,M,1961,Ernie,31
TX,M,1961,Gregorio,31
TX,M,1961,Julius,31
TX,M,1961,Lanny,31
TX,M,1961,Leonel,31
TX,M,1961,Randolph,31
TX,M,1961,Everett,30
TX,M,1961,Jacob,30
TX,M,1961,Boyd,29
TX,M,1961,Drew,29
TX,M,1961,Erasmo,29
TX,M,1961,Ira,29
TX,M,1961,Marco,29
TX,M,1961,Myron,29
TX,M,1961,Rory,29
TX,M,1961,Sylvester,29
TX,M,1961,Grant,28
TX,M,1961,Horace,28
TX,M,1961,Hubert,28
TX,M,1961,Kirby,28
TX,M,1961,Rickie,28
TX,M,1961,Sean,28
TX,M,1961,Stevie,28
TX,M,1961,Bradford,27
TX,M,1961,Carey,27
TX,M,1961,Esteban,27
TX,M,1961,Geoffrey,27
TX,M,1961,Nicolas,27
TX,M,1961,Norris,27
TX,M,1961,Valentin,27
TX,M,1961,Al,26
TX,M,1961,Chad,26
TX,M,1961,Cody,26
TX,M,1961,Elton,26
TX,M,1961,Emmett,26
TX,M,1961,Gerard,26
TX,M,1961,Mack,26
TX,M,1961,Carroll,25
TX,M,1961,Dexter,25
TX,M,1961,Eliseo,25
TX,M,1961,Gonzalo,25
TX,M,1961,Ivan,25
TX,M,1961,Loyd,25
TX,M,1961,Mitch,25
TX,M,1961,Reymundo,25
