StateCode,Sex,YearOfBirth,Name,Number
TX,M,1970,Lazaro,19
TX,M,1970,Lowell,19
TX,M,1970,Rob,19
TX,M,1970,Roosevelt,19
TX,M,1970,Tyler,19
TX,M,1970,Vince,19
TX,M,1970,Aubrey,18
TX,M,1970,Boyd,18
TX,M,1970,Broderick,18
TX,M,1970,Conrad,18
TX,M,1970,Courtney,18
TX,M,1970,Damian,18
TX,M,1970,Diego,18
TX,M,1970,Hans,18
TX,M,1970,Horacio,18
TX,M,1970,Jeffry,18
TX,M,1970,Kendrick,18
TX,M,1970,Mauricio,18
TX,M,1970,Nicky,18
TX,M,1970,Norris,18
TX,M,1970,Rory,18
TX,M,1970,Shon,18
TX,M,1970,Stevie,18
TX,M,1970,Wilbert,18
TX,M,1970,Barton,17
TX,M,1970,Chuck,17
TX,M,1970,Cristobal,17
TX,M,1970,Demetrius,17
TX,M,1970,Dewey,17
TX,M,1970,Jacky,17
TX,M,1970,Loyd,17
TX,M,1970,Luke,17
TX,M,1970,Lyle,17
TX,M,1970,Micah,17
TX,M,1970,Quinton,17
TX,M,1970,Rojelio,17
TX,M,1970,Romeo,17
TX,M,1970,Adalberto,16
TX,M,1970,Ashley,16
TX,M,1970,Beau,16
TX,M,1970,Candelario,16
TX,M,1970,Chadwick,16
TX,M,1970,Davis,16
TX,M,1970,Dominic,16
TX,M,1970,Eddy,16
TX,M,1970,Efren,16
TX,M,1970,Eliazar,16
TX,M,1970,Elmer,16
TX,M,1970,Ervin,16
TX,M,1970,Everardo,16
TX,M,1970,Gerard,16
TX,M,1970,Jonas,16
TX,M,1970,Lane,16
TX,M,1970,Leandro,16
TX,M,1970,Lisa,16
TX,M,1970,Morgan,16
TX,M,1970,Quincy,16
TX,M,1970,Trenton,16
TX,M,1970,Agapito,15
TX,M,1970,Amado,15
TX,M,1970,Aurelio,15
TX,M,1970,Baldemar,15
TX,M,1970,Blas,15
TX,M,1970,Brenton,15
TX,M,1970,Bryce,15
TX,M,1970,Coby,15
TX,M,1970,Dario,15
TX,M,1970,Darrick,15
TX,M,1970,Darwin,15
TX,M,1970,Delton,15
TX,M,1970,Deric,15
TX,M,1970,Ed,15
TX,M,1970,Elbert,15
TX,M,1970,Elliott,15
TX,M,1970,Elton,15
TX,M,1970,Ezequiel,15
TX,M,1970,Hunter,15
TX,M,1970,Kelley,15
TX,M,1970,Keven,15
TX,M,1970,Luther,15
TX,M,1970,Moses,15
TX,M,1970,Myron,15
TX,M,1970,Nolan,15
TX,M,1970,Octavio,15
TX,M,1970,Oliver,15
TX,M,1970,Randell,15
TX,M,1970,Shayne,15
TX,M,1970,Stephan,15
TX,M,1970,Sylvester,15
TX,M,1970,Thad,15
TX,M,1970,Van,15
TX,M,1970,Wallace,15
TX,M,1970,Wilson,15
TX,M,1970,Anselmo,14
TX,M,1970,Darian,14
TX,M,1970,Daron,14
TX,M,1970,Denny,14
TX,M,1970,Derick,14
