StateCode,Sex,YearOfBirth,Name,Number
TX,M,1997,Orin,5
TX,M,1997,Oseas,5
TX,M,1997,Osiris,5
TX,M,1997,Ovidio,5
TX,M,1997,Paden,5
TX,M,1997,Pearce,5
TX,M,1997,Pryce,5
TX,M,1997,Quest,5
TX,M,1997,Rashaad,5
TX,M,1997,Raudel,5
TX,M,1997,Ravi,5
TX,M,1997,Renee,5
TX,M,1997,Robbie,5
TX,M,1997,Roosevelt,5
TX,M,1997,Rowan,5
TX,M,1997,Rufino,5
TX,M,1997,Russel,5
TX,M,1997,Sabas,5
TX,M,1997,Sabian,5
TX,M,1997,Said,5
TX,M,1997,Samual,5
TX,M,1997,Scotty,5
TX,M,1997,Sedric,5
TX,M,1997,Shamar,5
TX,M,1997,Shandon,5
TX,M,1997,Shea,5
TX,M,1997,Stacy,5
TX,M,1997,Tahj,5
TX,M,1997,Tallon,5
TX,M,1997,Tatum,5
TX,M,1997,Tavin,5
TX,M,1997,Terrel,5
TX,M,1997,Tien,5
TX,M,1997,Timmothy,5
TX,M,1997,Trevaughn,5
TX,M,1997,Trinton,5
TX,M,1997,Tristyn,5
TX,M,1997,Tylar,5
TX,M,1997,Tyrel,5
TX,M,1997,Umair,5
TX,M,1997,Uvaldo,5
TX,M,1997,Valdemar,5
TX,M,1997,Van,5
TX,M,1997,Varun,5
TX,M,1997,Ventura,5
TX,M,1997,Victoriano,5
TX,M,1997,Viet,5
TX,M,1997,Weldon,5
TX,M,1997,Westley,5
TX,M,1997,Willard,5
TX,M,1997,Willis,5
TX,M,1997,Wolfgang,5
TX,M,1997,Xavion,5
TX,M,1997,Yobani,5
TX,M,1997,Yonathan,5
TX,M,1997,Yousef,5
TX,M,1997,Yovani,5
TX,M,1997,Zaine,5
TX,M,1998,Jose,2929
TX,M,1998,Jacob,2716
TX,M,1998,Michael,2643
TX,M,1998,Christopher,2509
TX,M,1998,Joshua,2380
TX,M,1998,Matthew,2225
TX,M,1998,David,2058
TX,M,1998,Brandon,2015
TX,M,1998,Jonathan,2001
TX,M,1998,Daniel,1987
TX,M,1998,Juan,1937
TX,M,1998,John,1709
TX,M,1998,Christian,1603
TX,M,1998,Andrew,1602
TX,M,1998,Nicholas,1522
TX,M,1998,Joseph,1500
TX,M,1998,William,1492
TX,M,1998,James,1450
TX,M,1998,Luis,1417
TX,M,1998,Anthony,1411
TX,M,1998,Zachary,1342
TX,M,1998,Austin,1292
TX,M,1998,Jesus,1273
TX,M,1998,Tyler,1255
TX,M,1998,Ryan,1249
TX,M,1998,Justin,1236
TX,M,1998,Robert,1175
TX,M,1998,Aaron,1069
TX,M,1998,Jordan,1045
TX,M,1998,Carlos,1033
TX,M,1998,Samuel,1022
TX,M,1998,Alexander,1021
TX,M,1998,Kevin,1012
TX,M,1998,Adrian,1002
TX,M,1998,Dylan,989
TX,M,1998,Cameron,948
TX,M,1998,Eric,910
TX,M,1998,Noah,852
TX,M,1998,Miguel,851
TX,M,1998,Alejandro,831
TX,M,1998,Nathan,826
TX,M,1998,Ethan,804
TX,M,1998,Jorge,798
TX,M,1998,Gabriel,797
TX,M,1998,Jason,795
TX,M,1998,Mark,775
TX,M,1998,Benjamin,763
TX,M,1998,Angel,758
TX,M,1998,Caleb,757
TX,M,1998,Hunter,757
TX,M,1998,Thomas,712
TX,M,1998,Kyle,706
TX,M,1998,Cody,683
TX,M,1998,Victor,673
TX,M,1998,Ricardo,662
TX,M,1998,Isaac,657
TX,M,1998,Bryan,634
