StateCode,Sex,YearOfBirth,Name,Number
TX,M,2014,Caston,5
TX,M,2014,Cavan,5
TX,M,2014,Ceasar,5
TX,M,2014,Chayce,5
TX,M,2014,Cheston,5
TX,M,2014,Chidera,5
TX,M,2014,Chukwuebuka,5
TX,M,2014,Clarke,5
TX,M,2014,Claude,5
TX,M,2014,Colden,5
TX,M,2014,Collyn,5
TX,M,2014,Colston,5
TX,M,2014,Coltyn,5
TX,M,2014,Conway,5
TX,M,2014,Copeland,5
TX,M,2014,Cormac,5
TX,M,2014,Cornell,5
TX,M,2014,Cort,5
TX,M,2014,Cosme,5
TX,M,2014,Cotton,5
TX,M,2014,Cree,5
TX,M,2014,Creighton,5
TX,M,2014,Cris,5
TX,M,2014,Crixus,5
TX,M,2014,Cruze,5
TX,M,2014,Dakotah,5
TX,M,2014,Daksh,5
TX,M,2014,Damir,5
TX,M,2014,Dandre,5
TX,M,2014,Dany,5
TX,M,2014,Darrius,5
TX,M,2014,Darsh,5
TX,M,2014,Dave,5
TX,M,2014,Daxon,5
TX,M,2014,Daylin,5
TX,M,2014,Dayvion,5
TX,M,2014,Delfino,5
TX,M,2014,Denim,5
TX,M,2014,Devante,5
TX,M,2014,Diamond,5
TX,M,2014,Dionicio,5
TX,M,2014,Dirk,5
TX,M,2014,Draden,5
TX,M,2014,Dre,5
TX,M,2014,Dru,5
TX,M,2014,Earl,5
TX,M,2014,Ebenezer,5
TX,M,2014,Edan,5
TX,M,2014,Eliab,5
TX,M,2014,Elyjah,5
TX,M,2014,Emil,5
TX,M,2014,Emile,5
TX,M,2014,Enoc,5
TX,M,2014,Esequiel,5
TX,M,2014,Eshan,5
TX,M,2014,Evander,5
TX,M,2014,Ezrael,5
TX,M,2014,Fabrizio,5
TX,M,2014,Fahad,5
TX,M,2014,Falcon,5
TX,M,2014,Fares,5
TX,M,2014,Forest,5
TX,M,2014,Franko,5
TX,M,2014,Fredy,5
TX,M,2014,Gabrian,5
TX,M,2014,Gaius,5
TX,M,2014,Garry,5
TX,M,2014,Gautham,5
TX,M,2014,Geronimo,5
TX,M,2014,Gio,5
TX,M,2014,Giorgio,5
TX,M,2014,Giuseppe,5
TX,M,2014,Graeson,5
TX,M,2014,Hakeem,5
TX,M,2014,Herminio,5
TX,M,2014,Homer,5
TX,M,2014,Hunt,5
TX,M,2014,Huntley,5
TX,M,2014,Ishan,5
TX,M,2014,Ishaq,5
TX,M,2014,Issa,5
TX,M,2014,Ivory,5
TX,M,2014,Iyan,5
TX,M,2014,Jaelon,5
TX,M,2014,Jager,5
TX,M,2014,Jahmir,5
TX,M,2014,Jakayden,5
TX,M,2014,Jamarian,5
TX,M,2014,Jameis,5
TX,M,2014,Jamieson,5
TX,M,2014,Jaren,5
TX,M,2014,Jarred,5
TX,M,2014,Javeon,5
TX,M,2014,Javi,5
TX,M,2014,Jawad,5
TX,M,2014,Jaxin,5
TX,M,2014,Jaydee,5
TX,M,2014,Jayjay,5
TX,M,2014,Jayvon,5
TX,M,2014,Jaziah,5
TX,M,2014,Jediah,5
TX,M,2014,Jelani,5
TX,M,2014,Jeovani,5
TX,M,2014,Jeovanny,5
TX,M,2014,Jerrod,5
TX,M,2014,Jerron,5
TX,M,2014,Jess,5
TX,M,2014,Jestin,5
TX,M,2014,Jimmie,5
TX,M,2014,Joachim,5
TX,M,2014,Joangel,5
TX,M,2014,Joanthony,5
TX,M,2014,Johnson,5
TX,M,2014,Jonny,5
TX,M,2014,Jorel,5
TX,M,2014,Joseangel,5
TX,M,2014,Josecarlos,5
TX,M,2014,Josemaria,5
TX,M,2014,Josmar,5
TX,M,2014,Jotham,5
TX,M,2014,Jowell,5
TX,M,2014,Kacey,5
TX,M,2014,Kailen,5
TX,M,2014,Kairo,5
TX,M,2014,Kaisen,5
TX,M,2014,Kaiser,5
TX,M,2014,Kaisyn,5
TX,M,2014,Kalin,5
TX,M,2014,Kam,5
TX,M,2014,Kamani,5
TX,M,2014,Kamarion,5
TX,M,2014,Kamil,5
TX,M,2014,Kamran,5
TX,M,2014,Kanin,5
TX,M,2014,Karas,5
TX,M,2014,Karlo,5
TX,M,2014,Karsten,5
TX,M,2014,Kato,5
TX,M,2014,Kaycen,5
TX,M,2014,Kaydence,5
TX,M,2014,Kaylon,5
TX,M,2014,Keiden,5
TX,M,2014,Keion,5
TX,M,2014,Kelly,5
TX,M,2014,Kemper,5
TX,M,2014,Ken,5
TX,M,2014,Kendrix,5
TX,M,2014,Keoni,5
TX,M,2014,Kevon,5
TX,M,2014,Keyan,5
TX,M,2014,Keyden,5
TX,M,2014,Keyon,5
TX,M,2014,Keyshawn,5
TX,M,2014,Khali,5
TX,M,2014,Khayden,5
TX,M,2014,Kirby,5
TX,M,2014,Koby,5
TX,M,2014,Kohl,5
TX,M,2014,Kolter,5
TX,M,2014,Koltin,5
TX,M,2014,Konrad,5
TX,M,2014,Kris,5
TX,M,2014,Landan,5
TX,M,2014,Lander,5
TX,M,2014,Laurence,5
TX,M,2014,Leevi,5
TX,M,2014,Leopold,5
TX,M,2014,Levii,5
TX,M,2014,Leviticus,5
TX,M,2014,Lizandro,5
TX,M,2014,Loghan,5
TX,M,2014,Loki,5
TX,M,2014,Lucien,5
TX,M,2014,Lyrik,5
TX,M,2014,Magdaleno,5
TX,M,2014,Maliki,5
TX,M,2014,Manning,5
TX,M,2014,Marck,5
TX,M,2014,Marcuz,5
TX,M,2014,Marlin,5
TX,M,2014,Marshal,5
TX,M,2014,Marty,5
TX,M,2014,Masyn,5
TX,M,2014,Mathayus,5
TX,M,2014,Mccrae,5
TX,M,2014,Mckinley,5
TX,M,2014,Mikey,5
TX,M,2014,Mikhael,5
TX,M,2014,Miklo,5
TX,M,2014,Milam,5
TX,M,2014,Mizael,5
TX,M,2014,Mylo,5
TX,M,2014,Nael,5
TX,M,2014,Natan,5
TX,M,2014,Nate,5
TX,M,2014,Nero,5
TX,M,2014,Nijah,5
TX,M,2014,Nikolaos,5
TX,M,2014,Nikolay,5
TX,M,2014,Nolen,5
TX,M,2014,Nomar,5
TX,M,2014,Nyle,5
TX,M,2014,Octavian,5
TX,M,2014,Octavius,5
TX,M,2014,Odysseus,5
TX,M,2014,Oluwadarasimi,5
TX,M,2014,Oluwatobi,5
TX,M,2014,Osbaldo,5
TX,M,2014,Parsa,5
TX,M,2014,Parth,5
TX,M,2014,Pheonix,5
TX,M,2014,Raghav,5
TX,M,2014,Ramy,5
TX,M,2014,Rasheed,5
TX,M,2014,Ravi,5
TX,M,2014,Raylen,5
TX,M,2014,Raylin,5
TX,M,2014,Reeves,5
TX,M,2014,Regan,5
TX,M,2014,Ridley,5
TX,M,2014,Riggs,5
TX,M,2014,Riker,5
TX,M,2014,Rithvik,5
TX,M,2014,Rolan,5
TX,M,2014,Rome,5
TX,M,2014,Ronen,5
TX,M,2014,Roosevelt,5
TX,M,2014,Roque,5
TX,M,2014,Rosendo,5
TX,M,2014,Ryen,5
TX,M,2014,Ryken,5
TX,M,2014,Ryu,5
TX,M,2014,Saint,5
TX,M,2014,Saketh,5
TX,M,2014,Sandro,5
TX,M,2014,Saxon,5
TX,M,2014,Shelton,5
TX,M,2014,Sherman,5
TX,M,2014,Shia,5
TX,M,2014,Sir,5
TX,M,2014,Skylan,5
TX,M,2014,Slayton,5
TX,M,2014,Sol,5
TX,M,2014,Stiles,5
TX,M,2014,Stoney,5
TX,M,2014,Sultan,5
TX,M,2014,Surya,5
TX,M,2014,Tai,5
TX,M,2014,Talal,5
TX,M,2014,Talan,5
TX,M,2014,Teddy,5
TX,M,2014,Tejas,5
TX,M,2014,Teodoro,5
TX,M,2014,Terrion,5
TX,M,2014,Tex,5
TX,M,2014,Thane,5
TX,M,2014,Theophilus,5
TX,M,2014,Thor,5
TX,M,2014,Tiger,5
TX,M,2014,Tim,5
TX,M,2014,Tobi,5
TX,M,2014,Travon,5
TX,M,2014,Tremaine,5
TX,M,2014,Treshawn,5
TX,M,2014,Triton,5
TX,M,2014,True,5
TX,M,2014,Trysten,5
TX,M,2014,Tyrin,5
TX,M,2014,Uziel,5
TX,M,2014,Uzziel,5
TX,M,2014,Valente,5
TX,M,2014,Vernon,5
TX,M,2014,Vikram,5
TX,M,2014,Wayde,5
TX,M,2014,Wendell,5
TX,M,2014,Westen,5
TX,M,2014,Whitman,5
TX,M,2014,Wilbert,5
TX,M,2014,Williams,5
TX,M,2014,Willy,5
TX,M,2014,Wisdom,5
TX,M,2014,Xane,5
TX,M,2014,Yared,5
TX,M,2014,Yasin,5
TX,M,2014,Yerik,5
TX,M,2014,Yosef,5
TX,M,2014,Yovany,5
TX,M,2014,Zailyn,5
TX,M,2014,Zalen,5
TX,M,2014,Zamarion,5
TX,M,2014,Zarek,5
TX,M,2014,Zavien,5
TX,M,2014,Zavior,5
TX,M,2014,Zeppelin,5
TX,M,2014,Zev,5
TX,M,2014,Zlatan,5
TX,M,2015,Noah,2147
TX,M,2015,Liam,1739
TX,M,2015,Jacob,1680
TX,M,2015,Ethan,1669
TX,M,2015,Daniel,1646
TX,M,2015,Matthew,1559
TX,M,2015,Sebastian,1536
TX,M,2015,Alexander,1510
TX,M,2015,Jayden,1499
TX,M,2015,Jose,1499
TX,M,2015,Aiden,1454
TX,M,2015,David,1439
TX,M,2015,Elijah,1420
TX,M,2015,Michael,1401
TX,M,2015,Mason,1342
TX,M,2015,William,1312
TX,M,2015,James,1267
TX,M,2015,Angel,1259
TX,M,2015,Luke,1257
TX,M,2015,Christopher,1243
TX,M,2015,Dylan,1235
TX,M,2015,Anthony,1205
TX,M,2015,Benjamin,1154
TX,M,2015,Joshua,1154
TX,M,2015,Isaac,1112
TX,M,2015,Julian,1110
TX,M,2015,Christian,1062
TX,M,2015,Nathan,1059
TX,M,2015,Joseph,1055
TX,M,2015,Mateo,1048
TX,M,2015,John,1027
TX,M,2015,Gabriel,1015
TX,M,2015,Juan,1010
TX,M,2015,Andrew,1009
TX,M,2015,Adrian,1006
TX,M,2015,Samuel,1005
TX,M,2015,Jonathan,1002
TX,M,2015,Logan,996
TX,M,2015,Aaron,992
TX,M,2015,Oliver,921
TX,M,2015,Jackson,910
TX,M,2015,Isaiah,901
TX,M,2015,Jeremiah,883
TX,M,2015,Caleb,880
TX,M,2015,Luis,875
TX,M,2015,Jesus,858
TX,M,2015,Josiah,849
TX,M,2015,Jaxon,848
TX,M,2015,Santiago,836
TX,M,2015,Wyatt,828
TX,M,2015,Ian,819
TX,M,2015,Lucas,819
TX,M,2015,Levi,813
TX,M,2015,Carlos,768
TX,M,2015,Leonardo,767
TX,M,2015,Kevin,762
TX,M,2015,Ryan,727
TX,M,2015,Carter,722
TX,M,2015,Diego,710
TX,M,2015,Grayson,699
TX,M,2015,Henry,699
TX,M,2015,Jordan,685
TX,M,2015,Eli,684
TX,M,2015,Brandon,659
TX,M,2015,Landon,639
TX,M,2015,Damian,625
TX,M,2015,Hunter,608
TX,M,2015,Ayden,605
TX,M,2015,Iker,595
TX,M,2015,Axel,586
TX,M,2015,Hudson,576
TX,M,2015,Austin,573
TX,M,2015,Robert,573
TX,M,2015,Jack,554
TX,M,2015,Jason,546
TX,M,2015,Dominic,537
TX,M,2015,Thomas,533
TX,M,2015,Nicholas,532
TX,M,2015,Miguel,531
TX,M,2015,Jace,530
TX,M,2015,Alejandro,529
TX,M,2015,Adam,518
TX,M,2015,Evan,511
TX,M,2015,Brayden,506
TX,M,2015,Charles,503
TX,M,2015,Elias,490
TX,M,2015,Easton,487
TX,M,2015,Victor,487
TX,M,2015,Ezra,482
TX,M,2015,Lincoln,480
TX,M,2015,Jorge,479
TX,M,2015,Gael,478
TX,M,2015,Owen,475
TX,M,2015,Cooper,474
TX,M,2015,Connor,461
TX,M,2015,Ivan,461
TX,M,2015,Emmanuel,459
TX,M,2015,Cameron,458
TX,M,2015,Alan,452
TX,M,2015,Xavier,450
TX,M,2015,Nathaniel,439
TX,M,2015,Colton,436
TX,M,2015,Gavin,435
TX,M,2015,Asher,412
TX,M,2015,Bryan,409
TX,M,2015,Justin,409
TX,M,2015,Oscar,408
TX,M,2015,Nolan,401
TX,M,2015,Matteo,400
TX,M,2015,Carson,399
TX,M,2015,Joel,395
TX,M,2015,Zachary,384
TX,M,2015,Eduardo,383
TX,M,2015,Emiliano,381
TX,M,2015,Roman,380
TX,M,2015,Abel,378
TX,M,2015,Andres,376
TX,M,2015,Jaxson,375
TX,M,2015,Giovanni,370
TX,M,2015,Abraham,360
TX,M,2015,Parker,357
TX,M,2015,Tristan,357
TX,M,2015,Antonio,351
TX,M,2015,Javier,346
TX,M,2015,Eric,343
TX,M,2015,Tyler,343
TX,M,2015,Ricardo,342
TX,M,2015,Fernando,340
TX,M,2015,Alex,336
TX,M,2015,Micah,335
TX,M,2015,Kayden,321
TX,M,2015,Hector,319
TX,M,2015,Jesse,314
TX,M,2015,Ryder,314
TX,M,2015,Max,313
TX,M,2015,Francisco,306
TX,M,2015,Israel,303
TX,M,2015,Leo,301
TX,M,2015,Cesar,297
TX,M,2015,Nicolas,297
TX,M,2015,Weston,296
TX,M,2015,Brody,295
TX,M,2015,Chase,295
TX,M,2015,Manuel,295
TX,M,2015,Omar,295
TX,M,2015,Jonah,293
TX,M,2015,Edgar,291
TX,M,2015,Erick,290
TX,M,2015,Jude,290
TX,M,2015,Maximiliano,290
TX,M,2015,Derek,288
TX,M,2015,Ezekiel,285
TX,M,2015,King,285
TX,M,2015,Bentley,283
TX,M,2015,Maddox,283
TX,M,2015,Josue,282
TX,M,2015,Blake,280
TX,M,2015,Richard,280
TX,M,2015,Kingston,279
TX,M,2015,Braxton,278
TX,M,2015,Roberto,277
TX,M,2015,Mario,273
TX,M,2015,Jayce,271
TX,M,2015,Preston,271
TX,M,2015,Greyson,269
TX,M,2015,Edward,268
TX,M,2015,Steven,268
TX,M,2015,Kaleb,266
TX,M,2015,Cristian,265
TX,M,2015,Everett,261
TX,M,2015,Bryson,259
TX,M,2015,Hayden,259
TX,M,2015,Camden,256
TX,M,2015,Jeremy,256
TX,M,2015,Sergio,254
TX,M,2015,Adriel,253
TX,M,2015,George,253
TX,M,2015,Miles,252
TX,M,2015,Harrison,248
TX,M,2015,Sawyer,248
TX,M,2015,Jaden,247
TX,M,2015,Kaiden,247
TX,M,2015,Vincent,246
TX,M,2015,Marcus,245
TX,M,2015,Kyle,244
TX,M,2015,Joaquin,243
TX,M,2015,Timothy,243
TX,M,2015,Zayden,242
TX,M,2015,Martin,240
TX,M,2015,Wesley,238
TX,M,2015,Ashton,234
TX,M,2015,Bryce,233
TX,M,2015,Rafael,232
TX,M,2015,Kaden,231
TX,M,2015,Gerardo,230
TX,M,2015,Kai,227
TX,M,2015,Kenneth,222
TX,M,2015,Pedro,222
TX,M,2015,Jase,220
TX,M,2015,Leonel,218
TX,M,2015,Mark,218
TX,M,2015,Beau,217
TX,M,2015,Emilio,214
TX,M,2015,Malachi,214
TX,M,2015,Maximus,214
TX,M,2015,Ruben,213
TX,M,2015,Brantley,212
TX,M,2015,Lorenzo,212
TX,M,2015,Maxwell,212
TX,M,2015,Silas,212
TX,M,2015,Raul,211
TX,M,2015,Brian,210
TX,M,2015,Fabian,209
TX,M,2015,Jax,209
TX,M,2015,Cole,208
TX,M,2015,Zane,202
TX,M,2015,Bradley,200
TX,M,2015,Karter,200
TX,M,2015,Jake,199
TX,M,2015,Patrick,199
TX,M,2015,Aidan,197
TX,M,2015,Maverick,196
TX,M,2015,Pablo,195
TX,M,2015,Armando,192
TX,M,2015,Paul,192
TX,M,2015,Grant,191
TX,M,2015,Theodore,191
TX,M,2015,Cash,189
TX,M,2015,Rodrigo,189
TX,M,2015,Gunner,187
TX,M,2015,Alexis,184
TX,M,2015,Xander,183
TX,M,2015,Arturo,181
TX,M,2015,Brooks,177
