StateCode,Sex,YearOfBirth,Name,Number
UT,F,2005,Mariela,5
UT,F,2005,Marina,5
UT,F,2005,Maritza,5
UT,F,2005,Maura,5
UT,F,2005,Melia,5
UT,F,2005,Melina,5
UT,F,2005,Michaela,5
UT,F,2005,Mylie,5
UT,F,2005,Noel,5
UT,F,2005,Nyah,5
UT,F,2005,Oaklie,5
UT,F,2005,Perla,5
UT,F,2005,Preslee,5
UT,F,2005,Preslie,5
UT,F,2005,Pyper,5
UT,F,2005,Rose,5
UT,F,2005,Ryan,5
UT,F,2005,Sahara,5
UT,F,2005,Scout,5
UT,F,2005,Shae,5
UT,F,2005,Shaelee,5
UT,F,2005,Shea,5
UT,F,2005,Sherlyn,5
UT,F,2005,Shyann,5
UT,F,2005,Shyanne,5
UT,F,2005,Siena,5
UT,F,2005,Susana,5
UT,F,2005,Teresa,5
UT,F,2005,Tru,5
UT,F,2005,Tyler,5
UT,F,2005,Unique,5
UT,F,2005,Viridiana,5
UT,F,2005,Yesenia,5
UT,F,2006,Emma,312
UT,F,2006,Abigail,226
UT,F,2006,Olivia,218
UT,F,2006,Elizabeth,212
UT,F,2006,Emily,210
UT,F,2006,Hannah,203
UT,F,2006,Brooklyn,198
UT,F,2006,Madison,188
UT,F,2006,Ava,183
UT,F,2006,Samantha,183
UT,F,2006,Isabella,159
UT,F,2006,Grace,153
UT,F,2006,Sarah,151
UT,F,2006,Ella,148
UT,F,2006,Hailey,143
UT,F,2006,Alexis,142
UT,F,2006,Lily,142
UT,F,2006,Chloe,140
UT,F,2006,Sophia,138
UT,F,2006,Addison,133
UT,F,2006,Avery,124
UT,F,2006,Mia,123
UT,F,2006,Ashley,121
UT,F,2006,Anna,118
UT,F,2006,Rachel,118
UT,F,2006,Alyssa,117
UT,F,2006,Savannah,114
UT,F,2006,Ellie,112
UT,F,2006,Kate,108
UT,F,2006,Megan,102
UT,F,2006,Gracie,101
UT,F,2006,Lydia,96
UT,F,2006,Taylor,96
UT,F,2006,Natalie,93
UT,F,2006,Paige,93
UT,F,2006,Isabelle,92
UT,F,2006,Jessica,91
UT,F,2006,Katelyn,91
UT,F,2006,Sydney,89
UT,F,2006,Morgan,87
UT,F,2006,Lauren,84
UT,F,2006,Kaitlyn,82
UT,F,2006,Lucy,82
UT,F,2006,Sophie,82
UT,F,2006,Alexa,81
UT,F,2006,Sadie,79
UT,F,2006,Kaylee,78
UT,F,2006,Kylee,78
UT,F,2006,Rylee,76
UT,F,2006,Lillian,75
UT,F,2006,Audrey,71
UT,F,2006,Zoe,71
UT,F,2006,Bailey,70
UT,F,2006,Brynlee,69
UT,F,2006,Claire,69
UT,F,2006,Brooke,67
UT,F,2006,Amelia,66
UT,F,2006,Eliza,66
UT,F,2006,Aspen,65
UT,F,2006,Makayla,65
UT,F,2006,Ashlyn,63
UT,F,2006,Katie,62
UT,F,2006,Evelyn,61
UT,F,2006,Aubrey,60
UT,F,2006,Kayla,60
UT,F,2006,Sierra,60
UT,F,2006,Zoey,59
UT,F,2006,Halle,57
UT,F,2006,Jocelyn,54
UT,F,2006,Victoria,54
UT,F,2006,Leah,53
UT,F,2006,Mary,53
UT,F,2006,Riley,53
UT,F,2006,Ruby,53
UT,F,2006,Brianna,52
UT,F,2006,Maya,52
UT,F,2006,Mckenna,52
UT,F,2006,Allison,51
UT,F,2006,Julia,51
UT,F,2006,Nevaeh,51
UT,F,2006,Reagan,51
UT,F,2006,Isabel,50
UT,F,2006,Jennifer,50
UT,F,2006,Melanie,50
UT,F,2006,Vanessa,50
UT,F,2006,Brinley,49
UT,F,2006,Kennedy,49
UT,F,2006,Kylie,49
UT,F,2006,Mckenzie,49
UT,F,2006,Rebecca,49
UT,F,2006,Jenna,48
UT,F,2006,Katherine,48
UT,F,2006,Sara,48
UT,F,2006,Kimberly,47
UT,F,2006,Brielle,46
UT,F,2006,Jade,46
UT,F,2006,Jasmine,46
UT,F,2006,Reese,45
UT,F,2006,Tessa,45
UT,F,2006,Allie,44
UT,F,2006,Hallie,44
UT,F,2006,Faith,43
UT,F,2006,Maggie,43
UT,F,2006,Alexandra,42
UT,F,2006,Eva,42
UT,F,2006,Gabriella,42
UT,F,2006,Rebekah,42
UT,F,2006,Madelyn,41
UT,F,2006,Sofia,41
UT,F,2006,Annie,40
UT,F,2006,Jordyn,40
UT,F,2006,Abby,39
UT,F,2006,Andrea,39
UT,F,2006,Charlotte,39
UT,F,2006,Trinity,39
UT,F,2006,Ashlynn,38
UT,F,2006,Gabrielle,38
UT,F,2006,Maria,38
UT,F,2006,Bella,37
UT,F,2006,Keira,37
UT,F,2006,Mariah,37
UT,F,2006,Nicole,37
UT,F,2006,Savanna,37
UT,F,2006,Amy,36
UT,F,2006,Makenna,36
UT,F,2006,Michelle,36
UT,F,2006,Shelby,36
UT,F,2006,Stephanie,36
UT,F,2006,Angelina,35
UT,F,2006,Brooklynn,35
UT,F,2006,Haylee,35
UT,F,2006,Lilly,35
UT,F,2006,Melissa,35
UT,F,2006,Sienna,35
UT,F,2006,Amber,34
UT,F,2006,Arianna,34
UT,F,2006,Autumn,34
UT,F,2006,Clara,34
UT,F,2006,Elise,34
UT,F,2006,Jane,34
UT,F,2006,Madeline,34
UT,F,2006,Marissa,34
UT,F,2006,Mya,34
