StateCode,Sex,YearOfBirth,Name,Number
VA,F,1917,Loretta,12
VA,F,1917,Margarette,12
VA,F,1917,Rena,12
VA,F,1917,Aileen,11
VA,F,1917,Alpha,11
VA,F,1917,Annabelle,11
VA,F,1917,Aurelia,11
VA,F,1917,Corine,11
VA,F,1917,Dorothea,11
VA,F,1917,Elinor,11
VA,F,1917,Fay,11
VA,F,1917,Harriett,11
VA,F,1917,Ila,11
VA,F,1917,Isabel,11
VA,F,1917,Joyce,11
VA,F,1917,Lela,11
VA,F,1917,Lora,11
VA,F,1917,Nola,11
VA,F,1917,Olive,11
VA,F,1917,Otelia,11
VA,F,1917,Amy,10
VA,F,1917,Antoinette,10
VA,F,1917,Augusta,10
VA,F,1917,Billie,10
VA,F,1917,Corinne,10
VA,F,1917,Eugenia,10
VA,F,1917,Judith,10
VA,F,1917,Lona,10
VA,F,1917,Lorena,10
VA,F,1917,Lura,10
VA,F,1917,Maudie,10
VA,F,1917,Mazie,10
VA,F,1917,Reva,10
VA,F,1917,Una,10
VA,F,1917,Vernell,10
VA,F,1917,Winifred,10
VA,F,1917,Zella,10
VA,F,1917,Adelaide,9
VA,F,1917,Adeline,9
VA,F,1917,Avis,9
VA,F,1917,Carol,9
VA,F,1917,Cecelia,9
VA,F,1917,Cecile,9
VA,F,1917,Celia,9
VA,F,1917,Connie,9
VA,F,1917,Delma,9
VA,F,1917,Estell,9
VA,F,1917,Freda,9
VA,F,1917,Gertie,9
VA,F,1917,Iona,9
VA,F,1917,Jacqueline,9
VA,F,1917,Lettie,9
VA,F,1917,Magdalene,9
VA,F,1917,Ophelia,9
VA,F,1917,Patsy,9
VA,F,1917,Rita,9
VA,F,1917,Vernice,9
VA,F,1917,Claudine,8
VA,F,1917,Corrine,8
VA,F,1917,Ellie,8
VA,F,1917,Elvira,8
VA,F,1917,Frankie,8
VA,F,1917,Georgianna,8
VA,F,1917,Gwendolyn,8
VA,F,1917,Iola,8
VA,F,1917,Jeannette,8
VA,F,1917,John,8
VA,F,1917,Katharine,8
VA,F,1917,Lily,8
VA,F,1917,Linnie,8
VA,F,1917,Lue,8
VA,F,1917,Mandy,8
VA,F,1917,Maud,8
VA,F,1917,Melba,8
VA,F,1917,Odell,8
VA,F,1917,Odessa,8
VA,F,1917,Olga,8
VA,F,1917,Pansy,8
VA,F,1917,Queenie,8
VA,F,1917,Tessie,8
VA,F,1917,Wanda,8
VA,F,1917,Adell,7
VA,F,1917,Annette,7
VA,F,1917,Belva,7
VA,F,1917,Beverly,7
VA,F,1917,Celestine,7
VA,F,1917,Clyde,7
VA,F,1917,Delia,7
VA,F,1917,Delphia,7
VA,F,1917,Dolly,7
VA,F,1917,Earline,7
VA,F,1917,Elenora,7
VA,F,1917,Elisabeth,7
VA,F,1917,Euna,7
VA,F,1917,Fleta,7
VA,F,1917,Gretchen,7
VA,F,1917,Harriette,7
VA,F,1917,Helena,7
VA,F,1917,Hellen,7
VA,F,1917,Hettie,7
VA,F,1917,Ivy,7
VA,F,1917,Janice,7
VA,F,1917,Joan,7
VA,F,1917,Letha,7
VA,F,1917,Linda,7
VA,F,1917,Lucie,7
VA,F,1917,Lucinda,7
VA,F,1917,Mavis,7
VA,F,1917,Melva,7
VA,F,1917,Mozelle,7
VA,F,1917,Neva,7
VA,F,1917,Nita,7
VA,F,1917,Oma,7
VA,F,1917,Orpha,7
VA,F,1917,Rosalee,7
VA,F,1917,Zelma,7
VA,F,1917,Alene,6
VA,F,1917,Anita,6
VA,F,1917,Arline,6
VA,F,1917,Beaulah,6
VA,F,1917,Claire,6
VA,F,1917,Cordelia,6
VA,F,1917,Cynthia,6
VA,F,1917,Dorthy,6
VA,F,1917,Elise,6
VA,F,1917,Fanny,6
VA,F,1917,Garnett,6
VA,F,1917,Gaynelle,6
VA,F,1917,George,6
VA,F,1917,Georgiana,6
VA,F,1917,Glenna,6
VA,F,1917,Gussie,6
VA,F,1917,Irine,6
VA,F,1917,James,6
VA,F,1917,Jaunita,6
VA,F,1917,Kitty,6
VA,F,1917,Lavinia,6
VA,F,1917,Leatha,6
VA,F,1917,Leora,6
VA,F,1917,Lina,6
VA,F,1917,Loraine,6
VA,F,1917,Louella,6
VA,F,1917,Louvenia,6
VA,F,1917,Margaretta,6
VA,F,1917,Millie,6
VA,F,1917,Minerva,6
VA,F,1917,Nadine,6
VA,F,1917,Nan,6
VA,F,1917,Pearlie,6
VA,F,1917,Phoebe,6
VA,F,1917,Priscilla,6
VA,F,1917,Rubye,6
VA,F,1917,Vernelle,6
VA,F,1917,Wilhelmina,6
VA,F,1917,Willia,6
VA,F,1917,Adrienne,5
VA,F,1917,Almeda,5
VA,F,1917,Annabel,5
VA,F,1917,Annis,5
VA,F,1917,Berniece,5
VA,F,1917,Carmen,5
VA,F,1917,Celeste,5
VA,F,1917,Charlene,5
VA,F,1917,Charmie,5
VA,F,1917,Cordie,5
VA,F,1917,Dana,5
VA,F,1917,Delcie,5
VA,F,1917,Dixie,5
VA,F,1917,Doretha,5
VA,F,1917,Easter,5
VA,F,1917,Elouise,5
VA,F,1917,Gaynell,5
VA,F,1917,Gloria,5
VA,F,1917,Golda,5
VA,F,1917,Hassie,5
VA,F,1917,Helene,5
VA,F,1917,Hortense,5
VA,F,1917,Jocelyn,5
VA,F,1917,Johnnie,5
VA,F,1917,Joy,5
VA,F,1917,Juliette,5
VA,F,1917,Leone,5
VA,F,1917,Leslie,5
VA,F,1917,Luella,5
VA,F,1917,Macie,5
VA,F,1917,Magnolia,5
VA,F,1917,Margery,5
VA,F,1917,Margret,5
VA,F,1917,Mayme,5
VA,F,1917,Mittie,5
VA,F,1917,Octavia,5
VA,F,1917,Omega,5
VA,F,1917,Pearle,5
VA,F,1917,Regina,5
VA,F,1917,Rhoda,5
VA,F,1917,Robbie,5
VA,F,1917,Rosemary,5
VA,F,1917,Rubie,5
VA,F,1917,Sophia,5
VA,F,1917,Sophie,5
VA,F,1917,Theda,5
VA,F,1917,Tillie,5
VA,F,1917,Vada,5
VA,F,1917,Virgina,5
VA,F,1917,Zell,5
VA,F,1918,Mary,1918
VA,F,1918,Virginia,917
VA,F,1918,Margaret,740
VA,F,1918,Dorothy,698
VA,F,1918,Helen,653
VA,F,1918,Elizabeth,550
VA,F,1918,Ruth,515
VA,F,1918,Frances,513
VA,F,1918,Mildred,478
VA,F,1918,Louise,458
VA,F,1918,Annie,407
VA,F,1918,Ruby,365
VA,F,1918,Gladys,333
VA,F,1918,Alice,308
VA,F,1918,Edith,308
VA,F,1918,Evelyn,304
VA,F,1918,Ethel,276
VA,F,1918,Lucille,276
VA,F,1918,Thelma,267
VA,F,1918,Edna,259
VA,F,1918,Hazel,253
VA,F,1918,Lillian,240
VA,F,1918,Martha,238
VA,F,1918,Elsie,232
VA,F,1918,Sarah,225
VA,F,1918,Catherine,223
VA,F,1918,Anna,219
VA,F,1918,Marie,211
VA,F,1918,Irene,199
VA,F,1918,Emma,195
VA,F,1918,Beatrice,189
VA,F,1918,Pauline,189
VA,F,1918,Lucy,188
VA,F,1918,Katherine,183
VA,F,1918,Nellie,176
VA,F,1918,Florence,171
VA,F,1918,Grace,167
VA,F,1918,Doris,165
VA,F,1918,Pearl,157
VA,F,1918,Bessie,156
VA,F,1918,Bertha,155
VA,F,1918,Clara,155
VA,F,1918,Eva,154
VA,F,1918,Ella,153
VA,F,1918,Myrtle,152
VA,F,1918,Josephine,148
