StateCode,Sex,YearOfBirth,Name,Number
VA,F,1986,Tiera,10
VA,F,1986,Wanda,10
VA,F,1986,Alyson,9
VA,F,1986,Annette,9
VA,F,1986,Bobbi,9
VA,F,1986,Brandon,9
VA,F,1986,Brianne,9
VA,F,1986,Bridgett,9
VA,F,1986,Carissa,9
VA,F,1986,Connie,9
VA,F,1986,Dianna,9
VA,F,1986,Eboni,9
VA,F,1986,Holli,9
VA,F,1986,Hollie,9
VA,F,1986,Jade,9
VA,F,1986,Jean,9
VA,F,1986,Jeanette,9
VA,F,1986,Jerrica,9
VA,F,1986,Kacie,9
VA,F,1986,Kandice,9
VA,F,1986,Kasie,9
VA,F,1986,Kendal,9
VA,F,1986,Kristyn,9
VA,F,1986,Lakita,9
VA,F,1986,Lawanda,9
VA,F,1986,Leanne,9
VA,F,1986,Letitia,9
VA,F,1986,Lyndsay,9
VA,F,1986,Lynette,9
VA,F,1986,Marilyn,9
VA,F,1986,Maureen,9
VA,F,1986,Miriam,9
VA,F,1986,Nikia,9
VA,F,1986,Nora,9
VA,F,1986,Peggy,9
VA,F,1986,Shanell,9
VA,F,1986,Shawn,9
VA,F,1986,Sydney,9
VA,F,1986,Tessa,9
VA,F,1986,Tiana,9
VA,F,1986,Tiffanie,9
VA,F,1986,Trista,9
VA,F,1986,Valencia,9
VA,F,1986,Afton,8
VA,F,1986,Alissa,8
VA,F,1986,Andrew,8
VA,F,1986,Ashlea,8
VA,F,1986,Baby,8
VA,F,1986,Betty,8
VA,F,1986,Celeste,8
VA,F,1986,Charmaine,8
VA,F,1986,Chelsey,8
VA,F,1986,Cherrelle,8
VA,F,1986,Cristin,8
VA,F,1986,Daisy,8
VA,F,1986,Daniela,8
VA,F,1986,Ida,8
VA,F,1986,Irene,8
VA,F,1986,Jena,8
VA,F,1986,Julianna,8
VA,F,1986,Justina,8
VA,F,1986,Karina,8
VA,F,1986,Lashawn,8
VA,F,1986,Lashonda,8
VA,F,1986,Lavonda,8
VA,F,1986,Leann,8
VA,F,1986,Leila,8
VA,F,1986,Lynsey,8
VA,F,1986,Mariah,8
VA,F,1986,Marisa,8
VA,F,1986,Maya,8
VA,F,1986,Natisha,8
VA,F,1986,Nichelle,8
VA,F,1986,Noel,8
VA,F,1986,Precious,8
VA,F,1986,Raquel,8
VA,F,1986,Rosa,8
VA,F,1986,Shauna,8
VA,F,1986,Sherika,8
VA,F,1986,Sonia,8
VA,F,1986,Staci,8
VA,F,1986,Alecia,7
VA,F,1986,Athena,7
VA,F,1986,Austin,7
VA,F,1986,Bailey,7
VA,F,1986,Brittaney,7
VA,F,1986,Carey,7
VA,F,1986,Cassidy,7
VA,F,1986,Chante,7
VA,F,1986,Chelsie,7
VA,F,1986,Christal,7
VA,F,1986,Clare,7
VA,F,1986,Colby,7
VA,F,1986,Corrie,7
VA,F,1986,Cortney,7
VA,F,1986,David,7
VA,F,1986,Deana,7
VA,F,1986,Deidre,7
VA,F,1986,Eileen,7
VA,F,1986,Elena,7
VA,F,1986,Ginger,7
VA,F,1986,Glenda,7
VA,F,1986,Halley,7
VA,F,1986,Hallie,7
VA,F,1986,Iris,7
VA,F,1986,Ivory,7
VA,F,1986,Jamila,7
VA,F,1986,Jana,7
VA,F,1986,Jeannie,7
VA,F,1986,Joan,7
VA,F,1986,Joanne,7
VA,F,1986,Joni,7
VA,F,1986,Judy,7
VA,F,1986,Kala,7
VA,F,1986,Keona,7
VA,F,1986,Kevin,7
VA,F,1986,Kiera,7
VA,F,1986,Krysta,7
VA,F,1986,Krysten,7
VA,F,1986,Latoria,7
VA,F,1986,Madeleine,7
VA,F,1986,Martina,7
VA,F,1986,Matthew,7
VA,F,1986,Maura,7
VA,F,1986,Mercedes,7
VA,F,1986,Myra,7
VA,F,1986,Natalia,7
VA,F,1986,Nicolette,7
VA,F,1986,Rene,7
VA,F,1986,Roberta,7
VA,F,1986,Sable,7
VA,F,1986,Sandy,7
VA,F,1986,Savanna,7
VA,F,1986,Selena,7
VA,F,1986,Sheryl,7
VA,F,1986,Stephany,7
VA,F,1986,Tricia,7
VA,F,1986,Tyler,7
VA,F,1986,Adriana,6
VA,F,1986,Adrianne,6
VA,F,1986,Aisha,6
VA,F,1986,Alesia,6
VA,F,1986,Alexander,6
VA,F,1986,Ali,6
VA,F,1986,Andria,6
VA,F,1986,Antonia,6
VA,F,1986,Britany,6
VA,F,1986,Brittni,6
VA,F,1986,Cathleen,6
VA,F,1986,Celia,6
VA,F,1986,Chanda,6
VA,F,1986,Chastity,6
VA,F,1986,Cory,6
VA,F,1986,Danyelle,6
VA,F,1986,Darlene,6
VA,F,1986,Dena,6
VA,F,1986,Devan,6
VA,F,1986,Diamond,6
VA,F,1986,Elaina,6
VA,F,1986,Emilie,6
VA,F,1986,Essence,6
VA,F,1986,Eva,6
VA,F,1986,Felecia,6
VA,F,1986,Geneva,6
VA,F,1986,Hailey,6
VA,F,1986,Ikea,6
VA,F,1986,Janel,6
VA,F,1986,Jason,6
VA,F,1986,Jessi,6
VA,F,1986,Jessika,6
VA,F,1986,Joshua,6
VA,F,1986,Judith,6
VA,F,1986,Kacey,6
VA,F,1986,Kandace,6
VA,F,1986,Karin,6
VA,F,1986,Katelynn,6
VA,F,1986,Katy,6
