StateCode,Sex,YearOfBirth,Name,Number
VA,F,2006,Kylee,30
VA,F,2006,Ruth,30
VA,F,2006,Skyler,30
VA,F,2006,Carmen,29
VA,F,2006,Erika,29
VA,F,2006,Esther,29
VA,F,2006,Janiya,29
VA,F,2006,Kaylie,29
VA,F,2006,Kendra,29
VA,F,2006,Monica,29
VA,F,2006,Nina,29
VA,F,2006,Piper,29
VA,F,2006,Scarlett,29
VA,F,2006,Yasmin,29
VA,F,2006,Alexia,28
VA,F,2006,Amiyah,28
VA,F,2006,Cecilia,28
VA,F,2006,Harley,28
VA,F,2006,Jadyn,28
VA,F,2006,Joanna,28
VA,F,2006,Kathleen,28
VA,F,2006,Kimora,28
VA,F,2006,Savanna,28
VA,F,2006,Amya,27
VA,F,2006,Ashlynn,27
VA,F,2006,Ayla,27
VA,F,2006,Emely,27
VA,F,2006,Emerson,27
VA,F,2006,Georgia,27
VA,F,2006,Heather,27
VA,F,2006,Heidi,27
VA,F,2006,Jazmin,27
VA,F,2006,Mallory,27
VA,F,2006,Melody,27
VA,F,2006,Tamia,27
VA,F,2006,Alice,26
VA,F,2006,Asia,26
VA,F,2006,Ellen,26
VA,F,2006,Kyleigh,26
VA,F,2006,Madalyn,26
VA,F,2006,Rachael,26
VA,F,2006,Ryan,26
VA,F,2006,Abigayle,25
VA,F,2006,Alina,25
VA,F,2006,Alyson,25
VA,F,2006,Amari,25
VA,F,2006,Cassandra,25
VA,F,2006,Elaina,25
VA,F,2006,Ivy,25
VA,F,2006,Lena,25
VA,F,2006,Raegan,25
VA,F,2006,Shaniya,25
VA,F,2006,Shayla,25
VA,F,2006,Tabitha,25
VA,F,2006,Talia,25
VA,F,2006,Taniya,25
VA,F,2006,Tessa,25
VA,F,2006,Valentina,25
VA,F,2006,Ashleigh,24
VA,F,2006,Carolyn,24
VA,F,2006,Cora,24
VA,F,2006,Kaelyn,24
VA,F,2006,Lauryn,24
VA,F,2006,Logan,24
VA,F,2006,London,24
VA,F,2006,Nyla,24
VA,F,2006,Paola,24
VA,F,2006,Raven,24
VA,F,2006,Selena,24
VA,F,2006,Adeline,23
VA,F,2006,Ainsley,23
VA,F,2006,Aurora,23
VA,F,2006,Bryanna,23
VA,F,2006,Crystal,23
VA,F,2006,Kadence,23
VA,F,2006,Nancy,23
VA,F,2006,Nataly,23
VA,F,2006,Sienna,23
VA,F,2006,Tara,23
VA,F,2006,Annie,22
VA,F,2006,Campbell,22
VA,F,2006,Claudia,22
VA,F,2006,Holly,22
VA,F,2006,Kasey,22
VA,F,2006,Lila,22
VA,F,2006,Marley,22
VA,F,2006,Miriam,22
VA,F,2006,Norah,22
VA,F,2006,Alanna,21
VA,F,2006,Amani,21
VA,F,2006,Anastasia,21
VA,F,2006,Ayana,21
VA,F,2006,Brenda,21
VA,F,2006,Carrie,21
VA,F,2006,Destinee,21
VA,F,2006,Eden,21
VA,F,2006,Fiona,21
VA,F,2006,Jaelyn,21
VA,F,2006,Julie,21
VA,F,2006,Katelynn,21
VA,F,2006,Leilani,21
VA,F,2006,Madisyn,21
VA,F,2006,Sandra,21
VA,F,2006,Sylvia,21
VA,F,2006,Alejandra,20
VA,F,2006,Alisha,20
VA,F,2006,Angelica,20
VA,F,2006,Annika,20
VA,F,2006,Ashlee,20
VA,F,2006,Carolina,20
VA,F,2006,Deanna,20
VA,F,2006,Emilee,20
VA,F,2006,India,20
VA,F,2006,Kailey,20
VA,F,2006,Saniyah,20
VA,F,2006,Sidney,20
VA,F,2006,Tania,20
VA,F,2006,Taryn,20
VA,F,2006,Anika,19
VA,F,2006,Anya,19
VA,F,2006,Brenna,19
VA,F,2006,Christine,19
VA,F,2006,Desiree,19
VA,F,2006,Elisabeth,19
VA,F,2006,Harper,19
VA,F,2006,Haylee,19
VA,F,2006,Iyana,19
VA,F,2006,Jaiden,19
VA,F,2006,Josie,19
VA,F,2006,Kayden,19
VA,F,2006,Kenya,19
VA,F,2006,Kristina,19
VA,F,2006,Lesly,19
VA,F,2006,Miracle,19
VA,F,2006,Natasha,19
VA,F,2006,Patricia,19
VA,F,2006,Simone,19
VA,F,2006,Skye,19
VA,F,2006,Tiana,19
VA,F,2006,Allie,18
VA,F,2006,Ann,18
VA,F,2006,April,18
VA,F,2006,Carleigh,18
VA,F,2006,Clare,18
VA,F,2006,Hanna,18
VA,F,2006,Hazel,18
VA,F,2006,Jane,18
VA,F,2006,Johanna,18
VA,F,2006,Julissa,18
VA,F,2006,Karina,18
VA,F,2006,Katrina,18
VA,F,2006,Kristin,18
VA,F,2006,Lola,18
VA,F,2006,Lucia,18
VA,F,2006,Perla,18
VA,F,2006,Rylie,18
VA,F,2006,Alondra,17
VA,F,2006,Colleen,17
VA,F,2006,Dana,17
VA,F,2006,Daniella,17
VA,F,2006,Daphne,17
VA,F,2006,Helena,17
VA,F,2006,Joselyn,17
VA,F,2006,Katharine,17
VA,F,2006,Lacey,17
VA,F,2006,Lillie,17
VA,F,2006,Linda,17
VA,F,2006,Lucille,17
VA,F,2006,Mariam,17
VA,F,2006,Penelope,17
VA,F,2006,Priscilla,17
VA,F,2006,Samara,17
VA,F,2006,Taniyah,17
VA,F,2006,Whitney,17
VA,F,2006,Willow,17
VA,F,2006,Addisyn,16
VA,F,2006,Amiya,16
VA,F,2006,Ayanna,16
VA,F,2006,Britney,16
VA,F,2006,Dayana,16
VA,F,2006,Esmeralda,16
VA,F,2006,Haleigh,16
VA,F,2006,Iris,16
VA,F,2006,Isabela,16
VA,F,2006,Izabella,16
VA,F,2006,Janelle,16
VA,F,2006,Kassidy,16
VA,F,2006,Kaya,16
VA,F,2006,Kaylin,16
VA,F,2006,Kiley,16
VA,F,2006,Lilian,16
VA,F,2006,Marisol,16
VA,F,2006,Mckayla,16
VA,F,2006,Phoebe,16
VA,F,2006,Serena,16
VA,F,2006,Shakira,16
VA,F,2006,Sherlyn,16
VA,F,2006,Taliyah,16
VA,F,2006,Tatum,16
VA,F,2006,Akira,15
VA,F,2006,Alivia,15
VA,F,2006,Aria,15
VA,F,2006,Cara,15
VA,F,2006,Carley,15
VA,F,2006,Carter,15
VA,F,2006,Cayla,15
VA,F,2006,Chelsey,15
VA,F,2006,Corinne,15
VA,F,2006,Evangeline,15
VA,F,2006,Francesca,15
VA,F,2006,Greta,15
VA,F,2006,Hallie,15
VA,F,2006,Isis,15
VA,F,2006,Juliet,15
VA,F,2006,Kaydence,15
VA,F,2006,Kiersten,15
VA,F,2006,Laney,15
VA,F,2006,Lyric,15
VA,F,2006,Macy,15
VA,F,2006,Mikaela,15
VA,F,2006,Noelle,15
VA,F,2006,Princess,15
VA,F,2006,Riya,15
VA,F,2006,Sage,15
VA,F,2006,Sanaa,15
VA,F,2006,Shaniyah,15
VA,F,2006,Sharon,15
VA,F,2006,Teagan,15
VA,F,2006,Yasmine,15
VA,F,2006,Zaniyah,15
VA,F,2006,Zoie,15
VA,F,2006,Ashly,14
VA,F,2006,Carissa,14
VA,F,2006,Carla,14
VA,F,2006,Cristina,14
VA,F,2006,Dulce,14
VA,F,2006,Elyse,14
VA,F,2006,Felicity,14
VA,F,2006,Gloria,14
VA,F,2006,Hayden,14
VA,F,2006,Iyanna,14
VA,F,2006,Jaida,14
VA,F,2006,Jaidyn,14
VA,F,2006,Joselin,14
VA,F,2006,Judith,14
VA,F,2006,Kailyn,14
VA,F,2006,Kenia,14
VA,F,2006,Lia,14
VA,F,2006,Lizbeth,14
VA,F,2006,Maddison,14
VA,F,2006,Madelynn,14
VA,F,2006,Madilyn,14
VA,F,2006,Marilyn,14
VA,F,2006,Marisa,14
VA,F,2006,Paula,14
VA,F,2006,Rosa,14
VA,F,2006,Roselyn,14
VA,F,2006,Salma,14
VA,F,2006,Susanna,14
VA,F,2006,Tori,14
VA,F,2006,Tyra,14
VA,F,2006,Violet,14
VA,F,2006,Abbie,13
VA,F,2006,Addyson,13
VA,F,2006,Aiyanna,13
VA,F,2006,Alessandra,13
VA,F,2006,Ananya,13
VA,F,2006,Barbara,13
VA,F,2006,Celeste,13
VA,F,2006,Daisy,13
VA,F,2006,Deborah,13
VA,F,2006,Emilie,13
VA,F,2006,Gillian,13
VA,F,2006,Gwendolyn,13
VA,F,2006,Hana,13
VA,F,2006,Janae,13
VA,F,2006,Kaniya,13
VA,F,2006,Kaylyn,13
VA,F,2006,Kiana,13
VA,F,2006,Krystal,13
VA,F,2006,Kyndall,13
VA,F,2006,Lana,13
VA,F,2006,Lilliana,13
VA,F,2006,Maleah,13
VA,F,2006,Malia,13
VA,F,2006,Marin,13
VA,F,2006,Maryam,13
VA,F,2006,Mattie,13
VA,F,2006,Micah,13
VA,F,2006,Tess,13
VA,F,2006,Zaria,13
VA,F,2006,Ada,12
VA,F,2006,Aisha,12
VA,F,2006,Amira,12
VA,F,2006,Anaya,12
VA,F,2006,Aryanna,12
VA,F,2006,Brandy,12
VA,F,2006,Brittney,12
VA,F,2006,Carol,12
VA,F,2006,Celia,12
VA,F,2006,Cheyanne,12
VA,F,2006,Devyn,12
VA,F,2006,Estrella,12
VA,F,2006,Gretchen,12
VA,F,2006,Guadalupe,12
VA,F,2006,Hadley,12
VA,F,2006,Haylie,12
VA,F,2006,Jaylah,12
VA,F,2006,Jessie,12
VA,F,2006,Jewel,12
VA,F,2006,Johana,12
VA,F,2006,Joy,12
VA,F,2006,Joyce,12
VA,F,2006,Justice,12
VA,F,2006,Kaitlynn,12
VA,F,2006,Kaley,12
VA,F,2006,Laci,12
VA,F,2006,Lea,12
VA,F,2006,Leanna,12
VA,F,2006,Lexi,12
VA,F,2006,Leyla,12
VA,F,2006,Lina,12
VA,F,2006,Lisa,12
VA,F,2006,Lorelei,12
VA,F,2006,Lyla,12
VA,F,2006,Marie,12
VA,F,2006,Melina,12
VA,F,2006,Myah,12
VA,F,2006,Nya,12
VA,F,2006,Parker,12
VA,F,2006,Precious,12
VA,F,2006,Presley,12
VA,F,2006,Rhiannon,12
VA,F,2006,Rowan,12
VA,F,2006,Tamya,12
VA,F,2006,Tia,12
VA,F,2006,Abbigail,11
VA,F,2006,Adison,11
VA,F,2006,Alena,11
VA,F,2006,Alexus,11
VA,F,2006,Alissa,11
VA,F,2006,Arielle,11
VA,F,2006,Ariyana,11
VA,F,2006,Brynn,11
VA,F,2006,Cassie,11
VA,F,2006,Charlize,11
VA,F,2006,Chasity,11
VA,F,2006,Cierra,11
VA,F,2006,Clarissa,11
VA,F,2006,Danna,11
VA,F,2006,Deja,11
VA,F,2006,Edith,11
VA,F,2006,Eileen,11
VA,F,2006,Eunice,11
VA,F,2006,Eve,11
VA,F,2006,Finley,11
VA,F,2006,Gisselle,11
VA,F,2006,Hailee,11
VA,F,2006,Heidy,11
VA,F,2006,Jaelynn,11
VA,F,2006,Jaliyah,11
VA,F,2006,Jasmyn,11
VA,F,2006,Jazmyn,11
VA,F,2006,Kaiya,11
VA,F,2006,Karissa,11
VA,F,2006,Karli,11
VA,F,2006,Kathy,11
VA,F,2006,Katlyn,11
VA,F,2006,Kaylen,11
VA,F,2006,Lesley,11
VA,F,2006,Makaylah,11
VA,F,2006,Marianna,11
VA,F,2006,Marina,11
VA,F,2006,Martha,11
VA,F,2006,Nathalie,11
VA,F,2006,Renee,11
VA,F,2006,Rose,11
VA,F,2006,Ryann,11
VA,F,2006,Sania,11
VA,F,2006,Savanah,11
VA,F,2006,Sonya,11
VA,F,2006,Stacy,11
VA,F,2006,Tamara,11
VA,F,2006,Theresa,11
VA,F,2006,Wendy,11
VA,F,2006,Yoselin,11
VA,F,2006,Zakiyah,11
VA,F,2006,Zara,11
VA,F,2006,Adelaide,10
VA,F,2006,Aiyana,10
VA,F,2006,Amina,10
VA,F,2006,Anjali,10
VA,F,2006,Annalise,10
VA,F,2006,Aryana,10
VA,F,2006,Aubrie,10
VA,F,2006,Ayah,10
VA,F,2006,Cailyn,10
VA,F,2006,Caleigh,10
VA,F,2006,Camden,10
VA,F,2006,Candace,10
VA,F,2006,Carrington,10
VA,F,2006,Carson,10
VA,F,2006,Cherish,10
VA,F,2006,Danica,10
VA,F,2006,Danika,10
VA,F,2006,Destini,10
VA,F,2006,Elana,10
VA,F,2006,Elle,10
VA,F,2006,Emani,10
VA,F,2006,Emilia,10
VA,F,2006,Essence,10
VA,F,2006,Estefani,10
VA,F,2006,Haven,10
VA,F,2006,Irene,10
VA,F,2006,Jacquelyn,10
VA,F,2006,Janiah,10
