StateCode,Sex,YearOfBirth,Name,Number
VA,M,1926,Stafford,5
VA,M,1926,Talmadge,5
VA,M,1926,Taylor,5
VA,M,1926,Teddy,5
VA,M,1926,Terry,5
VA,M,1926,Thaddeus,5
VA,M,1926,Timothy,5
VA,M,1926,Vance,5
VA,M,1926,Warner,5
VA,M,1926,Wilfred,5
VA,M,1927,James,1837
VA,M,1927,William,1462
VA,M,1927,John,1146
VA,M,1927,Robert,1100
VA,M,1927,Charles,763
VA,M,1927,George,665
VA,M,1927,Thomas,468
VA,M,1927,Joseph,427
VA,M,1927,Edward,421
VA,M,1927,Richard,331
VA,M,1927,Clarence,274
VA,M,1927,Frank,261
VA,M,1927,Walter,257
VA,M,1927,Harry,255
VA,M,1927,Henry,245
VA,M,1927,Willie,244
VA,M,1927,Raymond,233
VA,M,1927,Roy,227
VA,M,1927,Paul,226
VA,M,1927,David,214
VA,M,1927,Ralph,198
VA,M,1927,Earl,194
VA,M,1927,Eugene,194
VA,M,1927,Jack,183
VA,M,1927,Carl,182
VA,M,1927,Harold,179
VA,M,1927,Samuel,178
VA,M,1927,Howard,174
VA,M,1927,Arthur,167
VA,M,1927,Charlie,161
VA,M,1927,Kenneth,152
VA,M,1927,Herbert,144
VA,M,1927,Ernest,143
VA,M,1927,Fred,143
VA,M,1927,Albert,142
VA,M,1927,Donald,140
VA,M,1927,Lewis,138
VA,M,1927,Melvin,135
VA,M,1927,Lawrence,129
VA,M,1927,Calvin,128
VA,M,1927,Bernard,117
VA,M,1927,Alfred,115
VA,M,1927,Clyde,108
VA,M,1927,Joe,102
VA,M,1927,Curtis,100
VA,M,1927,Russell,100
VA,M,1927,Floyd,98
VA,M,1927,Claude,96
VA,M,1927,Cecil,94
VA,M,1927,Jesse,92
VA,M,1927,Herman,91
VA,M,1927,Billy,90
VA,M,1927,Louis,90
VA,M,1927,Marvin,89
VA,M,1927,Leonard,88
VA,M,1927,Leroy,88
VA,M,1927,Elmer,86
VA,M,1927,Andrew,85
VA,M,1927,Alvin,83
VA,M,1927,Daniel,83
VA,M,1927,Benjamin,78
VA,M,1927,Ray,78
VA,M,1927,Warren,74
VA,M,1927,Linwood,73
VA,M,1927,Milton,69
VA,M,1927,Edwin,67
VA,M,1927,Douglas,65
VA,M,1927,Harvey,64
VA,M,1927,Lloyd,64
VA,M,1927,Vernon,63
VA,M,1927,Horace,61
VA,M,1927,Rudolph,61
VA,M,1927,Stanley,61
VA,M,1927,Earnest,60
VA,M,1927,Leon,60
VA,M,1927,Norman,60
VA,M,1927,Luther,58
VA,M,1927,Garland,57
VA,M,1927,Wallace,57
VA,M,1927,Otis,56
VA,M,1927,Clifton,54
VA,M,1927,Lee,52
VA,M,1927,Junior,51
VA,M,1927,Oscar,51
VA,M,1927,Randolph,51
VA,M,1927,Willard,51
VA,M,1927,Edgar,50
VA,M,1927,Hubert,50
VA,M,1927,Lester,49
VA,M,1927,Nelson,48
VA,M,1927,Carlton,47
VA,M,1927,Frederick,46
VA,M,1927,Hugh,46
VA,M,1927,Jessie,46
VA,M,1927,Allen,45
VA,M,1927,Carroll,44
VA,M,1927,Dewey,44
VA,M,1927,Gene,44
VA,M,1927,Theodore,44
VA,M,1927,Eddie,43
VA,M,1927,Gilbert,43
VA,M,1927,Franklin,42
VA,M,1927,Sidney,41
VA,M,1927,Wilbur,41
