StateCode,Sex,YearOfBirth,Name,Number
VA,M,1987,Alvin,25
VA,M,1987,Dale,25
VA,M,1987,Isaac,25
VA,M,1987,Morgan,25
VA,M,1987,Stanley,25
VA,M,1987,Terrance,25
VA,M,1987,Warren,25
VA,M,1987,Edwin,24
VA,M,1987,Lorenzo,24
VA,M,1987,Ricardo,24
VA,M,1987,Theodore,24
VA,M,1987,Brad,23
VA,M,1987,Dallas,23
VA,M,1987,Luis,23
VA,M,1987,Rashad,23
VA,M,1987,Damien,22
VA,M,1987,Glenn,22
VA,M,1987,Jamel,22
VA,M,1987,Lewis,22
VA,M,1987,Marshall,22
VA,M,1987,Miles,22
VA,M,1987,Noah,22
VA,M,1987,Ralph,22
VA,M,1987,Tristan,22
VA,M,1987,Tyrell,22
VA,M,1987,Clifton,21
VA,M,1987,Daryl,21
VA,M,1987,Jessie,21
VA,M,1987,Joey,21
VA,M,1987,Karl,21
VA,M,1987,Leon,21
VA,M,1987,Levi,21
VA,M,1987,Wade,21
VA,M,1987,Cedric,20
VA,M,1987,Dante,20
VA,M,1987,Francis,20
VA,M,1987,Jarrod,20
VA,M,1987,Kendall,20
VA,M,1987,Leonard,20
VA,M,1987,Malcolm,20
VA,M,1987,Neil,20
VA,M,1987,Nelson,20
VA,M,1987,Quinton,20
VA,M,1987,Terence,20
VA,M,1987,Avery,19
VA,M,1987,Bradford,19
VA,M,1987,Bryce,19
VA,M,1987,Colby,19
VA,M,1987,Dean,19
VA,M,1987,Donovan,19
VA,M,1987,Max,19
VA,M,1987,Orlando,19
VA,M,1987,Bernard,18
VA,M,1987,Carter,18
VA,M,1987,Forrest,18
VA,M,1987,Gabriel,18
VA,M,1987,Grant,18
VA,M,1987,Kirk,18
VA,M,1987,Mason,18
VA,M,1987,Maxwell,18
VA,M,1987,Shannon,18
VA,M,1987,Steve,18
VA,M,1987,Branden,17
VA,M,1987,Clifford,17
VA,M,1987,Demetrius,17
VA,M,1987,Donnell,17
VA,M,1987,Gordon,17
VA,M,1987,Howard,17
VA,M,1987,Jake,17
VA,M,1987,Lamont,17
VA,M,1987,Lance,17
VA,M,1987,Nicolas,17
VA,M,1987,Ray,17
VA,M,1987,Tommy,17
VA,M,1987,Zachery,17
VA,M,1987,Alfred,16
VA,M,1987,Brenton,16
VA,M,1987,Courtney,16
VA,M,1987,Damian,16
VA,M,1987,Darnell,16
VA,M,1987,Graham,16
VA,M,1987,Harry,16
VA,M,1987,Isaiah,16
VA,M,1987,Miguel,16
VA,M,1987,Carlton,15
VA,M,1987,Eddie,15
VA,M,1987,Emmanuel,15
VA,M,1987,Harrison,15
VA,M,1987,Julius,15
VA,M,1987,Trey,15
VA,M,1987,Vernon,15
VA,M,1987,Xavier,15
VA,M,1987,Zachariah,15
VA,M,1987,Antwan,14
VA,M,1987,Baby,14
VA,M,1987,Charlie,14
VA,M,1987,Deangelo,14
VA,M,1987,Elijah,14
VA,M,1987,Erick,14
VA,M,1987,Floyd,14
VA,M,1987,Jarrett,14
VA,M,1987,Javon,14
VA,M,1987,Landon,14
VA,M,1987,Norman,14
VA,M,1987,Oscar,14
VA,M,1987,Aubrey,13
VA,M,1987,Chris,13
VA,M,1987,Cornelius,13
VA,M,1987,Dwight,13
VA,M,1987,Fred,13
VA,M,1987,Josiah,13
VA,M,1987,Keon,13
VA,M,1987,Markus,13
VA,M,1987,Oliver,13
VA,M,1987,Quintin,13
VA,M,1987,Stefan,13
VA,M,1987,Trent,13
VA,M,1987,Alonzo,12
VA,M,1987,Andy,12
VA,M,1987,Angelo,12
VA,M,1987,Cecil,12
VA,M,1987,Clint,12
VA,M,1987,Collin,12
VA,M,1987,Connor,12
VA,M,1987,Harold,12
VA,M,1987,Herman,12
VA,M,1987,Joe,12
VA,M,1987,Kelly,12
VA,M,1987,Kent,12
VA,M,1987,Stephan,12
VA,M,1987,Tracy,12
VA,M,1987,Allan,11
VA,M,1987,Ashton,11
VA,M,1987,Clyde,11
VA,M,1987,Cole,11
VA,M,1987,Cordell,11
VA,M,1987,Damon,11
VA,M,1987,Davon,11
VA,M,1987,Desmond,11
VA,M,1987,Ethan,11
VA,M,1987,Garland,11
VA,M,1987,Heath,11
VA,M,1987,Jackson,11
VA,M,1987,Johnathon,11
VA,M,1987,Kenny,11
VA,M,1987,Kurt,11
VA,M,1987,Lloyd,11
VA,M,1987,Milton,11
VA,M,1987,Mohammad,11
VA,M,1987,Neal,11
VA,M,1987,Perry,11
VA,M,1987,Randolph,11
VA,M,1987,Rusty,11
VA,M,1987,Simon,11
VA,M,1987,Trenton,11
VA,M,1987,Tyree,11
VA,M,1987,Brock,10
VA,M,1987,Chaz,10
VA,M,1987,Conor,10
VA,M,1987,Cordero,10
VA,M,1987,Dakota,10
VA,M,1987,Darrel,10
VA,M,1987,Deandre,10
VA,M,1987,Derick,10
VA,M,1987,Dillon,10
VA,M,1987,Don,10
VA,M,1987,Edgar,10
VA,M,1987,Frankie,10
VA,M,1987,Gavin,10
VA,M,1987,Glen,10
VA,M,1987,Herbert,10
VA,M,1987,Jamaal,10
VA,M,1987,Jarvis,10
VA,M,1987,Kerry,10
VA,M,1987,Korey,10
VA,M,1987,Kory,10
VA,M,1987,Marco,10
VA,M,1987,Micah,10
VA,M,1987,Roland,10
VA,M,1987,Sam,10
VA,M,1987,Spenser,10
VA,M,1987,Stephon,10
VA,M,1987,Alejandro,9
VA,M,1987,Angel,9
VA,M,1987,Chadwick,9
VA,M,1987,Cordaro,9
VA,M,1987,Deon,9
VA,M,1987,Devan,9
VA,M,1987,Donta,9
VA,M,1987,Garry,9
VA,M,1987,Gerard,9
VA,M,1987,Kendrick,9
VA,M,1987,Leroy,9
VA,M,1987,Nickolas,9
VA,M,1987,Parker,9
VA,M,1987,Pierre,9
VA,M,1987,Quincy,9
VA,M,1987,Rickey,9
VA,M,1987,Roberto,9
VA,M,1987,Roderick,9
VA,M,1987,Sergio,9
VA,M,1987,Sidney,9
VA,M,1987,Solomon,9
VA,M,1987,Stacy,9
VA,M,1987,Teddy,9
VA,M,1987,Abram,8
VA,M,1987,Ahmad,8
VA,M,1987,Ali,8
VA,M,1987,Amir,8
VA,M,1987,Arnold,8
VA,M,1987,Ashley,8
VA,M,1987,Benny,8
VA,M,1987,Blaine,8
VA,M,1987,Chance,8
VA,M,1987,Claude,8
VA,M,1987,Coleman,8
VA,M,1987,Darrin,8
VA,M,1987,Davis,8
VA,M,1987,Demario,8
VA,M,1987,Dontae,8
VA,M,1987,Dusty,8
VA,M,1987,Elliott,8
VA,M,1987,Everett,8
VA,M,1987,Gene,8
VA,M,1987,Harvey,8
VA,M,1987,Hector,8
VA,M,1987,Ivan,8
VA,M,1987,Jarred,8
VA,M,1987,Javier,8
VA,M,1987,Jovan,8
VA,M,1987,Julio,8
VA,M,1987,Kendal,8
VA,M,1987,Kurtis,8
VA,M,1987,Leslie,8
VA,M,1987,Lukas,8
VA,M,1987,Owen,8
VA,M,1987,Pedro,8
