StateCode,Sex,YearOfBirth,Name,Number
VT,M,1984,Donald,10
VT,M,1984,Lance,10
VT,M,1984,Raymond,10
VT,M,1984,Shane,10
VT,M,1984,Alan,9
VT,M,1984,Alex,9
VT,M,1984,Brett,9
VT,M,1984,Jamie,9
VT,M,1984,Shaun,9
VT,M,1984,Brendan,8
VT,M,1984,Casey,8
VT,M,1984,Cory,8
VT,M,1984,Derrick,8
VT,M,1984,Devin,8
VT,M,1984,Erik,8
VT,M,1984,Kristopher,8
VT,M,1984,Todd,8
VT,M,1984,Dale,7
VT,M,1984,Gary,7
VT,M,1984,Joel,7
VT,M,1984,Martin,7
VT,M,1984,Tyson,7
VT,M,1984,Curtis,6
VT,M,1984,Dylan,6
VT,M,1984,Francis,6
VT,M,1984,Frank,6
VT,M,1984,Jay,6
VT,M,1984,Jeffery,6
VT,M,1984,Norman,6
VT,M,1984,Taylor,6
VT,M,1984,Wesley,6
VT,M,1984,Allen,5
VT,M,1984,Austin,5
VT,M,1984,Bruce,5
VT,M,1984,Byron,5
VT,M,1984,Christian,5
VT,M,1984,Clifford,5
VT,M,1984,Cole,5
VT,M,1984,Collin,5
VT,M,1984,Darren,5
VT,M,1984,Frederick,5
VT,M,1984,Geoffrey,5
VT,M,1984,George,5
VT,M,1984,Grant,5
VT,M,1984,Isaac,5
VT,M,1984,Lawrence,5
VT,M,1984,Lee,5
VT,M,1984,Marc,5
VT,M,1984,Marcus,5
VT,M,1984,Philip,5
VT,M,1984,Randy,5
VT,M,1984,Roy,5
VT,M,1984,Russell,5
VT,M,1984,Troy,5
VT,M,1985,Matthew,131
VT,M,1985,Michael,131
VT,M,1985,Christopher,128
VT,M,1985,Ryan,102
VT,M,1985,Daniel,95
VT,M,1985,Joshua,95
VT,M,1985,Andrew,93
VT,M,1985,Justin,76
VT,M,1985,Jason,73
VT,M,1985,James,72
VT,M,1985,Kyle,71
VT,M,1985,Adam,70
VT,M,1985,Eric,69
VT,M,1985,David,67
VT,M,1985,Tyler,62
VT,M,1985,John,60
VT,M,1985,Robert,55
VT,M,1985,Joseph,52
VT,M,1985,William,52
VT,M,1985,Benjamin,50
VT,M,1985,Timothy,49
VT,M,1985,Jesse,48
VT,M,1985,Nicholas,48
VT,M,1985,Thomas,46
VT,M,1985,Jonathan,44
VT,M,1985,Nathan,42
VT,M,1985,Brian,40
VT,M,1985,Kevin,40
VT,M,1985,Travis,40
VT,M,1985,Patrick,39
VT,M,1985,Richard,38
VT,M,1985,Dustin,36
VT,M,1985,Jeremy,35
VT,M,1985,Steven,34
VT,M,1985,Zachary,34
VT,M,1985,Anthony,31
VT,M,1985,Shawn,30
VT,M,1985,Jeffrey,28
VT,M,1985,Gregory,27
VT,M,1985,Mark,27
VT,M,1985,Aaron,26
VT,M,1985,Jacob,26
VT,M,1985,Stephen,26
VT,M,1985,Ian,25
VT,M,1985,Paul,25
VT,M,1985,Sean,25
VT,M,1985,Alexander,24
VT,M,1985,Peter,24
VT,M,1985,Scott,24
VT,M,1985,Seth,22
VT,M,1985,Chad,21
VT,M,1985,Bradley,20
VT,M,1985,Brandon,20
VT,M,1985,Jordan,20
VT,M,1985,Corey,18
VT,M,1985,Shane,18
VT,M,1985,Charles,17
VT,M,1985,Edward,17
VT,M,1985,Keith,17
VT,M,1985,Samuel,17
VT,M,1985,Colin,16
VT,M,1985,Kenneth,16
VT,M,1985,Bryan,15
VT,M,1985,Trevor,14
VT,M,1985,Brendan,13
VT,M,1985,Brett,13
VT,M,1985,Cody,13
VT,M,1985,Donald,12
VT,M,1985,Lucas,12
VT,M,1985,Caleb,11
VT,M,1985,Derek,11
VT,M,1985,Dylan,11
VT,M,1985,Joel,11
VT,M,1985,Alex,10
VT,M,1985,Craig,10
VT,M,1985,George,10
VT,M,1985,Jamie,10
VT,M,1985,Jared,10
VT,M,1985,Lance,10
VT,M,1985,Luke,10
VT,M,1985,Nathaniel,10
VT,M,1985,Raymond,10
VT,M,1985,Evan,9
VT,M,1985,Philip,9
VT,M,1985,Shaun,9
VT,M,1985,Casey,8
VT,M,1985,Cory,8
VT,M,1985,Douglas,8
VT,M,1985,Julian,8
VT,M,1985,Noah,8
VT,M,1985,Allen,7
VT,M,1985,Brent,7
VT,M,1985,Cameron,7
VT,M,1985,Dana,7
VT,M,1985,Devin,7
