StateCode,Sex,YearOfBirth,Name,Number
WA,F,1987,Dorothy,8
WA,F,1987,Eileen,8
WA,F,1987,Elaine,8
WA,F,1987,Eleanor,8
WA,F,1987,Emilie,8
WA,F,1987,Guadalupe,8
WA,F,1987,Kaci,8
WA,F,1987,Kailee,8
WA,F,1987,Kailey,8
WA,F,1987,Kami,8
WA,F,1987,Katelynn,8
WA,F,1987,Kimberley,8
WA,F,1987,Kira,8
WA,F,1987,Kyra,8
WA,F,1987,Lana,8
WA,F,1987,Latasha,8
WA,F,1987,Latoya,8
WA,F,1987,Laurie,8
WA,F,1987,Leanna,8
WA,F,1987,Leigh,8
WA,F,1987,Lynn,8
WA,F,1987,Maegan,8
WA,F,1987,Makenzie,8
WA,F,1987,Maureen,8
WA,F,1987,Nikita,8
WA,F,1987,Nikole,8
WA,F,1987,Racheal,8
WA,F,1987,Sheri,8
WA,F,1987,Sofia,8
WA,F,1987,Tatiana,8
WA,F,1987,Tawny,8
WA,F,1987,Tracie,8
WA,F,1987,Yvette,8
WA,F,1987,Alyse,7
WA,F,1987,Amie,7
WA,F,1987,Angelique,7
WA,F,1987,Annette,7
WA,F,1987,Ashton,7
WA,F,1987,Belinda,7
WA,F,1987,Billie,7
WA,F,1987,Britany,7
WA,F,1987,Britni,7
WA,F,1987,Britta,7
WA,F,1987,Cami,7
WA,F,1987,Carli,7
WA,F,1987,Cayla,7
WA,F,1987,Celina,7
WA,F,1987,Chelsi,7
WA,F,1987,Cheyenne,7
WA,F,1987,Clara,7
WA,F,1987,Daisy,7
WA,F,1987,Danika,7
WA,F,1987,Elissa,7
WA,F,1987,Esmeralda,7
WA,F,1987,Francesca,7
WA,F,1987,Gabriela,7
WA,F,1987,Janay,7
WA,F,1987,Janessa,7
WA,F,1987,Jazmin,7
WA,F,1987,Jessi,7
WA,F,1987,Joanne,7
WA,F,1987,Josie,7
WA,F,1987,Juanita,7
WA,F,1987,Karli,7
WA,F,1987,Kati,7
WA,F,1987,Katlyn,7
WA,F,1987,Kaylie,7
WA,F,1987,Kiley,7
WA,F,1987,Kirstin,7
WA,F,1987,Kori,7
WA,F,1987,Laci,7
WA,F,1987,Leann,7
WA,F,1987,Linsey,7
WA,F,1987,Lorraine,7
WA,F,1987,Lucy,7
WA,F,1987,Madeleine,7
WA,F,1987,Margarita,7
WA,F,1987,Michael,7
WA,F,1987,Mollie,7
WA,F,1987,Nora,7
WA,F,1987,Norma,7
WA,F,1987,Rita,7
WA,F,1987,Rosalie,7
WA,F,1987,Shantel,7
WA,F,1987,Sheree,7
WA,F,1987,Sherri,7
WA,F,1987,Sherry,7
WA,F,1987,Simone,7
WA,F,1987,Tana,7
WA,F,1987,Terri,7
WA,F,1987,Tierra,7
WA,F,1987,Tristan,7
WA,F,1987,Winter,7
WA,F,1987,Acacia,6
WA,F,1987,Alecia,6
WA,F,1987,Alena,6
WA,F,1987,Alysia,6
WA,F,1987,Ambrosia,6
WA,F,1987,Andrew,6
WA,F,1987,Antonia,6
WA,F,1987,Ashely,6
WA,F,1987,Athena,6
WA,F,1987,Bobbi,6
WA,F,1987,Bobbie,6
WA,F,1987,Bryn,6
WA,F,1987,Brynn,6
WA,F,1987,Carina,6
WA,F,1987,Carley,6
WA,F,1987,Cathleen,6
WA,F,1987,Charissa,6
WA,F,1987,Corinna,6
WA,F,1987,Corrine,6
WA,F,1987,Cory,6
WA,F,1987,Daniel,6
WA,F,1987,Daniella,6
WA,F,1987,Dara,6
WA,F,1987,Darci,6
WA,F,1987,Darlene,6
WA,F,1987,Desirae,6
WA,F,1987,Devin,6
WA,F,1987,Devon,6
WA,F,1987,Emilee,6
WA,F,1987,Ingrid,6
WA,F,1987,Jean,6
WA,F,1987,Jeanette,6
WA,F,1987,Jody,6
WA,F,1987,Joslyn,6
WA,F,1987,Joy,6
WA,F,1987,Judith,6
WA,F,1987,Kady,6
WA,F,1987,Kalee,6
WA,F,1987,Kalie,6
WA,F,1987,Kallie,6
WA,F,1987,Kandice,6
WA,F,1987,Kathy,6
WA,F,1987,Kaylin,6
WA,F,1987,Kaylyn,6
WA,F,1987,Keely,6
WA,F,1987,Keisha,6
WA,F,1987,Keshia,6
WA,F,1987,Kiersten,6
WA,F,1987,Kyle,6
WA,F,1987,Lesley,6
WA,F,1987,Lily,6
WA,F,1987,Lora,6
WA,F,1987,Madalyn,6
WA,F,1987,Maranda,6
WA,F,1987,Marcella,6
WA,F,1987,Marguerite,6
WA,F,1987,Marilyn,6
WA,F,1987,Maya,6
WA,F,1987,Mikayla,6
WA,F,1987,Nicholas,6
WA,F,1987,Petra,6
WA,F,1987,Rhea,6
WA,F,1987,Riley,6
WA,F,1987,Rosanna,6
WA,F,1987,Roseanna,6
WA,F,1987,Ryan,6
WA,F,1987,Salina,6
WA,F,1987,Sarina,6
WA,F,1987,Selina,6
WA,F,1987,Shalane,6
WA,F,1987,Sharee,6
WA,F,1987,Shelley,6
WA,F,1987,Stefani,6
WA,F,1987,Susanna,6
WA,F,1987,Tamra,6
WA,F,1987,Tanisha,6
WA,F,1987,Tarah,6
WA,F,1987,Tashina,6
WA,F,1987,Tosha,6
WA,F,1987,Yasmin,6
WA,F,1987,Adrianna,5
WA,F,1987,Aisha,5
WA,F,1987,Alea,5
WA,F,1987,Aleah,5
WA,F,1987,Alex,5
WA,F,1987,Alexandrea,5
WA,F,1987,Alexia,5
WA,F,1987,Alina,5
WA,F,1987,Annamarie,5
WA,F,1987,Arlene,5
WA,F,1987,Ashlea,5
WA,F,1987,Ashli,5
WA,F,1987,Asia,5
WA,F,1987,Aurora,5
WA,F,1987,Austin,5
WA,F,1987,Belen,5
WA,F,1987,Betty,5
WA,F,1987,Bianca,5
WA,F,1987,Blair,5
WA,F,1987,Bria,5
WA,F,1987,Brielle,5
WA,F,1987,Brittaney,5
WA,F,1987,Casandra,5
WA,F,1987,Cassidy,5
WA,F,1987,Cheri,5
WA,F,1987,Christin,5
WA,F,1987,Christopher,5
WA,F,1987,Cody,5
WA,F,1987,Connie,5
WA,F,1987,Danica,5
