StateCode,Sex,YearOfBirth,Name,Number
WA,F,1998,Tamara,11
WA,F,1998,Valeria,11
WA,F,1998,Aimee,10
WA,F,1998,Alexandrea,10
WA,F,1998,Angelique,10
WA,F,1998,Anita,10
WA,F,1998,Brook,10
WA,F,1998,Cassie,10
WA,F,1998,Chandler,10
WA,F,1998,Chantel,10
WA,F,1998,Ciera,10
WA,F,1998,Corinne,10
WA,F,1998,Daniella,10
WA,F,1998,Devan,10
WA,F,1998,Diamond,10
WA,F,1998,Elle,10
WA,F,1998,Emilia,10
WA,F,1998,Emilie,10
WA,F,1998,Fatima,10
WA,F,1998,Greta,10
WA,F,1998,Harley,10
WA,F,1998,Ireland,10
WA,F,1998,Jenifer,10
WA,F,1998,Johanna,10
WA,F,1998,Kathy,10
WA,F,1998,Katy,10
WA,F,1998,Kaylynn,10
WA,F,1998,Kelsi,10
WA,F,1998,Kendal,10
WA,F,1998,Kianna,10
WA,F,1998,Kiersten,10
WA,F,1998,Leanna,10
WA,F,1998,Lesley,10
WA,F,1998,Lexie,10
WA,F,1998,Lexis,10
WA,F,1998,Lyric,10
WA,F,1998,Macy,10
WA,F,1998,Margarita,10
WA,F,1998,Marisol,10
WA,F,1998,Mireya,10
WA,F,1998,Phoebe,10
WA,F,1998,Rachelle,10
WA,F,1998,Randi,10
WA,F,1998,Reagan,10
WA,F,1998,Roxanne,10
WA,F,1998,Ryan,10
WA,F,1998,Sally,10
WA,F,1998,Sasha,10
WA,F,1998,Skyla,10
WA,F,1998,Susan,10
WA,F,1998,Taya,10
WA,F,1998,Vanesa,10
WA,F,1998,Aiyana,9
WA,F,1998,Alysha,9
WA,F,1998,Amara,9
WA,F,1998,Antonia,9
WA,F,1998,Beatriz,9
WA,F,1998,Britney,9
WA,F,1998,Cortney,9
WA,F,1998,Deja,9
WA,F,1998,Eliza,9
WA,F,1998,Esperanza,9
WA,F,1998,Heaven,9
WA,F,1998,Janae,9
WA,F,1998,Jesse,9
WA,F,1998,Julianne,9
WA,F,1998,Juliet,9
WA,F,1998,Kaelyn,9
WA,F,1998,Kaleigh,9
WA,F,1998,Kierra,9
WA,F,1998,Kristine,9
