StateCode,Sex,YearOfBirth,Name,Number
WA,F,2007,Jalyn,6
WA,F,2007,Janna,6
WA,F,2007,Jaycie,6
WA,F,2007,Jayde,6
WA,F,2007,Jaylah,6
WA,F,2007,Jayna,6
WA,F,2007,Jazlynn,6
WA,F,2007,Johana,6
WA,F,2007,Jordynn,6
WA,F,2007,Joslynn,6
WA,F,2007,Josslyn,6
WA,F,2007,Journey,6
WA,F,2007,Joyce,6
WA,F,2007,Judy,6
WA,F,2007,Kailani,6
WA,F,2007,Kailyn,6
WA,F,2007,Kalani,6
WA,F,2007,Kaleah,6
WA,F,2007,Kaleigh,6
WA,F,2007,Kalie,6
WA,F,2007,Karli,6
WA,F,2007,Karly,6
WA,F,2007,Katarina,6
WA,F,2007,Kaycee,6
WA,F,2007,Kayli,6
WA,F,2007,Kimber,6
WA,F,2007,Kloe,6
WA,F,2007,Kristin,6
WA,F,2007,Leyla,6
WA,F,2007,Lillianna,6
WA,F,2007,Lilyanna,6
WA,F,2007,Liz,6
WA,F,2007,Lucie,6
WA,F,2007,Lucinda,6
WA,F,2007,Lulu,6
WA,F,2007,Madisen,6
WA,F,2007,Maiya,6
WA,F,2007,Mandy,6
WA,F,2007,Marcella,6
WA,F,2007,Maribel,6
WA,F,2007,Mckayla,6
WA,F,2007,Meagan,6
WA,F,2007,Mindy,6
WA,F,2007,Nadine,6
WA,F,2007,Neha,6
WA,F,2007,Ocean,6
WA,F,2007,Pamela,6
WA,F,2007,Pearl,6
WA,F,2007,Petra,6
WA,F,2007,Prisha,6
WA,F,2007,Ramona,6
WA,F,2007,Reegan,6
WA,F,2007,Rocio,6
WA,F,2007,Rosalinda,6
WA,F,2007,Sariah,6
WA,F,2007,Selina,6
WA,F,2007,Shanelle,6
WA,F,2007,Sheyla,6
WA,F,2007,Siri,6
WA,F,2007,Sofie,6
WA,F,2007,Sonya,6
WA,F,2007,Soraya,6
WA,F,2007,Stefanie,6
WA,F,2007,Trisha,6
WA,F,2007,Virginia,6
WA,F,2007,Yahaira,6
WA,F,2007,Yaneli,6
WA,F,2007,Yvette,6
WA,F,2007,Zuleyka,6
WA,F,2007,Abagail,5
WA,F,2007,Abbey,5
WA,F,2007,Acacia,5
WA,F,2007,Addy,5
WA,F,2007,Aila,5
WA,F,2007,Ainslee,5
WA,F,2007,Alani,5
WA,F,2007,Alayah,5
WA,F,2007,Alia,5
WA,F,2007,Aliana,5
WA,F,2007,Alliyah,5
WA,F,2007,Alyza,5
WA,F,2007,Ameera,5
WA,F,2007,Anai,5
WA,F,2007,Anais,5
WA,F,2007,Angelika,5
WA,F,2007,Anisha,5
WA,F,2007,Anja,5
WA,F,2007,Ann,5
WA,F,2007,Annalisa,5
WA,F,2007,Annamaria,5
WA,F,2007,Annemarie,5
WA,F,2007,Ariah,5
WA,F,2007,Ariella,5
WA,F,2007,Arielle,5
WA,F,2007,Arwen,5
WA,F,2007,Asiya,5
WA,F,2007,Aubrie,5
WA,F,2007,Audra,5
WA,F,2007,Audrianna,5
WA,F,2007,Audrina,5
WA,F,2007,Aundrea,5
WA,F,2007,Ayden,5
WA,F,2007,Beatrix,5
WA,F,2007,Brookelyn,5
WA,F,2007,Brookelynn,5
WA,F,2007,Caia,5
WA,F,2007,Cambria,5
WA,F,2007,Candice,5
WA,F,2007,Carlie,5
WA,F,2007,Cate,5
WA,F,2007,Caylee,5
WA,F,2007,Charlee,5
WA,F,2007,Chelsey,5
WA,F,2007,Clover,5
WA,F,2007,Colette,5
WA,F,2007,Dalilah,5
WA,F,2007,Dayna,5
WA,F,2007,Daysha,5
WA,F,2007,Destinee,5
WA,F,2007,Devan,5
WA,F,2007,Dominique,5
WA,F,2007,Donna,5
WA,F,2007,Eileen,5
WA,F,2007,Ellery,5
WA,F,2007,Elora,5
WA,F,2007,Emi,5
WA,F,2007,Emmerson,5
WA,F,2007,Estela,5
WA,F,2007,Ester,5
WA,F,2007,Evangelina,5
WA,F,2007,Felicity,5
WA,F,2007,Giovanna,5
WA,F,2007,Gisele,5
WA,F,2007,Gracee,5
WA,F,2007,Hayleigh,5
WA,F,2007,Ila,5
WA,F,2007,Irma,5
WA,F,2007,Jaclyn,5
WA,F,2007,Jaedyn,5
WA,F,2007,Jaslyn,5
WA,F,2007,Jasmyne,5
WA,F,2007,Jaycee,5
WA,F,2007,Jaylee,5
WA,F,2007,Jazmyne,5
WA,F,2007,Jenesis,5
WA,F,2007,Jessa,5
WA,F,2007,Jesse,5
WA,F,2007,Jessenia,5
WA,F,2007,Joselin,5
WA,F,2007,Joslyn,5
WA,F,2007,Josselyn,5
WA,F,2007,Judith,5
WA,F,2007,Julianne,5
WA,F,2007,Kadance,5
WA,F,2007,Kadynce,5
WA,F,2007,Kari,5
WA,F,2007,Karis,5
WA,F,2007,Karsyn,5
WA,F,2007,Kasandra,5
WA,F,2007,Kathrine,5
WA,F,2007,Kaydee,5
WA,F,2007,Keeley,5
WA,F,2007,Keilani,5
WA,F,2007,Kelli,5
WA,F,2007,Kelsie,5
WA,F,2007,Kenadie,5
WA,F,2007,Kenia,5
WA,F,2007,Kiya,5
WA,F,2007,Kristen,5
WA,F,2007,Krystal,5
WA,F,2007,Lacie,5
WA,F,2007,Lacy,5
WA,F,2007,Laela,5
WA,F,2007,Lara,5
WA,F,2007,Leia,5
WA,F,2007,Leilah,5
WA,F,2007,Lexis,5
WA,F,2007,Lianna,5
WA,F,2007,Lilyanne,5
WA,F,2007,Lisbeth,5
WA,F,2007,Lizet,5
WA,F,2007,Lorena,5
WA,F,2007,Lorraine,5
WA,F,2007,Luciana,5
WA,F,2007,Lupita,5
WA,F,2007,Lylah,5
WA,F,2007,Maeve,5
WA,F,2007,Magaly,5
WA,F,2007,Maite,5
WA,F,2007,Malea,5
WA,F,2007,Malena,5
WA,F,2007,Maliah,5
WA,F,2007,Maryam,5
WA,F,2007,Maryann,5
WA,F,2007,Mayah,5
WA,F,2007,Mazie,5
WA,F,2007,Mckinley,5
WA,F,2007,Meera,5
WA,F,2007,Melisa,5
WA,F,2007,Milagros,5
WA,F,2007,Mirella,5
WA,F,2007,Mireya,5
WA,F,2007,Misty,5
WA,F,2007,Montana,5
WA,F,2007,Natali,5
WA,F,2007,Nathalie,5
WA,F,2007,Nathaly,5
WA,F,2007,Naveah,5
WA,F,2007,Noa,5
WA,F,2007,Noelani,5
WA,F,2007,Olga,5
WA,F,2007,Paityn,5
WA,F,2007,Preslie,5
WA,F,2007,Raven,5
WA,F,2007,Raya,5
WA,F,2007,Rayne,5
WA,F,2007,Rebeca,5
WA,F,2007,Regina,5
WA,F,2007,Riya,5
WA,F,2007,Robin,5
WA,F,2007,Rory,5
WA,F,2007,Roslyn,5
WA,F,2007,Roxanne,5
WA,F,2007,Ryanne,5
WA,F,2007,Rylan,5
WA,F,2007,Ryley,5
WA,F,2007,Sahana,5
WA,F,2007,Sailor,5
WA,F,2007,Saira,5
WA,F,2007,Salma,5
WA,F,2007,Selma,5
WA,F,2007,Sequoia,5
WA,F,2007,Shaila,5
WA,F,2007,Sharlene,5
WA,F,2007,Sharon,5
WA,F,2007,Shea,5
WA,F,2007,Shianne,5
WA,F,2007,Sofiya,5
WA,F,2007,Sylvie,5
WA,F,2007,Tallulah,5
WA,F,2007,Tasha,5
WA,F,2007,Tatianna,5
WA,F,2007,Taya,5
WA,F,2007,Tiarra,5
WA,F,2007,Tracy,5
WA,F,2007,Trina,5
WA,F,2007,Trista,5
WA,F,2007,Vienna,5
WA,F,2007,Viviana,5
WA,F,2007,Yadhira,5
WA,F,2007,Yarely,5
WA,F,2007,Yelena,5
WA,F,2007,Yocelin,5
WA,F,2007,Yolanda,5
WA,F,2007,Yulissa,5
WA,F,2007,Zariah,5
WA,F,2008,Olivia,430
WA,F,2008,Emma,394
WA,F,2008,Ava,380
WA,F,2008,Sophia,380
WA,F,2008,Emily,375
WA,F,2008,Isabella,373
WA,F,2008,Abigail,340
WA,F,2008,Madison,311
WA,F,2008,Chloe,308
WA,F,2008,Elizabeth,267
WA,F,2008,Grace,258
WA,F,2008,Lily,246
WA,F,2008,Natalie,245
WA,F,2008,Samantha,235
WA,F,2008,Ella,220
WA,F,2008,Hannah,217
WA,F,2008,Addison,193
WA,F,2008,Hailey,190
WA,F,2008,Alexis,188
WA,F,2008,Mia,187
WA,F,2008,Anna,184
WA,F,2008,Taylor,184
WA,F,2008,Audrey,182
WA,F,2008,Lillian,171
WA,F,2008,Ashley,160
WA,F,2008,Avery,157
WA,F,2008,Sarah,150
WA,F,2008,Savannah,148
WA,F,2008,Kaylee,144
WA,F,2008,Nevaeh,138
WA,F,2008,Amelia,135
WA,F,2008,Claire,135
WA,F,2008,Sofia,135
WA,F,2008,Alyssa,130
WA,F,2008,Brooklyn,128
WA,F,2008,Jasmine,127
WA,F,2008,Lauren,126
WA,F,2008,Peyton,124
WA,F,2008,Brianna,123
WA,F,2008,Madeline,123
WA,F,2008,Zoe,121
WA,F,2008,Isabelle,120
WA,F,2008,Lucy,119
WA,F,2008,Sydney,117
WA,F,2008,Evelyn,115
WA,F,2008,Riley,114
WA,F,2008,Julia,112
WA,F,2008,Maya,111
WA,F,2008,Victoria,111
WA,F,2008,Naomi,110
WA,F,2008,Alexandra,109
WA,F,2008,Allison,109
WA,F,2008,Kylie,109
WA,F,2008,Kayla,107
WA,F,2008,Alexa,105
WA,F,2008,Vanessa,105
WA,F,2008,Kaitlyn,104
WA,F,2008,Aubrey,102
WA,F,2008,Payton,102
WA,F,2008,Gabriella,100
WA,F,2008,Makayla,100
WA,F,2008,Paige,100
WA,F,2008,Ruby,100
WA,F,2008,Morgan,97
WA,F,2008,Charlotte,94
WA,F,2008,Maria,94
WA,F,2008,Jessica,92
WA,F,2008,Leah,92
WA,F,2008,Mackenzie,92
WA,F,2008,Trinity,92
WA,F,2008,Eva,90
WA,F,2008,Valeria,90
WA,F,2008,Faith,89
WA,F,2008,Katherine,89
WA,F,2008,Brooke,88
WA,F,2008,Isabel,88
WA,F,2008,Bailey,87
WA,F,2008,Jennifer,86
WA,F,2008,Katelyn,86
WA,F,2008,Megan,85
WA,F,2008,Sophie,83
WA,F,2008,Layla,82
WA,F,2008,Lilly,82
WA,F,2008,Madelyn,82
WA,F,2008,Rylee,82
WA,F,2008,Jocelyn,81
WA,F,2008,Sadie,81
WA,F,2008,Gracie,80
WA,F,2008,Rachel,80
WA,F,2008,Aaliyah,79
WA,F,2008,Angelina,79
WA,F,2008,Clara,78
WA,F,2008,Hayden,77
WA,F,2008,Molly,77
WA,F,2008,Mya,77
WA,F,2008,Serenity,76
WA,F,2008,Autumn,74
WA,F,2008,Ellie,74
WA,F,2008,Stella,74
WA,F,2008,Kimberly,72
WA,F,2008,Kylee,71
WA,F,2008,Diana,70
WA,F,2008,Piper,70
WA,F,2008,Violet,70
WA,F,2008,Ariana,69
WA,F,2008,Kate,69
WA,F,2008,Arianna,67
WA,F,2008,Angela,66
WA,F,2008,Sara,66
WA,F,2008,Bella,64
WA,F,2008,Camila,64
WA,F,2008,Katie,64
WA,F,2008,Zoey,64
WA,F,2008,Andrea,63
WA,F,2008,Sienna,62
WA,F,2008,Kennedy,61
WA,F,2008,Lila,61
WA,F,2008,Genesis,60
WA,F,2008,Jordyn,60
WA,F,2008,Haley,59
WA,F,2008,Lydia,58
WA,F,2008,Makenna,58
WA,F,2008,Mariah,58
WA,F,2008,Ashlyn,57
WA,F,2008,Jenna,57
WA,F,2008,Josephine,57
WA,F,2008,Miley,57
WA,F,2008,Adriana,56
WA,F,2008,Keira,56
WA,F,2008,Liliana,56
WA,F,2008,Amy,55
WA,F,2008,Eliana,55
WA,F,2008,Melanie,55
WA,F,2008,Gabrielle,54
WA,F,2008,Natalia,54
WA,F,2008,Nicole,53
WA,F,2008,Sierra,53
WA,F,2008,Annabelle,52
WA,F,2008,Destiny,52
WA,F,2008,Miranda,52
WA,F,2008,Ashlynn,51
WA,F,2008,Daisy,50
WA,F,2008,Mary,50
WA,F,2008,Elise,49
WA,F,2008,Jade,49
WA,F,2008,Stephanie,49
WA,F,2008,Eleanor,48
WA,F,2008,Michelle,48
WA,F,2008,Kathryn,47
WA,F,2008,Alina,46
WA,F,2008,Brooklynn,46
WA,F,2008,Lola,46
WA,F,2008,Teagan,46
WA,F,2008,Esmeralda,45
WA,F,2008,Gabriela,45
WA,F,2008,Annika,44
WA,F,2008,Hazel,44
WA,F,2008,Jordan,44
WA,F,2008,Leslie,44
WA,F,2008,Margaret,44
WA,F,2008,Marissa,44
WA,F,2008,Nora,44
WA,F,2008,Rebecca,44
WA,F,2008,Amaya,43
WA,F,2008,Fiona,43
WA,F,2008,Iris,43
WA,F,2008,Jacqueline,43
WA,F,2008,Reagan,43
WA,F,2008,Shelby,43
WA,F,2008,Vivian,43
WA,F,2008,Daniela,42
WA,F,2008,Elena,42
WA,F,2008,Georgia,42
WA,F,2008,Ivy,42
WA,F,2008,Laila,42
WA,F,2008,Melissa,42
WA,F,2008,Aliyah,41
WA,F,2008,Danielle,41
WA,F,2008,Scarlett,41
WA,F,2008,Alivia,40
WA,F,2008,Tessa,40
WA,F,2008,Valerie,40
WA,F,2008,Amanda,39
WA,F,2008,Dakota,39
WA,F,2008,Delilah,39
WA,F,2008,Jayden,39
WA,F,2008,Aurora,38
WA,F,2008,Cadence,38
WA,F,2008,Hope,38
WA,F,2008,Kaydence,38
WA,F,2008,Kendall,38
WA,F,2008,Lucia,38
WA,F,2008,Makenzie,38
WA,F,2008,Malia,38
WA,F,2008,Marley,38
WA,F,2008,Mckenna,38
WA,F,2008,Reese,38
WA,F,2008,Summer,38
WA,F,2008,Alexia,37
WA,F,2008,Eden,37
WA,F,2008,Giselle,37
WA,F,2008,Jillian,37
WA,F,2008,Karina,37
WA,F,2008,Kendra,37
WA,F,2008,Mckenzie,37
WA,F,2008,Ana,36
WA,F,2008,Catherine,36
WA,F,2008,Cecilia,36
WA,F,2008,Cheyenne,36
WA,F,2008,Heidi,36
WA,F,2008,Veronica,36
WA,F,2008,Caitlin,35
WA,F,2008,Kyla,35
WA,F,2008,Madeleine,35
WA,F,2008,Mariana,35
WA,F,2008,Adrianna,34
WA,F,2008,Juliana,34
WA,F,2008,Kiera,34
WA,F,2008,Kira,34
WA,F,2008,Leilani,34
WA,F,2008,Ruth,34
WA,F,2008,Alicia,33
WA,F,2008,Haylee,33
WA,F,2008,Lyla,33
WA,F,2008,Marely,33
WA,F,2008,Mikayla,33
WA,F,2008,Penelope,33
WA,F,2008,Alana,32
WA,F,2008,Anastasia,32
WA,F,2008,Cora,32
WA,F,2008,Erin,32
WA,F,2008,Jazmin,32
WA,F,2008,Karen,32
WA,F,2008,Katelynn,32
WA,F,2008,Lexi,32
WA,F,2008,Rowan,32
WA,F,2008,Alice,31
WA,F,2008,Caroline,31
WA,F,2008,Danica,31
WA,F,2008,Harper,31
WA,F,2008,Jayla,31
WA,F,2008,London,31
WA,F,2008,Adeline,30
WA,F,2008,Bianca,30
WA,F,2008,Guadalupe,30
WA,F,2008,Izabella,30
WA,F,2008,Kristina,30
WA,F,2008,Leila,30
WA,F,2008,Maggie,30
WA,F,2008,Alaina,29
WA,F,2008,Alondra,29
WA,F,2008,Caitlyn,29
WA,F,2008,Delaney,29
WA,F,2008,Elsa,29
WA,F,2008,Holly,29
WA,F,2008,Khloe,29
WA,F,2008,Lindsey,29
WA,F,2008,Sabrina,29
WA,F,2008,Addyson,28
WA,F,2008,Amber,28
WA,F,2008,Briana,28
WA,F,2008,Carmen,28
WA,F,2008,Cassidy,28
WA,F,2008,Fatima,28
WA,F,2008,Jada,28
WA,F,2008,Julianna,28
WA,F,2008,Laura,28
WA,F,2008,Alejandra,27
WA,F,2008,Allie,27
WA,F,2008,Angelica,27
WA,F,2008,Gianna,27
WA,F,2008,Jane,27
WA,F,2008,Julie,27
WA,F,2008,Kailey,27
WA,F,2008,Karla,27
WA,F,2008,Kelsey,27
WA,F,2008,Sage,27
WA,F,2008,Taryn,27
WA,F,2008,Abby,26
WA,F,2008,Cassandra,26
WA,F,2008,Crystal,26
WA,F,2008,Dulce,26
WA,F,2008,Genevieve,26
WA,F,2008,Hailee,26
WA,F,2008,Jasmin,26
WA,F,2008,Kamryn,26
WA,F,2008,Kara,26
WA,F,2008,Kiley,26
WA,F,2008,Marlee,26
WA,F,2008,Nina,26
WA,F,2008,Rose,26
WA,F,2008,Savanna,26
WA,F,2008,Anya,25
WA,F,2008,Aria,25
WA,F,2008,Ayla,25
WA,F,2008,Bridget,25
WA,F,2008,Brynn,25
WA,F,2008,Christina,25
WA,F,2008,Cynthia,25
WA,F,2008,Erika,25
WA,F,2008,Evangeline,25
WA,F,2008,Hadley,25
WA,F,2008,Kiara,25
WA,F,2008,Mareli,25
WA,F,2008,Melody,25
WA,F,2008,Paisley,25
WA,F,2008,Phoebe,25
WA,F,2008,Selena,25
WA,F,2008,Annie,24
WA,F,2008,Chelsea,24
WA,F,2008,Emerson,24
WA,F,2008,Esther,24
WA,F,2008,Josie,24
WA,F,2008,Macy,24
WA,F,2008,Mila,24
WA,F,2008,Rylie,24
WA,F,2008,Alexandria,23
WA,F,2008,Baylee,23
WA,F,2008,Breanna,23
WA,F,2008,Callie,23
WA,F,2008,Courtney,23
WA,F,2008,Danika,23
WA,F,2008,Itzel,23
WA,F,2008,Jazmine,23
WA,F,2008,Joanna,23
WA,F,2008,Kaylie,23
WA,F,2008,Lilah,23
WA,F,2008,Lizbeth,23
WA,F,2008,Lucille,23
WA,F,2008,Macie,23
WA,F,2008,Madilyn,23
WA,F,2008,Marisa,23
WA,F,2008,Nadia,23
WA,F,2008,Rebekah,23
WA,F,2008,Rubi,23
WA,F,2008,Tatum,23
WA,F,2008,Yasmin,23
WA,F,2008,Alison,22
WA,F,2008,Bethany,22
WA,F,2008,Finley,22
WA,F,2008,Halle,22
WA,F,2008,Hayley,22
WA,F,2008,Janelle,22
WA,F,2008,Jimena,22
WA,F,2008,Kayden,22
WA,F,2008,Kaylin,22
WA,F,2008,Kyra,22
WA,F,2008,Liana,22
WA,F,2008,Luna,22
WA,F,2008,Madelynn,22
WA,F,2008,Maia,22
WA,F,2008,Marisol,22
WA,F,2008,Presley,22
WA,F,2008,Raegan,22
WA,F,2008,Sasha,22
WA,F,2008,Ainsley,21
WA,F,2008,Anahi,21
WA,F,2008,Angel,21
WA,F,2008,Anika,21
WA,F,2008,Brielle,21
WA,F,2008,Camille,21
WA,F,2008,Camryn,21
WA,F,2008,Elaina,21
WA,F,2008,Harmony,21
WA,F,2008,Isla,21
WA,F,2008,Kaia,21
WA,F,2008,Maddison,21
WA,F,2008,Natasha,21
WA,F,2008,Norah,21
WA,F,2008,Quinn,21
WA,F,2008,Serena,21
WA,F,2008,Tiffany,21
WA,F,2008,Adelaide,20
WA,F,2008,Athena,20
WA,F,2008,Audrina,20
WA,F,2008,Ciara,20
WA,F,2008,Dana,20
WA,F,2008,Daphne,20
WA,F,2008,Eliza,20
WA,F,2008,Gloria,20
WA,F,2008,Greta,20
WA,F,2008,Hana,20
WA,F,2008,Jamie,20
WA,F,2008,Lacey,20
WA,F,2008,Lilian,20
WA,F,2008,Lindsay,20
WA,F,2008,Madisyn,20
WA,F,2008,Noelle,20
WA,F,2008,Olive,20
WA,F,2008,Siena,20
WA,F,2008,Wendy,20
WA,F,2008,Willow,20
WA,F,2008,Amara,19
WA,F,2008,Annalise,19
WA,F,2008,Cameron,19
WA,F,2008,Carly,19
WA,F,2008,Dylan,19
WA,F,2008,Elle,19
WA,F,2008,Emely,19
WA,F,2008,Johanna,19
WA,F,2008,Kaylynn,19
WA,F,2008,Kiana,19
WA,F,2008,Lena,19
WA,F,2008,Lilliana,19
WA,F,2008,Parker,19
WA,F,2008,Talia,19
WA,F,2008,Aimee,18
WA,F,2008,Anne,18
WA,F,2008,Ariel,18
WA,F,2008,Aubree,18
WA,F,2008,Cheyanne,18
WA,F,2008,Elisabeth,18
WA,F,2008,Emilee,18
WA,F,2008,Emilia,18
WA,F,2008,Jaelyn,18
WA,F,2008,Kaelyn,18
WA,F,2008,Kaitlynn,18
WA,F,2008,Kali,18
WA,F,2008,Kassidy,18
WA,F,2008,Kyleigh,18
WA,F,2008,Madalyn,18
WA,F,2008,Madyson,18
WA,F,2008,Marina,18
WA,F,2008,Mylee,18
WA,F,2008,Shayla,18
WA,F,2008,Yaretzi,18
WA,F,2008,Abbigail,17
WA,F,2008,Adelyn,17
WA,F,2008,Aleah,17
WA,F,2008,Celeste,17
WA,F,2008,Denise,17
WA,F,2008,Estrella,17
WA,F,2008,Fernanda,17
WA,F,2008,Harley,17
WA,F,2008,Helen,17
WA,F,2008,Iliana,17
WA,F,2008,Jazlyn,17
WA,F,2008,Kaitlin,17
WA,F,2008,Lesly,17
WA,F,2008,Lillie,17
WA,F,2008,Madilynn,17
WA,F,2008,Makena,17
WA,F,2008,Mallory,17
WA,F,2008,Mercedes,17
WA,F,2008,Michaela,17
WA,F,2008,Natalee,17
WA,F,2008,Nayeli,17
WA,F,2008,Rosa,17
WA,F,2008,Teresa,17
WA,F,2008,Ximena,17
WA,F,2008,Abril,16
WA,F,2008,Allyson,16
WA,F,2008,Alma,16
WA,F,2008,Amira,16
WA,F,2008,Aspen,16
WA,F,2008,Cecelia,16
WA,F,2008,Elsie,16
WA,F,2008,Jaelynn,16
WA,F,2008,Jaidyn,16
WA,F,2008,Jayda,16
