StateCode,Sex,YearOfBirth,Name,Number
WA,M,1950,Wayne,168
WA,M,1950,Scott,167
WA,M,1950,Jeffrey,166
WA,M,1950,Dale,164
WA,M,1950,Brian,157
WA,M,1950,Lawrence,156
WA,M,1950,Alan,147
WA,M,1950,Frank,146
WA,M,1950,Raymond,142
WA,M,1950,Randy,141
WA,M,1950,Craig,136
WA,M,1950,Randall,121
WA,M,1950,Steve,121
WA,M,1950,Peter,120
WA,M,1950,Christopher,116
WA,M,1950,Harold,115
WA,M,1950,Danny,99
WA,M,1950,Rodney,99
WA,M,1950,Carl,91
WA,M,1950,Dan,91
WA,M,1950,Keith,91
WA,M,1950,Philip,88
WA,M,1950,Stanley,86
WA,M,1950,Arthur,84
WA,M,1950,Frederick,83
WA,M,1950,Gordon,81
WA,M,1950,Jim,80
WA,M,1950,Mike,80
WA,M,1950,Walter,80
WA,M,1950,Ralph,78
WA,M,1950,Russell,78
WA,M,1950,Rick,77
WA,M,1950,Jay,75
WA,M,1950,Roy,75
WA,M,1950,Allen,73
WA,M,1950,Phillip,73
WA,M,1950,Darrell,72
WA,M,1950,Dean,72
WA,M,1950,Lee,72
WA,M,1950,Micheal,71
WA,M,1950,Glenn,70
WA,M,1950,Anthony,67
WA,M,1950,Howard,67
WA,M,1950,Bradley,66
WA,M,1950,Kevin,66
WA,M,1950,Clifford,65
WA,M,1950,Fred,65
WA,M,1950,Martin,65
WA,M,1950,Norman,64
WA,M,1950,Jon,63
WA,M,1950,Leonard,63
WA,M,1950,Marvin,63
WA,M,1950,Bill,62
WA,M,1950,Duane,62
WA,M,1950,Tom,62
WA,M,1950,Eric,60
WA,M,1950,Don,57
WA,M,1950,Joe,57
WA,M,1950,Andrew,56
WA,M,1950,Glen,56
WA,M,1950,Barry,54
WA,M,1950,Chris,53
WA,M,1950,Albert,52
WA,M,1950,Harry,52
WA,M,1950,Leslie,50
WA,M,1950,Eugene,49
WA,M,1950,Curtis,48
WA,M,1950,Allan,46
WA,M,1950,Gene,45
WA,M,1950,Theodore,45
WA,M,1950,Greg,44
WA,M,1950,Lloyd,43
WA,M,1950,Warren,43
WA,M,1950,Ernest,42
WA,M,1950,Melvin,42
WA,M,1950,Vernon,42
WA,M,1950,Henry,41
WA,M,1950,Ray,41
WA,M,1950,Earl,40
WA,M,1950,Lyle,40
WA,M,1950,Lynn,40
WA,M,1950,Randolph,40
WA,M,1950,Edwin,39
WA,M,1950,Kirk,39
WA,M,1950,Samuel,39
WA,M,1950,Dave,37
WA,M,1950,Jeffery,37
WA,M,1950,Loren,37
WA,M,1950,Marc,35
WA,M,1950,Nicholas,35
WA,M,1950,Victor,34
WA,M,1950,Ronnie,33
WA,M,1950,Alvin,32
WA,M,1950,Leroy,32
WA,M,1950,Wesley,32
WA,M,1950,Lonnie,31
WA,M,1950,Louis,31
WA,M,1950,Ricky,31
WA,M,1950,Ted,31
WA,M,1950,Clyde,30
WA,M,1950,Fredrick,30
WA,M,1950,Kim,30
WA,M,1950,Rex,30
WA,M,1950,Terrance,30
WA,M,1950,Calvin,29
WA,M,1950,Dana,29
WA,M,1950,Harvey,29
WA,M,1950,Alfred,28
WA,M,1950,Darrel,28
WA,M,1950,Jimmy,28
WA,M,1950,Johnny,28
WA,M,1950,Lance,28
WA,M,1950,Daryl,27
WA,M,1950,Gilbert,27
WA,M,1950,Kent,27
WA,M,1950,Lester,27
WA,M,1950,Robin,27
WA,M,1950,Guy,26
WA,M,1950,Neil,26
WA,M,1950,Randal,26
WA,M,1950,Ron,26
WA,M,1950,Stuart,26
WA,M,1950,Benjamin,25
WA,M,1950,Eddie,25
WA,M,1950,Gregg,25
WA,M,1950,Karl,25
WA,M,1950,Billy,24
WA,M,1950,Bob,24
WA,M,1950,Bryan,24
WA,M,1950,Darryl,24
WA,M,1950,Jonathan,24
WA,M,1950,Vincent,24
WA,M,1950,Clarence,23
WA,M,1950,Floyd,23
