StateCode,Sex,YearOfBirth,Name,Number
WA,M,1992,Enrique,22
WA,M,1992,Javier,22
WA,M,1992,Johnny,22
WA,M,1992,Jon,22
WA,M,1992,Marc,22
WA,M,1992,Marshall,22
WA,M,1992,Rafael,22
WA,M,1992,Randall,22
WA,M,1992,Stefan,22
WA,M,1992,Zane,22
WA,M,1992,Braden,21
WA,M,1992,Brendon,21
WA,M,1992,Damian,21
WA,M,1992,Dane,21
WA,M,1992,Drake,21
WA,M,1992,Kameron,21
WA,M,1992,Landon,21
WA,M,1992,Larry,21
WA,M,1992,Roberto,21
WA,M,1992,Rodney,21
WA,M,1992,Tony,21
WA,M,1992,Wyatt,21
WA,M,1992,Brennan,20
WA,M,1992,Damon,20
WA,M,1992,Dean,20
WA,M,1992,Gerald,20
WA,M,1992,Jaime,20
WA,M,1992,Keenan,20
WA,M,1992,Kristian,20
WA,M,1992,Kurtis,20
WA,M,1992,Pedro,20
WA,M,1992,Trenton,20
WA,M,1992,Tyson,20
WA,M,1992,Brenden,19
WA,M,1992,Chandler,19
WA,M,1992,Emmanuel,19
WA,M,1992,Fernando,19
WA,M,1992,Graham,19
WA,M,1992,Jay,19
WA,M,1992,Jimmy,19
WA,M,1992,Kramer,19
WA,M,1992,Ricky,19
WA,M,1992,Skylar,19
WA,M,1992,Elias,18
WA,M,1992,Geoffrey,18
WA,M,1992,Gerardo,18
WA,M,1992,Jamie,18
WA,M,1992,Kasey,18
WA,M,1992,Terry,18
WA,M,1992,Xavier,18
WA,M,1992,Zachariah,18
WA,M,1992,Billy,17
WA,M,1992,Bobby,17
WA,M,1992,Dominick,17
WA,M,1992,Gage,17
WA,M,1992,Garret,17
WA,M,1992,Giovanni,17
WA,M,1992,Harley,17
WA,M,1992,Hector,17
WA,M,1992,Israel,17
WA,M,1992,Oliver,17
WA,M,1992,Salvador,17
WA,M,1992,Wade,17
WA,M,1992,Abraham,16
WA,M,1992,Albert,16
WA,M,1992,Andy,16
WA,M,1992,Blaine,16
WA,M,1992,Bruce,16
WA,M,1992,Chance,16
WA,M,1992,Cooper,16
WA,M,1992,Jerry,16
WA,M,1992,Kaleb,16
WA,M,1992,Keaton,16
WA,M,1992,Korey,16
WA,M,1992,Kory,16
WA,M,1992,Marcos,16
WA,M,1992,Neil,16
WA,M,1992,Reid,16
WA,M,1992,Roger,16
WA,M,1992,Ross,16
WA,M,1992,Roy,16
WA,M,1992,Terrence,16
WA,M,1992,Walter,16
WA,M,1992,Zackary,16
WA,M,1992,Alberto,15
WA,M,1992,Arturo,15
WA,M,1992,Bret,15
WA,M,1992,Bryson,15
WA,M,1992,Emilio,15
WA,M,1992,Jordon,15
WA,M,1992,Kurt,15
WA,M,1992,Lee,15
WA,M,1992,Noel,15
WA,M,1992,Owen,15
WA,M,1992,Ramon,15
WA,M,1992,Saul,15
WA,M,1992,Trey,15
WA,M,1992,Ty,15
WA,M,1992,Bryant,14
WA,M,1992,Byron,14
WA,M,1992,Elliott,14
WA,M,1992,Gunnar,14
WA,M,1992,Gustavo,14
WA,M,1992,Harrison,14
WA,M,1992,Julio,14
WA,M,1992,Kendall,14
WA,M,1992,Loren,14
WA,M,1992,Louis,14
WA,M,1992,Marvin,14
WA,M,1992,Nathanael,14
WA,M,1992,Nikolas,14
WA,M,1992,Roman,14
WA,M,1992,Tre,14
WA,M,1992,Warren,14
WA,M,1992,Alfredo,13
WA,M,1992,Clifford,13
WA,M,1992,Davis,13
WA,M,1992,Devante,13
WA,M,1992,Deven,13
WA,M,1992,Edwin,13
WA,M,1992,Elliot,13
WA,M,1992,Franklin,13
WA,M,1992,Frederick,13
WA,M,1992,Jayson,13
WA,M,1992,Mitchel,13
WA,M,1992,Nelson,13
WA,M,1992,Stuart,13
WA,M,1992,Tevin,13
WA,M,1992,Avery,12
WA,M,1992,Carter,12
WA,M,1992,Damien,12
WA,M,1992,Darius,12
WA,M,1992,Duncan,12
WA,M,1992,Dylon,12
WA,M,1992,Eddie,12
WA,M,1992,Erick,12
WA,M,1992,Glenn,12
WA,M,1992,Jerome,12
WA,M,1992,Josue,12
WA,M,1992,Kellen,12
WA,M,1992,Markus,12
WA,M,1992,Sawyer,12
WA,M,1992,Shayne,12
WA,M,1992,Wilson,12
WA,M,1992,Allan,11
WA,M,1992,Darrell,11
WA,M,1992,Dion,11
WA,M,1992,Emanuel,11
WA,M,1992,Eugene,11
WA,M,1992,Fabian,11
WA,M,1992,Garth,11
WA,M,1992,Gilberto,11
WA,M,1992,Gordon,11
WA,M,1992,Lorenzo,11
WA,M,1992,Reed,11
WA,M,1992,Rigoberto,11
WA,M,1992,Robin,11
WA,M,1992,Rory,11
WA,M,1992,Simon,11
WA,M,1992,Stephan,11
WA,M,1992,Sterling,11
WA,M,1992,Talon,11
WA,M,1992,Tyrell,11
WA,M,1992,Uriel,11
WA,M,1992,Wayne,11
WA,M,1992,Weston,11
WA,M,1992,Zakary,11
WA,M,1992,Abel,10
WA,M,1992,Adan,10
WA,M,1992,August,10
WA,M,1992,Bo,10
WA,M,1992,Brock,10
WA,M,1992,Conrad,10
WA,M,1992,Cristian,10
WA,M,1992,Dale,10
WA,M,1992,Deandre,10
WA,M,1992,Dyllan,10
WA,M,1992,Ernesto,10
WA,M,1992,Forest,10
WA,M,1992,Jace,10
WA,M,1992,Jarred,10
WA,M,1992,Joe,10
WA,M,1992,Kent,10
WA,M,1992,Kirk,10
WA,M,1992,Leonard,10
WA,M,1992,Maurice,10
WA,M,1992,Myles,10
WA,M,1992,Pablo,10
WA,M,1992,Quinton,10
WA,M,1992,Reece,10
WA,M,1992,Rick,10
WA,M,1992,Sam,10
WA,M,1992,Shay,10
WA,M,1992,Aidan,9
WA,M,1992,Anders,9
WA,M,1992,Angelo,9
WA,M,1992,Baby,9
WA,M,1992,Ben,9
WA,M,1992,Bradly,9
WA,M,1992,Braxton,9
WA,M,1992,Brenton,9
WA,M,1992,Bronson,9
WA,M,1992,Bryon,9
WA,M,1992,Clint,9
WA,M,1992,Cullen,9
