StateCode,Sex,YearOfBirth,Name,Number
WA,M,2005,Donovan,27
WA,M,2005,Enrique,27
WA,M,2005,Gerardo,27
WA,M,2005,Jasper,27
WA,M,2005,Titus,27
WA,M,2005,Corbin,26
WA,M,2005,Dawson,26
WA,M,2005,Easton,26
WA,M,2005,Ezekiel,26
WA,M,2005,Israel,26
WA,M,2005,Maddox,26
WA,M,2005,Emanuel,25
WA,M,2005,Emilio,25
WA,M,2005,Ezra,25
WA,M,2005,Gunnar,25
WA,M,2005,Holden,25
WA,M,2005,Jaiden,25
WA,M,2005,Lance,25
WA,M,2005,Mitchell,25
WA,M,2005,Philip,25
WA,M,2005,Roberto,25
WA,M,2005,Tristen,25
WA,M,2005,Abel,24
WA,M,2005,Allen,24
WA,M,2005,Brett,24
WA,M,2005,Fabian,24
WA,M,2005,Finn,24
WA,M,2005,Phoenix,24
WA,M,2005,Saul,24
WA,M,2005,Scott,24
WA,M,2005,Silas,24
WA,M,2005,Adan,23
WA,M,2005,Armando,23
WA,M,2005,Beau,23
WA,M,2005,Cade,23
WA,M,2005,Edwin,23
WA,M,2005,Felix,23
WA,M,2005,Julio,23
WA,M,2005,Nickolas,23
WA,M,2005,Tony,23
WA,M,2005,Zander,23
WA,M,2005,Alec,22
WA,M,2005,Corey,22
WA,M,2005,Curtis,22
WA,M,2005,Dallas,22
WA,M,2005,Elliot,22
WA,M,2005,Maximus,22
WA,M,2005,Moises,22
WA,M,2005,Raymond,22
WA,M,2005,Ruben,22
WA,M,2005,Yahir,22
WA,M,2005,Brennan,21
WA,M,2005,Caiden,21
WA,M,2005,Cyrus,21
WA,M,2005,Donald,21
WA,M,2005,Justice,21
WA,M,2005,Keith,21
WA,M,2005,Morgan,21
WA,M,2005,Myles,21
WA,M,2005,Orion,21
WA,M,2005,Pablo,21
WA,M,2005,Ronan,21
WA,M,2005,Albert,20
WA,M,2005,Angelo,20
WA,M,2005,Axel,20
WA,M,2005,Braydon,20
WA,M,2005,Gustavo,20
WA,M,2005,Hugo,20
WA,M,2005,Johnny,20
WA,M,2005,Jonas,20
WA,M,2005,Porter,20
WA,M,2005,Reid,20
WA,M,2005,Damon,19
WA,M,2005,Dayton,19
WA,M,2005,Kade,19
WA,M,2005,Lorenzo,19
WA,M,2005,Maxim,19
WA,M,2005,Nikolas,19
WA,M,2005,Quinton,19
WA,M,2005,Reese,19
WA,M,2005,Tate,19
WA,M,2005,Arthur,18
WA,M,2005,Darius,18
WA,M,2005,Davis,18
WA,M,2005,Ismael,18
WA,M,2005,Jay,18
WA,M,2005,Jaydon,18
WA,M,2005,Judah,18
WA,M,2005,Luca,18
WA,M,2005,Milo,18
WA,M,2005,Quentin,18
WA,M,2005,River,18
WA,M,2005,Salvador,18
WA,M,2005,Trent,18
WA,M,2005,Wilson,18
WA,M,2005,Zachariah,18
WA,M,2005,Alberto,17
WA,M,2005,Alden,17
WA,M,2005,Brayan,17
WA,M,2005,Brenden,17
WA,M,2005,Graham,17
WA,M,2005,Harley,17
WA,M,2005,Jaxson,17
WA,M,2005,Jonathon,17
WA,M,2005,Kole,17
WA,M,2005,Russell,17
WA,M,2005,Santiago,17
WA,M,2005,Ali,16
WA,M,2005,Amari,16
WA,M,2005,August,16
WA,M,2005,Camron,16
WA,M,2005,Danny,16
WA,M,2005,Declan,16
WA,M,2005,Derrick,16
WA,M,2005,Esteban,16
WA,M,2005,Jairo,16
WA,M,2005,Jalen,16
WA,M,2005,Jameson,16
WA,M,2005,Kieran,16
WA,M,2005,Osvaldo,16
WA,M,2005,Phillip,16
WA,M,2005,Quincy,16
WA,M,2005,Raul,16
WA,M,2005,Reagan,16
WA,M,2005,Reed,16
WA,M,2005,Ronald,16
WA,M,2005,Arturo,15
WA,M,2005,Braxton,15
WA,M,2005,Dalton,15
WA,M,2005,Darren,15
WA,M,2005,Duncan,15
WA,M,2005,Emmett,15
WA,M,2005,Jadon,15
WA,M,2005,Jeffery,15
WA,M,2005,Jerry,15
WA,M,2005,Kameron,15
WA,M,2005,Kody,15
WA,M,2005,Kristopher,15
WA,M,2005,Lincoln,15
WA,M,2005,Louis,15
WA,M,2005,Nathanael,15
WA,M,2005,Ramon,15
WA,M,2005,Tristin,15
WA,M,2005,Uriel,15
WA,M,2005,Bennett,14
WA,M,2005,Finnegan,14
WA,M,2005,Frank,14
WA,M,2005,Gilberto,14
WA,M,2005,Greyson,14
WA,M,2005,Isaias,14
WA,M,2005,Issac,14
WA,M,2005,Jayce,14
WA,M,2005,Jayson,14
WA,M,2005,Jett,14
WA,M,2005,Keaton,14
WA,M,2005,Kian,14
WA,M,2005,Malcolm,14
WA,M,2005,Malik,14
WA,M,2005,Marshall,14
WA,M,2005,Noe,14
WA,M,2005,Octavio,14
WA,M,2005,Rodrigo,14
WA,M,2005,Ryker,14
WA,M,2005,Sam,14
WA,M,2005,Toby,14
WA,M,2005,Walker,14
WA,M,2005,Weston,14
WA,M,2005,Bailey,13
WA,M,2005,Bryant,13
WA,M,2005,Chad,13
WA,M,2005,Dean,13
WA,M,2005,Ernesto,13
WA,M,2005,Ezequiel,13
WA,M,2005,Franklin,13
WA,M,2005,Gunner,13
WA,M,2005,Ibrahim,13
WA,M,2005,Jamison,13
WA,M,2005,Jase,13
WA,M,2005,Jaylen,13
WA,M,2005,Johan,13
WA,M,2005,Julius,13
WA,M,2005,Kaeden,13
WA,M,2005,Leland,13
WA,M,2005,Leonel,13
WA,M,2005,Maximilian,13
WA,M,2005,Pierce,13
WA,M,2005,Ricky,13
