StateCode,Sex,YearOfBirth,Name,Number
WA,M,2015,Adrian,116
WA,M,2015,Christian,116
WA,M,2015,Wesley,116
WA,M,2015,Jason,115
WA,M,2015,Colton,114
WA,M,2015,Elias,113
WA,M,2015,Declan,112
WA,M,2015,Silas,112
WA,M,2015,Angel,110
WA,M,2015,Ian,110
WA,M,2015,Jeremiah,110
WA,M,2015,Miles,110
WA,M,2015,Emmett,109
WA,M,2015,Jordan,109
WA,M,2015,Greyson,108
WA,M,2015,Adam,106
WA,M,2015,Jose,106
WA,M,2015,Maxwell,106
WA,M,2015,Dominic,105
WA,M,2015,Bennett,104
WA,M,2015,Xavier,104
WA,M,2015,Ryker,103
WA,M,2015,Bentley,102
WA,M,2015,Jaxson,102
WA,M,2015,Zachary,101
WA,M,2015,Micah,100
WA,M,2015,Tyler,99
WA,M,2015,Carson,97
WA,M,2015,Jameson,96
WA,M,2015,Roman,95
WA,M,2015,Camden,94
WA,M,2015,Tristan,94
WA,M,2015,Brody,92
WA,M,2015,Blake,89
WA,M,2015,Harrison,87
WA,M,2015,Timothy,87
WA,M,2015,Elliott,84
WA,M,2015,Ivan,84
WA,M,2015,Kevin,83
WA,M,2015,Max,83
WA,M,2015,Nathaniel,83
WA,M,2015,Weston,83
WA,M,2015,Axel,82
WA,M,2015,Calvin,81
WA,M,2015,Jude,81
WA,M,2015,Nicholas,81
WA,M,2015,Damian,80
WA,M,2015,Ezekiel,79
WA,M,2015,Cole,76
WA,M,2015,Vincent,76
WA,M,2015,Brandon,74
WA,M,2015,August,72
WA,M,2015,Rowan,72
WA,M,2015,Juan,71
WA,M,2015,Avery,70
WA,M,2015,George,70
WA,M,2015,Abel,69
WA,M,2015,Jasper,68
WA,M,2015,Hayden,66
WA,M,2015,Miguel,64
WA,M,2015,Richard,64
WA,M,2015,Elliot,63
WA,M,2015,Felix,63
WA,M,2015,Leonardo,63
WA,M,2015,Maverick,63
WA,M,2015,Marcus,62
WA,M,2015,Simon,62
WA,M,2015,Carlos,61
WA,M,2015,Kayden,61
WA,M,2015,Riley,61
WA,M,2015,Alex,60
WA,M,2015,Chase,60
WA,M,2015,Preston,60
WA,M,2015,Ashton,59
WA,M,2015,Jonah,59
WA,M,2015,Oscar,59
WA,M,2015,Xander,59
WA,M,2015,Finn,58
WA,M,2015,Patrick,58
WA,M,2015,Archer,57
WA,M,2015,Braxton,57
WA,M,2015,Diego,57
WA,M,2015,Jayce,57
WA,M,2015,Jesse,57
WA,M,2015,Jesus,57
WA,M,2015,Mark,57
WA,M,2015,Corbin,56
WA,M,2015,Eric,56
WA,M,2015,Kaiden,56
WA,M,2015,Malachi,56
WA,M,2015,Peter,56
WA,M,2015,Aidan,55
WA,M,2015,Justin,55
WA,M,2015,Paxton,55
WA,M,2015,Alan,54
WA,M,2015,Ayden,54
WA,M,2015,Beckett,54
WA,M,2015,Kingston,54
WA,M,2015,Victor,54
WA,M,2015,Kameron,53
WA,M,2015,Santiago,53
WA,M,2015,Titus,53
WA,M,2015,Alejandro,52
WA,M,2015,Antonio,52
WA,M,2015,Dean,52
WA,M,2015,Emmanuel,52
WA,M,2015,Graham,52
WA,M,2015,Everett,51
WA,M,2015,Kaden,51
WA,M,2015,Kaleb,51
WA,M,2015,Abraham,50
WA,M,2015,Bryson,50
WA,M,2015,Judah,50
WA,M,2015,Luis,50
WA,M,2015,Maddox,50
WA,M,2015,Maximus,50
WA,M,2015,Arthur,48
WA,M,2015,Edward,48
WA,M,2015,Lorenzo,48
WA,M,2015,Brantley,47
WA,M,2015,Colin,47
WA,M,2015,Finley,47
WA,M,2015,Zander,47
WA,M,2015,Brian,46
WA,M,2015,Grant,46
WA,M,2015,Matteo,46
WA,M,2015,Spencer,46
WA,M,2015,Tucker,46
WA,M,2015,Giovanni,45
WA,M,2015,Odin,45
WA,M,2015,Holden,44
WA,M,2015,Myles,44
WA,M,2015,River,44
WA,M,2015,Russell,44
WA,M,2015,Beau,43
WA,M,2015,Bradley,43
WA,M,2015,Chance,43
WA,M,2015,Charlie,43
WA,M,2015,Erik,43
WA,M,2015,Milo,43
WA,M,2015,Ronan,43
WA,M,2015,Soren,43
WA,M,2015,Iker,42
WA,M,2015,Luca,42
WA,M,2015,Steven,42
WA,M,2015,Tobias,42
WA,M,2015,Zane,42
WA,M,2015,Zayden,42
WA,M,2015,Desmond,41
WA,M,2015,Kamden,41
WA,M,2015,Paul,41
WA,M,2015,Andres,40
WA,M,2015,Atticus,40
WA,M,2015,Gunner,40
WA,M,2015,Kyle,40
WA,M,2015,Jax,39
WA,M,2015,Rhett,39
WA,M,2015,Cody,38
WA,M,2015,Joel,38
WA,M,2015,Cruz,37
WA,M,2015,Finnegan,37
WA,M,2015,Francisco,37
WA,M,2015,Javier,37
WA,M,2015,Johnathan,37
WA,M,2015,Leon,37
WA,M,2015,Arlo,36
WA,M,2015,Caden,36
WA,M,2015,Gage,36
WA,M,2015,Gideon,36
WA,M,2015,Griffin,36
WA,M,2015,Orion,36
WA,M,2015,Ricardo,36
WA,M,2015,Skyler,36
WA,M,2015,Tyson,36
WA,M,2015,Cash,35
WA,M,2015,Emerson,35
WA,M,2015,Jeremy,35
WA,M,2015,Nicolas,35
WA,M,2015,Kenneth,34
WA,M,2015,Waylon,34
WA,M,2015,Bryan,33
WA,M,2015,Damien,33
WA,M,2015,Grady,33
WA,M,2015,Jase,33
WA,M,2015,King,33
WA,M,2015,Marshall,33
WA,M,2015,Barrett,32
WA,M,2015,Derek,32
WA,M,2015,Donovan,32
WA,M,2015,Eduardo,32
WA,M,2015,Emiliano,32
WA,M,2015,Garrett,32
WA,M,2015,Gunnar,32
WA,M,2015,Jake,32
WA,M,2015,Johnny,32
WA,M,2015,Kellen,32
WA,M,2015,Omar,32
WA,M,2015,Walter,32
WA,M,2015,Brooks,31
WA,M,2015,Bryce,31
WA,M,2015,Conner,31
WA,M,2015,Jaden,31
WA,M,2015,Jorge,31
WA,M,2015,Martin,31
WA,M,2015,Tanner,31
WA,M,2015,Harvey,30
WA,M,2015,Lukas,30
WA,M,2015,Rafael,30
WA,M,2015,Rylan,30
WA,M,2015,Brady,29
WA,M,2015,Cade,29
WA,M,2015,Clayton,29
WA,M,2015,Emilio,29
WA,M,2015,Gael,29
WA,M,2015,Israel,29
WA,M,2015,Kasen,29
WA,M,2015,Kyler,29
WA,M,2015,Romeo,29
WA,M,2015,Travis,29
WA,M,2015,Troy,29
WA,M,2015,Lane,28
WA,M,2015,Rory,28
WA,M,2015,Solomon,28
WA,M,2015,Theo,28
WA,M,2015,Clark,27
WA,M,2015,Edgar,27
WA,M,2015,Hugo,27
WA,M,2015,Josue,27
WA,M,2015,Killian,27
WA,M,2015,Raiden,27
WA,M,2015,Raymond,27
WA,M,2015,Atlas,26
WA,M,2015,Cesar,26
WA,M,2015,Emanuel,26
WA,M,2015,Fernando,26
WA,M,2015,Hector,26
WA,M,2015,Kade,26
WA,M,2015,Manuel,26
WA,M,2015,Porter,26
WA,M,2015,Ruben,26
WA,M,2015,Stephen,26
WA,M,2015,Alexis,25
WA,M,2015,Ali,25
WA,M,2015,Arjun,25
WA,M,2015,Cohen,25
WA,M,2015,Colt,25
WA,M,2015,Cristian,25
WA,M,2015,Dawson,25
WA,M,2015,Enzo,25
WA,M,2015,Erick,25
WA,M,2015,Quentin,25
WA,M,2015,Quincy,25
WA,M,2015,Quinn,25
WA,M,2015,Remy,25
WA,M,2015,Seth,25
WA,M,2015,Ari,24
WA,M,2015,Bruce,24
WA,M,2015,Ellis,24
WA,M,2015,Ibrahim,24
WA,M,2015,Jeffrey,24
WA,M,2015,Kellan,24
WA,M,2015,Ronin,24
WA,M,2015,Tate,24
WA,M,2015,Adan,23
WA,M,2015,Adriel,23
WA,M,2015,Andy,23
WA,M,2015,Angelo,23
WA,M,2015,Caiden,23
WA,M,2015,Cassius,23
WA,M,2015,Dante,23
WA,M,2015,Devin,23
WA,M,2015,Dexter,23
WA,M,2015,Jett,23
WA,M,2015,Karter,23
WA,M,2015,Lewis,23
WA,M,2015,Sergio,23
WA,M,2015,Dennis,22
WA,M,2015,Esteban,22
WA,M,2015,Franklin,22
WA,M,2015,Knox,22
WA,M,2015,Leland,22
WA,M,2015,Leonel,22
WA,M,2015,Malcolm,22
WA,M,2015,Mario,22
WA,M,2015,Noel,22
WA,M,2015,Zion,22
WA,M,2015,Andre,21
WA,M,2015,Benson,21
WA,M,2015,Cayden,21
WA,M,2015,Daxton,21
WA,M,2015,Edwin,21
WA,M,2015,Jared,21
WA,M,2015,Joaquin,21
WA,M,2015,Karson,21
WA,M,2015,Louis,21
WA,M,2015,Malakai,21
WA,M,2015,Moses,21
WA,M,2015,Remington,21
WA,M,2015,Sean,21
WA,M,2015,Sullivan,21
WA,M,2015,Trevor,21
WA,M,2015,Ty,21
WA,M,2015,Walker,21
WA,M,2015,Anders,20
WA,M,2015,Bodhi,20
WA,M,2015,Casey,20
WA,M,2015,Colby,20
WA,M,2015,Dallas,20
WA,M,2015,Damon,20
WA,M,2015,Deacon,20
WA,M,2015,Fabian,20
WA,M,2015,Hendrix,20
WA,M,2015,Keegan,20
WA,M,2015,Landen,20
WA,M,2015,Maxim,20
WA,M,2015,Pedro,20
WA,M,2015,Peyton,20
WA,M,2015,Rhys,20
WA,M,2015,Wilson,20
WA,M,2015,Abram,19
WA,M,2015,Callen,19
WA,M,2015,Collin,19
WA,M,2015,Conrad,19
WA,M,2015,Ismael,19
WA,M,2015,Jaiden,19
WA,M,2015,Kendrick,19
WA,M,2015,Marco,19
WA,M,2015,Marcos,19
WA,M,2015,Matthias,19
WA,M,2015,Maximiliano,19
WA,M,2015,Nash,19
WA,M,2015,Reed,19
WA,M,2015,Reid,19
WA,M,2015,Shane,19
WA,M,2015,Amir,18
WA,M,2015,Conor,18
WA,M,2015,Dalton,18
WA,M,2015,Dash,18
WA,M,2015,Forrest,18
WA,M,2015,Hank,18
WA,M,2015,Jay,18
WA,M,2015,Kash,18
WA,M,2015,Kyrie,18
WA,M,2015,Lachlan,18
WA,M,2015,Mohamed,18
WA,M,2015,Nehemiah,18
WA,M,2015,Philip,18
WA,M,2015,Phoenix,18
WA,M,2015,Ryland,18
WA,M,2015,Scott,18
WA,M,2015,Sterling,18
WA,M,2015,Talon,18
WA,M,2015,Warren,18
WA,M,2015,Alden,17
WA,M,2015,Anton,17
WA,M,2015,Apollo,17
WA,M,2015,Axton,17
WA,M,2015,Finnley,17
WA,M,2015,Jamison,17
WA,M,2015,Jonas,17
WA,M,2015,Kieran,17
WA,M,2015,Phillip,17
WA,M,2015,Winston,17
WA,M,2015,Allen,16
WA,M,2015,Anderson,16
WA,M,2015,Artem,16
WA,M,2015,Augustus,16
WA,M,2015,Braden,16
WA,M,2015,Brendan,16
WA,M,2015,Dakota,16
WA,M,2015,Darius,16
WA,M,2015,Jaxton,16
WA,M,2015,Mack,16
WA,M,2015,Mathias,16
WA,M,2015,Maximilian,16
WA,M,2015,Moises,16
WA,M,2015,Neil,16
WA,M,2015,Nikita,16
WA,M,2015,Nikolai,16
WA,M,2015,Raylan,16
WA,M,2015,Rex,16
WA,M,2015,Royce,16
WA,M,2015,Samson,16
WA,M,2015,Saul,16
WA,M,2015,Sylas,16
WA,M,2015,Uriah,16
WA,M,2015,Amari,15
WA,M,2015,Armando,15
WA,M,2015,Asa,15
WA,M,2015,Beckham,15
WA,M,2015,Callum,15
WA,M,2015,Cason,15
WA,M,2015,Colten,15
WA,M,2015,Cyrus,15
WA,M,2015,Dayton,15
WA,M,2015,Dominick,15
WA,M,2015,Drew,15
WA,M,2015,Emmitt,15
WA,M,2015,Enrique,15
WA,M,2015,Frank,15
WA,M,2015,Frederick,15
WA,M,2015,Gregory,15
WA,M,2015,Izaiah,15
WA,M,2015,Jayceon,15
WA,M,2015,Jaylen,15
WA,M,2015,Kason,15
WA,M,2015,Keaton,15
WA,M,2015,Lennox,15
WA,M,2015,Mathew,15
WA,M,2015,Morgan,15
WA,M,2015,Otto,15
WA,M,2015,Pablo,15
WA,M,2015,Randy,15
WA,M,2015,Roland,15
WA,M,2015,Roy,15
WA,M,2015,Shawn,15
WA,M,2015,Aarav,14
WA,M,2015,Ace,14
WA,M,2015,Alec,14
WA,M,2015,Brock,14
WA,M,2015,Bronson,14
WA,M,2015,Duke,14
WA,M,2015,Francis,14
WA,M,2015,Harley,14
WA,M,2015,Ishaan,14
WA,M,2015,Jaxen,14
WA,M,2015,Jedidiah,14
WA,M,2015,Kian,14
WA,M,2015,Kolton,14
WA,M,2015,Lawson,14
WA,M,2015,Leonidas,14
WA,M,2015,Lucian,14
WA,M,2015,Makai,14
WA,M,2015,Messiah,14
WA,M,2015,Muhammad,14
WA,M,2015,Quinton,14
WA,M,2015,Rohan,14
WA,M,2015,Tatum,14
