StateCode,Sex,YearOfBirth,Name,Number
WI,F,1933,Ila,15
WI,F,1933,Inez,15
WI,F,1933,Naomi,15
WI,F,1933,Stella,15
WI,F,1933,Beth,14
WI,F,1933,Blanche,14
WI,F,1933,Darleen,14
WI,F,1933,Eleanore,14
WI,F,1933,Lenore,14
WI,F,1933,Lorna,14
WI,F,1933,Marlyn,14
WI,F,1933,Sandra,14
WI,F,1933,Alma,13
WI,F,1933,Arline,13
WI,F,1933,Betsy,13
WI,F,1933,Cecilia,13
WI,F,1933,Cynthia,13
WI,F,1933,Emma,13
WI,F,1933,Jo,13
WI,F,1933,John,13
WI,F,1933,Sara,13
WI,F,1933,Teresa,13
WI,F,1933,Bonita,12
WI,F,1933,Carmen,12
WI,F,1933,Faith,12
WI,F,1933,Fay,12
WI,F,1933,Jeannine,12
WI,F,1933,Mabel,12
WI,F,1933,Marilynn,12
WI,F,1933,Sarah,12
WI,F,1933,Valerie,12
WI,F,1933,Winifred,12
WI,F,1933,Carla,11
WI,F,1933,Elinor,11
WI,F,1933,Eloise,11
WI,F,1933,Lola,11
WI,F,1933,Mona,11
WI,F,1933,Nona,11
WI,F,1933,Rae,11
WI,F,1933,Regina,11
WI,F,1933,Adrienne,10
WI,F,1933,Arliss,10
WI,F,1933,Cecelia,10
WI,F,1933,Charmaine,10
WI,F,1933,Iris,10
WI,F,1933,Leone,10
WI,F,1933,Margery,10
WI,F,1933,Myrna,10
WI,F,1933,Sheila,10
WI,F,1933,Bessie,9
WI,F,1933,Dianne,9
WI,F,1933,Henrietta,9
WI,F,1933,Janette,9
WI,F,1933,Jennie,9
WI,F,1933,Loraine,9
WI,F,1933,Lydia,9
WI,F,1933,Marylou,9
WI,F,1933,Robert,9
WI,F,1933,Sophie,9
WI,F,1933,Antoinette,8
WI,F,1933,Ardell,8
WI,F,1933,Ardyce,8
WI,F,1933,Arletta,8
WI,F,1933,Celia,8
WI,F,1933,Donald,8
WI,F,1933,Erma,8
WI,F,1933,Frieda,8
WI,F,1933,Greta,8
WI,F,1933,Gwen,8
WI,F,1933,Hilda,8
