StateCode,Sex,YearOfBirth,Name,Number
WI,F,2013,Anika,9
WI,F,2013,Aryana,9
WI,F,2013,Aryanna,9
WI,F,2013,Aurelia,9
WI,F,2013,Baylee,9
WI,F,2013,Brynley,9
WI,F,2013,Cherish,9
WI,F,2013,Coraline,9
WI,F,2013,Crystal,9
WI,F,2013,Eisley,9
WI,F,2013,Elin,9
WI,F,2013,Faye,9
WI,F,2013,Itzel,9
WI,F,2013,Jaliyah,9
WI,F,2013,Jaylynn,9
WI,F,2013,Journee,9
WI,F,2013,Joy,9
WI,F,2013,Juliette,9
WI,F,2013,Kassidy,9
WI,F,2013,Kendyl,9
WI,F,2013,Laney,9
WI,F,2013,Leanna,9
WI,F,2013,Leia,9
WI,F,2013,Lillyana,9
WI,F,2013,Lylah,9
WI,F,2013,Maia,9
WI,F,2013,Maisie,9
WI,F,2013,Malaysia,9
WI,F,2013,Martha,9
WI,F,2013,Millie,9
WI,F,2013,Natalee,9
WI,F,2013,Nellie,9
WI,F,2013,Sutton,9
WI,F,2013,Wren,9
WI,F,2013,Alejandra,8
WI,F,2013,Alessandra,8
WI,F,2013,Amiya,8
WI,F,2013,Analia,8
WI,F,2013,Angelica,8
WI,F,2013,Anne,8
WI,F,2013,Ariah,8
WI,F,2013,Arielle,8
WI,F,2013,Aspen,8
WI,F,2013,Aubrianna,8
WI,F,2013,Audrina,8
WI,F,2013,Aviana,8
WI,F,2013,Breanna,8
WI,F,2013,Brittany,8
WI,F,2013,Charlize,8
WI,F,2013,Chelsea,8
WI,F,2013,Clare,8
WI,F,2013,Daleyza,8
WI,F,2013,Dallas,8
WI,F,2013,Delia,8
WI,F,2013,Dulce,8
WI,F,2013,Edith,8
WI,F,2013,Elaine,8
WI,F,2013,Ember,8
WI,F,2013,Estelle,8
WI,F,2013,Evalyn,8
WI,F,2013,Evalynn,8
WI,F,2013,Fatima,8
WI,F,2013,Gracelynn,8
WI,F,2013,Gwen,8
WI,F,2013,Hayley,8
WI,F,2013,Ingrid,8
WI,F,2013,Jaelyn,8
WI,F,2013,Jamie,8
WI,F,2013,Jazmin,8
WI,F,2013,Jemma,8
WI,F,2013,Jessa,8
WI,F,2013,Journey,8
WI,F,2013,Julianne,8
WI,F,2013,Kailyn,8
WI,F,2013,Kamila,8
WI,F,2013,Karlee,8
WI,F,2013,Kaylie,8
WI,F,2013,Kiera,8
WI,F,2013,Lia,8
WI,F,2013,Lyra,8
WI,F,2013,Macey,8
WI,F,2013,Maleah,8
WI,F,2013,Marielle,8
WI,F,2013,Mira,8
WI,F,2013,Monroe,8
WI,F,2013,Myah,8
WI,F,2013,Myka,8
WI,F,2013,Phoenix,8
WI,F,2013,Raya,8
WI,F,2013,Remi,8
WI,F,2013,Roxanne,8
WI,F,2013,Sawyer,8
WI,F,2013,Silvia,8
WI,F,2013,Stevie,8
WI,F,2013,Tess,8
WI,F,2013,Zariah,8
WI,F,2013,Zuri,8
WI,F,2013,Adele,7
WI,F,2013,Adley,7
WI,F,2013,Alanah,7
WI,F,2013,Ali,7
WI,F,2013,Alma,7
WI,F,2013,Amalia,7
WI,F,2013,Amari,7
WI,F,2013,Amira,7
WI,F,2013,Anaya,7
WI,F,2013,Ariya,7
WI,F,2013,Armani,7
WI,F,2013,Aubri,7
WI,F,2013,Bailee,7
WI,F,2013,Barbara,7
WI,F,2013,Bryn,7
WI,F,2013,Cara,7
WI,F,2013,Catalina,7
WI,F,2013,Desiree,7
WI,F,2013,Dixie,7
WI,F,2013,Elisabeth,7
WI,F,2013,Ellyana,7
WI,F,2013,Emmalee,7
WI,F,2013,Emmy,7
WI,F,2013,Gia,7
WI,F,2013,Gwenyth,7
WI,F,2013,Halle,7
WI,F,2013,Izabelle,7
WI,F,2013,Janae,7
WI,F,2013,Johanna,7
WI,F,2013,Kaitlin,7
WI,F,2013,Kalia,7
WI,F,2013,Kamryn,7
WI,F,2013,Karlie,7
WI,F,2013,Karly,7
WI,F,2013,Karma,7
WI,F,2013,Katelynn,7
WI,F,2013,Kayden,7
WI,F,2013,Kaylin,7
WI,F,2013,Kendal,7
WI,F,2013,Kinsey,7
WI,F,2013,Kora,7
WI,F,2013,Kylah,7
WI,F,2013,Leslie,7
WI,F,2013,Lisa,7
