StateCode,Sex,YearOfBirth,Name,Number
WI,M,1933,Rudolph,22
WI,M,1933,Calvin,21
WI,M,1933,Darwin,21
WI,M,1933,Mark,21
WI,M,1933,Edgar,20
WI,M,1933,Edmund,20
WI,M,1933,Eldon,20
WI,M,1933,August,19
WI,M,1933,Claude,19
WI,M,1933,Maurice,19
WI,M,1933,Neal,19
WI,M,1933,Otto,19
WI,M,1933,Byron,18
WI,M,1933,Elroy,18
WI,M,1933,Wilbur,18
WI,M,1933,Benjamin,17
WI,M,1933,Harlan,17
WI,M,1933,Jon,17
WI,M,1933,Merle,17
WI,M,1933,Sylvester,17
WI,M,1933,Willis,17
WI,M,1933,Darrel,16
WI,M,1933,Fredrick,16
WI,M,1933,Gregory,16
WI,M,1933,Lewis,16
WI,M,1933,Maynard,16
WI,M,1933,Oliver,16
WI,M,1933,Samuel,16
WI,M,1933,Terry,16
WI,M,1933,Carlton,15
WI,M,1933,Harland,15
WI,M,1933,Hubert,15
WI,M,1933,Ivan,15
WI,M,1933,Lynn,15
WI,M,1933,Tony,15
WI,M,1933,Carroll,14
WI,M,1933,Delano,14
WI,M,1933,Merlyn,14
WI,M,1933,Sam,14
WI,M,1933,Stuart,14
WI,M,1933,Alex,13
WI,M,1933,Arlen,13
WI,M,1933,Cornelius,13
WI,M,1933,Dan,13
WI,M,1933,Delmar,13
WI,M,1933,Donovan,13
WI,M,1933,Duwayne,13
WI,M,1933,Hugh,13
WI,M,1933,Irvin,13
WI,M,1933,Joel,13
WI,M,1933,Julian,13
WI,M,1933,Pat,13
WI,M,1933,Sheldon,13
WI,M,1933,Sidney,13
WI,M,1933,Ted,13
WI,M,1933,Alden,12
WI,M,1933,Anton,12
WI,M,1933,Conrad,12
WI,M,1933,Cyril,12
WI,M,1933,Fredric,12
WI,M,1933,Junior,12
WI,M,1933,Malcolm,12
WI,M,1933,Marshall,12
WI,M,1933,Mike,12
WI,M,1933,Sherman,12
WI,M,1933,Wilfred,12
WI,M,1933,Adolph,11
WI,M,1933,Adrian,11
WI,M,1933,Arlyn,11
WI,M,1933,Burton,11
WI,M,1933,Cecil,11
WI,M,1933,Guy,11
WI,M,1933,Jacob,11
WI,M,1933,Jay,11
WI,M,1933,Marlin,11
WI,M,1933,Morris,11
WI,M,1933,Alexander,10
WI,M,1933,Clement,10
WI,M,1933,Elwood,10
WI,M,1933,Irving,10
WI,M,1933,Jerald,10
WI,M,1933,Laurence,10
WI,M,1933,Oscar,10
WI,M,1933,Roman,10
WI,M,1933,Russel,10
WI,M,1933,Salvatore,10
WI,M,1933,Dallas,9
WI,M,1933,Frederic,9
WI,M,1933,Gale,9
WI,M,1933,Jimmy,9
WI,M,1933,Julius,9
WI,M,1933,Max,9
WI,M,1933,Nick,9
WI,M,1933,Perry,9
WI,M,1933,Rodger,9
WI,M,1933,Vern,9
WI,M,1933,Wilbert,9
WI,M,1933,Alton,8
WI,M,1933,Archie,8
WI,M,1933,Arlan,8
WI,M,1933,Armin,8
WI,M,1933,Benny,8
WI,M,1933,Clark,8
WI,M,1933,Clinton,8
WI,M,1933,Daryl,8
WI,M,1933,Dave,8
WI,M,1933,Emmett,8
WI,M,1933,Florian,8
WI,M,1933,Kent,8
WI,M,1933,Marion,8
WI,M,1933,Milo,8
WI,M,1933,Owen,8
WI,M,1933,Reginald,8
WI,M,1933,Steven,8
WI,M,1933,Verlin,8
WI,M,1933,Werner,8
WI,M,1933,Alois,7
WI,M,1933,Arden,7
WI,M,1933,Arlo,7
WI,M,1933,Ben,7
WI,M,1933,Bobby,7
WI,M,1933,Carol,7
WI,M,1933,Clemens,7
WI,M,1933,Eddie,7
WI,M,1933,Elden,7
WI,M,1933,Eric,7
WI,M,1933,Felix,7
WI,M,1933,Forrest,7
WI,M,1933,Gerard,7
WI,M,1933,Jackie,7
WI,M,1933,Jerold,7
WI,M,1933,Jerrold,7
WI,M,1933,Jimmie,7
WI,M,1933,Kendall,7
WI,M,1933,Merrill,7
WI,M,1933,Reuben,7
WI,M,1933,Roderick,7
WI,M,1933,Rudy,7
WI,M,1933,Verlyn,7
WI,M,1933,Wendell,7
WI,M,1933,Antone,6
WI,M,1933,Arno,6
WI,M,1933,Bud,6
WI,M,1933,Casper,6
WI,M,1933,Clair,6
WI,M,1933,Cletus,6
WI,M,1933,Danny,6
WI,M,1933,Delmer,6
WI,M,1933,Delos,6
WI,M,1933,Erling,6
WI,M,1933,Ferdinand,6
WI,M,1933,Grant,6
WI,M,1933,Kermit,6
WI,M,1933,Matthew,6
WI,M,1933,Micheal,6
WI,M,1933,Ned,6
WI,M,1933,Nicholas,6
WI,M,1933,Palmer,6
WI,M,1933,Rolland,6
WI,M,1933,Scott,6
WI,M,1933,Steve,6
WI,M,1933,Timothy,6
WI,M,1933,Vilas,6
WI,M,1933,Wilmer,6
WI,M,1933,Alphonse,5
WI,M,1933,Ardell,5
WI,M,1933,Art,5
WI,M,1933,Arvid,5
WI,M,1933,Bert,5
WI,M,1933,Bradley,5
WI,M,1933,Denis,5
WI,M,1933,Donn,5
WI,M,1933,Dwayne,5
WI,M,1933,Eldor,5
WI,M,1933,Elton,5
WI,M,1933,Ernie,5
WI,M,1933,Evan,5
WI,M,1933,Fabian,5
WI,M,1933,Garland,5
WI,M,1933,Gaylord,5
WI,M,1933,Gerold,5
WI,M,1933,Jan,5
WI,M,1933,Jean,5
WI,M,1933,Leander,5
WI,M,1933,Llewellyn,5
WI,M,1933,Mervin,5
WI,M,1933,Milan,5
WI,M,1933,Murray,5
WI,M,1933,Myles,5
WI,M,1933,Nels,5
WI,M,1933,Randall,5
WI,M,1933,Rex,5
WI,M,1933,Ross,5
WI,M,1933,Spencer,5
WI,M,1934,Robert,1513
WI,M,1934,James,1328
WI,M,1934,Richard,1266
WI,M,1934,Donald,1238
WI,M,1934,John,1017
WI,M,1934,William,749
WI,M,1934,Ronald,656
WI,M,1934,Gerald,492
WI,M,1934,Thomas,488
WI,M,1934,Kenneth,455
WI,M,1934,David,416
WI,M,1934,Charles,415
WI,M,1934,Roger,371
WI,M,1934,Eugene,315
WI,M,1934,George,302
WI,M,1934,Joseph,274
WI,M,1934,Edward,266
WI,M,1934,Raymond,254
WI,M,1934,Wayne,234
WI,M,1934,Harold,218
WI,M,1934,Paul,216
WI,M,1934,Carl,199
WI,M,1934,Jack,199
WI,M,1934,Jerome,176
WI,M,1934,Frank,170
WI,M,1934,Dale,162
WI,M,1934,Duane,162
WI,M,1934,Ralph,162
WI,M,1934,Walter,154
WI,M,1934,Gordon,152
WI,M,1934,Daniel,151
WI,M,1934,Marvin,147
WI,M,1934,Lawrence,144
WI,M,1934,Jerry,139
WI,M,1934,Leroy,139
WI,M,1934,Norman,132
WI,M,1934,Bernard,128
WI,M,1934,Earl,126
WI,M,1934,Arthur,116
WI,M,1934,Henry,116
WI,M,1934,Leonard,116
WI,M,1934,Russell,116
WI,M,1934,Gary,113
WI,M,1934,Francis,110
WI,M,1934,Fred,104
WI,M,1934,Larry,104
WI,M,1934,Douglas,100
WI,M,1934,Gene,99
WI,M,1934,Peter,99
WI,M,1934,Melvin,95
WI,M,1934,Clarence,93
WI,M,1934,Dennis,92
WI,M,1934,Glenn,91
WI,M,1934,Howard,91
WI,M,1934,Michael,89
WI,M,1934,Herbert,88
WI,M,1934,Philip,88
WI,M,1934,Vernon,88
WI,M,1934,Frederick,87
WI,M,1934,Theodore,87
WI,M,1934,Lyle,86
WI,M,1934,Allen,85
WI,M,1934,Dean,85
WI,M,1934,Lloyd,82
WI,M,1934,Bruce,79
WI,M,1934,Franklin,76
WI,M,1934,Patrick,76
WI,M,1934,Roy,75
WI,M,1934,Arnold,74
WI,M,1934,Keith,73
WI,M,1934,Stanley,73
WI,M,1934,Harvey,72
WI,M,1934,Norbert,72
WI,M,1934,Albert,71
WI,M,1934,Harry,69
WI,M,1934,Leo,67
WI,M,1934,Roland,67
WI,M,1934,Jim,66
WI,M,1934,Alfred,65
WI,M,1934,Clifford,65
WI,M,1934,Don,63
WI,M,1934,Allan,62
WI,M,1934,Alvin,62
WI,M,1934,Louis,61
WI,M,1934,Gilbert,60
WI,M,1934,Lee,59
WI,M,1934,Anthony,58
WI,M,1934,Tom,57
WI,M,1934,Warren,55
WI,M,1934,Edwin,53
WI,M,1934,Rodney,53
WI,M,1934,Lester,51
