StateCode,Sex,YearOfBirth,Name,Number
WI,M,1984,Duane,12
WI,M,1984,Elliott,12
WI,M,1984,Isaiah,12
WI,M,1984,Jonah,12
WI,M,1984,Leroy,12
WI,M,1984,Marquis,12
WI,M,1984,Melvin,12
WI,M,1984,Quinn,12
WI,M,1984,Walter,12
WI,M,1984,Albert,11
WI,M,1984,Allan,11
WI,M,1984,Bradly,11
WI,M,1984,Bret,11
WI,M,1984,Bryce,11
WI,M,1984,Curt,11
WI,M,1984,Damon,11
WI,M,1984,Ethan,11
WI,M,1984,Jeff,11
WI,M,1984,Miguel,11
WI,M,1984,Preston,11
WI,M,1984,Rick,11
WI,M,1984,Shannon,11
WI,M,1984,Spencer,11
WI,M,1984,Ty,11
WI,M,1984,Tyrone,11
WI,M,1984,Bobby,10
WI,M,1984,Damian,10
WI,M,1984,Damien,10
WI,M,1984,Darnell,10
WI,M,1984,Darryl,10
WI,M,1984,Gavin,10
WI,M,1984,Glen,10
WI,M,1984,Graham,10
WI,M,1984,Heath,10
WI,M,1984,Jarvis,10
WI,M,1984,Jerod,10
WI,M,1984,Johnathon,10
WI,M,1984,Kory,10
WI,M,1984,Neal,10
WI,M,1984,Perry,10
WI,M,1984,Ramon,10
WI,M,1984,Reid,10
WI,M,1984,Rodney,10
WI,M,1984,Stephan,10
WI,M,1984,Stuart,10
WI,M,1984,Terrence,10
WI,M,1984,Trenton,10
WI,M,1984,Alfred,9
WI,M,1984,Brennan,9
WI,M,1984,Cale,9
WI,M,1984,Dante,9
WI,M,1984,Darrin,9
WI,M,1984,Demetrius,9
WI,M,1984,Dominique,9
WI,M,1984,Dwight,9
WI,M,1984,Gene,9
WI,M,1984,Ivan,9
WI,M,1984,Jaime,9
WI,M,1984,Jameson,9
WI,M,1984,Jerad,9
WI,M,1984,Jered,9
WI,M,1984,Jimmy,9
WI,M,1984,Kraig,9
WI,M,1984,Lorenzo,9
WI,M,1984,Marco,9
WI,M,1984,Oscar,9
WI,M,1984,Roberto,9
WI,M,1984,Tou,9
WI,M,1984,Zachery,9
WI,M,1984,Alberto,8
WI,M,1984,Angelo,8
WI,M,1984,Ashley,8
WI,M,1984,Bo,8
WI,M,1984,Byron,8
WI,M,1984,Carson,8
WI,M,1984,Cedric,8
WI,M,1984,Deangelo,8
WI,M,1984,Dillon,8
WI,M,1984,Donovan,8
WI,M,1984,Dwayne,8
WI,M,1984,Eddie,8
WI,M,1984,Edwin,8
WI,M,1984,Ernest,8
WI,M,1984,Gordon,8
WI,M,1984,Javier,8
WI,M,1984,Jayson,8
WI,M,1984,Jed,8
WI,M,1984,Julius,8
WI,M,1984,Kiel,8
WI,M,1984,Lamar,8
WI,M,1984,Marlon,8
WI,M,1984,Marvin,8
WI,M,1984,Matt,8
WI,M,1984,Maxwell,8
WI,M,1984,Miles,8
WI,M,1984,Reed,8
WI,M,1984,Riley,8
WI,M,1984,Tanner,8
WI,M,1984,Vernon,8
WI,M,1984,Zachariah,8
WI,M,1984,Antoine,7
WI,M,1984,Aron,7
WI,M,1984,Bart,7
WI,M,1984,Chance,7
