StateCode,Sex,YearOfBirth,Name,Number
WV,F,1956,Patricia,461
WV,F,1956,Sharon,426
WV,F,1956,Donna,422
WV,F,1956,Barbara,399
WV,F,1956,Pamela,398
WV,F,1956,Kathy,387
WV,F,1956,Brenda,373
WV,F,1956,Karen,370
WV,F,1956,Susan,321
WV,F,1956,Sandra,308
WV,F,1956,Teresa,292
WV,F,1956,Rebecca,240
WV,F,1956,Cynthia,232
WV,F,1956,Nancy,232
WV,F,1956,Connie,220
WV,F,1956,Cathy,217
WV,F,1956,Cheryl,200
WV,F,1956,Joyce,189
WV,F,1956,Diana,184
WV,F,1956,Vickie,177
WV,F,1956,Robin,173
WV,F,1956,Carol,171
WV,F,1956,Elizabeth,171
WV,F,1956,Janet,170
WV,F,1956,Betty,167
WV,F,1956,Beverly,162
WV,F,1956,Sherry,149
WV,F,1956,Judy,144
WV,F,1956,Carolyn,140
WV,F,1956,Kimberly,136
WV,F,1956,Anita,128
WV,F,1956,Sheila,127
WV,F,1956,Debbie,122
WV,F,1956,Margaret,117
WV,F,1956,Bonnie,111
WV,F,1956,Rhonda,111
WV,F,1956,Judith,110
WV,F,1956,Martha,109
WV,F,1956,Paula,109
WV,F,1956,Rose,106
WV,F,1956,Vicki,106
WV,F,1956,Catherine,102
WV,F,1956,Kathryn,97
WV,F,1956,Diane,95
WV,F,1956,Darlene,94
WV,F,1956,Terri,91
WV,F,1956,Rita,89
WV,F,1956,Janice,87
WV,F,1956,Ruth,87
WV,F,1956,Shirley,87
WV,F,1956,Cindy,86
WV,F,1956,Virginia,83
WV,F,1956,Helen,82
WV,F,1956,Jennifer,82
WV,F,1956,Peggy,80
WV,F,1956,Jo,79
WV,F,1956,Lisa,79
WV,F,1956,Charlotte,78
WV,F,1956,Phyllis,77
WV,F,1956,Wanda,77
WV,F,1956,Tina,73
WV,F,1956,Terry,72
WV,F,1956,Jane,71
WV,F,1956,Regina,70
WV,F,1956,Marsha,69
WV,F,1956,Alice,68
WV,F,1956,Denise,68
WV,F,1956,Katherine,68
WV,F,1956,Anna,67
WV,F,1956,Kathleen,66
WV,F,1956,Victoria,64
WV,F,1956,Laura,63
WV,F,1956,Gloria,62
WV,F,1956,Theresa,60
WV,F,1956,Loretta,58
WV,F,1956,Sarah,58
WV,F,1956,Roberta,56
WV,F,1956,Jacqueline,55
WV,F,1956,Marilyn,54
WV,F,1956,Shelia,54
WV,F,1956,Ann,53
WV,F,1956,Dorothy,53
WV,F,1956,Sue,52
WV,F,1956,Drema,51
WV,F,1956,Frances,51
WV,F,1956,Wilma,51
WV,F,1956,Doris,50
WV,F,1956,Kim,50
WV,F,1956,Lois,50
WV,F,1956,Norma,50
WV,F,1956,Vanessa,49
WV,F,1956,Christine,48
WV,F,1956,Penny,46
WV,F,1956,Melissa,45
WV,F,1956,Vicky,45
WV,F,1956,Ellen,44
WV,F,1956,Julia,44
WV,F,1956,Angela,43
WV,F,1956,Dianna,43
WV,F,1956,Melody,43
WV,F,1956,Dreama,42
WV,F,1956,Valerie,42
WV,F,1956,Melinda,41
WV,F,1956,Carla,40
WV,F,1956,Lynn,39
WV,F,1956,Evelyn,38
WV,F,1956,Jean,38
WV,F,1956,Patty,38
WV,F,1956,Becky,37
WV,F,1956,Belinda,37
WV,F,1956,Stephanie,37
WV,F,1956,Charlene,35
WV,F,1956,Gail,35
WV,F,1956,Jill,34
WV,F,1956,Joan,34
WV,F,1956,Sally,34
WV,F,1956,Toni,34
WV,F,1956,Debora,33
WV,F,1956,Juanita,33
WV,F,1956,Suzanne,33
WV,F,1956,Julie,32
WV,F,1956,Patsy,32
WV,F,1956,Glenna,31
WV,F,1956,Beth,30
WV,F,1956,Constance,30
WV,F,1956,Dawn,30
WV,F,1956,Dinah,30
WV,F,1956,Sherri,30
WV,F,1956,Crystal,29
WV,F,1956,Delores,29
WV,F,1956,Vivian,29
WV,F,1956,Anne,28
WV,F,1956,Joy,28
WV,F,1956,Amy,27
WV,F,1956,Billie,27
WV,F,1956,Patti,27
WV,F,1956,Jeanne,26
WV,F,1956,Leslie,26
WV,F,1956,Sara,26
WV,F,1956,Elaine,25
WV,F,1956,Eva,25
WV,F,1956,Jackie,25
WV,F,1956,Marlene,25
WV,F,1956,Lee,24
WV,F,1956,Marcia,24
WV,F,1956,Edna,23
WV,F,1956,Hazel,23
WV,F,1956,Janie,23
WV,F,1956,Marie,23
WV,F,1956,Melanie,23
WV,F,1956,Michelle,23
WV,F,1956,Nina,23
WV,F,1956,Vera,23
WV,F,1956,Bonita,22
WV,F,1956,Clara,22
WV,F,1956,Lillian,22
WV,F,1956,Kay,21
WV,F,1956,Maria,21
WV,F,1956,Christina,20
WV,F,1956,Glenda,20
WV,F,1956,Ruby,20
WV,F,1956,Thelma,20
WV,F,1956,Andrea,19
WV,F,1956,Annette,19
WV,F,1956,Christy,19
WV,F,1956,Mona,19
WV,F,1956,Monica,19
WV,F,1956,Sandy,19
WV,F,1956,Sylvia,19
WV,F,1956,Yvonne,19
WV,F,1956,Candace,18
WV,F,1956,Freda,18
WV,F,1956,Jeanette,18
WV,F,1956,Lana,18
WV,F,1956,Lucy,18
WV,F,1956,Mildred,18
WV,F,1956,Ramona,18
WV,F,1956,Sheree,18
WV,F,1956,Veronica,18
WV,F,1956,Beatrice,17
WV,F,1956,Colleen,17
WV,F,1956,Dana,17
WV,F,1956,Darla,17
WV,F,1956,Deanna,17
WV,F,1956,Gina,17
WV,F,1956,Lucinda,17
WV,F,1956,Marjorie,17
WV,F,1956,Nora,17
WV,F,1956,Sabrina,17
WV,F,1956,Shelby,17
WV,F,1956,Sheryl,17
WV,F,1956,Dianne,16
WV,F,1956,Eleanor,16
WV,F,1956,Emma,16
WV,F,1956,Holly,16
WV,F,1956,Karla,16
WV,F,1956,Lorna,16
WV,F,1956,Lou,16
WV,F,1956,Bernice,15
WV,F,1956,Betsy,15
WV,F,1956,Bobbie,15
WV,F,1956,Deloris,15
WV,F,1956,Edith,15
WV,F,1956,Ginger,15
WV,F,1956,Gwendolyn,15
WV,F,1956,Marion,15
WV,F,1956,Renee,15
WV,F,1956,Rosa,15
WV,F,1956,Roxanne,15
WV,F,1956,Sheri,15
WV,F,1956,Susie,15
WV,F,1956,Verna,15
WV,F,1956,Violet,15
WV,F,1956,Ethel,14
WV,F,1956,Geraldine,14
WV,F,1956,Jenny,14
WV,F,1956,Rachel,14
WV,F,1956,Rosemary,14
WV,F,1956,Shelley,14
WV,F,1956,Vonda,14
WV,F,1956,April,13
WV,F,1956,Arlene,13
WV,F,1956,Audrey,13
WV,F,1956,Claudia,13
WV,F,1956,Emily,13
WV,F,1956,Florence,13
WV,F,1956,Gladys,13
WV,F,1956,Joann,13
WV,F,1956,June,13
WV,F,1956,Lori,13
WV,F,1956,Lydia,13
WV,F,1956,Stella,13
WV,F,1956,Teena,13
WV,F,1956,Teri,13
WV,F,1956,Ella,12
WV,F,1956,Georgia,12
WV,F,1956,Grace,12
WV,F,1956,Irene,12
WV,F,1956,Jamie,12
WV,F,1956,Janis,12
WV,F,1956,Jeannie,12
WV,F,1956,Joni,12
WV,F,1956,Lila,12
WV,F,1956,Molly,12
WV,F,1956,Myrtle,12
WV,F,1956,Retha,12
WV,F,1956,Ronda,12
WV,F,1956,Sherrie,12
WV,F,1956,Tara,12
WV,F,1956,Candy,11
WV,F,1956,Carmen,11
WV,F,1956,Cheri,11
WV,F,1956,Dawna,11
WV,F,1956,Debrah,11
WV,F,1956,Della,11
WV,F,1956,Dolores,11
WV,F,1956,Elsie,11
WV,F,1956,Geneva,11
WV,F,1956,Josephine,11
WV,F,1956,Leah,11
WV,F,1956,Lola,11
WV,F,1956,Michele,11
WV,F,1956,Nellie,11
WV,F,1956,Pauline,11
WV,F,1956,Velma,11
WV,F,1956,Debby,10
WV,F,1956,Dolly,10
WV,F,1956,Goldie,10
WV,F,1956,Iris,10
WV,F,1956,Jan,10
WV,F,1956,Jayne,10
WV,F,1956,Jeanie,10
WV,F,1956,Katrina,10
WV,F,1956,Ladonna,10
WV,F,1956,Lillie,10
WV,F,1956,Louise,10
WV,F,1956,Margie,10
WV,F,1956,Mitzi,10
WV,F,1956,Myra,10
WV,F,1956,Naomi,10
WV,F,1956,Priscilla,10
WV,F,1956,Ada,9
WV,F,1956,Alicia,9
WV,F,1956,Benita,9
WV,F,1956,Caroline,9
WV,F,1956,Dixie,9
