StateCode,Sex,YearOfBirth,Name,Number
WV,F,1981,Kathy,9
WV,F,1981,Lacey,9
WV,F,1981,Lacy,9
WV,F,1981,Loretta,9
WV,F,1981,Maggie,9
WV,F,1981,Marissa,9
WV,F,1981,Sherri,9
WV,F,1981,Terra,9
WV,F,1981,Carly,8
WV,F,1981,Cathy,8
WV,F,1981,Chrystal,8
WV,F,1981,Connie,8
WV,F,1981,Cortney,8
WV,F,1981,Cristina,8
WV,F,1981,Cristy,8
WV,F,1981,Eva,8
WV,F,1981,Faith,8
WV,F,1981,Jenny,8
WV,F,1981,Jody,8
WV,F,1981,Joyce,8
WV,F,1981,Karla,8
WV,F,1981,Kristie,8
WV,F,1981,Latasha,8
WV,F,1981,Latisha,8
WV,F,1981,Lee,8
WV,F,1981,Linda,8
WV,F,1981,Mandi,8
WV,F,1981,Marcie,8
WV,F,1981,Marie,8
WV,F,1981,Martha,8
WV,F,1981,Monique,8
WV,F,1981,Peggy,8
WV,F,1981,Rachelle,8
WV,F,1981,Randi,8
WV,F,1981,Renee,8
WV,F,1981,Shana,8
WV,F,1981,Shasta,8
WV,F,1981,Shirley,8
WV,F,1981,Tessa,8
WV,F,1981,Alissa,7
WV,F,1981,Alyssa,7
WV,F,1981,Amelia,7
WV,F,1981,Becky,7
WV,F,1981,Candi,7
WV,F,1981,Charlene,7
WV,F,1981,Charlotte,7
WV,F,1981,Desiree,7
WV,F,1981,Frances,7
WV,F,1981,Jackie,7
WV,F,1981,Janet,7
WV,F,1981,Jennie,7
WV,F,1981,Jodie,7
WV,F,1981,Kathleen,7
WV,F,1981,Lara,7
WV,F,1981,Lea,7
WV,F,1981,Lydia,7
WV,F,1981,Marlena,7
WV,F,1981,Marsha,7
WV,F,1981,Melody,7
WV,F,1981,Penny,7
WV,F,1981,Rita,7
WV,F,1981,Roberta,7
WV,F,1981,Ruby,7
WV,F,1981,Shanda,7
WV,F,1981,Shauna,7
WV,F,1981,Teri,7
WV,F,1981,Tracie,7
WV,F,1981,Trina,7
WV,F,1981,Allyson,6
WV,F,1981,Annette,6
WV,F,1981,Ashleigh,6
WV,F,1981,Audrey,6
WV,F,1981,Belinda,6
WV,F,1981,Beverly,6
WV,F,1981,Brianne,6
WV,F,1981,Candy,6
WV,F,1981,Caroline,6
WV,F,1981,Deidra,6
WV,F,1981,Destiny,6
WV,F,1981,Diane,6
WV,F,1981,Dorothy,6
WV,F,1981,Ericka,6
WV,F,1981,Gretchen,6
WV,F,1981,Irene,6
WV,F,1981,Jenifer,6
WV,F,1981,Joanna,6
WV,F,1981,Kerry,6
WV,F,1981,Lana,6
WV,F,1981,Leanna,6
WV,F,1981,Leanne,6
WV,F,1981,Lois,6
WV,F,1981,Misti,6
WV,F,1981,Rhiannon,6
WV,F,1981,Rosa,6
WV,F,1981,Sheila,6
WV,F,1981,Stella,6
WV,F,1981,Tiffani,6
WV,F,1981,Tosha,6
WV,F,1981,Yvonne,6
WV,F,1981,Alecia,5
WV,F,1981,Angelina,5
WV,F,1981,Carissa,5
WV,F,1981,Chastity,5
WV,F,1981,Cherie,5
WV,F,1981,Daisy,5
WV,F,1981,Deidre,5
WV,F,1981,Dreama,5
WV,F,1981,Georgia,5
WV,F,1981,Haley,5
WV,F,1981,Hilary,5
WV,F,1981,Jacklyn,5
WV,F,1981,Jacquelyn,5
WV,F,1981,Jane,5
WV,F,1981,Janelle,5
WV,F,1981,Jeannie,5
WV,F,1981,Jerri,5
WV,F,1981,Johanna,5
WV,F,1981,Judith,5
WV,F,1981,Judy,5
WV,F,1981,Kate,5
WV,F,1981,Keri,5
WV,F,1981,Lakisha,5
WV,F,1981,Larissa,5
WV,F,1981,Laurie,5
WV,F,1981,Loni,5
WV,F,1981,Lucretia,5
WV,F,1981,Maranda,5
WV,F,1981,Marcia,5
WV,F,1981,Marisa,5
WV,F,1981,Meagan,5
WV,F,1981,Missy,5
