StateCode,Sex,YearOfBirth,Name,Number
WV,F,2010,Shyanne,8
WV,F,2010,Adalynn,7
WV,F,2010,Adelynn,7
WV,F,2010,Alayna,7
WV,F,2010,Alexia,7
WV,F,2010,Aliyah,7
WV,F,2010,Amanda,7
WV,F,2010,Annabella,7
WV,F,2010,Annabelle,7
WV,F,2010,Aubrie,7
WV,F,2010,Bailee,7
WV,F,2010,Caitlyn,7
WV,F,2010,Callie,7
WV,F,2010,Catherine,7
WV,F,2010,Charity,7
WV,F,2010,Charlee,7
WV,F,2010,Cynthia,7
WV,F,2010,Daisy,7
WV,F,2010,Danica,7
WV,F,2010,Elise,7
WV,F,2010,Georgia,7
WV,F,2010,Gianna,7
WV,F,2010,Gracelynn,7
WV,F,2010,Haleigh,7
WV,F,2010,Hayleigh,7
WV,F,2010,Heidi,7
WV,F,2010,Jade,7
WV,F,2010,Jaiden,7
WV,F,2010,Jennifer,7
WV,F,2010,Juliana,7
WV,F,2010,Juliet,7
WV,F,2010,Kara,7
WV,F,2010,Kenleigh,7
WV,F,2010,Kinsley,7
WV,F,2010,Laney,7
WV,F,2010,London,7
WV,F,2010,Madalynn,7
WV,F,2010,Maya,7
WV,F,2010,Mylee,7
WV,F,2010,Natalia,7
WV,F,2010,Penelope,7
WV,F,2010,Ruby,7
WV,F,2010,Abagail,6
WV,F,2010,Abby,6
WV,F,2010,Aleah,6
WV,F,2010,Alice,6
WV,F,2010,Angelina,6
WV,F,2010,Ashlynn,6
WV,F,2010,Bryleigh,6
WV,F,2010,Carlee,6
WV,F,2010,Dixie,6
WV,F,2010,Eliza,6
WV,F,2010,Genevieve,6
WV,F,2010,Hailee,6
WV,F,2010,Harley,6
WV,F,2010,Haven,6
WV,F,2010,Ireland,6
WV,F,2010,Jazlyn,6
WV,F,2010,Joselyn,6
WV,F,2010,Journey,6
WV,F,2010,Kadence,6
WV,F,2010,Karleigh,6
WV,F,2010,Kayden,6
WV,F,2010,Kaydence,6
WV,F,2010,Kaylyn,6
WV,F,2010,Kelsie,6
WV,F,2010,Kenna,6
WV,F,2010,Kira,6
WV,F,2010,Kirsten,6
WV,F,2010,Kloe,6
WV,F,2010,Kyndal,6
WV,F,2010,Kyra,6
WV,F,2010,Lainey,6
WV,F,2010,Lexi,6
WV,F,2010,Lilliana,6
WV,F,2010,Madelynn,6
WV,F,2010,Madyson,6
WV,F,2010,Malia,6
WV,F,2010,Melody,6
WV,F,2010,Michaela,6
WV,F,2010,Raelyn,6
WV,F,2010,Selena,6
WV,F,2010,Sloane,6
WV,F,2010,Tiana,6
WV,F,2010,Tiffany,6
WV,F,2010,Abbie,5
WV,F,2010,Alison,5
WV,F,2010,Aryanna,5
WV,F,2010,Ashton,5
WV,F,2010,Audrina,5
WV,F,2010,Baileigh,5
WV,F,2010,Braylee,5
WV,F,2010,Bria,5
WV,F,2010,Brystol,5
WV,F,2010,Caitlin,5
WV,F,2010,Cassandra,5
WV,F,2010,Christina,5
WV,F,2010,Ciara,5
WV,F,2010,Danae,5
WV,F,2010,Eleanor,5
WV,F,2010,Emmalee,5
WV,F,2010,Emmalyn,5
WV,F,2010,Halle,5
WV,F,2010,Hayley,5
WV,F,2010,Jacie,5
