StateCode,Sex,YearOfBirth,Name,Number
WY,F,1951,Kathryn,29
WY,F,1951,Judith,27
WY,F,1951,Janice,26
WY,F,1951,Rebecca,26
WY,F,1951,Diane,25
WY,F,1951,Shirley,24
WY,F,1951,Virginia,24
WY,F,1951,Christine,23
WY,F,1951,Kathy,23
WY,F,1951,Beverly,22
WY,F,1951,Carolyn,22
WY,F,1951,Diana,22
WY,F,1951,Bonnie,21
WY,F,1951,Catherine,21
WY,F,1951,Elizabeth,21
WY,F,1951,Gloria,21
WY,F,1951,Teresa,21
WY,F,1951,Ann,18
WY,F,1951,Cathy,18
WY,F,1951,Dorothy,18
WY,F,1951,Joan,18
WY,F,1951,Katherine,18
WY,F,1951,Laura,18
WY,F,1951,Brenda,17
WY,F,1951,Marilyn,17
WY,F,1951,Constance,16
WY,F,1951,Gail,16
WY,F,1951,Marsha,16
WY,F,1951,Colleen,15
WY,F,1951,Ellen,15
WY,F,1951,Jane,15
WY,F,1951,Jean,15
WY,F,1951,Martha,15
WY,F,1951,Sherry,15
WY,F,1951,Victoria,15
WY,F,1951,Charlotte,14
WY,F,1951,Rita,14
WY,F,1951,Sally,14
WY,F,1951,Vicki,14
WY,F,1951,Cindy,13
WY,F,1951,Elaine,13
WY,F,1951,Jo,13
WY,F,1951,Paula,13
WY,F,1951,Theresa,13
WY,F,1951,Frances,12
WY,F,1951,Rhonda,12
WY,F,1951,Roberta,12
WY,F,1951,Darlene,11
WY,F,1951,Doris,11
WY,F,1951,Helen,11
WY,F,1951,Rose,11
WY,F,1951,Ruth,11
WY,F,1951,Sheila,11
WY,F,1951,Wanda,11
WY,F,1951,Geraldine,10
WY,F,1951,Jill,10
WY,F,1951,Joyce,10
WY,F,1951,Kay,10
WY,F,1951,Lois,10
WY,F,1951,Penny,10
WY,F,1951,Sue,10
WY,F,1951,Valerie,10
WY,F,1951,Alice,9
WY,F,1951,Candace,9
WY,F,1951,Dianna,9
WY,F,1951,Gayle,9
WY,F,1951,Irene,9
WY,F,1951,Jacqueline,9
WY,F,1951,Julie,9
WY,F,1951,Marcia,9
WY,F,1951,Phyllis,9
WY,F,1951,Yvonne,9
WY,F,1951,Denise,8
WY,F,1951,Glenda,8
WY,F,1951,Jeanne,8
WY,F,1951,Loretta,8
WY,F,1951,Lorraine,8
WY,F,1951,Rosemary,8
WY,F,1951,Roxanne,8
WY,F,1951,Toni,8
WY,F,1951,Vicky,8
WY,F,1951,Bernice,7
WY,F,1951,Cheri,7
WY,F,1951,Dianne,7
WY,F,1951,Esther,7
WY,F,1951,Jan,7
WY,F,1951,Janis,7
WY,F,1951,Jennifer,7
WY,F,1951,Joann,7
WY,F,1951,Josephine,7
WY,F,1951,Norma,7
WY,F,1951,Ramona,7
WY,F,1951,Robin,7
WY,F,1951,Vickie,7
WY,F,1951,Anita,6
WY,F,1951,Annette,6
WY,F,1951,Arlene,6
WY,F,1951,Bobbie,6
WY,F,1951,Carla,6
WY,F,1951,Claudia,6
WY,F,1951,Edith,6
WY,F,1951,Eileen,6
WY,F,1951,Jackie,6
WY,F,1951,Joanne,6
WY,F,1951,Jolene,6
WY,F,1951,Juanita,6
WY,F,1951,Julia,6
WY,F,1951,Lynda,6
WY,F,1951,Lynn,6
WY,F,1951,Margo,6
WY,F,1951,Maxine,6
WY,F,1951,Mildred,6
WY,F,1951,Terry,6
WY,F,1951,Wendy,6
WY,F,1951,Charlene,5
WY,F,1951,Gaye,5
WY,F,1951,Ginger,5
WY,F,1951,Gladys,5
WY,F,1951,Jacquelyn,5
WY,F,1951,Jody,5
WY,F,1951,Joy,5
WY,F,1951,June,5
WY,F,1951,Kristine,5
WY,F,1951,Laurie,5
WY,F,1951,Leslie,5
WY,F,1951,Louise,5
WY,F,1951,Lynne,5
WY,F,1951,Marie,5
WY,F,1951,Melinda,5
WY,F,1951,Michele,5
WY,F,1951,Suzanne,5
WY,F,1951,Sylvia,5
WY,F,1951,Trudy,5
WY,F,1952,Linda,133
WY,F,1952,Mary,115
WY,F,1952,Susan,92
WY,F,1952,Patricia,86
WY,F,1952,Debra,79
WY,F,1952,Karen,67
WY,F,1952,Nancy,62
WY,F,1952,Barbara,60
WY,F,1952,Deborah,60
WY,F,1952,Cynthia,51
WY,F,1952,Carol,47
WY,F,1952,Sandra,46
WY,F,1952,Janet,43
WY,F,1952,Margaret,41
WY,F,1952,Donna,40
WY,F,1952,Kathleen,40
WY,F,1952,Kathy,39
WY,F,1952,Pamela,39
WY,F,1952,Sharon,39
WY,F,1952,Judy,38
WY,F,1952,Cheryl,36
WY,F,1952,Judith,35
WY,F,1952,Peggy,32
WY,F,1952,Bonnie,30
WY,F,1952,Christine,30
WY,F,1952,Catherine,28
WY,F,1952,Connie,28
WY,F,1952,Diane,28
WY,F,1952,Elizabeth,28
WY,F,1952,Janice,28
WY,F,1952,Rebecca,28
