language_country,language_code,country_code
aa_DJ,aa,DJ
aa_ER,aa,ER
aa_ET,aa,ET
ab_GE,ab,GE
af_NA,af,NA
af_ZA,af,ZA
ak_GH,ak,GH
am_ET,am,ET
ar_AE,ar,AE
ar_BH,ar,BH
ar_DJ,ar,DJ
ar_DZ,ar,DZ
ar_EG,ar,EG
ar_EH,ar,EH
ar_ER,ar,ER
ar_IL,ar,IL
ar_IQ,ar,IQ
ar_JO,ar,JO
ar_KM,ar,KM
ar_KW,ar,KW
ar_LB,ar,LB
ar_LY,ar,LY
ar_MA,ar,MA
ar_MR,ar,MR
ar_OM,ar,OM
ar_PS,ar,PS
ar_QA,ar,QA
ar_SA,ar,SA
ar_SD,ar,SD
ar_SO,ar,SO
ar_SS,ar,SS
ar_SY,ar,SY
ar_TD,ar,TD
ar_TN,ar,TN
ar_YE,ar,YE
an_ES,an,ES
as_IN,as,IN
av_RU,av,RU
ay_BO,ay,BO
az_AZ,az,AZ
ba_RU,ba,RU
be_BY,be,BY
bg_BG,bg,BG
bh_IN,bh,IN
bi_VU,bi,VU
bm_ML,bm,ML
bn_BD,bn,BD
bn_IN,bn,IN
bo_CN,bo,CN
br_FR,br,FR
bs_BA,bs,BA
ca_AD,ca,AD
ca_ES,ca,ES
ce_RU,ce,RU
ch_GU,ch,GU
co_FR,co,FR
cr_CA,cr,CA
cs_CZ,cs,CZ
cu_RU,cu,RU
cv_RU,cv,RU
cy_GB,cy,GB
da_DK,da,DK
de_AT,de,AT
de_BE,de,BE
de_CH,de,CH
de_DE,de,DE
de_LI,de,LI
de_LU,de,LU
dv_MV,dv,MV
dz_BT,dz,BT
ee_GH,ee,GH
el_CY,el,CY
el_GR,el,GR
en_AG,en,AG
en_AI,en,AI
en_AS,en,AS
en_AU,en,AU
en_BB,en,BB
en_BM,en,BM
en_BS,en,BS
en_BW,en,BW
en_BZ,en,BZ
en_CA,en,CA
en_CM,en,CM
en_CK,en,CK
en_DM,en,DM
en_FJ,en,FJ
en_FM,en,FM
en_GB,en,GB
en_GD,en,GD
en_GG,en,GG
en_GH,en,GH
en_GI,en,GI
en_GM,en,GM
en_GU,en,GU
en_GY,en,GY
en_IE,en,IE
en_IM,en,IM
en_IN,en,IN
en_JE,en,JE
en_JM,en,JM
en_KE,en,KE
en_KI,en,KI
en_KN,en,KN
en_KY,en,KY
en_LC,en,LC
en_LR,en,LR
en_LS,en,LS
en_MH,en,MH
en_MP,en,MP
en_MS,en,MS
en_MT,en,MT
en_MU,en,MU
en_MW,en,MW
en_MY,en,MY
en_NA,en,NA
en_NG,en,NG
en_NF,en,NF
en_NR,en,NR
en_NU,en,NU
en_NZ,en,NZ
en_PG,en,PG
en_PH,en,PH
en_PK,en,PK
en_PN,en,PN
en_PR,en,PR
en_PW,en,PW
en_RW,en,RW
en_SB,en,SB
en_SC,en,SC
en_SD,en,SD
en_SG,en,SG
en_SH,en,SH
en_SL,en,SL
en_SS,en,SS
en_SZ,en,SZ
en_TC,en,TC
en_TK,en,TK
en_TO,en,TO
en_TT,en,TT
en_TV,en,TV
en_TZ,en,TZ
en_UG,en,UG
en_UM,en,UM
en_US,en,US
en_VC,en,VC
en_VG,en,VG
en_VI,en,VI
en_VU,en,VU
en_WS,en,WS
en_ZA,en,ZA
en_ZM,en,ZM
en_ZW,en,ZW
eo_XX,eo,XX
es_AR,es,AR
es_BO,es,BO
es_CL,es,CL
es_CO,es,CO
es_CR,es,CR
es_CU,es,CU
es_DO,es,DO
es_EC,es,EC
es_ES,es,ES
es_GQ,es,GQ
es_GT,es,GT
es_HN,es,HN
es_MX,es,MX
es_NI,es,NI
es_PA,es,PA
es_PE,es,PE
es_PR,es,PR
es_PY,es,PY
es_SV,es,SV
es_UY,es,UY
es_VE,es,VE
et_EE,et,EE
eu_ES,eu,ES
fa_AF,fa,AF
fa_IR,fa,IR
ff_SN,ff,SN
fi_FI,fi,FI
fj_FJ,fj,FJ
fo_FO,fo,FO
fr_BE,fr,BE
fr_BF,fr,BF
